timestamp,raw_value,attention
1615093353.81478,-20,77
1615093353.823939,-44,77
1615093353.831413,-73,77
1615093353.831413,-73,77
1615093353.831413,-73,77
1615093353.831413,-73,77
1615093353.831413,-73,77
1615093353.872681,20,77
1615093353.883876,97,77
1615093353.8901918,74,77
1615093353.8901918,74,77
1615093353.8901918,74,77
1615093353.8901918,74,77
1615093353.927642,48,77
1615093353.936329,240,77
1615093353.9450822,124,77
1615093353.9513128,83,77
1615093353.9513128,83,77
1615093353.9513128,83,77
1615093353.9513128,83,77
1615093353.987711,75,77
1615093353.996371,134,77
1615093354.0025868,-18,77
1615093354.011348,-71,77
1615093354.011348,-71,77
1615093354.011348,-71,77
1615093354.011348,-71,77
1615093354.011348,-71,77
1615093354.053183,-56,77
1615093354.068911,6,77
1615093354.0718179,86,77
1615093354.0718179,86,77
1615093354.0718179,86,77
1615093354.0718179,86,77
1615093354.1101902,37,77
1615093354.120094,83,77
1615093354.128871,90,77
1615093354.131379,48,77
1615093354.131379,48,77
1615093354.131379,48,77
1615093354.131379,48,77
1615093354.170233,11,77
1615093354.1788511,17,77
1615093354.187668,-49,77
1615093354.1901162,-53,77
1615093354.1901162,-53,77
1615093354.1901162,-53,77
1615093354.1901162,-53,77
1615093354.2302048,-97,77
1615093354.239396,90,77
1615093354.247627,-59,77
1615093354.251328,-30,77
1615093354.251328,-30,77
1615093354.251328,-30,77
1615093354.251328,-30,77
1615093354.290346,-27,77
1615093354.299118,101,77
1615093354.30764,121,77
1615093354.3113458,118,77
1615093354.3113458,118,77
1615093354.3113458,118,77
1615093354.3113458,118,77
1615093354.350107,98,77
1615093354.360299,132,77
1615093354.3666718,59,77
1615093354.371453,50,77
1615093354.371453,50,77
1615093354.371453,50,77
1615093354.371453,50,77
1615093354.410388,58,77
1615093354.421483,70,77
1615093354.42909,-21,77
1615093354.431629,10,77
1615093354.431629,10,77
1615093354.431629,10,77
1615093354.465448,20,77
1615093354.4739149,66,77
1615093354.4825878,36,77
1615093354.491314,-55,77
1615093354.491314,-55,77
1615093354.491314,-55,77
1615093354.491314,-55,77
1615093354.491314,-55,77
1615093354.5313878,-86,77
1615093354.5450828,38,77
1615093354.551326,57,77
1615093354.551326,57,77
1615093354.551326,57,77
1615093354.551326,57,77
1615093354.587648,54,77
1615093354.595575,252,77
1615093354.604058,182,77
1615093354.611305,129,77
1615093354.611305,129,77
1615093354.611305,129,77
1615093354.611305,129,77
1615093354.64519,112,77
1615093354.655228,33,54
1615093354.662604,-6,54
1615093354.671477,-56,54
1615093354.671477,-56,54
1615093354.671477,-56,54
1615093354.671477,-56,54
1615093354.671477,-56,54
1615093354.715059,-88,54
1615093354.7238688,24,54
1615093354.7313411,32,54
1615093354.7313411,32,54
1615093354.7313411,32,54
1615093354.7313411,32,54
1615093354.765277,37,54
1615093354.7739148,167,54
1615093354.7800572,39,54
1615093354.790228,-65,54
1615093354.790228,-65,54
1615093354.790228,-65,54
1615093354.790228,-65,54
1615093354.823988,-25,54
1615093354.8329039,52,54
1615093354.841315,26,54
1615093354.848833,38,54
1615093354.8513322,34,54
1615093354.8513322,34,54
1615093354.8513322,34,54
1615093354.8513322,34,54
1615093354.891427,-6,54
1615093354.898933,114,54
1615093354.908913,35,54
1615093354.9113102,19,54
1615093354.9113102,19,54
1615093354.9113102,19,54
1615093354.9113102,19,54
1615093354.948273,35,54
1615093354.9637399,86,54
1615093354.971589,50,54
1615093354.971589,50,54
1615093354.971589,50,54
1615093354.971589,50,54
1615093355.0076742,20,54
1615093355.0163589,82,54
1615093355.025048,4,54
1615093355.031302,10,54
1615093355.031302,10,54
1615093355.031302,10,54
1615093355.031302,10,54
1615093355.0675478,-42,54
1615093355.075047,113,54
1615093355.083903,64,54
1615093355.091491,37,54
1615093355.091491,37,54
1615093355.091491,37,54
1615093355.091491,37,54
1615093355.1277068,-23,54
1615093355.137633,117,54
1615093355.143979,83,54
1615093355.1514308,38,54
1615093355.1514308,38,54
1615093355.1514308,38,54
1615093355.177603,-9,54
1615093355.186301,92,54
1615093355.196311,114,54
1615093355.198786,99,54
1615093355.198786,99,54
1615093355.198786,99,54
1615093355.198786,99,54
1615093355.235168,55,54
1615093355.2464309,52,54
1615093355.2550862,-6,54
1615093355.2625742,6,54
1615093355.27008,41,54
1615093355.278819,8,54
1615093355.286311,-9,54
1615093355.29387,-22,54
1615093355.3041239,49,54
1615093355.311709,74,54
1615093355.3215098,24,54
1615093355.3289568,-13,54
1615093355.34172,26,54
1615093355.349229,-13,54
1615093355.3588889,-18,54
1615093355.3688252,-55,54
1615093355.376297,1,54
1615093355.386409,-1,54
1615093355.3940978,20,54
1615093355.404219,12,54
1615093355.411705,40,54
1615093355.4216168,37,54
1615093355.429238,52,54
1615093355.439239,50,54
