timestamp,raw_value,attention
1615093533.9359639,28,44
1615093533.947167,26,44
1615093533.947167,26,44
1615093533.947167,26,44
1615093533.947167,26,44
1615093533.9822578,27,44
1615093533.9874518,52,44
1615093533.99742,90,44
1615093534.006001,67,44
1615093534.01596,82,44
1615093534.023417,57,44
1615093534.0323389,27,44
1615093534.0323389,27,44
1615093534.049715,52,44
1615093534.0584571,27,44
1615093534.064928,26,44
1615093534.075039,4,44
1615093534.0824351,-18,44
1615093534.0925472,2,44
1615093534.101173,10,44
1615093534.10881,43,44
1615093534.1200771,19,44
1615093534.127341,-25,44
1615093534.1372108,11,44
1615093534.149743,35,44
1615093534.157162,23,44
1615093534.165897,32,44
1615093534.174759,27,44
1615093534.1834052,4,44
1615093534.189687,-6,44
1615093534.199682,9,44
1615093534.208404,20,44
1615093534.213589,32,44
1615093534.226102,97,44
1615093534.2335832,105,44
1615093534.241027,80,44
1615093534.2487428,81,44
1615093534.2487428,81,44
1615093534.2487428,81,44
1615093534.2487428,81,44
1615093534.287186,98,44
1615093534.298718,121,44
1615093534.304769,116,44
1615093534.3147619,76,44
1615093534.323452,-6,44
1615093534.332195,69,44
1615093534.340943,65,44
1615093534.348601,32,44
1615093534.355961,52,44
1615093534.36339,34,44
1615093534.373379,-12,44
1615093534.380845,7,44
1615093534.389659,20,44
1615093534.3946931,37,44
1615093534.406162,32,44
1615093534.414737,68,44
1615093534.4222221,32,44
1615093534.432159,18,44
1615093534.439647,16,44
1615093534.449674,38,44
1615093534.459739,42,44
1615093534.469662,0,44
1615093534.477136,36,44
1615093534.484662,37,44
1615093534.494699,39,44
1615093534.502155,55,44
1615093534.5108778,22,44
1615093534.5196989,56,44
1615093534.528417,54,44
1615093534.536036,48,44
1615093534.545951,64,44
1615093534.547263,65,44
1615093534.547263,65,44
1615093534.547263,65,44
1615093534.547263,65,44
1615093534.5875762,33,44
1615093534.597196,165,44
1615093534.604791,102,44
1615093534.609683,64,44
1615093534.609683,64,44
1615093534.609683,64,44
1615093534.609683,64,44
1615093534.6500502,120,44
1615093534.659652,66,44
1615093534.668413,27,44
1615093534.675929,16,44
1615093534.6859279,35,44
1615093534.6934779,54,44
1615093534.703451,76,44
1615093534.710976,67,44
1615093534.720924,26,44
1615093534.7297752,22,44
1615093534.738442,37,44
1615093534.740969,35,44
1615093534.740969,35,44
1615093534.765059,73,44
1615093534.7734249,53,44
1615093534.782662,8,44
1615093534.789699,21,44
1615093534.799894,42,44
1615093534.807152,-2,44
1615093534.81723,24,44
1615093534.824618,42,44
1615093534.832119,20,44
1615093534.8420968,35,44
1615093534.8483331,3,44
1615093534.8483331,3,44
1615093534.8483331,3,44
1615093534.8483331,3,44
1615093534.8888588,91,44
1615093534.8949099,119,44
1615093534.904661,57,44
1615093534.907375,65,44
1615093534.9249432,74,44
1615093534.933459,55,44
1615093534.9421508,11,44
1615093534.9497411,11,44
1615093534.9584131,17,44
1615093534.967197,56,44
1615093534.973444,34,44
1615093534.980971,6,44
1615093534.990858,21,44
1615093534.998776,1,44
1615093535.008404,-20,44
1615093535.015869,0,44
1615093535.025845,41,44
1615093535.035886,50,44
1615093535.0446138,32,44
1615093535.054676,-13,44
1615093535.060909,58,44
1615093535.070899,130,44
1615093535.0784361,114,44
1615093535.088485,166,44
1615093535.0983639,124,44
1615093535.105891,72,44
1615093535.1135201,41,44
1615093535.1234958,11,44
1615093535.133667,28,44
1615093535.141024,13,44
1615093535.148438,17,44
1615093535.148438,17,44
1615093535.148438,17,44
1615093535.148438,17,44
1615093535.1846762,8,44
1615093535.197147,122,44
1615093535.2034078,98,44
1615093535.213435,89,44
1615093535.223416,53,44
1615093535.2321239,53,44
1615093535.23843,1,44
1615093535.248466,-6,44
1615093535.256001,20,44
1615093535.264666,8,44
1615093535.273463,22,44
1615093535.2834508,21,44
1615093535.289676,25,44
1615093535.299644,4,44
1615093535.307137,35,44
1615093535.3146691,20,44
1615093535.3221388,34,44
1615093535.332124,67,44
1615093535.3408709,34,44
1615093535.348421,33,44
1615093535.3560162,-5,44
1615093535.365993,69,44
1615093535.3736231,69,44
1615093535.38352,44,44
1615093535.3911319,35,44
1615093535.398649,-6,44
1615093535.4087732,-2,44
1615093535.4187572,6,44
1615093535.4260008,49,44
1615093535.433752,65,44
1615093535.443771,71,44
1615093535.4487948,60,44
1615093535.4487948,60,44
1615093535.4487948,60,44
1615093535.4487948,60,44
1615093535.4906812,139,44
1615093535.49865,113,44
1615093535.507276,38,44
1615093535.5125601,72,44
1615093535.522403,61,44
1615093535.532599,59,44
1615093535.5399082,64,44
1615093535.5475159,37,44
1615093535.557397,97,44
1615093535.565019,43,44
1615093535.573649,19,44
1615093535.5836349,9,44
1615093535.5897632,9,44
1615093535.6012921,56,44
1615093535.610018,18,44
1615093535.610018,18,44
1615093535.610018,18,44
1615093535.610018,18,44
1615093535.645878,18,48
1615093535.657108,90,48
1615093535.666093,20,48
1615093535.674606,8,48
1615093535.6821802,-25,48
1615093535.6896791,-7,48
1615093535.6997771,-13,48
1615093535.7071328,20,48
1615093535.717262,49,48
1615093535.727243,16,48
1615093535.7346811,9,48
1615093535.7422478,68,48
1615093535.748738,48,48
1615093535.748738,48,48
1615093535.748738,48,48
1615093535.748738,48,48
1615093535.7862809,52,48
1615093535.798814,24,48
1615093535.807161,184,48
1615093535.814738,73,48
1615093535.824645,52,48
1615093535.832177,27,48
1615093535.8408918,-7,48
1615093535.849764,-18,48
1615093535.8559208,-14,48
1615093535.865938,48,48
1615093535.873455,38,48
1615093535.879838,39,48
1615093535.8921442,65,48
1615093535.898475,71,48
1615093535.908329,25,48
1615093535.918321,4,48
1615093535.925877,9,48
1615093535.932191,17,48
1615093535.9421382,39,48
1615093535.950965,2,48
1615093535.9571378,17,48
1615093535.9672372,5,48
1615093535.974654,-6,48
1615093535.984898,5,48
1615093535.994839,-38,48
1615093536.002214,-11,48
1615093536.012119,-19,48
1615093536.0196211,7,48
1615093536.0196211,7,48
1615093536.035887,10,48
1615093536.043375,151,48
1615093536.048436,131,48
1615093536.048436,131,48
1615093536.048436,131,48
1615093536.048436,131,48
1615093536.048436,131,48
1615093536.092305,1,48
1615093536.102232,91,48
1615093536.110013,48,48
1615093536.119978,-17,48
1615093536.129718,-72,48
1615093536.138433,-25,48
1615093536.147587,2,48
1615093536.154678,-14,48
1615093536.164875,-42,48
1615093536.1721878,-53,48
1615093536.182245,-60,48
1615093536.189627,-20,48
1615093536.198417,-22,48
1615093536.207444,51,48
1615093536.214813,19,48
1615093536.22368,-14,48
1615093536.232338,8,48
1615093536.238694,1,48
1615093536.2462258,71,48
1615093536.257406,60,48
1615093536.2662752,69,48
1615093536.2737331,115,48
1615093536.2837849,85,48
1615093536.291282,104,48
1615093536.301245,87,48
1615093536.311258,104,48
1615093536.318629,50,48
1615093536.327531,26,48
1615093536.334902,49,48
1615093536.3423932,50,48
1615093536.348611,16,48
1615093536.348611,16,48
1615093536.348611,16,48
1615093536.348611,16,48
1615093536.391254,26,48
1615093536.399971,116,48
1615093536.40874,44,48
1615093536.418656,-10,48
1615093536.42743,-53,48
1615093536.437557,91,48
1615093536.442301,69,48
1615093536.4536278,-12,48
1615093536.463765,3,48
1615093536.4709818,16,48
1615093536.4809651,24,48
1615093536.490883,24,48
1615093536.497151,0,48
1615093536.497151,0,48
1615093536.497151,0,48
1615093536.497151,0,48
1615093536.533411,-24,48
1615093536.542202,140,48
1615093536.550894,97,48
1615093536.5583758,57,48
1615093536.567163,54,48
1615093536.574616,50,48
1615093536.582102,12,48
1615093536.592133,-6,48
1615093536.599597,53,48
1615093536.609705,76,48
1615093536.609705,76,48
1615093536.609705,76,48
1615093536.609705,76,48
1615093536.6460311,65,61
1615093536.648603,55,61
1615093536.648603,55,61
1615093536.648603,55,61
1615093536.648603,55,61
1615093536.6887228,145,61
1615093536.6887228,145,61
1615093536.705893,180,61
1615093536.7135732,137,61
1615093536.723402,53,61
1615093536.733642,19,61
1615093536.742177,20,61
1615093536.752409,28,61
1615093536.76219,-5,61
1615093536.769693,-34,61
1615093536.78002,-8,61
1615093536.789681,-46,61
1615093536.797424,5,61
1615093536.804631,35,61
1615093536.814881,12,61
1615093536.8234072,-36,61
1615093536.831251,-35,61
1615093536.839884,-45,61
1615093536.849997,4,61
1615093536.860002,18,61
1615093536.868744,20,61
1615093536.877502,55,61
1615093536.887498,112,61
1615093536.895009,65,61
1615093536.904632,45,61
1615093536.912083,42,61
1615093536.9208388,13,61
1615093536.9283571,11,61
1615093536.939622,5,61
1615093536.947159,3,61
1615093536.947159,3,61
1615093536.947159,3,61
1615093536.947159,3,61
1615093536.947159,3,61
1615093536.988557,-4,61
1615093536.997215,106,61
1615093537.007342,64,61
1615093537.015955,54,61
1615093537.025928,19,61
1615093537.033389,3,61
1615093537.0433338,49,61
1615093537.052097,18,61
1615093537.060837,21,61
1615093537.068328,43,61
1615093537.077186,69,61
1615093537.0859241,24,61
1615093537.094639,37,61
1615093537.102155,38,61
1615093537.108325,6,61
1615093537.119589,100,61
1615093537.1270888,86,61
1615093537.134583,67,61
1615093537.144589,40,61
1615093537.152113,20,61
1615093537.162053,5,61
1615093537.168319,5,61
1615093537.1795998,72,61
1615093537.1883252,36,61
1615093537.195951,-42,61
1615093537.204909,1,61
1615093537.2136571,3,61
1615093537.2211149,9,61
1615093537.22859,32,61
1615093537.238749,70,61
1615093537.24871,73,61
1615093537.24871,73,61
1615093537.24871,73,61
1615093537.24871,73,61
1615093537.284981,39,61
1615093537.2923572,176,61
1615093537.301162,100,61
1615093537.301162,100,61
1615093537.319701,52,61
1615093537.327103,84,61
1615093537.335886,12,61
1615093537.344883,42,61
1615093537.353525,-2,61
1615093537.3623838,22,61
1615093537.369664,18,61
1615093537.3809202,54,61
1615093537.3908532,61,61
1615093537.398344,80,61
1615093537.4046001,56,61
1615093537.4145558,66,61
1615093537.4220731,-1,61
1615093537.432121,-1,61
1615093537.4395862,49,61
1615093537.44579,6,61
1615093537.4558148,-20,61
1615093537.4646158,-9,61
1615093537.4734101,-34,61
1615093537.480861,-4,61
1615093537.4910479,68,61
1615093537.498722,58,61
1615093537.505968,100,61
1615093537.517392,68,61
1615093537.524693,55,61
1615093537.533746,75,61
1615093537.541014,51,61
1615093537.547425,38,61
1615093537.547425,38,61
1615093537.547425,38,61
1615093537.547425,38,61
1615093537.5901608,49,61
1615093537.598366,205,61
1615093537.607313,129,61
1615093537.60991,59,61
1615093537.60991,59,61
1615093537.60991,59,61
1615093537.643369,41,61
1615093537.650877,163,61
1615093537.655872,144,61
1615093537.655872,144,61
1615093537.678331,106,61
1615093537.687101,20,61
1615093537.695958,-24,61
1615093537.705847,52,61
1615093537.713388,40,61
1615093537.720907,-71,61
1615093537.732113,-54,61
1615093537.7408671,1,61
1615093537.748733,-9,61
1615093537.757143,23,61
1615093537.766161,-44,61
1615093537.775861,-87,61
1615093537.783723,-21,61
1615093537.7908869,5,61
1615093537.799907,13,61
1615093537.8071449,-19,61
1615093537.8185332,-44,61
1615093537.824725,19,61
