timestamp,raw_value,attention
1615094190.56462,-130,51
1615094190.574511,-115,51
1615094190.5821178,-122,51
1615094190.593534,-52,51
1615094190.5995789,-89,51
1615094190.609566,-45,51
1615094190.619532,-12,51
1615094190.6270652,-36,51
1615094190.633593,-29,51
1615094190.633593,-29,51
1615094190.633593,-29,51
1615094190.633593,-29,51
1615094190.670769,16,51
1615094190.683279,40,51
1615094190.6907032,20,51
1615094190.6995358,24,51
1615094190.707006,-20,51
1615094190.7132301,-1,51
1615094190.7245598,-14,51
1615094190.734488,-6,51
1615094190.742044,-23,51
1615094190.75204,-4,51
1615094190.759596,27,51
1615094190.7682822,44,51
1615094190.776991,37,51
1615094190.783199,50,51
1615094190.793165,80,51
1615094190.803234,81,51
1615094190.810818,90,51
1615094190.822036,50,51
1615094190.830881,59,51
1615094190.838474,99,51
1615094190.848408,67,51
1615094190.858488,56,51
1615094190.865849,20,51
1615094190.8733199,49,51
1615094190.883328,42,51
1615094190.893635,39,51
1615094190.9007978,-18,51
1615094190.910847,23,51
1615094190.918299,51,51
1615094190.928392,87,51
1615094190.932181,114,51
1615094190.932181,114,51
1615094190.932181,114,51
1615094190.932181,114,51
1615094190.9732962,98,51
1615094190.982235,176,51
1615094190.9910882,89,51
1615094191.0011678,37,51
1615094191.009745,-27,51
1615094191.018271,13,51
1615094191.027074,88,51
1615094191.033226,124,51
1615094191.040801,121,51
1615094191.049547,147,51
1615094191.06111,109,51
1615094191.068602,68,51
1615094191.078596,76,51
1615094191.0886168,58,51
1615094191.0984929,98,51
1615094191.108345,69,51
1615094191.1158662,73,51
1615094191.1259022,9,51
1615094191.1296651,24,51
1615094191.1296651,24,51
1615094191.1296651,24,51
1615094191.1296651,24,51
1615094191.170969,8,51
1615094191.179704,134,51
1615094191.188302,102,51
1615094191.1958,44,51
1615094191.2033138,-4,51
1615094191.21331,3,51
1615094191.223284,-8,51
1615094191.230842,8,51
1615094191.233407,0,51
1615094191.233407,0,51
1615094191.233407,0,51
1615094191.233407,0,51
1615094191.277011,154,51
1615094191.28448,87,51
1615094191.292044,10,51
1615094191.301993,35,51
1615094191.3107579,36,51
1615094191.318187,39,51
1615094191.328247,129,51
1615094191.335716,48,51
1615094191.345751,39,51
1615094191.352024,26,51
1615094191.363241,34,51
1615094191.3695831,-4,51
1615094191.3794858,-30,51
1615094191.387104,-44,51
1615094191.396988,-30,51
1615094191.4046621,-17,51
1615094191.412025,7,51
1615094191.42462,10,51
1615094191.4295099,38,51
1615094191.4408152,21,51
1615094191.4469419,9,51
1615094191.4583192,19,51
1615094191.4670122,23,51
1615094191.473299,8,51
1615094191.483217,58,51
1615094191.492121,29,51
1615094191.501109,39,51
1615094191.50846,59,51
1615094191.5184782,100,51
1615094191.525934,99,51
1615094191.532131,73,51
1615094191.532131,73,51
1615094191.532131,73,51
1615094191.532131,73,51
1615094191.5710888,141,51
1615094191.5810518,155,51
1615094191.588608,128,51
1615094191.595999,81,51
1615094191.6023612,85,51
1615094191.613612,73,51
1615094191.6236212,53,51
1615094191.63238,19,51
1615094191.6373482,36,51
1615094191.648331,6,51
1615094191.6573482,50,51
1615094191.664913,-1,51
1615094191.67495,-6,51
1615094191.682369,4,51
1615094191.689847,3,51
1615094191.7010748,22,51
1615094191.709823,25,51
1615094191.721087,-14,51
1615094191.731175,17,51
1615094191.738711,6,51
1615094191.751023,42,51
1615094191.75845,73,51
1615094191.7660108,56,51
1615094191.775882,60,51
1615094191.783326,44,51
1615094191.793259,40,51
1615094191.800757,68,51
1615094191.8082979,57,51
1615094191.818293,8,51
1615094191.825801,18,51
1615094191.83198,-23,51
1615094191.83198,-23,51
