timestamp,raw_value,attention
1615776539.081315,18,54
1615776539.088984,101,54
1615776539.098746,101,54
1615776539.108848,-30,54
1615776539.116467,147,54
1615776539.1263082,118,54
1615776539.133742,48,54
1615776539.1436648,49,54
1615776539.153891,82,54
1615776539.161377,26,54
1615776539.167618,17,54
1615776539.17386,99,54
1615776539.17386,99,54
1615776539.17386,99,54
1615776539.203041,100,54
1615776539.216392,76,54
1615776539.225122,167,54
1615776539.23514,23,54
1615776539.243689,-55,54
1615776539.255133,-28,54
1615776539.262602,36,54
1615776539.272683,-1,54
1615776539.282381,-109,54
1615776539.290106,-23,54
1615776539.298611,-6,54
1615776539.306127,100,54
1615776539.316101,225,54
1615776539.323581,298,54
1615776539.33109,365,54
1615776539.341161,341,54
1615776539.351251,392,54
1615776539.358861,339,54
1615776539.3651469,224,54
1615776539.3651469,224,54
1615776539.3651469,224,54
1615776539.3651469,224,54
1615776539.402452,208,54
1615776539.411212,-73,54
1615776539.416172,-216,54
1615776539.427377,-529,54
1615776539.434855,-417,54
1615776539.442353,-289,54
1615776539.4498482,-221,54
1615776539.4598851,-167,54
1615776539.4673321,-253,54
1615776539.477399,-154,54
1615776539.486397,-51,54
1615776539.497569,-68,54
1615776539.505143,22,54
1615776539.515214,-66,54
1615776539.5227299,-29,54
1615776539.53268,-49,54
1615776539.542571,41,54
1615776539.5450969,89,54
1615776539.5450969,89,54
1615776539.5450969,89,54
1615776539.5450969,89,54
1615776539.5840142,157,54
1615776539.5937002,204,54
1615776539.6026108,37,54
1615776539.612509,-67,54
1615776539.620235,-148,54
1615776539.630105,-153,54
1615776539.637604,-13,54
1615776539.6476002,69,54
1615776539.6562529,53,54
1615776539.666087,104,54
1615776539.674826,80,54
1615776539.682365,29,54
1615776539.68491,48,54
1615776539.701487,73,54
1615776539.7088032,304,54
1615776539.716337,226,54
1615776539.726469,54,54
1615776539.733713,33,54
1615776539.7448928,57,54
1615776539.7514932,27,54
1615776539.7611678,25,54
1615776539.771132,57,54
1615776539.7786188,65,54
1615776539.786143,89,54
1615776539.7961102,-3,54
1615776539.803593,54,54
1615776539.8135822,-109,54
1615776539.8135822,-109,54
1615776539.8135822,-109,54
1615776539.8385558,-185,54
1615776539.844806,88,54
1615776539.844806,88,54
1615776539.844806,88,54
1615776539.844806,88,54
1615776539.885477,129,54
1615776539.893642,27,54
1615776539.903657,-19,54
1615776539.9112651,-4,54
1615776539.919916,17,54
1615776539.9286242,-18,54
1615776539.936152,7,54
1615776539.944885,-4,54
1615776539.9523442,45,54
1615776539.961122,42,54
1615776539.969891,98,54
1615776539.977401,89,54
1615776539.9835992,54,54
1615776539.993602,58,56
1615776539.999844,109,56
1615776540.009872,37,56
1615776540.019867,36,56
1615776540.0261388,69,56
1615776540.036384,65,56
1615776540.043743,67,56
1615776540.0527391,152,56
1615776540.0599449,148,56
1615776540.0673752,97,56
1615776540.077333,115,56
1615776540.086106,90,56
1615776540.0936031,104,56
1615776540.102311,121,56
1615776540.1124039,108,56
1615776540.119871,88,56
1615776540.129895,102,56
1615776540.1400452,119,56
1615776540.1437461,124,56
1615776540.1437461,124,56
1615776540.1437461,124,56
1615776540.1437461,124,56
1615776540.1826339,43,56
1615776540.192637,77,56
1615776540.200027,-6,56
1615776540.209028,-108,56
1615776540.2176142,-122,56
1615776540.223986,-123,56
1615776540.234009,5,56
1615776540.241486,61,56
1615776540.251509,97,56
1615776540.258858,170,56
1615776540.266099,50,56
1615776540.2786582,138,56
1615776540.286168,165,56
1615776540.293746,249,56
1615776540.304846,252,56
1615776540.308585,262,56
1615776540.319933,400,56
1615776540.3286788,452,56
1615776540.334859,460,56
1615776540.344866,378,56
1615776540.355246,214,56
1615776540.365115,118,56
1615776540.375251,-49,56
1615776540.382478,-152,56
1615776540.391378,-182,56
1615776540.401083,-305,56
1615776540.409889,-293,56
1615776540.417304,-331,56
1615776540.425144,-337,56
1615776540.427886,-343,56
1615776540.445481,-170,56
1615776540.452471,-134,56
1615776540.4598489,-337,56
1615776540.4701178,-103,56
1615776540.477489,-81,56
1615776540.487675,-122,56
1615776540.497771,-105,56
1615776540.505256,10,56
1615776540.512647,-37,56
1615776540.5213811,-92,56
1615776540.532754,-61,56
1615776540.540122,-20,56
1615776540.5500128,92,56
1615776540.56012,26,56
1615776540.567741,-38,56
1615776540.575079,121,56
1615776540.585032,38,56
1615776540.588923,-8,56
1615776540.588923,-8,56
1615776540.588923,-8,56
1615776540.588923,-8,56
1615776540.588923,-8,56
1615776540.588923,-8,56
1615776540.6502678,-20,56
1615776540.660209,235,56
1615776540.66735,38,56
1615776540.6761081,24,56
1615776540.681097,5,56
1615776540.69373,117,56
1615776540.7001312,116,56
1615776540.710067,20,56
1615776540.716547,-4,56
1615776540.723992,129,56
1615776540.73377,163,56
1615776540.741387,201,56
1615776540.743946,194,56
1615776540.743946,194,56
1615776540.743946,194,56
1615776540.743946,194,56
1615776540.784935,155,56
1615776540.7948859,44,56
1615776540.803637,-33,56
1615776540.810028,-4,56
1615776540.8198369,-12,56
1615776540.827412,39,56
1615776540.83483,13,56
1615776540.8449159,99,56
1615776540.8548758,146,56
1615776540.862422,108,56
1615776540.8698602,100,56
1615776540.881114,43,56
1615776540.888603,10,56
1615776540.89737,52,56
1615776540.9061708,23,56
1615776540.91487,82,56
1615776540.921152,41,56
1615776540.932393,86,56
1615776540.938748,117,56
1615776540.9486358,122,56
1615776540.956182,59,56
1615776540.9648662,85,56
1615776540.9648662,85,56
1615776540.9824178,39,56
1615776540.987363,178,56
1615776541.0023549,54,57
1615776541.009949,27,57
1615776541.018595,35,57
1615776541.026247,98,57
1615776541.0361128,27,57
1615776541.043838,23,57
1615776541.043838,23,57
1615776541.043838,23,57
1615776541.043838,23,57
1615776541.0801659,34,57
1615776541.0851278,-29,57
1615776541.0937018,86,57
1615776541.0937018,86,57
1615776541.117663,69,57
1615776541.126406,131,57
1615776541.136529,7,57
1615776541.142602,2,57
1615776541.152757,-52,57
1615776541.161263,42,57
1615776541.168894,27,57
1615776541.180181,8,57
1615776541.188889,55,57
1615776541.1962829,28,57
1615776541.206532,58,57
1615776541.2137558,50,57
1615776541.22385,51,57
1615776541.2340422,7,57
1615776541.242748,59,57
1615776541.251387,132,57
1615776541.259022,137,57
1615776541.267643,99,57
1615776541.2752728,70,57
1615776541.282669,7,57
1615776541.2928011,-5,57
1615776541.303618,40,57
1615776541.31367,75,57
1615776541.321156,16,57
1615776541.32861,12,57
1615776541.337423,36,57
1615776541.344838,76,57
1615776541.344838,76,57
1615776541.344838,76,57
1615776541.344838,76,57
1615776541.344838,76,57
1615776541.3849401,58,57
1615776541.3961442,68,57
1615776541.4023979,49,57
1615776541.413696,42,57
1615776541.423682,-21,57
1615776541.432363,37,57
1615776541.441206,-5,57
1615776541.4512079,-6,57
1615776541.458705,87,57
1615776541.467341,37,57
1615776541.476191,17,57
1615776541.483704,54,57
1615776541.4911308,48,57
1615776541.501154,87,57
1615776541.508585,74,57
1615776541.5185852,34,57
1615776541.527728,52,57
1615776541.535073,55,57
1615776541.54397,83,57
1615776541.552617,75,57
1615776541.5612319,59,57
1615776541.567656,84,57
1615776541.5777862,77,57
1615776541.587636,53,57
1615776541.596212,66,57
1615776541.60275,55,57
1615776541.615133,114,57
1615776541.6240242,107,57
1615776541.630017,51,57
1615776541.64031,28,57
1615776541.643845,32,57
1615776541.643845,32,57
1615776541.643845,32,57
1615776541.643845,32,57
1615776541.6851368,124,57
1615776541.6851368,124,57
1615776541.7012758,82,57
1615776541.711288,0,57
1615776541.720289,-102,57
1615776541.730208,-86,57
1615776541.737795,-18,57
1615776541.747495,-20,57
1615776541.7575428,-22,57
1615776541.764917,-76,57
1615776541.7724001,-18,57
1615776541.782391,42,57
1615776541.788626,35,57
1615776541.801225,-4,57
1615776541.808605,10,57
1615776541.817364,5,57
1615776541.8274,53,57
1615776541.833631,48,57
1615776541.841107,103,57
1615776541.8474429,181,57
1615776541.8474429,181,57
1615776541.8474429,181,57
1615776541.87625,209,57
1615776541.8848908,389,57
1615776541.893666,426,57
1615776541.903643,406,57
1615776541.911197,355,57
1615776541.918638,251,57
1615776541.9274461,203,57
1615776541.936181,23,57
1615776541.9424682,-38,57
1615776541.944834,-68,57
1615776541.944834,-68,57
1615776541.944834,-68,57
1615776541.944834,-68,57
1615776541.983658,-115,57
1615776541.993622,-279,60
1615776542.00243,-371,60
1615776542.008606,-405,60
1615776542.0175118,-404,60
1615776542.0274482,-315,60
1615776542.034985,-210,60
1615776542.044041,-164,60
1615776542.050143,-209,60
1615776542.0602722,-91,60
1615776542.067779,-8,60
1615776542.077617,-36,60
1615776542.086407,28,60
1615776542.092615,65,60
1615776542.102753,11,60
1615776542.113934,91,60
1615776542.121546,53,60
1615776542.130065,53,60
1615776542.137648,27,60
1615776542.147646,71,60
1615776542.157781,88,60
1615776542.1650481,149,60
1615776542.174038,130,60
1615776542.185162,153,60
1615776542.1928031,48,60
1615776542.202646,69,60
1615776542.210177,112,60
1615776542.220043,115,60
1615776542.228758,91,60
1615776542.237658,69,60
1615776542.244124,26,60
1615776542.244124,26,60
1615776542.244124,26,60
1615776542.244124,26,60
1615776542.284954,71,60
1615776542.293621,160,60
1615776542.302676,66,60
1615776542.302676,66,60
1615776542.3199842,44,60
1615776542.326334,73,60
1615776542.337346,-13,60
1615776542.344932,-17,60
1615776542.3536582,-52,60
1615776542.362478,57,60
1615776542.3727958,16,60
1615776542.374006,50,60
1615776542.374006,50,60
1615776542.398905,65,60
1615776542.4062982,155,60
1615776542.4164531,-25,60
1615776542.4252942,-53,60
1615776542.435145,-6,60
1615776542.442643,-37,60
1615776542.45265,-40,60
1615776542.460172,-39,60
1615776542.4664052,-67,60
1615776542.477737,-23,60
1615776542.485167,-66,60
1615776542.4939451,-66,60
1615776542.498677,16,60
1615776542.5115259,20,60
1615776542.516412,74,60
1615776542.526614,66,60
1615776542.5365329,55,60
1615776542.544076,136,60
1615776542.544076,136,60
1615776542.544076,136,60
1615776542.544076,136,60
1615776542.581397,36,60
1615776542.590406,133,60
1615776542.5976808,-5,60
1615776542.606409,-13,60
1615776542.615158,-22,60
1615776542.6227388,16,60
1615776542.633937,21,60
1615776542.642785,-29,60
1615776542.650295,-3,60
1615776542.6624892,60,60
1615776542.671145,-54,60
1615776542.678642,16,60
1615776542.687374,82,60
1615776542.696191,99,60
1615776542.705159,76,60
1615776542.7138739,66,60
1615776542.7227771,36,60
1615776542.731327,56,60
1615776542.740335,332,60
1615776542.7515662,316,60
1615776542.759022,434,60
1615776542.768713,503,60
1615776542.77875,454,60
1615776542.7849011,487,60
1615776542.7936819,373,60
1615776542.802399,274,60
1615776542.809916,186,60
1615776542.819912,54,60
1615776542.8299258,-52,60
1615776542.8373811,-184,60
1615776542.845032,-226,60
1615776542.845032,-226,60
1615776542.845032,-226,60
1615776542.845032,-226,60
1615776542.885233,-163,60
1615776542.893645,-243,60
1615776542.901162,-254,60
1615776542.9113631,-188,60
1615776542.918643,-219,60
1615776542.924884,-156,60
1615776542.927973,-161,60
1615776542.9438772,-138,60
1615776542.951169,-40,60
1615776542.958698,-124,60
1615776542.968645,-119,60
1615776542.9775832,-82,60
1615776542.983671,-26,60
1615776542.993642,-19,40
1615776543.001177,16,40
1615776543.009879,88,40
1615776543.014942,90,40
1615776543.027499,91,40
1615776543.033668,92,40
1615776543.043966,64,40
1615776543.0525298,170,40
1615776543.060297,140,40
1615776543.070271,165,40
1615776543.077826,134,40
1615776543.084957,153,40
1615776543.088694,168,40
1615776543.088694,168,40
1615776543.088694,168,40
1615776543.120276,138,40
1615776543.1294742,208,40
1615776543.1377962,60,40
1615776543.145238,16,40
1615776543.145238,16,40
1615776543.145238,16,40
1615776543.145238,16,40
1615776543.186228,107,40
1615776543.1939158,148,40
1615776543.2025878,75,40
1615776543.210294,86,40
1615776543.220053,197,40
1615776543.227795,136,40
1615776543.233972,155,40
1615776543.243871,138,40
1615776543.2515311,141,40
1615776543.258872,119,40
1615776543.2687979,98,40
1615776543.278914,145,40
1615776543.288856,114,40
1615776543.2976031,122,40
1615776543.3036768,112,40
1615776543.313649,72,40
1615776543.3212302,-25,40
1615776543.329946,-27,40
1615776543.3374,-86,40
1615776543.346257,-198,40
1615776543.352504,-181,40
1615776543.362657,-67,40
1615776543.370278,-68,40
1615776543.380037,-46,40
1615776543.3876648,-81,40
1615776543.39746,-133,40
1615776543.406178,-5,40
1615776543.411156,42,40
1615776543.4161658,113,40
1615776543.4161658,113,40
1615776543.4161658,113,40
1615776543.4161658,113,40
1615776543.4161658,113,40
1615776543.4161658,113,40
1615776543.4161658,113,40
1615776543.482657,129,40
1615776543.493921,-62,40
1615776543.5027242,-155,40
1615776543.511428,-132,40
1615776543.518831,-94,40
1615776543.52531,-59,40
1615776543.52531,-59,40
1615776543.542739,-28,40
1615776543.552908,3,40
1615776543.552908,3,40
1615776543.572665,105,40
1615776543.581409,-1,40
1615776543.592767,-20,40
1615776543.601366,-86,40
1615776543.609065,18,40
1615776543.61642,74,40
1615776543.624056,19,40
1615776543.633812,70,40
1615776543.6439302,98,40
1615776543.651444,52,40
1615776543.651444,52,40
1615776543.651444,52,40
1615776543.681129,64,40
1615776543.688716,167,40
1615776543.696169,123,40
1615776543.706217,-61,40
1615776543.70997,-19,40
1615776543.723961,37,40
1615776543.731235,-19,40
1615776543.740179,34,40
1615776543.745188,86,40
1615776543.745188,86,40
1615776543.745188,86,40
1615776543.745188,86,40
1615776543.7861938,80,40
1615776543.793698,122,40
1615776543.802378,10,40
1615776543.809938,-2,40
1615776543.819922,-41,40
1615776543.827403,-92,40
1615776543.838645,-12,40
1615776543.8450618,160,40
1615776543.854891,243,40
1615776543.864955,163,40
1615776543.872441,45,40
1615776543.8800042,17,40
1615776543.888674,35,40
1615776543.897386,69,40
1615776543.907371,77,40
1615776543.918658,-7,40
1615776543.9249191,19,40
1615776543.932419,34,40
1615776543.94505,6,40
1615776543.952399,-50,40
1615776543.9624991,-8,40
1615776543.969888,37,40
1615776543.977382,35,40
1615776543.9861782,88,40
1615776543.996159,76,40
1615776544.003663,90,40
1615776544.0124428,42,40
1615776544.0224938,57,40
1615776544.02996,58,40
1615776544.0403368,39,40
1615776544.0450969,74,40
1615776544.0450969,74,40
1615776544.0450969,74,40
1615776544.0450969,74,40
1615776544.084058,23,40
1615776544.092693,80,40
1615776544.101575,-91,40
1615776544.108938,-34,40
1615776544.118964,18,40
1615776544.1264231,-7,40
1615776544.1365209,-17,40
1615776544.1439629,68,40
1615776544.15144,24,40
1615776544.161551,-5,40
1615776544.16904,24,40
1615776544.178123,6,40
1615776544.178123,6,40
1615776544.194067,35,40
1615776544.203818,81,40
1615776544.213822,-27,40
1615776544.2214432,-42,40
