timestamp,raw_value,attention
1615775871.9308212,185,41
1615775871.93843,108,41
1615775871.94861,105,41
1615775871.956089,33,41
1615775871.967361,-22,41
1615775871.973414,-65,41
1615775871.984826,135,41
1615775871.991157,155,41
1615775872.001264,-3,43
1615775872.008356,134,43
1615775872.0187159,-9,43
1615775872.0283651,83,43
1615775872.0322502,107,43
1615775872.0322502,107,43
1615775872.0322502,107,43
1615775872.0322502,107,43
1615775872.0322502,107,43
1615775872.0798552,12,43
1615775872.0884259,69,43
1615775872.09744,4,43
1615775872.103498,-8,43
1615775872.113358,-34,43
1615775872.1245718,-23,43
1615775872.134593,-4,43
1615775872.1408389,-54,43
1615775872.1511092,42,43
1615775872.1608388,36,43
1615775872.1682718,20,43
1615775872.1783118,80,43
1615775872.1859012,87,43
1615775872.1920938,6,43
1615775872.199564,-54,43
1615775872.209557,-11,43
1615775872.217232,48,43
1615775872.22592,137,43
1615775872.23622,83,43
1615775872.2437649,-14,43
1615775872.252456,92,43
1615775872.258455,33,43
1615775872.268708,27,43
1615775872.2760909,21,43
1615775872.2837021,60,43
1615775872.2837021,60,43
1615775872.2837021,60,43
1615775872.313706,21,43
1615775872.322043,275,43
1615775872.329679,-25,43
1615775872.3348072,-71,43
1615775872.3348072,-71,43
1615775872.3348072,-71,43
1615775872.3348072,-71,43
1615775872.3723981,-43,43
1615775872.381078,169,43
1615775872.38962,16,43
1615775872.397441,5,43
1615775872.4074938,6,43
1615775872.4187,9,43
1615775872.4273002,-50,43
1615775872.436218,74,43
1615775872.444952,17,43
1615775872.453747,37,43
1615775872.459834,116,43
1615775872.469963,88,43
1615775872.479935,149,43
1615775872.487371,92,43
1615775872.497293,80,43
1615775872.5046191,99,43
1615775872.515786,114,43
1615775872.524547,123,43
1615775872.5349572,22,43
1615775872.539831,52,43
1615775872.546456,25,43
1615775872.559941,6,43
1615775872.5673332,52,43
1615775872.577294,-24,43
1615775872.584957,-49,43
1615775872.596128,70,43
1615775872.6024451,-45,43
1615775872.608453,-4,43
1615775872.6201441,12,43
1615775872.625867,54,43
1615775872.633507,41,43
1615775872.633507,41,43
1615775872.633507,41,43
1615775872.633507,41,43
1615775872.672097,61,43
1615775872.67461,66,43
1615775872.688534,-21,43
1615775872.697047,0,43
1615775872.7033632,-99,43
1615775872.712089,-67,43
1615775872.7220821,-58,43
1615775872.729555,7,43
1615775872.738484,69,43
1615775872.747076,2,43
1615775872.754712,-41,43
1615775872.7633228,-39,43
1615775872.772089,21,43
1615775872.779562,84,43
1615775872.78847,170,43
1615775872.795839,200,43
1615775872.799562,208,43
1615775872.799562,208,43
1615775872.821012,122,43
1615775872.833316,100,43
1615775872.840805,54,43
1615775872.848348,50,43
1615775872.855802,-2,43
1615775872.8633,90,43
1615775872.873392,18,43
1615775872.883338,29,43
1615775872.8911622,90,43
1615775872.901136,91,43
1615775872.911077,160,43
1615775872.92132,184,43
1615775872.9222221,140,43
1615775872.9222221,140,43
1615775872.9222221,140,43
1615775872.9222221,140,43
1615775872.9222221,140,43
1615775872.9222221,140,43
1615775872.982398,82,43
1615775872.987377,169,43
1615775872.9986072,33,38
1615775873.0071611,-29,38
1615775873.0160902,26,38
1615775873.0222201,-133,38
1615775873.034826,-2,38
1615775873.042337,5,38
1615775873.050824,-21,38
1615775873.059807,42,38
1615775873.0674691,77,38
1615775873.078593,64,38
1615775873.084954,-33,38
1615775873.094903,25,38
1615775873.1049972,-24,38
1615775873.113597,58,38
1615775873.122208,113,38
1615775873.1299782,21,38
1615775873.140877,26,38
1615775873.149842,-34,38
1615775873.157176,-8,38
1615775873.168385,24,38
1615775873.174595,200,38
1615775873.184663,73,38
1615775873.1933372,100,38
1615775873.203346,261,38
1615775873.2110348,120,38
1615775873.218754,116,38
1615775873.227226,149,38
1615775873.234972,21,38
1615775873.234972,21,38
1615775873.234972,21,38
1615775873.234972,21,38
1615775873.2722838,-54,38
1615775873.281143,-134,38
1615775873.288482,-211,38
1615775873.2964249,-199,38
1615775873.2964249,-199,38
1615775873.316103,-56,38
1615775873.32483,-180,38
1615775873.334968,-66,38
1615775873.342365,-11,38
1615775873.351358,-19,38
1615775873.3583648,-60,38
1615775873.366004,-60,38
1615775873.3762639,26,38
1615775873.383712,-60,38
1615775873.393673,-34,38
1615775873.401164,39,38
1615775873.4123561,-104,38
1615775873.4199622,-38,38
1615775873.42861,34,38
1615775873.436119,21,38
1615775873.446219,140,38
1615775873.4549792,211,38
1615775873.464833,194,38
1615775873.474797,97,38
1615775873.484844,149,38
1615775873.494879,228,38
1615775873.501052,210,38
1615775873.512053,195,38
1615775873.522062,186,38
1615775873.529552,146,38
1615775873.534529,82,38
1615775873.534529,82,38
1615775873.534529,82,38
1615775873.534529,82,38
1615775873.534529,82,38
1615775873.534529,82,38
1615775873.5921762,88,38
1615775873.5984771,72,38
1615775873.609699,23,38
1615775873.618784,-245,38
1615775873.628396,-199,38
1615775873.6371891,-106,38
1615775873.6471019,-19,38
1615775873.654793,-45,38
1615775873.6633348,-21,38
1615775873.672128,-65,38
1615775873.678366,11,38
1615775873.685819,48,38
1615775873.6958091,69,38
1615775873.703346,87,38
1615775873.713333,96,38
1615775873.720972,88,38
1615775873.730895,-5,38
1615775873.739708,171,38
1615775873.748375,-1,38
1615775873.754581,-14,38
1615775873.764576,123,38
1615775873.772074,35,38
1615775873.779583,61,38
1615775873.7870588,147,38
1615775873.797049,100,38
1615775873.8070989,100,38
1615775873.814555,90,38
1615775873.823332,59,38
1615775873.832157,112,38
1615775873.834569,113,38
1615775873.834569,113,38
1615775873.834569,113,38
1615775873.834569,113,38
1615775873.872318,150,38
1615775873.879842,44,38
1615775873.889855,0,38
1615775873.900016,0,38
1615775873.9084642,-50,38
1615775873.9147031,-74,38
1615775873.924864,-99,38
1615775873.932349,-24,38
1615775873.942178,-59,38
1615775873.95228,-4,38
1615775873.962388,41,38
1615775873.9711301,-14,38
1615775873.97751,101,38
1615775873.987375,133,38
1615775873.9973881,75,48
1615775874.00467,132,48
1615775874.012352,92,48
1615775874.019852,87,48
1615775874.029637,35,48
1615775874.036274,58,48
1615775874.0465438,136,48
1615775874.0465438,136,48
1615775874.064221,49,48
1615775874.07106,58,48
1615775874.0798469,34,48
1615775874.0798469,34,48
1615775874.097247,-13,48
1615775874.1049678,426,48
1615775874.113431,280,48
1615775874.119618,297,48
1615775874.129646,279,48
1615775874.1334,332,48
1615775874.1334,332,48
1615775874.1334,332,48
1615775874.1334,332,48
1615775874.1721752,297,48
1615775874.179625,5,48
1615775874.189613,-358,48
1615775874.19581,-329,48
1615775874.2033348,-294,48
1615775874.2033348,-294,48
1615775874.2033348,-294,48
1615775874.229856,-299,48
1615775874.238524,-227,48
1615775874.247369,-307,48
1615775874.254789,-267,48
1615775874.2648902,-197,48
1615775874.272228,-200,48
1615775874.279967,-196,48
1615775874.289707,-145,48
1615775874.297374,-42,48
1615775874.306135,-56,48
1615775874.313657,-102,48
1615775874.3211331,-45,48
1615775874.331119,-7,48
1615775874.339888,9,48
1615775874.3499892,136,48
1615775874.356082,186,48
1615775874.3662348,40,48
1615775874.3759518,92,48
1615775874.3846269,120,48
1615775874.390835,106,48
1615775874.394631,115,48
1615775874.394631,115,48
1615775874.394631,115,48
1615775874.427456,75,48
1615775874.4359622,188,48
1615775874.4359622,188,48
1615775874.4359622,188,48
1615775874.4359622,188,48
1615775874.472406,134,48
1615775874.482335,-23,48
1615775874.488651,-101,48
1615775874.498623,-61,48
1615775874.508367,-18,48
1615775874.515837,97,48
1615775874.525815,48,48
1615775874.534858,5,48
1615775874.543413,116,48
1615775874.553735,72,48
1615775874.5635068,167,48
1615775874.5734699,61,48
1615775874.581135,37,48
1615775874.5909572,133,48
1615775874.598609,198,48
1615775874.605979,114,48
1615775874.61624,135,48
1615775874.622536,97,48
1615775874.6333451,66,48
1615775874.643351,36,48
1615775874.650951,87,48
1615775874.6608992,6,48
1615775874.67093,65,48
1615775874.6783428,83,48
1615775874.685836,104,48
1615775874.694578,152,48
1615775874.703369,50,48
1615775874.712057,38,48
1615775874.723375,160,48
1615775874.730873,65,48
1615775874.734574,113,48
1615775874.734574,113,48
1615775874.734574,113,48
1615775874.734574,113,48
1615775874.7709389,33,48
1615775874.7796102,73,48
1615775874.7871082,-70,48
1615775874.796157,-20,48
1615775874.796157,-20,48
1615775874.8136718,137,48
1615775874.820849,109,48
1615775874.82845,-28,48
1615775874.838453,-105,48
1615775874.8434072,-42,48
1615775874.8434072,-42,48
1615775874.8434072,-42,48
1615775874.8747468,150,48
1615775874.8823712,33,48
1615775874.89091,-69,48
1615775874.8986912,-5,48
1615775874.9072168,3,48
1615775874.917184,55,48
1615775874.924669,41,48
1615775874.934998,77,48
1615775874.942507,52,48
1615775874.952481,54,48
1615775874.959625,36,48
1615775874.969642,253,48
1615775874.979844,240,48
1615775874.98749,232,48
1615775874.997484,242,47
1615775875.004679,67,47
1615775875.014751,155,47
1615775875.022275,-58,47
1615775875.0296938,-14,47
1615775875.0347142,45,47
1615775875.0347142,45,47
1615775875.0347142,45,47
1615775875.0347142,45,47
1615775875.07476,216,47
1615775875.079844,-14,47
