timestamp,raw_value,attention
1615776434.0133262,-88,54
1615776434.0208142,-190,54
1615776434.025825,-283,54
1615776434.037143,-94,54
1615776434.043502,-51,54
1615776434.0549161,-20,54
1615776434.060797,-55,54
1615776434.072128,-5,54
1615776434.0798662,16,54
1615776434.0895889,-11,54
1615776434.097229,35,54
1615776434.107153,69,54
1615776434.1148531,76,54
1615776434.123349,147,54
1615776434.132094,41,54
1615776434.1421068,21,54
1615776434.15236,-109,54
1615776434.159578,121,54
1615776434.1698701,17,54
1615776434.177218,26,54
1615776434.187404,123,54
1615776434.196005,129,54
1615776434.203588,44,54
1615776434.211999,101,54
1615776434.211999,101,54
1615776434.211999,101,54
1615776434.211999,101,54
1615776434.211999,101,54
1615776434.211999,101,54
1615776434.211999,101,54
1615776434.211999,101,54
1615776434.284502,55,54
1615776434.29454,-19,54
1615776434.302002,-125,54
1615776434.311978,-135,54
1615776434.31826,-152,54
1615776434.328305,-59,54
1615776434.3382258,-273,54
1615776434.3457458,-279,54
1615776434.353289,-52,54
1615776434.360756,-105,54
1615776434.370861,-87,54
1615776434.3782551,-124,54
1615776434.38837,-21,54
1615776434.394428,-56,54
1615776434.40446,70,54
1615776434.405719,84,54
1615776434.405719,84,54
1615776434.405719,84,54
1615776434.405719,84,54
1615776434.447567,107,54
1615776434.447567,107,54
1615776434.466568,386,54
1615776434.474617,308,54
1615776434.483646,146,54
1615776434.492248,153,54
1615776434.499784,33,54
1615776434.511177,32,54
1615776434.5199401,-135,54
1615776434.52836,-19,54
1615776434.537374,-75,54
1615776434.544886,-139,54
1615776434.554812,-70,54
1615776434.562175,-94,54
1615776434.572153,-69,54
1615776434.579874,-1,54
1615776434.5923252,-53,54
1615776434.599724,-51,54
1615776434.6071,-74,54
1615776434.6071,-74,54
1615776434.6071,-74,54
1615776434.6071,-74,54
1615776434.644685,-55,54
1615776434.653771,211,54
1615776434.660789,-46,54
1615776434.669591,-179,54
1615776434.679498,-121,54
1615776434.687265,-119,54
1615776434.6969888,-69,54
1615776434.704492,48,54
1615776434.712079,-34,54
1615776434.721992,-78,54
1615776434.721992,-78,54
1615776434.738365,-103,54
1615776434.747075,226,54
1615776434.757216,-41,54
1615776434.764512,-34,54
1615776434.770863,-17,54
1615776434.780722,-51,54
1615776434.788311,-87,54
1615776434.798246,1,54
1615776434.8045042,124,54
1615776434.814502,115,54
1615776434.820788,-33,54
1615776434.82944,154,54
1615776434.840819,-53,54
1615776434.8420742,-75,54
1615776434.8420742,-75,54
1615776434.8420742,-75,54
1615776434.8420742,-75,54
1615776434.8420742,-75,54
1615776434.8420742,-75,54
1615776434.8420742,-75,54
1615776434.905804,-13,54
1615776434.9145322,170,54
1615776434.923344,-130,54
1615776434.9336379,-97,54
1615776434.9410439,-49,54
1615776434.950847,-185,54
1615776434.96115,-24,54
1615776434.968308,105,54
1615776434.978347,53,54
1615776434.987369,152,54
1615776434.997408,139,35
1615776435.0057971,125,35
1615776435.017208,231,35
1615776435.02332,274,35
1615776435.0310059,237,35
1615776435.0408268,248,35
1615776435.048515,234,35
1615776435.0585449,217,35
1615776435.068532,123,35
1615776435.0773451,-12,35
1615776435.0860102,76,35
1615776435.0935218,214,35
1615776435.1024058,391,35
1615776435.111019,555,35
1615776435.117121,644,35
1615776435.127397,576,35
1615776435.1349041,532,35
1615776435.142122,553,35
1615776435.142122,553,35
1615776435.142122,553,35
1615776435.142122,553,35
1615776435.142122,553,35
1615776435.184879,353,35
1615776435.194759,-363,35
1615776435.203572,-446,35
1615776435.2110121,-455,35
1615776435.221177,-406,35
1615776435.228294,-220,35
1615776435.238301,-286,35
1615776435.2457778,-285,35
1615776435.253286,-284,35
1615776435.263268,-248,35
1615776435.270834,-158,35
1615776435.2824051,-56,35
1615776435.2886631,169,35
1615776435.298557,18,35
1615776435.304652,25,35
1615776435.314643,12,35
1615776435.324607,-108,35
1615776435.333537,-42,35
1615776435.343369,-38,35
1615776435.3523998,40,35
1615776435.362197,35,35
1615776435.3711429,76,35
1615776435.379793,54,35
1615776435.3884711,18,35
1615776435.395782,-22,35
1615776435.405751,29,35
1615776435.415773,51,35
1615776435.423351,52,35
1615776435.430775,-27,35
1615776435.439531,-85,35
1615776435.4469981,4,35
1615776435.4469981,4,35
1615776435.4469981,4,35
1615776435.4469981,4,35
1615776435.4811451,-21,35
1615776435.4903119,218,35
1615776435.4920928,202,35
1615776435.4920928,202,35
1615776435.517376,49,35
1615776435.52581,-20,35
1615776435.5350459,-152,35
1615776435.546176,-66,35
1615776435.552499,7,35
1615776435.552499,7,35
1615776435.570987,74,35
1615776435.5811741,116,35
1615776435.589765,-69,35
1615776435.59726,-102,35
1615776435.607105,-172,35
1615776435.6171021,-182,35
1615776435.6246421,-142,35
1615776435.634898,-136,35
1615776435.6422908,-36,35
1615776435.649764,-125,35
1615776435.6583412,-129,35
1615776435.666027,71,35
1615776435.6770298,44,35
1615776435.685807,44,35
1615776435.693323,130,35
1615776435.700759,34,35
1615776435.710836,54,35
1615776435.71952,81,35
1615776435.728236,170,35
1615776435.735771,194,35
1615776435.743209,220,35
1615776435.743209,220,35
1615776435.743209,220,35
1615776435.743209,220,35
1615776435.7807271,115,35
1615776435.7870588,218,35
1615776435.798251,-21,35
1615776435.8058088,3,35
1615776435.815841,129,35
1615776435.823359,113,35
1615776435.833228,105,35
1615776435.84199,187,35
1615776435.849484,118,35
1615776435.85952,81,35
1615776435.8669891,115,35
1615776435.87452,27,35
1615776435.884537,77,35
1615776435.892017,150,35
1615776435.900765,134,35
1615776435.9082549,118,35
1615776435.916063,151,35
1615776435.926055,129,35
1615776435.933592,160,35
1615776435.943529,136,35
1615776435.951158,148,35
1615776435.960981,86,35
1615776435.968661,118,35
1615776435.9783769,105,35
1615776435.985955,25,35
1615776435.985955,25,35
1615776435.985955,25,35
1615776435.985955,25,35
1615776436.0196228,17,34
1615776436.026981,156,34
1615776436.0370839,37,34
1615776436.043641,49,34
1615776436.043641,49,34
1615776436.043641,49,34
1615776436.043641,49,34
1615776436.079938,3,34
1615776436.0885491,125,34
1615776436.096029,171,34
1615776436.107092,-93,34
1615776436.117065,35,34
1615776436.127139,1,34
1615776436.132141,48,34
1615776436.132141,48,34
1615776436.132141,48,34
1615776436.1625211,203,34
1615776436.171154,86,34
1615776436.179611,-87,34
1615776436.1895869,-145,34
1615776436.197171,-106,34
1615776436.2049448,-59,34
1615776436.214568,0,34
1615776436.2221398,25,34
1615776436.229501,-4,34
1615776436.238234,39,34
1615776436.2457228,74,34
1615776436.253315,98,34
1615776436.260777,76,34
1615776436.270838,-3,34
1615776436.279758,71,34
1615776436.2874088,105,34
1615776436.296044,113,34
1615776436.307295,98,34
1615776436.3160388,117,34
1615776436.324617,162,34
1615776436.333486,60,34
1615776436.342127,34,34
1615776436.342127,34,34
1615776436.342127,34,34
1615776436.342127,34,34
1615776436.378415,24,34
1615776436.386896,113,34
1615776436.3947468,-81,34
1615776436.402006,-109,34
1615776436.41076,-33,34
1615776436.4182348,-55,34
1615776436.426979,-13,34
1615776436.435831,9,34
1615776436.444557,4,34
1615776436.45332,-7,34
1615776436.461967,23,34
1615776436.470741,55,34
1615776436.475761,93,34
1615776436.4882329,89,34
1615776436.4957209,166,34
1615776436.5058079,243,34
1615776436.513267,256,34
1615776436.5210319,321,34
1615776436.5299242,409,34
1615776436.538646,339,34
1615776436.548535,401,34
1615776436.554852,376,34
1615776436.56465,185,34
1615776436.5724428,52,34
1615776436.579681,38,34
1615776436.58988,-72,34
1615776436.601024,-231,34
1615776436.6098208,-305,34
1615776436.617173,-293,34
1615776436.627202,-182,34
1615776436.634919,-189,34
1615776436.642139,-180,34
1615776436.642139,-180,34
1615776436.642139,-180,34
1615776436.642139,-180,34
1615776436.642139,-180,34
1615776436.6848269,-181,34
1615776436.6995468,-164,34
1615776436.70826,-168,34
1615776436.715761,-233,34
1615776436.724554,-245,34
1615776436.732033,-218,34
1615776436.742087,-133,34
1615776436.7494988,-150,34
1615776436.75704,-84,34
1615776436.76706,156,34
1615776436.7770932,101,34
1615776436.7845278,101,34
1615776436.79456,77,34
1615776436.802059,53,34
1615776436.809511,71,34
1615776436.8182778,267,34
1615776436.82576,221,34
1615776436.835797,176,34
1615776436.843356,202,34
1615776436.8457658,181,34
1615776436.8457658,181,34
1615776436.8457658,181,34
1615776436.875791,-136,34
1615776436.886988,388,34
1615776436.8945222,948,34
1615776436.903299,509,34
1615776436.9095218,0,34
1615776436.9196029,592,34
1615776436.9282718,362,34
1615776436.937255,530,34
1615776436.943588,402,34
1615776436.943588,402,34
1615776436.943588,402,34
1615776436.943588,402,34
1615776436.9796748,420,34
1615776436.98834,-276,34
1615776436.995863,123,47
1615776437.004571,-134,47
1615776437.014797,-522,47
1615776437.023434,-777,47
1615776437.0308921,-749,47
1615776437.040887,-484,47
1615776437.051106,186,47
1615776437.0584269,-99,47
1615776437.0658681,-101,47
1615776437.07465,-466,47
1615776437.0833879,-999,47
1615776437.093379,-667,47
1615776437.1035478,1041,47
1615776437.113429,749,47
1615776437.121042,753,47
1615776437.130982,619,47
1615776437.138664,572,47
1615776437.148632,503,47
1615776437.158377,352,47
1615776437.1660008,522,47
1615776437.177066,503,47
1615776437.1845472,613,47
1615776437.194539,492,47
1615776437.200804,592,47
1615776437.210828,732,47
1615776437.219723,193,47
1615776437.2258282,285,47
1615776437.2383418,434,47
1615776437.243273,699,47
1615776437.243273,699,47
1615776437.243273,699,47
1615776437.243273,699,47
1615776437.28233,338,47
1615776437.28233,338,47
1615776437.28233,338,47
1615776437.30319,-108,47
1615776437.317399,22,47
1615776437.3260338,-318,47
1615776437.334783,-581,47
1615776437.3433568,-630,47
1615776437.35368,-1058,47
1615776437.360919,-611,47
1615776437.369772,-730,47
1615776437.377418,-769,47
1615776437.3861592,-316,47
1615776437.392142,-298,47
1615776437.399793,-74,47
1615776437.412023,-347,47
1615776437.412023,-347,47
1615776437.412023,-347,47
1615776437.437429,-554,47
1615776437.44461,-193,47
1615776437.4546041,-161,47
1615776437.458304,-49,47
1615776437.4724128,-29,47
1615776437.4799511,-282,47
1615776437.489915,183,47
1615776437.49855,61,47
1615776437.5062249,43,47
1615776437.513611,218,47
1615776437.523754,-65,47
1615776437.531064,205,47
1615776437.541044,120,47
1615776437.542148,-60,47
1615776437.542148,-60,47
1615776437.542148,-60,47
1615776437.577185,-173,47
1615776437.587028,53,47
1615776437.59479,-12,47
1615776437.6047108,195,47
1615776437.613385,38,47
1615776437.6210911,237,47
1615776437.632292,442,47
1615776437.638676,340,47
1615776437.64853,502,47
1615776437.6560562,321,47
1615776437.6646452,119,47
1615776437.673561,298,47
1615776437.682045,577,47
1615776437.689585,235,47
1615776437.699594,410,47
1615776437.7073212,485,47
1615776437.71706,386,47
1615776437.724637,377,47
1615776437.732018,341,47
1615776437.742239,361,47
1615776437.749581,234,47
1615776437.757098,401,47
1615776437.7670069,149,47
1615776437.773481,224,47
1615776437.7845051,227,47
1615776437.790943,19,47
1615776437.800761,502,47
1615776437.808373,237,47
1615776437.815808,-13,47
1615776437.823445,301,47
1615776437.8332632,-133,47
1615776437.839621,-50,47
1615776437.84336,76,47
1615776437.84336,76,47
1615776437.84336,76,47
1615776437.84336,76,47
1615776437.880817,64,47
1615776437.890857,-104,47
1615776437.8983061,293,47
1615776437.9083378,129,47
1615776437.915838,97,47
1615776437.92743,242,47
1615776437.92743,242,47
1615776437.945312,44,47
1615776437.954813,-117,47
1615776437.964639,-126,47
1615776437.9746602,150,47
1615776437.983729,-41,47
1615776437.98617,-53,47
1615776437.98617,-53,47
1615776437.98617,-53,47
1615776438.019666,-189,60
1615776438.028311,-29,60
1615776438.0347142,-46,60
1615776438.044684,250,60
1615776438.052324,87,60
1615776438.052324,87,60
1615776438.052324,87,60
1615776438.079802,-136,60
1615776438.0897331,-174,60
1615776438.099573,-260,60
1615776438.1070862,178,60
