timestamp,raw_value,attention
1615775731.806838,-2,57
1615775731.813914,82,57
1615775731.8239648,105,57
1615775731.834048,67,57
1615775731.8440409,44,57
1615775731.851542,51,57
1615775731.861439,38,57
1615775731.86907,132,57
1615775731.880409,70,57
1615775731.8877141,80,57
1615775731.8965492,73,57
1615775731.9062731,70,57
1615775731.9140558,70,57
1615775731.9239948,50,57
1615775731.931298,86,57
1615775731.931298,86,57
1615775731.931298,86,57
1615775731.931298,86,57
1615775731.9677958,102,57
1615775731.977708,69,57
1615775731.986482,-46,57
1615775731.9901938,-46,57
1615775731.9901938,-46,57
1615775731.9901938,-46,57
1615775732.02251,-19,69
1615775732.03116,166,69
1615775732.038647,7,69
1615775732.042439,-73,69
1615775732.056206,-68,69
1615775732.064887,65,69
1615775732.071209,0,69
1615775732.081398,-38,69
1615775732.0877252,-6,69
1615775732.09781,-34,69
1615775732.10768,0,69
1615775732.115325,2,69
1615775732.121435,49,69
1615775732.121435,49,69
1615775732.1453,23,69
1615775732.153298,204,69
1615775732.161553,82,69
1615775732.170332,0,69
1615775732.181173,-40,69
1615775732.18865,-36,69
1615775732.196189,-72,69
1615775732.204929,-35,69
1615775732.2124128,-7,69
1615775732.221292,21,69
1615775732.229974,90,69
1615775732.232485,74,69
1615775732.232485,74,69
1615775732.232485,74,69
1615775732.232485,74,69
1615775732.2768939,179,69
1615775732.285026,-27,69
1615775732.293893,83,69
1615775732.3027031,69,69
1615775732.312842,83,69
1615775732.320183,68,69
1615775732.3277068,98,69
1615775732.337688,73,69
1615775732.346585,64,69
1615775732.355145,10,69
1615775732.362686,22,69
1615775732.372573,50,69
1615775732.38157,66,69
1615775732.388802,89,69
1615775732.4004,83,69
1615775732.407816,57,69
1615775732.4176772,76,69
1615775732.425005,39,69
1615775732.4338539,74,69
1615775732.444138,34,69
1615775732.45271,-20,69
1615775732.462705,16,69
1615775732.4703329,27,69
1615775732.480333,69,69
1615775732.487519,58,69
1615775732.497476,59,69
1615775732.504954,102,69
1615775732.513661,116,69
1615775732.5213199,119,69
1615775732.5311968,74,69
1615775732.5324008,82,69
1615775732.5324008,82,69
1615775732.5324008,82,69
1615775732.5324008,82,69
1615775732.573735,83,69
1615775732.580682,117,69
1615775732.5924249,-6,69
1615775732.599908,-71,69
1615775732.608716,-130,69
1615775732.6161861,-86,69
1615775732.624939,-53,69
1615775732.633726,-83,69
1615775732.643693,65,69
1615775732.6524549,112,69
1615775732.662461,82,69
1615775732.6699672,113,69
1615775732.677479,60,69
