timestamp,raw_value,attention
1615776819.3043032,-88,40
1615776819.314413,-181,40
1615776819.323283,-75,40
1615776819.331636,137,40
1615776819.3416471,96,40
1615776819.349087,100,40
1615776819.3592472,139,40
1615776819.368299,114,40
1615776819.3767838,-39,40
1615776819.383153,-114,40
1615776819.393016,58,40
1615776819.400652,-42,40
1615776819.410613,-5,40
1615776819.420802,-42,40
1615776819.425579,17,40
1615776819.439519,128,40
1615776819.4469702,11,40
1615776819.449374,-44,40
1615776819.449374,-44,40
1615776819.449374,-44,40
1615776819.482972,-71,40
1615776819.492993,178,40
1615776819.496918,44,40
1615776819.496918,44,40
1615776819.496918,44,40
1615776819.526724,1,40
1615776819.534174,177,40
1615776819.544109,-92,40
1615776819.550348,-86,40
1615776819.560373,-77,40
1615776819.570603,-82,40
1615776819.5781581,-69,40
1615776819.585655,-181,40
1615776819.593013,-13,40
1615776819.6030982,-26,40
1615776819.6129751,-20,40
1615776819.622891,8,40
1615776819.630393,-118,40
1615776819.6378949,10,40
1615776819.648098,105,40
1615776819.657876,-40,40
1615776819.66541,16,40
1615776819.67563,-6,40
1615776819.685375,129,40
1615776819.69309,148,40
1615776819.702044,120,40
1615776819.7105222,105,40
1615776819.716933,-17,40
1615776819.726759,114,40
1615776819.734412,234,40
1615776819.744259,233,40
1615776819.748357,72,40
1615776819.748357,72,40
1615776819.748357,72,40
1615776819.748357,72,40
1615776819.788197,161,40
1615776819.798155,21,40
1615776819.807039,160,40
1615776819.815537,-50,40
1615776819.824542,67,40
1615776819.8320682,120,40
1615776819.8407629,137,40
1615776819.849352,89,40
1615776819.859369,184,40
1615776819.865557,113,40
1615776819.875639,24,40
1615776819.884408,21,40
1615776819.894221,21,40
1615776819.903316,60,40
1615776819.911752,0,40
1615776819.919422,-11,40
1615776819.9279869,73,40
1615776819.935777,-66,40
1615776819.9457228,37,40
1615776819.9532092,5,40
1615776819.963042,-123,40
1615776819.973344,-150,40
1615776819.9779708,-114,40
1615776819.98546,-107,40
1615776819.997916,-134,40
1615776820.005413,-5,40
1615776820.007914,108,40
1615776820.007914,108,40
1615776820.0303638,120,40
1615776820.036593,88,40
1615776820.046646,118,40
1615776820.049139,121,40
1615776820.049139,121,40
1615776820.049139,121,40
1615776820.049139,121,40
1615776820.089184,44,40
1615776820.096608,157,40
1615776820.105387,-58,40
1615776820.112907,39,40
1615776820.12163,4,40
1615776820.1303859,-60,40
1615776820.136692,-55,40
1615776820.136692,-55,40
1615776820.136692,-55,40
1615776820.166667,38,40
1615776820.175435,189,40
1615776820.180895,48,40
1615776820.180895,48,40
1615776820.2004302,88,40
1615776820.209171,48,40
1615776820.219171,-88,40
1615776820.227963,-66,40
1615776820.2367811,-44,40
1615776820.2456708,99,40
1615776820.254414,100,40
1615776820.26317,-18,40
1615776820.2719162,-2,40
1615776820.283026,99,40
1615776820.290529,20,40
1615776820.303298,25,40
1615776820.310604,134,40
1615776820.320564,125,40
1615776820.327965,166,40
1615776820.3378692,180,40
