timestamp,raw_value,attention
1615776749.248448,248,74
1615776749.248448,248,74
1615776749.248448,248,74
1615776749.248448,248,74
1615776749.284469,272,74
1615776749.293327,135,74
1615776749.3007948,83,74
1615776749.304436,104,74
1615776749.318283,76,74
1615776749.325679,106,74
1615776749.334422,7,74
1615776749.3420858,21,74
1615776749.3518898,-8,74
1615776749.359443,-23,74
1615776749.369459,-65,74
1615776749.379638,-109,74
1615776749.386847,-49,74
1615776749.397158,25,74
1615776749.404376,-36,74
1615776749.414743,-17,74
1615776749.421928,68,74
1615776749.433228,48,74
1615776749.439936,-37,74
1615776749.4471009,-72,74
1615776749.4568079,-34,74
1615776749.464329,-102,74
1615776749.473055,-54,74
1615776749.480603,-7,74
1615776749.4880629,-17,74
1615776749.4955368,72,74
1615776749.505684,25,74
1615776749.51442,-22,74
1615776749.5218298,-43,74
1615776749.532222,-84,74
1615776749.539753,-18,74
1615776749.5472362,-54,74
1615776749.5472362,-54,74
1615776749.5472362,-54,74
1615776749.5472362,-54,74
1615776749.585618,-61,74
1615776749.593289,116,74
1615776749.600555,-61,74
1615776749.608073,-107,74
1615776749.608073,-107,74
1615776749.627041,-104,74
1615776749.6368551,-75,74
1615776749.643137,-100,74
1615776749.6546319,-169,74
1615776749.6623769,-153,74
1615776749.672087,-193,74
1615776749.6822221,-156,74
1615776749.689583,-117,74
1615776749.699748,-158,74
1615776749.708462,-60,74
1615776749.715988,-29,74
1615776749.724637,-90,74
1615776749.7334988,3,74
1615776749.737094,-35,74
1615776749.737094,-35,74
1615776749.737094,-35,74
1615776749.768841,119,74
1615776749.777131,-154,74
1615776749.785676,-205,74
1615776749.792104,-242,74
1615776749.803274,-262,74
1615776749.810833,-166,74
1615776749.820858,-292,74
1615776749.830935,-229,74
1615776749.8380868,-179,74
1615776749.845928,-93,74
1615776749.848351,-115,74
1615776749.848351,-115,74
1615776749.848351,-115,74
1615776749.882252,-148,74
1615776749.8908749,75,74
1615776749.899631,-113,74
1615776749.9069939,-125,74
1615776749.914758,-60,74
1615776749.924384,-33,74
1615776749.929348,-38,74
1615776749.929348,-38,74
1615776749.950647,60,74
1615776749.9569018,-29,74
1615776749.9668531,-7,74
1615776749.9743638,23,74
1615776749.983097,-4,74
1615776749.993099,-3,69
1615776750.003184,42,69
1615776750.009346,-45,69
1615776750.019287,-87,69
1615776750.026811,26,69
1615776750.035566,50,69
1615776750.043058,74,69
1615776750.053053,144,69
1615776750.060541,76,69
1615776750.0681229,77,69
1615776750.078043,144,69
1615776750.0857348,27,69
1615776750.0955489,102,69
1615776750.104322,101,69
1615776750.1118138,102,69
1615776750.119356,106,69
1615776750.129328,6,69
1615776750.1368399,33,69
1615776750.1468182,48,69
1615776750.148021,44,69
1615776750.148021,44,69
1615776750.148021,44,69
1615776750.148021,44,69
1615776750.190839,-49,69
1615776750.2006881,90,69
1615776750.209536,-60,69
1615776750.2168572,-103,69
1615776750.224475,-107,69
1615776750.2343879,-49,69
1615776750.242083,-4,69
1615776750.25189,-70,69
1615776750.261966,-105,69
1615776750.273443,73,69
1615776750.282233,60,69
1615776750.290772,50,69
1615776750.3008409,35,69
1615776750.307143,-7,69
1615776750.3173141,121,69
1615776750.3258328,61,69
1615776750.3345861,69,69
1615776750.342039,84,69
1615776750.3521621,148,69
1615776750.358216,131,69
1615776750.369438,114,69
1615776750.375839,71,69
1615776750.375839,71,69
1615776750.375839,71,69
1615776750.405716,37,69
1615776750.416151,122,69
1615776750.424761,72,69
1615776750.4321878,165,69
1615776750.43964,50,69
1615776750.4492412,-26,69
1615776750.4492412,-26,69
1615776750.4492412,-26,69
1615776750.4492412,-26,69
1615776750.4843268,-65,69
1615776750.4943528,165,69
1615776750.501844,87,69
1615776750.508062,2,69
1615776750.5181298,-58,69
1615776750.526846,-37,69
1615776750.53691,-55,69
1615776750.544846,-92,69
1615776750.551924,4,69
1615776750.556386,6,69
1615776750.570878,-59,69
1615776750.578342,138,69
1615776750.588337,-45,69
1615776750.598492,3,69
1615776750.605844,-12,69
1615776750.6134772,19,69
1615776750.6233442,10,69
1615776750.63099,34,69
1615776750.640874,-42,69
1615776750.6509812,-81,69
1615776750.660925,-44,69
1615776750.667258,48,69
1615776750.67736,108,69
1615776750.684642,92,69
1615776750.693357,138,69
1615776750.703167,118,69
1615776750.7109618,106,69
1615776750.7208488,128,69
1615776750.7284968,-12,69
1615776750.737053,7,69
1615776750.747134,85,69
1615776750.748428,113,69
1615776750.748428,113,69
1615776750.748428,113,69
1615776750.748428,113,69
1615776750.790425,347,69
1615776750.797031,122,69
1615776750.8057642,38,69
1615776750.814556,-68,69
1615776750.822123,-93,69
1615776750.832221,39,69
1615776750.84187,24,69
1615776750.85332,7,69
1615776750.8595562,-29,69
1615776750.869434,6,69
1615776750.879788,129,69
1615776750.8869581,208,69
1615776750.8869581,208,69
1615776750.905844,324,69
1615776750.9160042,456,69
1615776750.923384,369,69
1615776750.933496,296,69
1615776750.941875,144,69
1615776750.949734,113,69
1615776750.956877,134,69
1615776750.966987,113,69
1615776750.974327,83,69
1615776750.983118,124,69
1615776750.984471,129,69
1615776750.984471,129,69
1615776750.984471,129,69
1615776750.984471,129,69
1615776751.017065,120,60
1615776751.017065,120,60
1615776751.043073,152,60
1615776751.0493948,364,60
1615776751.0493948,364,60
1615776751.0493948,364,60
1615776751.0493948,364,60
1615776751.085689,313,60
1615776751.094332,165,60
1615776751.102019,-77,60
1615776751.1118479,-119,60
1615776751.119335,-122,60
1615776751.128049,-196,60
1615776751.1356611,-180,60
1615776751.1443572,-177,60
1615776751.151913,-150,60
1615776751.1580532,-98,60
1615776751.1680799,-84,60
1615776751.178057,-81,60
1615776751.179313,-52,60
1615776751.193249,-27,60
1615776751.2019432,146,60
1615776751.2107189,-8,60
1615776751.220674,-5,60
1615776751.2309701,-36,60
1615776751.2410061,36,60
1615776751.248489,-34,60
1615776751.258515,49,60
1615776751.26839,-17,60
1615776751.275774,-33,60
1615776751.285898,23,60
1615776751.290865,-7,60
1615776751.3032708,76,60
1615776751.3121102,68,60
1615776751.3195,8,60
1615776751.328087,5,60
1615776751.3357031,-73,60
1615776751.344756,-22,60
1615776751.348449,33,60
1615776751.348449,33,60
1615776751.348449,33,60
1615776751.348449,33,60
1615776751.390013,307,60
1615776751.398499,98,60
1615776751.404448,-2,60
1615776751.4147651,-28,60
1615776751.422155,-92,60
1615776751.432251,-164,60
1615776751.442113,-52,60
1615776751.4494169,-84,60
1615776751.45934,-106,60
1615776751.4668329,-45,60
1615776751.476855,-55,60
1615776751.484399,-50,60
1615776751.491817,-35,60
1615776751.501821,-58,60
1615776751.509324,-33,60
1615776751.519337,-38,60
1615776751.525565,-82,60
1615776751.535578,5,60
1615776751.5431209,-68,60
1615776751.554379,-71,60
1615776751.560578,-25,60
1615776751.570807,-77,60
1615776751.5781279,-18,60
1615776751.588202,57,60
1615776751.595856,21,60
1615776751.605999,55,60
1615776751.613338,19,60
1615776751.623275,27,60
1615776751.630997,53,60
1615776751.636928,-5,60
1615776751.648297,27,60
1615776751.648297,27,60
1615776751.648297,27,60
1615776751.648297,27,60
1615776751.648297,27,60
1615776751.648297,27,60
1615776751.648297,27,60
1615776751.648297,27,60
1615776751.7184598,-40,60
1615776751.728173,43,60
1615776751.735647,-279,60
1615776751.746023,-327,60
1615776751.752125,-212,60
1615776751.7622368,-233,60
1615776751.7694561,-363,60
1615776751.7797499,-340,60
1615776751.7870998,-275,60
1615776751.797238,-258,60
1615776751.804428,-275,60
1615776751.804428,-275,60
1615776751.8246982,-210,60
1615776751.834641,-171,60
1615776751.842186,-204,60
1615776751.849757,-157,60
1615776751.860769,-101,60
1615776751.8684611,-50,60
1615776751.877117,-86,60
1615776751.887038,52,60
1615776751.895908,59,60
1615776751.904456,389,60
1615776751.914769,521,60
1615776751.921958,456,60
1615776751.930656,452,60
1615776751.939393,370,60
1615776751.948125,342,60
1615776751.958078,186,60
1615776751.9643462,152,60
1615776751.966914,124,60
1615776751.966914,124,60
1615776751.966914,124,60
1615776751.966914,124,60
1615776752.0081651,69,60
1615776752.018153,-65,50
1615776752.025557,-161,50
1615776752.035672,-217,50
1615776752.043093,-163,50
1615776752.0505862,-70,50
1615776752.0605571,-187,50
1615776752.068144,-102,50
1615776752.076823,-77,50
1615776752.084352,-97,50
1615776752.0918348,-36,50
1615776752.101851,5,50
1615776752.109349,81,50
1615776752.1194549,9,50
1615776752.128166,124,50
1615776752.1356,103,50
1615776752.143088,61,50
1615776752.15057,60,50
1615776752.1580758,39,50
1615776752.168501,64,50
1615776752.168501,64,50
1615776752.185581,123,50
1615776752.193063,268,50
1615776752.199326,215,50
1615776752.209409,98,50
1615776752.2195551,151,50
1615776752.2282639,198,50
1615776752.235702,164,50
1615776752.244642,118,50
1615776752.248767,67,50
1615776752.248767,67,50
1615776752.248767,67,50
1615776752.2822661,38,50
1615776752.290356,294,50
1615776752.2959082,101,50
