timestamp,raw_value,attention
1615775661.790167,87,43
1615775661.800351,51,43
1615775661.807919,-58,43
1615775661.816572,-71,43
1615775661.826751,-81,43
1615775661.835113,-4,43
1615775661.8413491,57,43
1615775661.85022,36,43
1615775661.860118,81,43
1615775661.868959,13,43
1615775661.876559,32,43
1615775661.886327,90,43
1615775661.896457,43,43
1615775661.9051661,99,43
1615775661.912627,98,43
1615775661.9201899,130,43
1615775661.931401,161,43
1615775661.94011,70,43
1615775661.947615,-39,43
1615775661.958865,-91,43
1615775661.96512,-88,43
1615775661.975136,51,43
1615775661.983874,82,43
1615775661.990078,90,43
1615775661.990078,90,43
1615775661.990078,90,43
1615775661.990078,90,43
1615775662.026324,26,38
1615775662.031274,184,38
1615775662.031274,184,38
1615775662.031274,184,38
1615775662.031274,184,38
1615775662.069257,91,38
1615775662.069257,91,38
1615775662.087837,26,38
1615775662.093827,-85,38
1615775662.102575,-158,38
1615775662.1113331,-26,38
1615775662.1151109,-83,38
1615775662.127632,-71,38
1615775662.13631,-97,38
1615775662.145097,-51,38
1615775662.152569,45,38
1615775662.162585,34,38
1615775662.1713212,74,38
1615775662.181319,69,38
1615775662.1888058,130,38
1615775662.197581,137,38
1615775662.2050948,60,38
1615775662.212589,113,38
1615775662.222593,169,38
1615775662.230077,193,38
1615775662.23634,211,38
1615775662.246339,187,38
1615775662.253811,112,38
1615775662.2613199,90,38
1615775662.2700741,35,38
1615775662.2775822,89,38
1615775662.285075,72,38
1615775662.292592,101,38
1615775662.302579,85,38
1615775662.306319,57,38
1615775662.316323,120,38
1615775662.3263738,114,38
1615775662.331318,39,38
1615775662.331318,39,38
1615775662.331318,39,38
1615775662.331318,39,38
1615775662.331318,39,38
1615775662.331318,39,38
1615775662.3877492,23,38
1615775662.396912,216,38
1615775662.4055018,-9,38
1615775662.4128692,-156,38
1615775662.4226408,-154,38
1615775662.431386,-103,38
1615775662.4389539,-100,38
1615775662.4489028,9,38
1615775662.458018,-35,38
1615775662.4663522,-20,38
1615775662.472645,-55,38
1615775662.482709,-90,38
1615775662.4902,3,38
1615775662.500146,3,38
1615775662.508907,84,38
1615775662.517638,82,38
1615775662.525131,157,38
1615775662.5350919,240,38
1615775662.542691,394,38
1615775662.5526268,358,38
1615775662.560386,316,38
1615775662.570115,386,38
1615775662.5788789,405,38
1615775662.587596,299,38
1615775662.59641,181,38
1615775662.6038451,40,38
1615775662.611346,1,38
1615775662.6213288,-26,38
1615775662.628886,-120,38
1615775662.631338,-113,38
1615775662.631338,-113,38
1615775662.631338,-113,38
1615775662.631338,-113,38
1615775662.671499,-154,38
1615775662.6789372,-1,38
1615775662.687639,-221,38
1615775662.695198,-215,38
1615775662.7026691,-282,38
1615775662.712669,-211,38
1615775662.720165,-250,38
1615775662.7264042,-242,38
1615775662.736397,-215,38
1615775662.743863,-142,38
1615775662.7513752,-52,38
1615775662.761375,-8,38
1615775662.771452,-56,38
1615775662.778962,-86,38
1615775662.787693,-5,38
1615775662.7953038,57,38
1615775662.802891,72,38
1615775662.812832,82,38
1615775662.820139,96,38
1615775662.830144,82,38
1615775662.837569,69,38
1615775662.847601,58,38
1615775662.855136,101,38
1615775662.861323,118,38
1615775662.872591,157,38
1615775662.8776388,114,38
1615775662.8776388,114,38
1615775662.897611,138,38
1615775662.9065018,53,38
1615775662.913874,-9,38
1615775662.917644,-18,38
1615775662.931386,11,38
1615775662.938829,199,38
1615775662.947614,101,38
1615775662.955143,123,38
1615775662.962626,96,38
1615775662.971338,28,38
1615775662.9789639,82,38
1615775662.98644,114,38
1615775662.990154,90,38
1615775662.990154,90,38
1615775662.990154,90,38
1615775662.990154,90,38
1615775663.029994,145,40
1615775663.037594,26,40
1615775663.0426922,-19,40
1615775663.052653,-52,40
1615775663.062633,-50,40
