timestamp,raw_value,attention
1615777999.556747,71,47
1615777999.5657659,97,47
1615777999.566987,86,47
1615777999.581933,64,47
1615777999.5905862,104,47
1615777999.598262,81,47
1615777999.607063,50,47
1615777999.6145868,6,47
1615777999.624303,24,47
1615777999.634519,49,47
1615777999.6417432,4,47
1615777999.6531909,69,47
1615777999.6604538,37,47
1615777999.669143,34,47
1615777999.676607,96,47
1615777999.684076,16,47
1615777999.6941361,28,47
1615777999.704513,50,47
1615777999.714547,82,47
1615777999.723279,6,47
1615777999.731881,-4,47
1615777999.731881,-4,47
1615777999.731881,-4,47
1615777999.731881,-4,47
1615777999.731881,-4,47
1615777999.731881,-4,47
1615777999.793298,-10,47
1615777999.805521,162,47
1615777999.814096,38,47
1615777999.822911,-5,47
1615777999.829215,20,47
1615777999.8367512,-40,47
1615777999.847062,-6,47
1615777999.847062,-6,47
1615777999.8701298,76,47
1615777999.8792691,45,47
1615777999.888254,17,47
1615777999.89941,6,47
1615777999.90832,43,47
1615777999.9168751,28,47
1615777999.924298,28,47
1615777999.934402,9,47
1615777999.944204,-23,47
1615777999.955765,-26,47
1615777999.965742,21,47
1615777999.965742,21,47
1615777999.965742,21,47
1615777999.965742,21,47
1615778000.0017269,56,47
1615778000.014387,37,47
1615778000.025491,29,47
1615778000.032918,52,47
1615778000.0453582,61,47
1615778000.054085,50,47
1615778000.0616372,51,47
1615778000.072929,52,47
1615778000.08417,-7,47
1615778000.092969,-41,47
1615778000.099176,-50,47
1615778000.1128802,-7,47
1615778000.124112,41,47
1615778000.135333,54,47
1615778000.14535,3,47
1615778000.152888,-148,47
1615778000.152888,-148,47
1615778000.152888,-148,47
1615778000.152888,-148,47
1615778000.189315,6,29
1615778000.202017,138,29
1615778000.21189,105,29
1615778000.2194078,115,29
1615778000.23201,67,29
1615778000.239583,75,29
1615778000.249155,35,29
1615778000.255417,40,29
1615778000.265356,18,29
1615778000.265356,18,29
1615778000.265356,18,29
1615778000.265356,18,29
1615778000.299187,-2,29
1615778000.307501,103,29
1615778000.312903,82,29
1615778000.312903,82,29
1615778000.312903,82,29
1615778000.342901,20,29
1615778000.355467,113,29
1615778000.3641012,75,29
1615778000.374133,24,29
1615778000.3816361,53,29
1615778000.3929029,13,29
1615778000.400351,-11,29
1615778000.409128,34,29
1615778000.416665,20,29
1615778000.425436,-68,29
1615778000.436619,-65,29
1615778000.4433038,-52,29
1615778000.455712,-21,29
1615778000.464097,80,29
1615778000.472856,67,29
1615778000.4815922,43,29
1615778000.489207,128,29
1615778000.499253,67,29
1615778000.506837,19,29
1615778000.514154,35,29
1615778000.52441,-43,29
1615778000.534423,-66,29
1615778000.541831,-51,29
1615778000.552001,-53,29
1615778000.561891,-56,29
1615778000.572145,-53,29
1615778000.583276,76,29
1615778000.594431,70,29
1615778000.602081,38,29
1615778000.60704,106,29
1615778000.60704,106,29
1615778000.60704,106,29
1615778000.60704,106,29
1615778000.649347,244,29
1615778000.6569548,148,29
1615778000.665653,113,29
1615778000.672943,69,29
1615778000.68287,23,29
1615778000.692884,68,29
1615778000.701667,55,29
1615778000.709218,-12,29
1615778000.7181818,41,29
1615778000.725655,58,29
1615778000.734462,7,29
1615778000.743021,-4,29
1615778000.7504058,-26,29
1615778000.760705,-84,29
1615778000.772016,-68,29
1615778000.7807329,-50,29
1615778000.788213,-97,29
1615778000.800406,82,29
1615778000.8116758,7,29
1615778000.8192818,57,29
1615778000.827904,76,29
1615778000.8366258,73,29
1615778000.842901,26,29
1615778000.854163,43,29
1615778000.865642,40,29
1615778000.865642,40,29
1615778000.865642,40,29
1615778000.865642,40,29
1615778000.901702,51,29
1615778000.911703,186,29
1615778000.919161,96,29
1615778000.930423,40,29
1615778000.942932,27,29
1615778000.95413,16,29
1615778000.95413,16,29
1615778000.95413,16,29
1615778000.98667,183,29
1615778000.992929,102,29
1615778001.002939,93,29
1615778001.014143,40,29
1615778001.024173,-2,29
1615778001.034168,-58,29
1615778001.046716,-38,29
1615778001.058398,-40,29
1615778001.0670562,-10,29
1615778001.082078,54,29
1615778001.089518,80,29
1615778001.099415,64,29
1615778001.108078,53,29
1615778001.116651,32,29
1615778001.1279218,12,29
1615778001.1279218,12,29
1615778001.145791,-5,29
1615778001.1544719,122,29
1615778001.165677,20,40
1615778001.165677,20,40
1615778001.165677,20,40
1615778001.165677,20,40
1615778001.209279,196,40
1615778001.2216792,168,40
1615778001.2316742,130,40
1615778001.2396212,66,40
1615778001.249516,35,40
1615778001.259305,10,40
1615778001.266645,-46,40
1615778001.278052,17,40
1615778001.287905,-39,40
1615778001.299086,48,40
1615778001.307909,41,40
1615778001.316631,-7,40
1615778001.3241348,43,40
1615778001.336585,51,40
1615778001.3441129,186,40
1615778001.354082,88,40
1615778001.3641129,72,40
1615778001.37425,40,40
1615778001.381603,101,40
1615778001.389188,86,40
1615778001.3991182,112,40
1615778001.405385,145,40
1615778001.419219,172,40
1615778001.43045,123,40
1615778001.44166,180,40
1615778001.451627,196,40
1615778001.461667,293,40
1615778001.465353,150,40
1615778001.465353,150,40
1615778001.465353,150,40
1615778001.499247,177,40
1615778001.5079129,375,40
1615778001.515757,316,40
1615778001.5267148,179,40
1615778001.535736,144,40
1615778001.548156,-33,40
1615778001.555677,-42,40
1615778001.565839,-156,40
1615778001.575815,-168,40
1615778001.587035,-190,40
1615778001.594198,-196,40
1615778001.594198,-196,40
1615778001.594198,-196,40
1615778001.625553,-49,40
1615778001.636915,-222,40
1615778001.642964,-146,40
1615778001.652919,-165,40
1615778001.662941,-203,40
1615778001.672927,-213,40
1615778001.684096,-180,40
1615778001.693142,-108,40
1615778001.7091289,-131,40
1615778001.7206342,-19,40
1615778001.7316191,-109,40
1615778001.743021,21,40
1615778001.7541819,20,40
1615778001.7630332,4,40
1615778001.770445,28,40
1615778001.7804239,54,40
1615778001.790474,69,40
1615778001.8005729,57,40
1615778001.8079581,108,40
1615778001.815416,132,40
1615778001.822947,74,40
1615778001.8355389,138,40
1615778001.8430321,156,40
1615778001.850705,97,40
1615778001.858324,12,40
1615778001.858324,12,40
1615778001.858324,12,40
1615778001.858324,12,40
1615778001.901807,70,40
1615778001.9104562,181,40
1615778001.916935,145,40
1615778001.9280372,118,40
1615778001.937072,59,40
1615778001.9481869,85,40
1615778001.95694,84,40
1615778001.965715,22,40
1615778001.974439,-12,40
1615778001.984451,13,40
1615778001.992089,-3,40
1615778002.000586,-42,40
1615778002.010558,-52,40
1615778002.020874,-43,40
1615778002.0341618,-3,40
1615778002.041889,28,40
1615778002.0558221,69,40
1615778002.0657668,57,40
1615778002.0657668,57,40
1615778002.0657668,57,40
1615778002.0657668,57,40
1615778002.108319,134,40
1615778002.1144671,146,40
1615778002.124546,203,40
1615778002.131928,193,40
1615778002.142153,55,40
1615778002.1532958,56,40
1615778002.1532958,56,40
1615778002.1532958,56,40
1615778002.1532958,56,40
1615778002.1895528,34,41
1615778002.201926,57,41
1615778002.214571,13,41
1615778002.224558,27,41
1615778002.233077,-26,41
1615778002.233077,-26,41
1615778002.233077,-26,41
1615778002.26304,43,41
1615778002.271625,180,41
1615778002.2816288,117,41
1615778002.2904692,48,41
1615778002.299181,41,41
1615778002.309262,16,41
1615778002.315383,-57,41
1615778002.315383,-57,41
1615778002.335832,36,41
1615778002.3430521,54,41
1615778002.35412,33,41
1615778002.366652,57,41
1615778002.37544,48,41
1615778002.381658,33,41
1615778002.393099,18,41
1615778002.401692,49,41
1615778002.406676,-30,41
1615778002.406676,-30,41
1615778002.430475,96,41
1615778002.436745,52,41
1615778002.4479082,38,41
1615778002.457922,60,41
1615778002.465448,-8,41
1615778002.4754088,-7,41
1615778002.481667,-8,41
1615778002.481667,-8,41
1615778002.481667,-8,41
1615778002.515739,-1,41
1615778002.527961,183,41
1615778002.535429,162,41
1615778002.544213,140,41
1615778002.5557199,90,41
1615778002.56834,28,41
1615778002.579301,45,41
1615778002.587061,27,41
1615778002.596847,32,41
1615778002.608326,56,41
1615778002.615725,33,41
1615778002.6245708,28,41
1615778002.6381729,20,41
1615778002.648287,-23,41
1615778002.657054,-11,41
1615778002.665801,33,41
1615778002.665801,33,41
1615778002.665801,33,41
1615778002.665801,33,41
1615778002.704148,-10,41
1615778002.7158349,120,41
1615778002.724417,132,41
1615778002.7330718,52,41
1615778002.739567,38,41
1615778002.749598,88,41
1615778002.75693,85,41
1615778002.767348,29,41
1615778002.776741,53,41
1615778002.78545,3,41
1615778002.795375,81,41
1615778002.802929,60,41
1615778002.8116632,37,41
1615778002.822963,93,41
1615778002.835432,10,41
1615778002.846673,-35,41
1615778002.857964,27,41
1615778002.870451,-54,41
1615778002.874335,-66,41
1615778002.874335,-66,41
1615778002.899462,-59,41
1615778002.908235,128,41
1615778002.918307,72,41
1615778002.92584,90,41
1615778002.93437,61,41
1615778002.943593,98,41
1615778002.943593,98,41
1615778002.959162,86,41
1615778002.965355,147,41
1615778002.965355,147,41
1615778002.965355,147,41
1615778002.999309,76,41
1615778003.009415,204,41
1615778003.0169,102,41
1615778003.024163,27,41
1615778003.0354078,-23,41
1615778003.044383,-57,41
1615778003.052047,-34,41
1615778003.061794,24,41
1615778003.071939,-38,41
1615778003.081952,-75,41
1615778003.08945,-33,41
1615778003.096954,5,41
