timestamp,raw_value,attention
1615777894.4616718,44,60
1615777894.4714181,18,60
1615777894.4775732,51,60
1615777894.487608,-12,60
1615777894.495397,0,60
1615777894.506347,90,60
1615777894.517602,97,60
1615777894.525095,92,60
1615777894.5316858,93,60
1615777894.541558,49,60
1615777894.550403,48,60
1615777894.560261,36,60
1615777894.567785,24,60
1615777894.577897,16,60
1615777894.585324,102,60
1615777894.595099,-26,60
1615777894.605142,-24,60
1615777894.6129081,-52,60
1615777894.6278982,11,60
1615777894.634145,49,60
1615777894.646674,67,60
1615777894.653843,52,60
1615777894.664383,6,60
1615777894.664383,6,60
1615777894.664383,6,60
1615777894.664383,6,60
1615777894.705041,4,60
1615777894.7124999,88,60
1615777894.7124999,88,60
1615777894.7124999,88,60
1615777894.744221,195,60
1615777894.7515311,137,60
1615777894.7628238,117,60
1615777894.772807,96,60
1615777894.782943,-11,60
1615777894.792802,-37,60
1615777894.801688,44,60
1615777894.8125749,12,60
1615777894.820107,-33,60
1615777894.827771,11,60
1615777894.8377779,20,60
1615777894.84541,56,60
1615777894.855242,36,60
1615777894.8628669,-23,60
1615777894.8701692,-34,60
1615777894.880317,-54,60
1615777894.8853078,-60,60
1615777894.8853078,-60,60
1615777894.9070132,51,60
1615777894.917808,83,60
1615777894.925417,87,60
1615777894.935431,50,60
1615777894.9465358,-7,60
1615777894.955165,107,60
1615777894.9641201,75,60
1615777894.9641201,75,60
1615777894.9641201,75,60
1615777894.99915,73,60
1615777895.007622,138,60
1615777895.013987,81,60
1615777895.021297,19,60
1615777895.0325482,-11,60
1615777895.042722,8,60
1615777895.051679,24,60
1615777895.060041,34,60
1615777895.069994,59,60
1615777895.080032,72,60
1615777895.088969,40,60
1615777895.099096,10,60
1615777895.109226,-36,60
1615777895.116519,1,60
1615777895.1265411,9,60
1615777895.1388931,8,60
1615777895.150047,-18,60
1615777895.153933,16,60
1615777895.153933,16,60
1615777895.153933,16,60
1615777895.186851,8,63
1615777895.19631,130,63
1615777895.2050822,49,63
1615777895.2150211,-10,63
1615777895.223802,58,63
1615777895.2337332,51,63
1615777895.243744,40,63
1615777895.255147,38,63
1615777895.263736,29,63
1615777895.263736,29,63
1615777895.263736,29,63
1615777895.263736,29,63
1615777895.297733,37,63
1615777895.305165,200,63
1615777895.313792,171,63
1615777895.321437,109,63
1615777895.3339992,131,63
