timestamp,raw_value,attention
1615778768.149751,-51,51
1615778768.149751,-51,51
1615778768.149751,-51,51
1615778768.1862469,23,53
1615778768.197333,98,53
1615778768.207423,125,53
1615778768.218904,97,53
1615778768.227605,40,53
1615778768.237473,16,53
1615778768.247663,-69,53
1615778768.255114,-30,53
1615778768.264982,11,53
1615778768.276376,18,53
1615778768.276376,18,53
1615778768.276376,18,53
1615778768.276376,18,53
1615778768.320016,12,53
1615778768.3264482,251,53
1615778768.3264482,251,53
1615778768.3498611,246,53
1615778768.359614,220,53
1615778768.368596,131,53
1615778768.376232,34,53
1615778768.386018,43,53
1615778768.3934531,2,53
1615778768.400976,34,53
1615778768.411007,52,53
1615778768.418435,58,53
1615778768.427191,-55,53
1615778768.438408,-53,53
1615778768.4484658,-66,53
1615778768.4525619,-74,53
1615778768.468767,-124,53
1615778768.477505,56,53
1615778768.491374,43,53
1615778768.498559,48,53
1615778768.508874,22,53
1615778768.518796,66,53
1615778768.528873,5,53
1615778768.53634,-33,53
1615778768.545019,-8,53
1615778768.556324,9,53
1615778768.566268,100,53
1615778768.578864,53,53
1615778768.588575,56,53
1615778768.598596,122,53
1615778768.604995,74,53
1615778768.616249,28,53
1615778768.616249,28,53
1615778768.616249,28,53
1615778768.616249,28,53
1615778768.659776,256,53
1615778768.667351,173,53
1615778768.6762471,56,53
1615778768.688807,44,53
1615778768.697321,64,53
1615778768.7063549,53,53
1615778768.717377,40,53
1615778768.7263832,50,53
1615778768.733758,54,53
1615778768.741357,8,53
1615778768.748734,49,53
1615778768.7614279,38,53
1615778768.7687511,-9,53
1615778768.7787461,50,53
1615778768.788595,45,53
1615778768.7985878,-38,53
1615778768.810132,53,53
1615778768.817493,77,53
1615778768.828856,37,53
1615778768.838633,80,53
1615778768.8485692,10,53
1615778768.858459,-24,53
1615778768.86976,-21,53
1615778768.8760488,51,53
1615778768.8760488,51,53
1615778768.8760488,51,53
1615778768.8760488,51,53
1615778768.917258,18,53
1615778768.924751,199,53
1615778768.934794,115,53
1615778768.940959,80,53
1615778768.954782,75,53
1615778768.9636412,98,53
1615778768.9660192,115,53
1615778768.9660192,115,53
1615778768.996468,147,53
1615778769.005964,144,53
1615778769.0122108,55,53
1615778769.024739,18,53
1615778769.032237,83,53
1615778769.038474,-57,53
1615778769.048492,4,53
1615778769.057264,-77,53
1615778769.07093,-44,53
1615778769.078451,-27,53
1615778769.088452,-4,53
1615778769.097326,27,53
1615778769.105202,18,53
1615778769.1126258,9,53
1615778769.122634,32,53
1615778769.1348,-42,53
1615778769.1348,-42,53
1615778769.156009,101,53
1615778769.1661599,146,53
1615778769.1737359,106,53
1615778769.177324,85,53
1615778769.177324,85,53
1615778769.177324,85,53
1615778769.212384,44,53
1615778769.2213912,216,53
1615778769.233728,124,53
1615778769.240205,38,53
1615778769.250081,-68,53
1615778769.258548,6,53
1615778769.2713978,32,53
1615778769.278889,3,53
1615778769.287362,-62,53
1615778769.2961862,-43,53
1615778769.30625,-7,53
1615778769.318756,-52,53
1615778769.327668,24,53
1615778769.3387678,42,53
1615778769.348701,26,53
1615778769.356247,86,53
1615778769.368545,74,53
1615778769.3774872,45,53
1615778769.384785,10,53
1615778769.393446,-4,53
1615778769.403557,-49,53
1615778769.412269,-35,53
1615778769.4221928,45,53
1615778769.4284952,1,53
1615778769.438443,-53,53
1615778769.44844,-4,53
1615778769.459745,67,53
1615778769.468609,32,53
1615778769.477599,5,53
1615778769.477599,5,53
1615778769.477599,5,53
1615778769.477599,5,53
1615778769.5160608,4,53
1615778769.531025,197,53
1615778769.542237,139,53
1615778769.5536718,90,53
1615778769.559823,58,53
1615778769.569816,92,53
1615778769.5800588,84,53
1615778769.5850072,-60,53
1615778769.595078,139,53
1615778769.605071,184,53
1615778769.606354,141,53
1615778769.606354,141,53
1615778769.633926,189,53
1615778769.64626,313,53
1615778769.657641,170,53
1615778769.6701481,32,53
1615778769.678878,77,53
1615778769.688779,-146,53
1615778769.696251,-81,53
1615778769.71013,-263,53
1615778769.7187562,-314,53
1615778769.727628,-360,53
1615778769.740088,-263,53
1615778769.7477,-213,53
1615778769.758813,-197,53
1615778769.771258,-114,53
1615778769.7777789,-86,53
1615778769.7777789,-86,53
1615778769.7777789,-86,53
1615778769.813947,-69,53
1615778769.8224,188,53
1615778769.832531,169,53
1615778769.84144,114,53
1615778769.848622,150,53
1615778769.859783,67,53
1615778769.868473,103,53
1615778769.8785431,26,53
1615778769.8897338,72,53
1615778769.897227,133,53
1615778769.9046872,181,53
1615778769.9147708,70,53
1615778769.924748,25,53
1615778769.934719,26,53
1615778769.946042,44,53
1615778769.9525461,2,53
1615778769.9525461,2,53
1615778769.9726238,132,53
1615778769.983587,139,53
1615778769.9909801,218,53
1615778769.998524,116,53
1615778770.008546,169,53
1615778770.0185459,57,53
1615778770.0296981,56,53
1615778770.0384371,66,53
1615778770.0473018,82,53
1615778770.055978,-33,53
1615778770.061004,204,53
1615778770.071043,304,53
1615778770.074763,272,53
1615778770.074763,272,53
1615778770.074763,272,53
1615778770.074763,272,53
1615778770.113898,268,53
1615778770.123668,458,53
1615778770.134878,197,53
1615778770.1400058,132,53
1615778770.149864,84,53
1615778770.162527,-10,51
1615778770.1714182,-162,51
1615778770.18016,-279,51
1615778770.1887622,-283,51
1615778770.19869,-289,51
1615778770.206291,-186,51
1615778770.217332,-149,51
1615778770.22641,-150,51
1615778770.2335958,-151,51
1615778770.243916,-124,51
1615778770.245119,-103,51
1615778770.245119,-103,51
1615778770.2725,-61,51
1615778770.284852,-34,51
1615778770.292554,-35,51
1615778770.299839,-20,51
1615778770.310148,-41,51
1615778770.320153,-30,51
1615778770.328895,-29,51
1615778770.342643,8,51
1615778770.351305,52,51
1615778770.360158,40,51
1615778770.3685381,33,51
1615778770.376053,59,51
1615778770.376053,59,51
1615778770.376053,59,51
1615778770.376053,59,51
1615778770.413505,60,51
1615778770.413505,60,51
1615778770.4387681,213,51
1615778770.4472141,214,51
1615778770.459712,152,51
1615778770.4661162,97,51
1615778770.4776409,58,51
1615778770.487519,4,51
1615778770.4950578,-1,51
1615778770.505159,-20,51
1615778770.5174751,-26,51
1615778770.5249028,-34,51
1615778770.5349061,38,51
1615778770.542636,44,51
1615778770.552683,19,51
1615778770.563901,-45,51
1615778770.571297,-10,51
1615778770.5813491,-18,51
1615778770.592322,32,51
1615778770.5985868,32,51
1615778770.608905,1,51
1615778770.616232,53,51
1615778770.6264079,53,51
1615778770.6362581,66,51
1615778770.6464,91,51
1615778770.65623,56,51
1615778770.668788,39,51
1615778770.6750588,53,51
1615778770.67764,43,51
1615778770.67764,43,51
1615778770.67764,43,51
1615778770.713789,54,51
1615778770.726262,133,51
1615778770.733564,147,51
1615778770.741384,140,51
1615778770.751265,68,51
1615778770.761397,70,51
1615778770.772613,-26,51
1615778770.7800279,-17,51
1615778770.792646,-7,51
1615778770.799985,-19,51
1615778770.807414,-62,51
1615778770.817518,-3,51
1615778770.8250859,66,51
1615778770.8348439,58,51
1615778770.8414268,54,51
1615778770.851168,37,51
1615778770.8597498,13,51
1615778770.868545,34,51
1615778770.876263,37,51
1615778770.886026,52,51
1615778770.886026,52,51
1615778770.886026,52,51
1615778770.9198349,70,51
1615778770.929177,184,51
1615778770.9359932,87,51
1615778770.9459891,57,51
1615778770.956011,34,51
1615778770.966274,-1,51
1615778770.9735181,58,51
1615778770.9772742,81,51
1615778770.9772742,81,51
1615778770.9772742,81,51
1615778771.011063,89,51
1615778771.019028,147,51
1615778771.0297909,74,51
1615778771.036028,60,51
1615778771.043463,57,51
1615778771.0535512,27,51
1615778771.066091,4,51
1615778771.073519,57,51
1615778771.080954,2,51
1615778771.090967,18,51
1615778771.102571,18,51
1615778771.110199,23,51
1615778771.121265,21,51
1615778771.130154,88,51
1615778771.140147,24,51
1615778771.147557,22,51
1615778771.1601532,7,35
1615778771.167326,70,35
1615778771.1751502,39,35
1615778771.185021,-36,35
1615778771.192569,-56,35
1615778771.202585,-36,35
1615778771.213726,-1,35
1615778771.2225752,55,35
1615778771.229832,54,35
1615778771.239975,18,35
1615778771.248914,25,35
1615778771.255018,20,35
1615778771.268627,93,35
1615778771.276119,59,35
1615778771.276119,59,35
1615778771.276119,59,35
1615778771.276119,59,35
1615778771.316239,25,35
1615778771.326043,202,35
1615778771.334707,121,35
1615778771.3409731,109,35
1615778771.352252,81,35
1615778771.364816,-8,35
1615778771.372273,22,35
1615778771.3797061,-18,35
1615778771.3897479,-65,35
1615778771.3998258,25,35
1615778771.407279,32,35
1615778771.414764,-60,35
1615778771.4236102,-56,35
1615778771.432662,-7,35
1615778771.439769,-36,35
1615778771.448666,-70,35
1615778771.45261,-46,35
1615778771.468936,104,35
1615778771.477264,151,35
1615778771.487371,72,35
1615778771.4975529,71,35
1615778771.5075772,72,35
1615778771.516629,69,35
1615778771.526283,153,35
1615778771.538823,76,35
1615778771.547664,76,35
1615778771.553795,4,35
1615778771.563712,-145,35
1615778771.57495,-8,35
1615778771.581283,83,35
1615778771.5910761,139,35
1615778771.598921,196,35
1615778771.610036,161,35
1615778771.616373,185,35
1615778771.616373,185,35
1615778771.616373,185,35
1615778771.616373,185,35
1615778771.616373,185,35
1615778771.616373,185,35
1615778771.681281,260,35
1615778771.690573,268,35
1615778771.6937752,202,35
1615778771.712667,171,35
1615778771.7237902,-45,35
1615778771.736137,-81,35
1615778771.745177,-125,35
1615778771.75481,-205,35
1615778771.764778,-198,35
1615778771.776032,-195,35
1615778771.78477,-185,35
1615778771.793549,-142,35
1615778771.80602,-115,35
1615778771.817295,-100,35
1615778771.829757,-38,35
1615778771.841036,-21,35
1615778771.8522491,-24,35
1615778771.862217,-20,35
1615778771.873461,21,35
1615778771.8760052,1,35
1615778771.8760052,1,35
1615778771.8760052,1,35
1615778771.911089,-27,35
1615778771.9234948,176,35
1615778771.934795,146,35
1615778771.942251,147,35
1615778771.949863,133,35
1615778771.962293,80,35
1615778771.969843,105,35
1615778771.981054,27,35
1615778771.9910452,54,35
1615778772.00351,56,35
1615778772.01474,6,35
1615778772.024734,-41,35
1615778772.038502,64,35
1615778772.0498009,128,35
1615778772.059763,67,35
1615778772.069762,71,35
1615778772.085087,-3,35
1615778772.092545,112,35
1615778772.101163,61,35
1615778772.108756,92,35
1615778772.120096,60,35
1615778772.130188,105,35
1615778772.142473,129,35
1615778772.150031,69,35
1615778772.160177,81,35
1615778772.166404,68,35
1615778772.166404,68,35
1615778772.166404,68,35
1615778772.166404,68,35
1615778772.166404,68,35
1615778772.166404,68,35
1615778772.23523,17,35
1615778772.24257,167,35
1615778772.25106,32,35
1615778772.261248,105,35
1615778772.2712152,8,35
1615778772.2815208,-86,35
1615778772.288936,-69,35
1615778772.297696,-39,35
1615778772.307532,19,35
1615778772.317395,13,35
1615778772.32641,49,35
1615778772.334949,38,35
1615778772.347765,-66,35
1615778772.355047,-115,35
1615778772.364814,-50,35
1615778772.374814,-12,35
1615778772.386032,75,35
1615778772.3972821,67,35
1615778772.407331,104,35
1615778772.4185238,16,35
1615778772.428543,37,35
1615778772.436095,59,35
1615778772.4450738,33,35
1615778772.454776,18,35
1615778772.463478,6,35
1615778772.472234,61,35
1615778772.4772701,6,35
1615778772.4772701,6,35
1615778772.4772701,6,35
1615778772.4772701,6,35
1615778772.52001,197,35
1615778772.527541,40,35
1615778772.5362198,24,35
1615778772.5437891,93,35
1615778772.555205,72,35
1615778772.563908,-42,35
1615778772.573608,16,35
1615778772.5814168,-10,35
1615778772.5888262,61,35
1615778772.598568,20,35
1615778772.606393,-11,35
1615778772.6186602,-43,35
1615778772.626295,-4,35
1615778772.6387992,-9,35
1615778772.647681,52,35
1615778772.657377,13,35
1615778772.668641,76,35
1615778772.675045,101,35
1615778772.6849139,91,35
1615778772.696415,153,35
1615778772.706553,42,35
1615778772.7139158,28,35
1615778772.723831,-19,35
1615778772.733952,60,35
1615778772.743798,75,35
1615778772.756298,101,35
1615778772.765048,86,35
1615778772.772574,114,35
1615778772.7763221,125,35
1615778772.7763221,125,35
1615778772.7763221,125,35
1615778772.7763221,125,35
1615778772.7763221,125,35
1615778772.8338912,107,35
1615778772.838565,103,35
1615778772.851315,112,35
1615778772.86228,74,35
1615778772.87227,18,35
1615778772.882317,-13,35
1615778772.891006,-60,35
1615778772.904765,-66,35
1615778772.914825,-101,35
1615778772.9248111,-70,35
1615778772.932291,-45,35
1615778772.9422688,1,35
1615778772.949866,-54,35
1615778772.952621,-41,35
1615778772.970133,86,35
1615778772.9747689,151,35
1615778772.9747689,151,35
1615778772.99662,122,35
1615778773.007304,98,35
1615778773.014833,53,35
1615778773.0247848,64,35
1615778773.032337,86,35
1615778773.0422678,81,35
1615778773.049796,116,35
1615778773.0597508,104,35
