timestamp,raw_value,attention
1615777649.2528372,-17,24
1615777649.260277,-11,24
1615777649.260277,-11,24
1615777649.260277,-11,24
1615777649.260277,-11,24
1615777649.2990441,12,24
1615777649.307477,106,24
1615777649.3150022,91,24
1615777649.325074,32,24
1615777649.332617,38,24
1615777649.344185,-5,24
1615777649.3525991,57,24
1615777649.360415,35,24
1615777649.3702898,-11,24
1615777649.377932,-49,24
1615777649.387787,-14,24
1615777649.3952901,36,24
1615777649.4054441,39,24
1615777649.412926,4,24
1615777649.4227998,7,24
1615777649.43279,0,24
1615777649.440233,-4,24
1615777649.45033,60,24
1615777649.4575942,72,24
1615777649.467594,52,24
1615777649.477862,92,24
1615777649.485095,113,24
1615777649.495018,77,24
1615777649.502497,68,24
1615777649.509999,77,24
1615777649.520075,77,24
1615777649.529015,-3,24
1615777649.537802,-24,24
1615777649.545417,4,24
1615777649.554173,12,24
1615777649.5602078,16,24
1615777649.5602078,16,24
1615777649.5602078,16,24
1615777649.5602078,16,24
1615777649.5602078,16,24
1615777649.5602078,16,24
1615777649.5602078,16,24
1615777649.624149,2,24
1615777649.6353111,112,24
1615777649.645408,55,24
1615777649.655371,84,24
1615777649.662891,38,24
1615777649.672683,8,24
1615777649.682783,28,24
1615777649.69024,-7,24
1615777649.6978948,9,24
1615777649.7079208,53,24
1615777649.716717,12,24
1615777649.7254121,24,24
1615777649.733909,0,24
1615777649.742792,-35,24
1615777649.752832,11,24
1615777649.762929,36,24
1615777649.7703419,25,24
1615777649.780415,39,24
1615777649.7904,11,24
1615777649.7979121,16,24
1615777649.80781,0,24
1615777649.815618,11,24
1615777649.815618,11,24
1615777649.833925,23,24
1615777649.8402839,61,24
1615777649.8502269,-14,24
1615777649.8601441,49,24
1615777649.8601441,49,24
1615777649.8601441,49,24
1615777649.8601441,49,24
1615777649.896794,59,24
1615777649.905319,168,24
1615777649.914044,148,24
1615777649.922543,38,24
1615777649.9338272,33,24
1615777649.941289,64,24
1615777649.9501498,38,24
1615777649.9575171,20,24
1615777649.963768,23,24
1615777649.97376,-28,24
1615777649.981319,26,24
1615777649.991285,-5,24
1615777650.00013,72,24
1615777650.008808,35,24
1615777650.0163462,-33,24
1615777650.023765,-17,24
1615777650.033955,9,24
1615777650.0412679,18,24
1615777650.051308,-39,24
1615777650.0613692,-13,24
1615777650.068798,34,24
1615777650.078795,65,24
1615777650.086296,22,24
1615777650.0963168,73,24
1615777650.103765,87,24
1615777650.113811,34,24
1615777650.121269,66,24
1615777650.130035,92,24
1615777650.137563,59,24
1615777650.145028,43,24
1615777650.155085,19,24
1615777650.155085,19,24
1615777650.155085,19,24
1615777650.155085,19,24
1615777650.155085,19,24
1615777650.1991858,13,20
1615777650.20845,139,20
1615777650.21531,65,20
1615777650.2240798,29,20
1615777650.229037,50,20
1615777650.229037,50,20
1615777650.229037,50,20
1615777650.256404,48,20
1615777650.266437,118,20
1615777650.27666,61,20
1615777650.2863638,86,20
1615777650.2940319,72,20
1615777650.301419,-23,20
1615777650.308744,-34,20
1615777650.32002,34,20
1615777650.3275142,-6,20
1615777650.336323,22,20
1615777650.344076,50,20
1615777650.352586,-10,20
1615777650.360352,-69,20
1615777650.37012,-11,20
1615777650.377938,-41,20
1615777650.385233,-57,20
1615777650.395287,3,20
1615777650.403905,-28,20
1615777650.403905,-28,20
1615777650.421275,-7,20
1615777650.43013,66,20
1615777650.43765,42,20
1615777650.447955,102,20
1615777650.457547,3,20
1615777650.4599922,23,20
1615777650.4599922,23,20
1615777650.4599922,23,20
1615777650.4599922,23,20
1615777650.501417,55,20
1615777650.50883,122,20
1615777650.516553,91,20
1615777650.526457,24,20
1615777650.534254,37,20
1615777650.541611,-11,20
1615777650.550169,-2,20
1615777650.5577862,12,20
1615777650.5676649,12,20
1615777650.5754628,75,20
1615777650.5829492,73,20
1615777650.591491,71,20
1615777650.600192,33,20
1615777650.607927,64,20
1615777650.617644,11,20
1615777650.627927,66,20
1615777650.635164,-9,20
1615777650.645432,28,20
1615777650.6552691,44,20
1615777650.662575,37,20
1615777650.6727,23,20
1615777650.680446,26,20
1615777650.690222,57,20
1615777650.697811,61,20
1615777650.707753,-52,20
1615777650.715039,8,20
1615777650.7239091,50,20
1615777650.7316601,13,20
1615777650.7390962,41,20
1615777650.750112,5,20
1615777650.758848,7,20
1615777650.760065,34,20
1615777650.760065,34,20
1615777650.760065,34,20
1615777650.760065,34,20
1615777650.8019001,173,20
1615777650.810076,214,20
1615777650.815396,245,20
1615777650.815396,245,20
1615777650.832799,161,20
1615777650.840048,120,20
1615777650.8487968,42,20
1615777650.857565,261,20
1615777650.86398,250,20
1615777650.867672,283,20
1615777650.867672,283,20
1615777650.867672,283,20
1615777650.900249,246,20
1615777650.908895,246,20
1615777650.9165812,188,20
1615777650.9225678,235,20
1615777650.9326432,131,20
1615777650.942534,61,20
1615777650.950197,124,20
1615777650.957547,75,20
1615777650.965125,32,20
1615777650.975008,27,20
1615777650.983861,60,20
1615777650.991293,4,20
1615777650.998902,27,20
1615777651.008787,-2,20
1615777651.0163672,59,20
1615777651.0237849,24,20
1615777651.0325959,-46,20
1615777651.041274,37,20
1615777651.050133,32,20
1615777651.0550568,5,20
1615777651.060035,-10,20
1615777651.060035,-10,20
1615777651.060035,-10,20
1615777651.060035,-10,20
1615777651.097586,-5,20
1615777651.107557,68,20
1615777651.11636,3,20
1615777651.123771,-52,20
1615777651.133825,-116,20
1615777651.1438122,-133,20
1615777651.151304,-161,20
1615777651.155143,-212,20
1615777651.155143,-212,20
1615777651.155143,-212,20
1615777651.155143,-212,20
