timestamp,raw_value,attention
1615095052.558323,68,54
1615095052.567071,103,54
1615095052.575947,87,54
1615095052.587407,82,54
1615095052.594573,5,54
1615095052.604586,-12,54
1615095052.613518,-55,54
1615095052.6220338,55,54
1615095052.631957,3,54
1615095052.6394591,-36,54
1615095052.648194,-84,54
1615095052.655683,-30,54
1615095052.663212,67,54
1615095052.670743,73,54
1615095052.680744,28,54
1615095052.6907678,-7,54
1615095052.698306,-1,54
1615095052.7082722,2,54
1615095052.716013,-9,54
1615095052.725784,6,54
1615095052.735845,5,54
1615095052.743362,67,54
1615095052.7545788,57,54
1615095052.760841,43,54
1615095052.7707698,40,54
1615095052.780693,77,54
1615095052.788197,43,54
1615095052.7957308,3,54
1615095052.8034592,25,54
1615095052.813264,45,54
1615095052.8196359,52,54
1615095052.8196359,52,54
1615095052.8196359,52,54
1615095052.8196359,52,54
1615095052.85594,81,54
1615095052.864491,148,54
1615095052.872052,69,54
1615095052.872052,69,54
1615095052.872052,69,54
1615095052.872052,69,54
1615095052.907246,25,48
1615095052.914763,149,48
1615095052.9222012,76,48
1615095052.9311218,23,48
1615095052.941149,45,48
1615095052.948607,32,48
1615095052.958608,-40,48
1615095052.965837,-20,48
1615095052.976106,44,48
1615095052.98618,73,48
1615095052.996128,22,48
1615095052.999887,52,48
1615095053.014444,59,48
1615095053.0219939,155,48
1615095053.029491,76,48
1615095053.038448,27,48
1615095053.044582,1,48
1615095053.052137,6,48
1615095053.062356,1,48
1615095053.072354,21,48
1615095053.081132,18,48
1615095053.08848,11,48
1615095053.097183,70,48
1615095053.107384,59,48
1615095053.114867,37,48
1615095053.11869,40,48
1615095053.11869,40,48
1615095053.11869,40,48
1615095053.153641,37,48
1615095053.162831,80,48
1615095053.171138,86,48
1615095053.1798458,33,48
1615095053.188454,19,48
1615095053.194859,28,48
1615095053.2073028,9,48
1615095053.212447,11,48
1615095053.222359,0,48
1615095053.232191,-11,48
1615095053.239536,-25,48
1615095053.248301,-24,48
1615095053.25707,-19,48
1615095053.264697,3,48
1615095053.273234,22,48
1615095053.2820852,-19,48
1615095053.288255,10,48
1615095053.298383,12,48
1615095053.305729,-1,48
1615095053.315802,27,48
1615095053.323213,55,48
1615095053.333366,53,48
1615095053.343241,3,48
1615095053.350722,6,48
1615095053.359478,11,48
1615095053.367018,124,48
1615095053.368258,135,48
1615095053.3857112,77,48
1615095053.391949,130,48
1615095053.401964,65,48
1615095053.409581,91,48
1615095053.419474,89,48
1615095053.419474,89,48
1615095053.419474,89,48
1615095053.419474,89,48
1615095053.457064,50,48
1615095053.467016,211,48
1615095053.474426,103,48
1615095053.483291,26,48
1615095053.492028,28,48
1615095053.500802,3,48
1615095053.509604,24,48
1615095053.5184782,-13,48
1615095053.528481,-66,48
1615095053.538482,-86,48
1615095053.544867,-56,48
1615095053.556096,12,48
1615095053.563521,18,48
1615095053.572455,36,48
1615095053.579794,67,48
1615095053.587235,64,48
1615095053.597246,68,48
1615095053.608619,7,48
1615095053.614882,-6,48
1615095053.6248891,-35,48
1615095053.632181,-37,48
1615095053.642277,-4,48
1615095053.649508,69,48
1615095053.656928,87,48
1615095053.665677,34,48
1615095053.6758468,10,48
1615095053.6836329,112,48
1615095053.692357,168,48
1615095053.7023869,74,48
1615095053.712062,18,48
1615095053.719855,35,48
1615095053.719855,35,48
1615095053.719855,35,48
1615095053.719855,35,48
1615095053.75707,38,48
1615095053.767045,120,48
1615095053.774472,54,48
1615095053.781986,41,48
1615095053.791996,54,48
1615095053.8019898,21,48
1615095053.809479,-18,48
1615095053.819487,-67,48
1615095053.82697,-13,48
1615095053.836979,42,48
1615095053.846922,89,48
1615095053.854727,71,48
1615095053.864738,32,48
1615095053.872376,-29,48
1615095053.872376,-29,48
1615095053.8935921,-20,56
1615095053.900841,124,56
1615095053.909846,97,56
1615095053.920871,96,56
1615095053.929895,109,56
1615095053.9373472,75,56
1615095053.944851,56,56
1615095053.954792,51,56
1615095053.9623811,4,56
1615095053.972367,-7,56
1615095053.98359,7,56
1615095053.992364,42,56
1615095054.001149,88,56
1615095054.009502,74,56
1615095054.0171862,98,56
1615095054.019671,89,56
1615095054.019671,89,56
1615095054.019671,89,56
1615095054.055964,41,56
1615095054.063251,205,56
1615095054.071946,53,56
1615095054.074465,45,56
1615095054.074465,45,56
1615095054.074465,45,56
1615095054.074465,45,56
1615095054.117347,61,56
1615095054.125964,82,56
1615095054.132232,21,56
1615095054.142226,-34,56
1615095054.15238,-55,56
1615095054.159743,-76,56
1615095054.1683998,-61,56
1615095054.178587,34,56
1615095054.1848462,-2,56
1615095054.194792,-49,56
1615095054.206121,-106,56
1615095054.214664,-21,56
1615095054.222325,51,56
1615095054.232252,24,56
1615095054.2431848,-52,56
1615095054.2507389,-37,56
1615095054.25963,-4,56
1615095054.267051,51,56
1615095054.2745569,16,56
1615095054.286981,-46,56
1615095054.297205,-14,56
1615095054.30449,20,56
1615095054.313292,55,56
1615095054.319458,67,56
1615095054.319458,67,56
1615095054.319458,67,56
1615095054.319458,67,56
1615095054.359512,42,56
1615095054.368227,201,56
1615095054.3757,40,56
1615095054.3846982,-85,56
1615095054.3920782,-93,56
1615095054.403212,-11,56
1615095054.413592,-7,56
1615095054.420703,54,56
1615095054.42956,28,56
1615095054.4382138,-38,56
1615095054.446923,-18,56
1615095054.4544508,4,56
1615095054.4619231,76,56
1615095054.46943,50,56
1615095054.48069,41,56
1615095054.48955,25,56
1615095054.497062,43,56
1615095054.505866,69,56
1615095054.514726,65,56
1615095054.524735,57,56
1615095054.534889,102,56
1615095054.54487,75,56
1615095054.552149,53,56
1615095054.562339,73,56
1615095054.569866,93,56
1615095054.579829,54,56
1615095054.587339,40,56
1615095054.597377,41,56
1615095054.607358,4,56
1615095054.614614,26,56
1615095054.618263,44,56
1615095054.618263,44,56
1615095054.618263,44,56
1615095054.618263,44,56
1615095054.618263,44,56
1615095054.668185,93,56
1615095054.679719,65,56
1615095054.688179,-22,56
1615095054.697053,-14,56
1615095054.7047591,-3,56
1615095054.715946,-18,56
1615095054.723489,-44,56
1615095054.733496,-21,56
1615095054.743619,27,56
1615095054.7512388,45,56
1615095054.7512388,45,56
1615095054.7707462,140,56
1615095054.778186,98,56
1615095054.786974,-2,56
1615095054.795684,7,56
1615095054.80566,35,56
1615095054.813169,-8,56
1615095054.8219562,-27,56
1615095054.8296168,-9,56
1615095054.837232,10,56
1615095054.8472269,56,56
1615095054.854836,61,56
1615095054.864704,19,56
1615095054.872221,40,56
1615095054.872221,40,56
1615095054.872221,40,56
1615095054.872221,40,56
1615095054.904869,38,66
1615095054.91365,148,66
1615095054.9196491,38,66
1615095054.9196491,38,66
1615095054.9196491,38,66
1615095054.9196491,38,66
1615095054.9572082,38,66
1615095054.967283,144,66
1615095054.9761548,67,66
1615095054.986115,6,66
1615095054.9935749,-40,66
1615095055.003242,-54,66
1615095055.010765,17,66
1615095055.018254,23,66
1615095055.028218,-33,66
1615095055.03568,-6,66
1615095055.045729,-17,66
1615095055.0545778,-7,66
1615095055.0635872,-10,66
1615095055.0736,-25,66
1615095055.083462,40,66
1615095055.091073,57,66
1615095055.101075,27,66
1615095055.108588,2,66
1615095055.1184509,24,66
1615095055.1284401,89,66
1615095055.1383512,59,66
1615095055.148427,7,66
1615095055.157071,-20,66
1615095055.163457,-26,66
1615095055.173611,66,66
1615095055.181084,52,66
1615095055.188351,41,66
1615095055.1982121,58,66
1615095055.204463,58,66
1615095055.214475,37,66
1615095055.219434,33,66
1615095055.219434,33,66
1615095055.219434,33,66
1615095055.219434,33,66
1615095055.256902,105,66
1615095055.266919,144,66
1615095055.274411,26,66
1615095055.2831922,9,66
1615095055.2906299,-20,66
1615095055.3020852,-14,66
1615095055.3094,11,66
1615095055.317089,56,66
1615095055.329549,84,66
1615095055.3369868,97,66
1615095055.3470552,51,66
1615095055.354502,77,66
1615095055.361923,34,66
1615095055.373148,45,66
1615095055.3794718,52,66
1615095055.3895411,13,66
1615095055.399803,23,66
1615095055.4094741,-3,66
1615095055.4170072,50,66
1615095055.4244149,57,66
1615095055.434495,49,66
1615095055.443407,36,66
1615095055.451992,42,66
1615095055.460681,48,66
1615095055.465696,54,66
1615095055.475633,54,66
1615095055.4846349,55,66
1615095055.49323,24,66
1615095055.500737,44,66
1615095055.510761,66,66
1615095055.517162,74,66
1615095055.519721,90,66
1615095055.519721,90,66
1615095055.519721,90,66
1615095055.519721,90,66
1615095055.564886,92,66
1615095055.5747058,76,66
1615095055.583595,-6,66
1615095055.59319,-7,66
1615095055.603422,-12,66
1615095055.6110752,35,66
1615095055.618494,37,66
1615095055.626438,16,66
1615095055.6384268,5,66
1615095055.646116,123,66
1615095055.655657,52,66
1615095055.663166,-3,66
1615095055.6731231,43,66
1615095055.680851,34,66
1615095055.690785,-10,66
1615095055.698536,-38,66
1615095055.708663,-38,66
1615095055.71864,-1,66
1615095055.728648,104,66
1615095055.73732,149,66
1615095055.746067,106,66
1615095055.7532759,97,66
1615095055.763603,53,66
1615095055.7707362,73,66
1615095055.780705,97,66
1615095055.788266,83,66
1615095055.795682,12,66
1615095055.8032022,39,66
1615095055.813175,44,66
1615095055.819426,82,66
1615095055.819426,82,66
1615095055.819426,82,66
1615095055.819426,82,66
1615095055.8585632,73,66
1615095055.868438,148,66
1615095055.8734798,70,66
1615095055.887313,97,63
1615095055.894704,129,63
1615095055.903629,-4,63
1615095055.9132109,-19,63
1615095055.920692,-60,63
1615095055.929421,-24,63
1615095055.929421,-24,63
1615095055.948179,-33,63
1615095055.956943,59,63
1615095055.9646342,38,63
1615095055.97327,82,63
1615095055.982102,86,63
1615095055.991063,-50,63
1615095056.0009558,-21,63
1615095056.00949,13,63
1615095056.016941,22,63
1615095056.026968,-44,63
1615095056.0345442,-54,63
1615095056.042314,-36,63
1615095056.0535522,16,63
1615095056.062339,44,63
1615095056.072372,9,63
1615095056.0799072,49,63
1615095056.091103,105,63
1615095056.0985768,92,63
1615095056.108567,54,63
1615095056.117239,21,63
1615095056.118569,11,63
1615095056.118569,11,63
1615095056.118569,11,63
1615095056.118569,11,63
1615095056.162307,-21,63
1615095056.172182,163,63
1615095056.1810539,116,63
1615095056.188426,57,63
1615095056.198557,48,63
1615095056.205968,65,63
1615095056.215908,71,63
1615095056.223283,68,63
1615095056.232272,21,63
1615095056.241982,-21,63
1615095056.249701,-22,63
1615095056.256948,-11,63
1615095056.264498,2,63
1615095056.271907,-5,63
1615095056.281931,-36,63
1615095056.2907982,49,63
1615095056.2994041,38,63
1615095056.308202,56,63
1615095056.3157299,97,63
1615095056.325736,101,63
1615095056.3336802,80,63
1615095056.3406851,61,63
1615095056.3496351,66,63
1615095056.3584168,68,63
1615095056.367274,25,63
1615095056.374448,32,63
1615095056.3820422,10,63
1615095056.391999,-24,63
1615095056.399703,45,63
1615095056.4070022,86,63
1615095056.416987,44,63
1615095056.419453,50,63
1615095056.419453,50,63
1615095056.419453,50,63
1615095056.455673,12,63
1615095056.464463,115,63
1615095056.471915,56,63
1615095056.481931,51,63
1615095056.4893608,27,63
1615095056.4893608,27,63
1615095056.4893608,27,63
1615095056.4893608,27,63
1615095056.526366,-17,63
1615095056.526366,-17,63
1615095056.5464199,125,63
1615095056.554812,49,63
1615095056.563294,-19,63
1615095056.572048,-5,63
1615095056.582363,13,63
1615095056.591037,-70,63
1615095056.60104,-107,63
1615095056.610944,-14,63
1615095056.618308,42,63
1615095056.6286871,20,63
1615095056.638422,-59,63
1615095056.645971,-42,63
1615095056.655906,18,63
1615095056.66327,80,63
1615095056.673277,84,63
1615095056.680777,2,63
1615095056.688276,-3,63
1615095056.69831,35,63
1615095056.7057831,45,63
1615095056.714578,58,63
1615095056.719527,60,63
1615095056.719527,60,63
1615095056.719527,60,63
1615095056.719527,60,63
1615095056.759553,3,63
1615095056.76946,68,63
1615095056.778186,-42,63
1615095056.787094,-41,63
1615095056.7957902,-4,63
1615095056.804511,-7,63
1615095056.8132129,-8,63
1615095056.822113,6,63
1615095056.831043,21,63
1615095056.841064,50,63
1615095056.848547,-8,63
1615095056.858403,13,63
1615095056.8683672,10,63
1615095056.872139,43,63
1615095056.872139,43,63
1615095056.872139,43,63
1615095056.9046972,64,61
1615095056.914521,240,61
1615095056.922061,165,61
1615095056.930958,67,61
1615095056.938412,41,61
1615095056.948669,21,61
1615095056.9585059,4,61
1615095056.968243,-44,61
1615095056.975924,-13,61
1615095056.985951,22,61
1615095056.994696,44,61
1615095057.003249,41,61
