,timestamp,raw_value,attention,delta
0,0,-33,37,0.0
1,1,-68,37,0.006027936935424805
2,2,56,37,0.016106605529785156
3,3,115,37,0.026075124740600586
4,4,66,37,0.03368687629699707
5,5,27,37,0.04256081581115723
6,6,-44,37,0.05132889747619629
7,7,12,37,0.05878591537475586
8,8,2,37,0.06239008903503418
9,9,2,37,0.06239008903503418
10,10,2,37,0.06239008903503418
11,11,2,37,0.06239008903503418
12,12,129,37,0.10378313064575195
13,13,284,37,0.1151280403137207
14,14,151,37,0.12369799613952637
15,15,-52,37,0.13389301300048828
16,16,-241,37,0.1413428783416748
17,17,-129,37,0.14849591255187988
18,18,-122,37,0.15848898887634277
19,19,26,37,0.16882705688476562
20,20,-43,37,0.1763308048248291
21,21,-4,37,0.1834869384765625
22,22,10,37,0.1934950351715088
23,23,-58,37,0.20475006103515625
24,24,5,37,0.21095585823059082
25,25,100,37,0.218430757522583
26,26,121,37,0.2322249412536621
27,27,290,37,0.24087095260620117
28,28,19,37,0.2522010803222656
29,29,-29,37,0.2596895694732666
30,30,-12,37,0.26596713066101074
31,31,71,37,0.2759079933166504
32,32,85,37,0.2821660041809082
33,33,45,37,0.2922029495239258
34,34,54,37,0.2996518611907959
35,35,24,37,0.3072628974914551
36,36,53,37,0.3147430419921875
37,37,43,37,0.32477617263793945
38,38,-25,37,0.3321549892425537
39,39,-12,37,0.3396420478820801
40,40,12,37,0.34963393211364746
41,41,1,37,0.35968995094299316
42,42,65,37,0.36714816093444824
43,43,102,37,0.37720298767089844
44,44,52,37,0.3835740089416504
45,45,52,37,0.3835740089416504
46,46,52,37,0.3835740089416504
47,47,52,37,0.3835740089416504
48,48,24,37,0.4187188148498535
49,49,363,37,0.4272139072418213
50,50,195,37,0.4375753402709961
51,51,118,37,0.4434638023376465
52,52,33,37,0.45124197006225586
53,53,90,37,0.46095800399780273
54,54,60,37,0.4674708843231201
55,55,-27,37,0.47722697257995605
56,56,60,37,0.4859938621520996
57,57,36,37,0.49219393730163574
58,58,54,37,0.5024271011352539
59,59,138,37,0.5097429752349854
60,60,61,37,0.5174241065979004
61,61,24,37,0.5260038375854492
62,62,35,37,0.5359809398651123
63,63,21,37,0.5447771549224854
64,64,35,37,0.5512468814849854
65,65,-44,37,0.5611569881439209
66,66,-6,37,0.5713088512420654
67,67,35,37,0.5788171291351318
68,68,22,37,0.5900309085845947
69,69,11,37,0.5975730419158936
70,70,21,37,0.6061739921569824
71,71,41,37,0.6137888431549072
72,72,1,37,0.623795747756958
73,73,-68,37,0.6337168216705322
74,74,193,37,0.6425440311431885
75,75,133,37,0.6524708271026611
76,76,192,37,0.6576628684997559
77,77,156,37,0.6625330448150635
78,78,156,37,0.6625330448150635
79,79,156,37,0.6625330448150635
80,80,198,37,0.6975569725036621
81,81,300,37,0.7046921253204346
82,82,137,37,0.7134859561920166
83,83,60,37,0.7209389209747314
84,84,55,37,0.7247190475463867
85,85,55,37,0.7247190475463867
86,86,55,37,0.7247190475463867
87,87,55,37,0.7247190475463867
88,88,160,48,0.7651610374450684
89,89,68,48,0.7721598148345947
90,90,-68,48,0.7808821201324463
91,91,-120,48,0.7871088981628418
92,92,-118,48,0.7971019744873047
93,93,-60,48,0.8046298027038574
94,94,-5,48,0.8146629333496094
95,95,-19,48,0.8221421241760254
96,96,-54,48,0.8322019577026367
97,97,-151,48,0.8384735584259033
98,98,-77,48,0.8434159755706787
99,99,-74,48,0.8572180271148682
100,100,132,48,0.8660330772399902
101,101,-43,48,0.8733808994293213
102,102,-76,48,0.8846879005432129
103,103,-13,48,0.8946831226348877
104,104,-6,48,0.9047231674194336
105,105,99,48,0.9121661186218262
106,106,118,48,0.9222049713134766
107,107,-67,48,0.9296410083770752
108,108,-36,48,0.9396851062774658
109,109,-91,48,0.9509661197662354
110,110,-75,48,0.9600868225097656
111,111,-55,48,0.9613289833068848
112,112,-55,48,0.9613289833068848
113,113,-55,48,0.9613289833068848
114,114,-55,48,0.9613289833068848
115,115,33,48,1.003429889678955
116,116,235,48,1.013411045074463
117,117,-164,48,1.0234029293060303
118,118,-106,48,1.032221794128418
119,119,92,48,1.039837121963501
120,120,2,48,1.0484561920166016
121,121,-170,48,1.0584321022033691
122,122,-152,48,1.066061019897461
123,123,-107,48,1.0758678913116455
124,124,-62,48,1.082122564315796
125,125,73,48,1.0924208164215088
126,126,42,48,1.0997490882873535
127,127,-30,48,1.1100821495056152
128,128,25,48,1.1199300289154053
129,129,151,48,1.130012035369873
130,130,90,48,1.1400718688964844
131,131,-8,48,1.1449530124664307
132,132,-75,48,1.1561660766601562
133,133,43,48,1.1662778854370117
134,134,122,48,1.1736621856689453
135,135,61,48,1.1799960136413574
136,136,0,48,1.1900110244750977
137,137,40,48,1.1997730731964111
138,138,-9,48,1.2087969779968262
139,139,109,48,1.2135071754455566
140,140,109,48,1.2135071754455566
141,141,199,48,1.2371826171875
142,142,166,48,1.2459261417388916
143,143,27,48,1.2559518814086914
144,144,-49,48,1.2621490955352783
145,145,-49,48,1.2621490955352783
146,146,-49,48,1.2621490955352783
147,147,-49,48,1.2621490955352783
148,148,29,48,1.29876708984375
149,149,296,48,1.306433916091919
150,150,65,48,1.3149609565734863
151,151,-50,48,1.3237645626068115
152,152,-24,48,1.3323559761047363
153,153,33,48,1.3422679901123047
154,154,42,48,1.3496520519256592
155,155,75,48,1.3596489429473877
156,156,-123,48,1.3671770095825195
157,157,-110,48,1.3772878646850586
158,158,-13,48,1.3848180770874023
159,159,-71,48,1.3925249576568604
160,160,-43,48,1.4037699699401855
161,161,49,48,1.4137628078460693
162,162,3,48,1.4225540161132812
163,163,37,48,1.4300189018249512
164,164,19,48,1.4371910095214844
165,165,43,48,1.4462950229644775
166,166,51,48,1.4536809921264648
167,167,74,48,1.465041160583496
168,168,117,48,1.4686481952667236
169,169,124,48,1.4823501110076904
170,170,231,48,1.4916257858276367
171,171,139,48,1.5000190734863281
172,172,68,48,1.5086495876312256
173,173,-33,48,1.516171932220459
174,174,23,48,1.526296615600586
175,175,12,48,1.5337893962860107
176,176,2,48,1.541261911392212
177,177,16,48,1.551058053970337
178,178,105,48,1.5611848831176758
179,179,6,48,1.568655014038086
180,180,-29,48,1.576097011566162
181,181,21,48,1.58626389503479
182,182,-8,48,1.5936858654022217
183,183,44,48,1.6024401187896729
184,184,19,48,1.6112570762634277
