timestamp,raw_value,attention
1615168242.4027321,43,48
1615168242.409994,11,48
1615168242.416219,-19,48
1615168242.416219,-19,48
1615168242.416219,-19,48
1615168242.416219,-19,48
1615168242.4577549,3,48
1615168242.466932,219,48
1615168242.476449,57,48
1615168242.483755,34,48
1615168242.490379,-81,48
1615168242.50003,24,48
1615168242.507664,-22,48
1615168242.514326,-26,48
1615168242.526589,-46,48
1615168242.5351622,107,48
1615168242.543901,81,48
1615168242.5527859,0,48
1615168242.562787,-33,48
1615168242.570291,4,48
1615168242.5801752,35,48
1615168242.587789,26,48
1615168242.597719,65,48
1615168242.6088681,61,48
1615168242.6176782,18,48
1615168242.6249652,-33,48
1615168242.634923,81,48
1615168242.6424031,69,48
1615168242.649896,1,48
1615168242.659909,-55,48
1615168242.6673799,82,48
1615168242.677707,107,48
1615168242.686433,-24,48
1615168242.6939142,74,48
1615168242.705146,27,48
1615168242.711274,83,48
1615168242.721215,98,48
1615168242.7223868,50,48
1615168242.7223868,50,48
1615168242.7223868,50,48
1615168242.7573829,29,48
1615168242.764867,169,48
1615168242.773649,114,48
1615168242.7838678,49,48
1615168242.79154,60,48
1615168242.798937,123,48
1615168242.809055,4,48
1615168242.816556,-6,48
1615168242.825196,49,48
1615168242.8340359,-66,48
1615168242.842777,-7,48
1615168242.8527842,-2,48
1615168242.860039,-23,48
1615168242.86886,2,48
1615168242.8777869,24,48
1615168242.885279,57,48
1615168242.896587,39,48
1615168242.905052,60,48
1615168242.912787,57,48
1615168242.921539,9,48
1615168242.931596,40,48
1615168242.940186,58,48
1615168242.9476569,104,48
1615168242.9553459,68,48
1615168242.966531,37,48
1615168242.975167,-10,48
1615168242.986457,57,48
1615168242.996557,48,48
1615168243.002557,10,48
1615168243.0124328,40,48
1615168243.021188,91,48
1615168243.021188,91,48
1615168243.021188,91,48
1615168243.021188,91,48
1615168243.021188,91,48
1615168243.0624042,55,48
1615168243.072614,166,48
1615168243.081287,54,48
1615168243.0914319,51,48
1615168243.100213,53,48
1615168243.108758,2,48
1615168243.118618,0,48
1615168243.127477,-33,48
1615168243.134936,20,48
1615168243.145,49,48
1615168243.1524448,18,48
1615168243.162435,-11,48
1615168243.169861,32,48
1615168243.177418,32,48
1615168243.187361,19,48
1615168243.198612,-27,48
1615168243.2061608,59,48
1615168243.212409,73,48
1615168243.222386,87,48
1615168243.232415,56,48
1615168243.2399008,13,48
1615168243.248657,23,48
1615168243.256182,42,48
1615168243.263924,42,48
1615168243.263924,42,48
1615168243.282419,61,48
1615168243.289938,154,48
1615168243.298649,72,48
1615168243.304853,34,48
1615168243.315009,32,48
1615168243.31617,52,48
1615168243.31617,52,48
1615168243.31617,52,48
1615168243.31617,52,48
1615168243.31617,52,48
1615168243.36412,0,53
1615168243.37517,19,53
1615168243.382488,-65,53
1615168243.392412,-17,53
1615168243.4,-17,53
1615168243.409951,-25,53
1615168243.4188318,-45,53
1615168243.427779,3,53
1615168243.435217,38,53
1615168243.4453719,58,53
1615168243.455285,33,53
1615168243.4615512,4,53
1615168243.472779,12,53
1615168243.481535,40,53
1615168243.489057,56,53
1615168243.496588,-7,53
1615168243.507796,84,53
1615168243.517498,6,53
1615168243.525297,39,53
1615168243.5340412,28,53
1615168243.54144,17,53
1615168243.548939,42,53
1615168243.558916,45,53
1615168243.566536,38,53
1615168243.576592,37,53
1615168243.586544,28,53
1615168243.594074,33,53
1615168243.6053052,137,53
1615168243.612886,91,53
1615168243.621237,42,53
1615168243.621237,42,53
1615168243.621237,42,53
1615168243.621237,42,53
1615168243.621237,42,53
1615168243.665281,16,53
1615168243.673707,107,53
1615168243.6811361,77,53
1615168243.6899352,33,53
1615168243.694883,69,53
1615168243.694883,69,53
1615168243.7136269,13,53
1615168243.722443,89,53
1615168243.731254,-5,53
1615168243.740195,21,53
1615168243.7476668,28,53
1615168243.757791,-23,53
1615168243.766457,17,53
1615168243.774047,33,53
1615168243.785168,145,53
1615168243.795031,55,53
1615168243.805429,33,53
1615168243.8115551,13,53
1615168243.821571,69,53
1615168243.830293,65,53
1615168243.837776,36,53
1615168243.8477728,64,53
1615168243.856533,18,53
1615168243.865291,-33,53
1615168243.875206,20,53
1615168243.885264,99,53
1615168243.895297,6,53
1615168243.9052968,-73,53
1615168243.9138958,42,53
1615168243.922752,4,53
1615168243.922752,4,53
1615168243.922752,4,53
1615168243.922752,4,53
1615168243.958852,4,53
1615168243.96891,197,53
1615168243.9790652,37,53
1615168243.9865391,-44,53
1615168243.994036,-11,53
1615168244.003732,145,53
1615168244.0112572,71,53
1615168244.023927,-21,53
1615168244.028746,28,53
1615168244.0390332,23,53
1615168244.048848,40,53
1615168244.0563169,26,53
1615168244.066565,59,53
