timestamp,raw_value,attention
1615168347.493163,36,53
1615168347.501945,42,53
1615168347.512191,20,53
1615168347.512191,20,53
1615168347.529623,89,53
1615168347.537974,50,53
1615168347.546905,84,53
1615168347.555677,84,53
1615168347.56295,0,53
1615168347.573029,54,53
1615168347.583081,33,53
1615168347.590656,-26,53
1615168347.600652,13,53
1615168347.610604,4,53
1615168347.618169,39,53
1615168347.628057,57,53
1615168347.6381729,82,53
1615168347.6455271,54,53
1615168347.655648,72,53
1615168347.663049,81,53
1615168347.673177,18,53
1615168347.68064,49,53
1615168347.690725,73,53
1615168347.6980531,26,53
1615168347.707981,21,53
1615168347.715362,84,53
1615168347.72149,108,53
1615168347.72149,108,53
1615168347.72149,108,53
1615168347.72149,108,53
1615168347.757777,120,53
1615168347.768047,213,53
1615168347.7755678,227,53
1615168347.784436,225,53
1615168347.793036,200,53
1615168347.800643,228,53
1615168347.809424,204,53
1615168347.818165,171,53
1615168347.825723,133,53
1615168347.83567,74,53
1615168347.84307,-50,53
1615168347.85065,-11,53
1615168347.8607109,-98,53
1615168347.87201,-88,53
1615168347.8781528,-74,53
1615168347.888175,-137,53
1615168347.895679,-133,53
1615168347.9056761,-135,53
1615168347.9142988,-115,53
1615168347.9230459,-179,53
1615168347.9306612,-184,53
1615168347.940379,-235,53
1615168347.9502609,-145,53
1615168347.957748,-82,53
1615168347.967757,-86,53
1615168347.9754229,-42,53
1615168347.981824,-4,53
1615168347.993092,5,53
1615168347.9994218,-34,53
1615168348.009409,5,53
1615168348.017816,40,53
1615168348.0202801,33,53
1615168348.0202801,33,53
1615168348.0202801,33,53
1615168348.0202801,33,53
1615168348.065931,88,53
1615168348.0744162,109,53
1615168348.081915,60,53
1615168348.086764,129,53
1615168348.099404,77,53
1615168348.1081522,26,53
1615168348.118175,35,53
1615168348.124056,84,53
1615168348.134037,59,53
1615168348.141537,40,53
1615168348.152782,-24,53
1615168348.1590211,-9,53
1615168348.169157,69,53
1615168348.1765492,73,53
1615168348.186522,88,53
1615168348.194009,53,53
1615168348.20522,69,53
1615168348.2140281,45,53
1615168348.221507,84,53
1615168348.2315001,96,53
1615168348.241506,98,53
1615168348.250266,114,53
1615168348.256583,131,53
