timestamp,raw_value,attention
1615014648.375946,28,61
1615014648.383826,18,61
1615014648.3922439,-13,61
1615014648.401134,-5,61
1615014648.411372,36,61
1615014648.411372,36,61
1615014648.411372,36,61
1615014648.4350321,-1,61
1615014648.442636,39,61
1615014648.451676,24,61
1615014648.463465,72,61
1615014648.47348,66,61
1615014648.477196,39,61
1615014648.491023,66,61
1615014648.498558,76,61
1615014648.507326,86,61
1615014648.5124218,90,61
1615014648.521152,86,61
1615014648.5312169,97,61
1615014648.540046,53,61
1615014648.549842,72,61
1615014648.5597801,26,61
1615014648.563615,-18,61
1615014648.574771,40,61
1615014648.580954,41,61
1615014648.580954,41,61
1615014648.580954,41,61
1615014648.580954,41,61
1615014648.580954,41,61
1615014648.624789,-6,61
1615014648.634827,-45,61
1615014648.6462688,137,61
1615014648.653456,84,61
1615014648.661293,148,61
1615014648.670013,155,61
1615014648.681386,148,61
1615014648.689852,42,61
1615014648.6999512,61,61
1615014648.707787,49,61
1615014648.712716,23,61
1615014648.723995,100,61
1615014648.73397,147,61
1615014648.742358,104,61
1615014648.752626,102,61
1615014648.761291,107,61
1615014648.7639308,122,61
1615014648.7639308,122,61
1615014648.7639308,122,61
1615014648.7639308,122,61
1615014648.7639308,122,61
1615014648.812475,91,61
1615014648.823456,147,61
1615014648.8298728,132,61
1615014648.8298728,132,61
1615014648.8509362,71,61
1615014648.858421,59,61
1615014648.8659682,17,61
1615014648.8722188,-8,61
1615014648.882248,-14,61
1615014648.89096,-43,61
1615014648.8996851,-5,61
1615014648.909744,-10,61
1615014648.9184,-49,61
1615014648.925906,-38,61
1615014648.93219,-65,61
1615014648.942333,-14,61
1615014648.952211,-30,61
1615014648.959703,-58,61
1615014648.9685209,-116,61
1615014648.9773362,-116,61
1615014648.984881,-84,61
1615014648.9949,-75,61
1615014649.003631,-30,61
1615014649.0109582,4,61
1615014649.019756,-11,61
1615014649.030901,16,61
1615014649.039756,6,61
1615014649.047179,-1,61
1615014649.0571709,77,61
1615014649.063383,116,61
1615014649.063383,116,61
1615014649.063383,116,61
1615014649.091056,91,61
1615014649.1010308,83,61
1615014649.107235,82,61
1615014649.1160629,81,61
1615014649.126009,129,61
1615014649.1322298,72,61
1615014649.1322298,72,61
1615014649.1322298,72,61
1615014649.1322298,72,61
1615014649.1322298,72,61
1615014649.1322298,72,61
1615014649.1850739,77,61
1615014649.1934469,58,61
1615014649.2021608,64,61
1615014649.2096782,84,61
1615014649.219659,-13,61
1615014649.2275982,28,61
1615014649.2346828,-7,61
1615014649.240934,23,61
1615014649.2521632,51,61
1615014649.260946,64,61
1615014649.265903,82,61
1615014649.272176,28,61
1615014649.285988,-13,61
1615014649.293429,21,61
1615014649.300946,5,61
1615014649.309657,49,61
1615014649.318458,108,61
1615014649.328436,131,61
1615014649.3309178,144,61
1615014649.3309178,144,61
1615014649.35219,148,61
1615014649.36215,57,61
1615014649.363424,74,61
1615014649.363424,74,61
1615014649.363424,74,61
1615014649.363424,74,61
1615014649.404696,55,61
1615014649.412831,121,61
1615014649.423389,96,61
1615014649.430919,60,61
1615014649.442163,38,61
1615014649.449665,-14,61
1615014649.455907,-5,61
1615014649.468419,27,61
1615014649.474779,89,61
1615014649.48594,75,61
1615014649.4909818,64,61
1615014649.5010319,43,61
1615014649.509731,6,61
1615014649.518425,-21,61
1615014649.527143,6,61
1615014649.53591,26,61
1615014649.5433989,37,61
1615014649.5509279,49,61
1615014649.559648,11,61
1615014649.565962,59,61
1615014649.575969,41,61
1615014649.583464,39,61
1615014649.5908952,56,61
1615014649.598423,59,61
1615014649.6059048,-22,61
1615014649.615927,41,61
1615014649.627176,72,61
1615014649.632979,92,61
1615014649.642176,107,61
1615014649.650919,101,61
1615014649.658396,75,61
1615014649.663418,10,61
1615014649.663418,10,61
1615014649.663418,10,61
1615014649.663418,10,61
1615014649.663418,10,61
1615014649.7112079,8,61
1615014649.7127411,20,61
1615014649.7127411,20,61
1615014649.7360508,141,61
1615014649.7455208,68,61
1615014649.752546,32,61
1615014649.7563,18,61
1615014649.771426,57,61
1615014649.77893,7,61
1615014649.787192,-9,61
1615014649.793469,-2,61
1615014649.7996721,5,61
1615014649.809825,-3,61
1615014649.818887,-58,61
1615014649.8287501,-8,61
1615014649.837565,60,61
1615014649.8425338,70,61
1615014649.852579,54,61
1615014649.861245,52,61
1615014649.870921,28,61
1615014649.879835,56,61
1615014649.886281,39,61
1615014649.8951108,29,61
1615014649.904813,8,61
1615014649.914992,-2,61
1615014649.923489,0,61
1615014649.932192,4,61
1615014649.938495,20,61
1615014649.950023,98,61
1615014649.9573,49,61
1615014649.9638631,65,61
1615014649.9638631,65,61
1615014649.9638631,65,61
1615014649.9638631,65,61
1615014649.9638631,65,61
1615014650.009784,51,61
1615014650.018545,130,61
1615014650.018545,130,61
1615014650.036164,121,61
1615014650.04628,66,61
1615014650.054999,56,61
1615014650.061274,19,61
1615014650.073432,38,61
1615014650.082227,48,61
1615014650.090979,-4,61
1615014650.097412,6,61
1615014650.10715,85,61
1615014650.115989,55,61
1615014650.12464,41,61
1615014650.133429,84,61
