timestamp,raw_value,attention
1615779516.949728,199,80
1615779516.955304,16,80
1615779516.9669042,-168,80
1615779516.9669042,-168,80
1615779516.9669042,-168,80
1615779516.9669042,-168,80
1615779516.9669042,-168,80
1615779517.010515,-92,80
1615779517.019424,86,80
1615779517.026727,105,80
1615779517.026727,105,80
1615779517.026727,105,80
1615779517.026727,105,80
1615779517.0631309,80,80
1615779517.0716999,249,80
1615779517.080648,-28,80
1615779517.0831711,-138,80
1615779517.0831711,-138,80
1615779517.0831711,-138,80
1615779517.0831711,-138,80
1615779517.124544,-149,80
1615779517.126103,-57,80
1615779517.135466,21,80
1615779517.135466,21,80
1615779517.135466,21,80
1615779517.135466,21,80
1615779517.135466,21,80
1615779517.135466,21,80
1615779517.135466,21,80
1615779517.202049,36,80
1615779517.206393,205,80
1615779517.206393,205,80
1615779517.206393,205,80
1615779517.206393,205,80
1615779517.247659,153,80
1615779517.255439,5,80
1615779517.2644212,-114,80
1615779517.2644212,-114,80
1615779517.2644212,-114,80
1615779517.2644212,-114,80
1615779517.2644212,-114,80
1615779517.306808,73,80
1615779517.315416,91,80
1615779517.325387,-85,80
1615779517.325387,-85,80
1615779517.325387,-85,80
1615779517.325387,-85,80
1615779517.365748,-123,80
1615779517.3742101,44,80
1615779517.381782,-154,80
1615779517.3868349,-184,80
1615779517.3868349,-184,80
1615779517.3868349,-184,80
1615779517.3868349,-184,80
1615779517.425625,-181,80
1615779517.4354482,71,80
1615779517.4431732,42,80
1615779517.4470348,98,80
1615779517.4470348,98,80
1615779517.4470348,98,80
1615779517.4470348,98,80
1615779517.488448,-37,80
1615779517.494308,38,80
1615779517.5032241,-50,80
1615779517.506867,-163,80
1615779517.506867,-163,80
1615779517.506867,-163,80
1615779517.506867,-163,80
1615779517.552929,-156,80
1615779517.5604138,168,80
1615779517.566705,136,80
1615779517.566705,136,80
1615779517.566705,136,80
1615779517.566705,136,80
1615779517.602019,35,80
1615779517.6106272,118,80
1615779517.619454,105,80
1615779517.6256719,-167,80
1615779517.6256719,-167,80
1615779517.6256719,-167,80
1615779517.6256719,-167,80
1615779517.6256719,-167,80
1615779517.6682482,6,80
1615779517.676735,32,80
1615779517.685573,88,80
1615779517.685573,88,80
1615779517.685573,88,80
1615779517.685573,88,80
1615779517.685573,88,80
1615779517.7282,138,80
1615779517.7282,138,80
1615779517.7478778,195,80
1615779517.756643,64,80
1615779517.764137,20,80
1615779517.774399,-165,80
1615779517.7818491,-267,80
1615779517.790635,-259,80
1615779517.798194,-131,80
1615779517.809539,-68,80
1615779517.8183,-219,80
1615779517.826918,-25,80
1615779517.834573,-100,80
1615779517.843287,-66,80
1615779517.8533099,-24,80
1615779517.860429,-89,80
1615779517.8680298,-97,80
1615779517.8780532,-51,80
1615779517.8805618,-68,80
1615779517.8805618,-68,80
1615779517.8805618,-68,80
1615779517.8805618,-68,80
1615779517.8805618,-68,80
1615779517.8805618,-68,80
1615779517.8805618,-68,80
1615779517.9482691,-81,80
1615779517.9482691,-81,80
1615779517.970655,-104,80
1615779517.980468,309,64
1615779517.984715,168,64
1615779517.984715,168,64
1615779517.984715,168,64
1615779517.984715,168,64
1615779518.025567,170,64
1615779518.034175,170,64
1615779518.044217,108,64
1615779518.0466182,107,64
1615779518.0466182,107,64
1615779518.0466182,107,64
1615779518.0466182,107,64
1615779518.086764,108,64
1615779518.095403,186,64
1615779518.103015,144,64
1615779518.106667,27,64
1615779518.106667,27,64
1615779518.106667,27,64
1615779518.106667,27,64
1615779518.147392,52,64
1615779518.155447,-28,64
1615779518.162873,-92,64
1615779518.166626,-102,64
1615779518.166626,-102,64
1615779518.166626,-102,64
1615779518.166626,-102,64
1615779518.202972,-118,64
1615779518.211682,90,64
1615779518.219197,91,64
1615779518.225467,12,64
1615779518.225467,12,64
1615779518.225467,12,64
1615779518.225467,12,64
1615779518.225467,12,64
1615779518.2736,29,64
1615779518.279397,43,64
1615779518.2866828,-35,64
1615779518.2866828,-35,64
1615779518.2866828,-35,64
1615779518.2866828,-35,64
1615779518.328983,120,64
1615779518.333149,35,64
1615779518.333149,35,64
1615779518.3467,34,64
1615779518.3467,34,64
1615779518.3467,34,64
1615779518.3467,34,64
1615779518.386719,20,64
1615779518.395359,135,64
1615779518.4041889,49,64
1615779518.40665,48,64
1615779518.40665,48,64
1615779518.40665,48,64
1615779518.40665,48,64
1615779518.40665,48,64
1615779518.40665,48,64
1615779518.40665,48,64
1615779518.47431,35,64
1615779518.4756212,1,64
1615779518.4756212,1,64
1615779518.4756212,1,64
1615779518.5134459,135,64
1615779518.5209,52,64
1615779518.526884,26,64
1615779518.526884,26,64
1615779518.526884,26,64
1615779518.526884,26,64
1615779518.526884,26,64
1615779518.574399,165,64
1615779518.5819688,122,64
1615779518.5855281,75,64
1615779518.5855281,75,64
1615779518.5855281,75,64
1615779518.5855281,75,64
1615779518.625382,52,64
1615779518.635412,33,64
1615779518.644154,-27,64
1615779518.646581,-98,64
1615779518.646581,-98,64
1615779518.646581,-98,64
1615779518.646581,-98,64
1615779518.686846,-136,64
1615779518.696646,60,64
1615779518.705515,-28,64
1615779518.705515,-28,64
1615779518.705515,-28,64
1615779518.705515,-28,64
1615779518.7442,-87,64
1615779518.7533782,69,64
1615779518.76051,-3,64
1615779518.766643,-106,64
1615779518.766643,-106,64
1615779518.766643,-106,64
