timestamp,raw_value,attention
1615779481.903595,106,10
1615779481.903595,106,10
1615779481.903595,106,10
1615779481.903595,106,10
1615779481.903595,106,10
1615779481.903595,106,10
1615779481.903595,106,10
1615779481.964851,197,8
1615779481.974337,243,8
1615779481.98229,76,8
1615779481.9848452,53,8
1615779481.9848452,53,8
1615779481.9848452,53,8
1615779481.9848452,53,8
1615779482.024846,35,8
1615779482.035104,72,8
1615779482.04024,-50,8
1615779482.04024,-50,8
1615779482.063869,134,8
1615779482.073919,-77,8
1615779482.0838451,35,8
1615779482.0912309,-28,8
1615779482.101204,-118,8
1615779482.108614,-69,8
1615779482.116145,-11,8
1615779482.124966,-29,8
1615779482.133552,-70,8
1615779482.14478,18,8
1615779482.151089,-86,8
1615779482.161074,-28,8
1615779482.1689758,-76,8
1615779482.178761,-99,8
1615779482.189004,-120,8
1615779482.196127,-85,8
1615779482.203993,-65,8
1615779482.213709,-133,8
1615779482.222768,-125,8
1615779482.231287,-116,8
1615779482.2412212,-118,8
1615779482.251482,-100,8
1615779482.261384,-86,8
1615779482.268966,-168,8
1615779482.2790039,-137,8
1615779482.286444,-132,8
1615779482.286444,-132,8
1615779482.286444,-132,8
1615779482.286444,-132,8
1615779482.286444,-132,8
1615779482.3288372,-90,8
1615779482.33875,112,8
1615779482.347681,-39,8
1615779482.356492,43,8
1615779482.364969,53,8
1615779482.374015,48,8
1615779482.382617,43,8
1615779482.389885,-33,8
1615779482.3976,2,8
1615779482.407447,-34,8
1615779482.416469,-75,8
1615779482.42501,18,8
1615779482.435252,-106,8
1615779482.443746,-109,8
1615779482.452745,-49,8
1615779482.4599419,-56,8
1615779482.470119,-125,8
1615779482.477671,-131,8
1615779482.485109,-13,8
1615779482.495125,-11,8
1615779482.5052469,58,8
1615779482.5123389,82,8
1615779482.521174,5,8
1615779482.5303,52,8
1615779482.5390358,6,8
1615779482.546505,34,8
1615779482.55382,16,8
1615779482.563992,82,8
1615779482.5714712,74,8
1615779482.574958,-8,8
1615779482.574958,-8,8
1615779482.574958,-8,8
1615779482.574958,-8,8
1615779482.574958,-8,8
1615779482.574958,-8,8
1615779482.634858,-10,8
1615779482.646092,17,8
1615779482.654853,-9,8
1615779482.663552,-34,8
1615779482.673544,21,8
1615779482.682305,-58,8
1615779482.691217,-138,8
1615779482.6986299,-54,8
1615779482.7061582,-14,8
1615779482.716086,-30,8
1615779482.723659,-73,8
1615779482.733697,22,8
1615779482.741259,49,8
1615779482.748679,-4,8
1615779482.757411,-101,8
1615779482.7673368,-67,8
1615779482.774868,-61,8
1615779482.782391,-131,8
1615779482.7936351,43,8
1615779482.8024,10,8
1615779482.8099542,-19,8
1615779482.817301,-57,8
1615779482.8248608,-72,8
1615779482.834827,-52,8
1615779482.842407,-39,8
1615779482.8523672,-91,8
1615779482.859858,4,8
1615779482.869907,82,8
1615779482.878649,48,8
1615779482.886122,-50,8
1615779482.886122,-50,8
1615779482.886122,-50,8
1615779482.886122,-50,8
1615779482.923669,-59,8
1615779482.931082,149,20
1615779482.9398541,86,20
1615779482.9487722,36,20
1615779482.956387,-36,20
1615779482.967658,-85,20
1615779482.9740758,-104,20
1615779482.983865,11,20
1615779482.993602,-14,20
1615779483.001133,-66,20
1615779483.0112362,-166,20
1615779483.018602,-86,20
1615779483.02982,-10,20
1615779483.038527,-119,20
1615779483.048554,56,20
1615779483.056106,69,20
1615779483.064802,-3,20
1615779483.0710201,23,20
1615779483.081068,16,20
1615779483.091179,16,20
1615779483.101063,-106,20
1615779483.108566,-60,20
1615779483.116111,-42,20
1615779483.126109,40,20
1615779483.136102,39,20
1615779483.1436539,-7,20
1615779483.154918,70,20
1615779483.16117,51,20
1615779483.171287,93,20
1615779483.181234,68,20
1615779483.186152,-1,20
1615779483.186152,-1,20
1615779483.186152,-1,20
1615779483.186152,-1,20
1615779483.186152,-1,20
1615779483.186152,-1,20
1615779483.242521,18,20
1615779483.252343,166,20
1615779483.2601888,149,20
1615779483.269011,135,20
1615779483.277622,69,20
1615779483.286369,-36,20
1615779483.296173,-11,20
1615779483.303991,-7,20
1615779483.315165,44,20
1615779483.320114,-77,20
1615779483.320114,-77,20
1615779483.320114,-77,20
1615779483.348934,-136,20
1615779483.357635,198,20
1615779483.366384,20,20
1615779483.374022,74,20
1615779483.383724,21,20
1615779483.3902888,38,20
1615779483.400048,27,20
1615779483.4078012,-84,20
1615779483.416168,137,20
1615779483.4251251,43,20
1615779483.432541,19,20
1615779483.441525,137,20
1615779483.448874,90,20
1615779483.458866,-12,20
1615779483.4665012,80,20
1615779483.473929,-39,20
1615779483.481256,-34,20
1615779483.489868,-38,20
1615779483.489868,-38,20
1615779483.489868,-38,20
1615779483.489868,-38,20
1615779483.525006,-37,20
1615779483.536185,232,20
1615779483.542606,178,20
1615779483.5524962,64,20
1615779483.562508,71,20
1615779483.5699809,162,20
1615779483.578628,166,20
1615779483.586126,114,20
1615779483.592391,145,20
1615779483.602329,96,20
1615779483.611095,67,20
1615779483.618594,64,20
1615779483.6273448,104,20
1615779483.636155,28,20
1615779483.643669,51,20
1615779483.654859,4,20
1615779483.6611059,12,20
1615779483.6686049,84,20
1615779483.6786509,90,20
1615779483.688565,28,20
1615779483.69487,60,20
1615779483.7023392,84,20
1615779483.712348,81,20
1615779483.722529,2,20
1615779483.729901,129,20
1615779483.737343,102,20
1615779483.7473762,56,20
1615779483.754841,8,20
1615779483.764844,26,20
1615779483.7748759,99,20
1615779483.7823749,100,20
1615779483.7861,135,20
1615779483.7861,135,20
1615779483.7861,135,20
1615779483.7861,135,20
1615779483.8237078,164,20
1615779483.8323112,195,20
1615779483.839828,253,20
1615779483.848573,76,20
1615779483.854808,40,20
1615779483.854808,40,20
1615779483.854808,40,20
1615779483.88611,165,20
1615779483.893586,106,20
1615779483.903579,-28,20
1615779483.913766,-37,35
1615779483.924017,35,35
1615779483.9315178,2,35
1615779483.938963,-2,35
1615779483.948757,17,35
1615779483.957597,74,35
1615779483.9665082,-19,35
1615779483.974043,-86,35
1615779483.983881,-52,35
1615779483.991526,40,35
1615779483.998801,12,35
1615779484.007643,-52,35
1615779484.016377,12,35
1615779484.025134,18,35
1615779484.032455,27,35
1615779484.042523,-61,35
1615779484.0501518,-37,35
