timestamp,raw_value,attention
1615779156.139955,-93,70
1615779156.149001,19,70
1615779156.1575968,100,70
1615779156.1676009,19,70
1615779156.169961,-13,70
1615779156.169961,-13,70
1615779156.169961,-13,70
1615779156.169961,-13,70
1615779156.169961,-13,70
1615779156.169961,-13,70
1615779156.2325811,-5,70
1615779156.241347,229,70
1615779156.248846,337,70
1615779156.2600052,322,70
1615779156.2664478,176,70
1615779156.2763038,177,70
1615779156.2866151,4,70
1615779156.293962,-30,70
1615779156.301461,-133,70
1615779156.311348,-211,70
1615779156.3212008,-154,70
1615779156.328844,-22,70
1615779156.3387442,-99,70
1615779156.346365,-20,70
1615779156.35615,-102,70
1615779156.3635468,-131,70
1615779156.373573,-103,70
1615779156.383567,-149,70
1615779156.392322,-101,70
1615779156.401196,4,70
1615779156.4074838,-44,70
1615779156.417732,-115,70
1615779156.4264672,70,70
1615779156.4362729,173,70
1615779156.443813,103,70
1615779156.450237,278,70
1615779156.460237,211,70
1615779156.467718,161,70
1615779156.477721,141,70
1615779156.481173,-18,70
1615779156.481173,-18,70
1615779156.481173,-18,70
1615779156.481173,-18,70
1615779156.517511,-67,70
1615779156.526172,208,70
1615779156.5352352,155,70
1615779156.543987,-19,70
1615779156.551477,-24,70
1615779156.560123,12,70
1615779156.569035,-46,70
1615779156.5790138,-23,70
1615779156.586308,-90,70
1615779156.595074,42,70
1615779156.602765,2,70
1615779156.61275,20,70
1615779156.620297,197,70
1615779156.629045,169,70
1615779156.63749,88,70
1615779156.645004,76,70
1615779156.654966,51,70
1615779156.66511,-30,70
1615779156.672647,-65,70
1615779156.682741,-22,70
1615779156.689878,-69,70
1615779156.6985888,-116,70
1615779156.707337,-91,70
1615779156.713591,21,70
1615779156.721181,-39,70
1615779156.731478,-44,70
1615779156.7387352,-5,70
1615779156.746479,-54,70
1615779156.757525,3,70
1615779156.766468,0,70
1615779156.7738528,49,70
1615779156.780138,75,70
1615779156.780138,75,70
1615779156.780138,75,70
1615779156.780138,75,70
