timestamp,raw_value,attention
1615779551.950206,-11,8
1615779551.955839,252,8
1615779551.965947,93,8
1615779551.9749188,114,8
1615779551.983497,209,8
1615779551.9909382,204,8
1615779551.998378,53,8
1615779552.0071218,-30,8
1615779552.015871,289,8
1615779552.024905,180,8
1615779552.0322402,197,8
1615779552.039724,338,8
1615779552.0497248,289,8
1615779552.060111,272,8
1615779552.0686662,84,8
1615779552.074816,18,8
1615779552.085244,225,8
1615779552.085244,225,8
1615779552.103436,361,8
1615779552.113622,140,8
1615779552.122296,380,8
1615779552.129955,377,8
1615779552.141216,258,8
1615779552.149781,295,8
1615779552.157259,451,8
1615779552.1673222,372,8
1615779552.17596,365,8
1615779552.1846862,408,8
1615779552.185941,336,8
1615779552.185941,336,8
1615779552.185941,336,8
1615779552.185941,336,8
1615779552.2275572,306,8
1615779552.236196,278,8
1615779552.2436569,135,8
1615779552.2524228,68,8
1615779552.2623858,-65,8
1615779552.270918,-30,8
1615779552.2786188,-371,8
1615779552.286165,-241,8
1615779552.2962801,-236,8
1615779552.3062851,-174,8
1615779552.313781,5,8
1615779552.323663,-227,8
1615779552.332232,-117,8
1615779552.334719,-104,8
1615779552.334719,-104,8
1615779552.334719,-104,8
1615779552.36507,-37,8
1615779552.3734488,230,8
1615779552.3822951,-89,8
1615779552.3911638,112,8
1615779552.3998668,-38,8
1615779552.408663,-233,8
1615779552.414988,24,8
1615779552.423659,-28,8
1615779552.432359,107,8
1615779552.438794,89,8
1615779552.441278,7,8
1615779552.441278,7,8
1615779552.464772,353,8
1615779552.473372,109,8
1615779552.4809,-50,8
1615779552.487165,123,8
1615779552.487165,123,8
1615779552.487165,123,8
1615779552.487165,123,8
1615779552.487165,123,8
1615779552.531011,-265,8
1615779552.5411782,124,8
1615779552.5497952,137,8
1615779552.557424,48,8
1615779552.567292,-6,8
1615779552.577579,-100,8
1615779552.584754,-49,8
1615779552.596298,-94,8
1615779552.6024268,-121,8
1615779552.6100821,-5,8
1615779552.619703,-182,8
1615779552.6259131,-188,8
1615779552.63594,-10,8
1615779552.643509,-136,8
1615779552.6509812,-166,8
1615779552.659758,21,8
1615779552.668437,25,8
1615779552.6771462,-52,8
1615779552.685858,-52,8
1615779552.694616,170,8
1615779552.7046778,145,8
1615779552.7099671,-101,8
1615779552.723367,-7,8
1615779552.732252,358,8
1615779552.738376,178,8
