timestamp,raw_value,attention
1615248830.3159308,76,56
1615248830.322242,198,56
1615248830.332085,81,56
1615248830.3398778,93,56
1615248830.349835,51,56
1615248830.3573172,-8,56
1615248830.367296,-23,56
1615248830.377322,-24,56
1615248830.385964,-6,56
1615248830.3948119,-53,56
1615248830.404614,-4,56
1615248830.4146938,-5,56
1615248830.4222238,22,56
1615248830.4322891,36,56
1615248830.439798,3,56
1615248830.449771,-17,56
1615248830.456919,2,56
1615248830.466939,53,56
1615248830.474408,22,56
1615248830.4781172,38,56
1615248830.4781172,38,56
1615248830.4781172,38,56
1615248830.4781172,38,56
1615248830.514636,33,56
1615248830.524532,76,56
1615248830.533196,-19,56
1615248830.540687,3,56
1615248830.5507898,33,56
1615248830.558208,-23,56
1615248830.565726,13,56
1615248830.575697,6,56
1615248830.5846138,-30,56
1615248830.5948422,-13,56
1615248830.6023161,16,56
1615248830.609855,20,56
1615248830.619803,-29,56
1615248830.6284318,-29,56
1615248830.6373172,-11,56
1615248830.645948,-12,56
1615248830.654787,8,56
1615248830.658324,29,56
1615248830.658324,29,56
1615248830.680824,183,56
1615248830.68992,120,56
1615248830.698555,107,56
1615248830.708535,61,56
1615248830.7172081,43,56
1615248830.7285619,71,56
1615248830.738537,23,56
1615248830.7484748,21,56
1615248830.7560608,-13,56
1615248830.7633312,-7,56
1615248830.776135,69,56
1615248830.778538,70,56
1615248830.778538,70,56
1615248830.778538,70,56
1615248830.778538,70,56
1615248830.818538,36,56
1615248830.829673,92,56
1615248830.835933,34,56
1615248830.8460429,13,56
1615248830.853533,25,56
1615248830.863446,40,56
1615248830.873534,28,56
1615248830.8810601,54,56
1615248830.891068,53,56
1615248830.9010649,54,56
1615248830.911055,12,56
1615248830.9209259,-4,56
1615248830.9310458,56,56
1615248830.93982,3,56
1615248830.9497721,43,56
1615248830.9584,53,56
1615248830.965771,24,56
1615248830.974426,64,56
1615248830.982052,72,56
1615248830.9907598,56,56
1615248830.999438,52,56
1615248831.00576,55,56
1615248831.0120041,18,56
1615248831.0231948,45,56
1615248831.033234,-14,56
1615248831.040664,77,56
1615248831.050879,67,56
1615248831.0581892,75,56
1615248831.066935,52,56
1615248831.075644,25,56
1615248831.078122,34,56
1615248831.078122,34,56
1615248831.078122,34,56
1615248831.078122,34,56
1615248831.121081,178,56
1615248831.1268961,49,56
1615248831.1381388,-68,56
1615248831.146911,48,56
1615248831.15442,-36,56
1615248831.16196,-55,56
1615248831.1719072,-3,56
1615248831.1794019,1,56
1615248831.1869361,-5,56
1615248831.1969311,80,56
1615248831.2069418,92,56
1615248831.2144399,23,56
1615248831.2219598,-17,56
1615248831.231922,17,56
1615248831.240787,38,56
1615248831.248585,17,56
1615248831.248585,17,56
1615248831.2686322,134,56
1615248831.2760699,123,56
1615248831.279841,112,56
1615248831.279841,112,56
1615248831.279841,112,56
1615248831.279841,112,56
1615248831.3173,109,57
1615248831.3284721,120,57
1615248831.337229,42,57
1615248831.345886,-7,57
1615248831.3533068,-41,57
1615248831.363555,-46,57
1615248831.3734488,-6,57
1615248831.377352,-9,57
1615248831.377352,-9,57
1615248831.377352,-9,57
1615248831.377352,-9,57
1615248831.414805,2,57
1615248831.423017,108,57
1615248831.4309251,58,57
1615248831.437304,56,57
1615248831.446033,16,57
1615248831.4560032,7,57
1615248831.464416,66,57
1615248831.473152,80,57
1615248831.480605,75,57
1615248831.488294,83,57
1615248831.4960482,55,57
1615248831.50605,42,57
1615248831.514626,53,57
1615248831.523267,53,57
1615248831.5306659,25,57
1615248831.539469,-9,57
1615248831.548386,-3,57
1615248831.554511,-14,57
1615248831.564399,7,57
1615248831.570634,11,57
1615248831.5793679,34,57
1615248831.5894341,-28,57
1615248831.598408,-6,57
1615248831.606973,-7,57
1615248831.617218,6,57
1615248831.627181,42,57
1615248831.635978,43,57
1615248831.647337,57,57
1615248831.656045,86,57
1615248831.6648052,54,57
1615248831.673547,37,57
1615248831.678554,92,57
1615248831.678554,92,57
1615248831.678554,92,57
1615248831.678554,92,57
1615248831.718552,84,57
1615248831.7284422,134,57
1615248831.73701,10,57
1615248831.747045,33,57
1615248831.756074,9,57
1615248831.763614,-17,57
1615248831.7735639,25,57
1615248831.7809641,-8,57
1615248831.7910342,-46,57
1615248831.798549,-5,57
1615248831.808558,-2,57
1615248831.8185449,-19,57
1615248831.8260639,-34,57
1615248831.836046,-22,57
1615248831.8435872,-4,57
1615248831.85234,49,57
1615248831.86231,24,57
1615248831.871045,39,57
1615248831.878548,60,57
1615248831.888543,149,57
1615248831.897332,85,57
1615248831.906158,98,57
1615248831.914803,118,57
1615248831.921983,58,57
1615248831.9308941,27,57
1615248831.937303,16,57
1615248831.9399848,5,57
1615248831.9399848,5,57
1615248831.965544,208,57
1615248831.973543,120,57
1615248831.978293,99,57
1615248831.978293,99,57
1615248831.978293,99,57
1615248831.978293,99,57
1615248832.018206,70,57
1615248832.0282502,170,57
1615248832.034394,97,57
1615248832.0444312,42,57
1615248832.050637,22,57
1615248832.060659,-8,57
1615248832.069504,17,57
1615248832.0782132,73,57
1615248832.085666,-6,57
1615248832.095685,-20,57
1615248832.1056519,20,57
1615248832.1131468,4,57
1615248832.123171,16,57
1615248832.130713,-10,57
1615248832.138166,-14,57
1615248832.1444259,-6,57
1615248832.156951,32,57
1615248832.1643908,22,57
1615248832.1718972,35,57
1615248832.181938,52,57
1615248832.189395,12,57
1615248832.196922,-17,57
1615248832.2068942,12,57
1615248832.21438,56,57
1615248832.2244742,38,57
1615248832.231874,-18,57
1615248832.240642,-23,57
1615248832.250677,-42,57
1615248832.258122,-4,57
1615248832.265634,27,57
1615248832.274391,13,57
1615248832.2769768,67,57
1615248832.2769768,67,57
1615248832.2769768,67,57
1615248832.2769768,67,57
1615248832.3168588,49,67
1615248832.325724,144,67
1615248832.333168,61,67
1615248832.3419762,-14,67
1615248832.351945,17,67
1615248832.359453,64,67
1615248832.366945,35,67
1615248832.376895,53,67
1615248832.384437,8,67
1615248832.393136,22,67
1615248832.401868,75,67
1615248832.409473,41,67
1615248832.418198,18,67
1615248832.426987,27,67
1615248832.433192,80,67
1615248832.443128,73,67
1615248832.451972,70,67
1615248832.459402,53,67
1615248832.468138,52,67
1615248832.476865,101,67
1615248832.4856992,54,67
1615248832.494454,66,67
1615248832.5032508,39,67
1615248832.511874,34,67
1615248832.519403,34,67
1615248832.5269299,44,67
1615248832.5368938,44,67
1615248832.544416,66,67
1615248832.5520089,70,67
1615248832.561911,57,67
1615248832.570685,85,67
1615248832.578206,91,67
1615248832.578206,91,67
1615248832.578206,91,67
1615248832.578206,91,67
1615248832.614419,59,67
1615248832.624459,106,67
1615248832.628138,83,67
1615248832.640745,17,67
1615248832.648159,-2,67
1615248832.656152,7,67
1615248832.664458,-11,67
1615248832.6720371,-29,67
1615248832.6822941,-37,67
1615248832.689794,43,67
1615248832.701042,35,67
1615248832.7095292,87,67
1615248832.717012,53,67
1615248832.724808,45,67
1615248832.7346969,53,67
1615248832.744808,37,67
1615248832.752321,37,67
1615248832.7596102,54,67
1615248832.769818,89,67
1615248832.777298,112,67
1615248832.7847948,58,67
1615248832.7948081,11,67
1615248832.800971,22,67
1615248832.810786,43,67
1615248832.8196979,37,67
1615248832.8285499,-6,67
1615248832.836046,-7,67
1615248832.846134,-34,67
1615248832.853358,27,67
1615248832.864622,-17,67
1615248832.873869,-5,67
1615248832.873869,-5,67
1615248832.873869,-5,67
1615248832.873869,-5,67
1615248832.873869,-5,67
1615248832.918665,6,67
1615248832.9307048,187,67
1615248832.939401,50,67
1615248832.946934,41,67
1615248832.954437,73,67
1615248832.964443,57,67
1615248832.973275,28,67
1615248832.9823139,32,67
1615248832.988555,43,67
1615248832.998521,21,67
1615248833.0057101,65,67
1615248833.015796,-3,67
1615248833.0232608,-3,67
1615248833.031081,38,67
1615248833.0398011,-6,67
1615248833.05104,-1,67
1615248833.0584471,2,67
1615248833.068426,5,67
1615248833.079455,66,67
1615248833.0856278,103,67
1615248833.0956879,28,67
1615248833.1032069,22,67
1615248833.114402,53,67
1615248833.120692,50,67
1615248833.130698,67,67
1615248833.138133,115,67
1615248833.1481972,72,67
1615248833.1557162,90,67
1615248833.164433,97,67
1615248833.170645,68,67
1615248833.176942,75,67
1615248833.176942,75,67
1615248833.176942,75,67
1615248833.176942,75,67
1615248833.218139,76,67
1615248833.219409,61,67
