,timestamp,raw_value,attention,delta
0,0,88,37,0.0
1,1,89,37,0.008753061294555664
2,2,69,37,0.013880252838134766
3,3,69,37,0.013880252838134766
4,4,69,37,0.031272172927856445
5,5,69,37,0.031272172927856445
6,6,69,37,0.031272172927856445
7,7,69,37,0.031272172927856445
8,8,102,37,0.0685420036315918
9,9,181,35,0.07724475860595703
10,10,113,35,0.08489990234375
11,11,65,35,0.09504127502441406
12,12,35,35,0.10374736785888672
13,13,24,35,0.1113739013671875
14,14,66,35,0.1213691234588623
15,15,-26,35,0.13136816024780273
16,16,-30,35,0.14118027687072754
17,17,-58,35,0.150115966796875
18,18,-26,35,0.156386137008667
19,19,-1,35,0.16614103317260742
20,20,-21,35,0.17604637145996094
21,21,-12,35,0.17979097366333008
22,22,40,35,0.1911160945892334
23,23,16,35,0.19977521896362305
24,24,74,35,0.20724797248840332
25,25,87,35,0.21481013298034668
26,26,96,35,0.2235240936279297
27,27,102,35,0.2322232723236084
28,28,75,35,0.24221372604370117
29,29,40,35,0.25223517417907715
30,30,4,35,0.25974011421203613
31,31,-44,35,0.2675759792327881
32,32,-21,35,0.27631115913391113
33,33,-10,35,0.28391528129577637
34,34,55,35,0.29385900497436523
35,35,90,35,0.30138301849365234
36,36,83,35,0.31139206886291504
37,37,34,35,0.3188822269439697
38,38,51,35,0.32880711555480957
39,39,51,35,0.3302500247955322
40,40,51,35,0.3302500247955322
41,41,51,35,0.3302500247955322
42,42,51,35,0.3302500247955322
43,43,-4,35,0.3725011348724365
44,44,168,35,0.3837752342224121
45,45,144,35,0.39260101318359375
46,46,54,35,0.40261006355285645
47,47,-36,35,0.4126312732696533
48,48,-50,35,0.4225480556488037
49,49,-44,35,0.43016910552978516
50,50,-10,35,0.4388892650604248
51,51,11,35,0.4474332332611084
52,52,9,35,0.4576261043548584
53,53,19,35,0.4651072025299072
54,54,-20,35,0.47512006759643555
55,55,38,35,0.4826090335845947
56,56,65,35,0.4913949966430664
57,57,97,35,0.4988882541656494
58,58,89,35,0.5085949897766113
59,59,33,35,0.5163562297821045
60,60,23,35,0.5262491703033447
61,61,-6,35,0.5338821411132812
62,62,-18,35,0.5413811206817627
63,63,65,35,0.5513982772827148
64,64,33,35,0.5626440048217773
65,65,41,35,0.5715081691741943
66,66,27,35,0.5799291133880615
67,67,48,35,0.5863642692565918
68,68,55,35,0.5963752269744873
69,69,49,35,0.6039021015167236
70,70,24,35,0.613908052444458
71,71,40,35,0.6213722229003906
72,72,33,35,0.6251571178436279
73,73,33,35,0.6251571178436279
74,74,33,35,0.6251571178436279
75,75,33,35,0.6251571178436279
76,76,49,35,0.6660311222076416
77,77,112,35,0.6759991645812988
78,78,154,35,0.684805154800415
79,79,58,35,0.693519115447998
80,80,17,35,0.7010760307312012
81,81,-6,35,0.7097213268280029
82,82,42,35,0.717313289642334
83,83,39,35,0.7247591018676758
84,84,49,35,0.7347753047943115
85,85,45,35,0.7434685230255127
86,86,100,35,0.7535200119018555
87,87,36,35,0.7634761333465576
88,88,8,35,0.7697679996490479
89,89,29,35,0.7797420024871826
90,90,18,35,0.7884750366210938
91,91,-25,35,0.7972011566162109
92,92,-29,35,0.804725170135498
93,93,11,35,0.8147461414337158
94,94,-2,35,0.8235199451446533
95,95,26,35,0.8309707641601562
96,96,24,35,0.8422467708587646
97,97,18,35,0.8497371673583984
98,98,18,35,0.8584761619567871
99,99,28,35,0.8673381805419922
100,100,48,35,0.8747622966766357
101,101,23,35,0.8835101127624512
102,102,-13,35,0.8910260200500488
103,103,35,35,0.8985042572021484
104,104,36,35,0.9084823131561279
105,105,33,35,0.9159860610961914
106,106,53,35,0.9236409664154053
107,107,54,35,0.9288909435272217
108,108,54,35,0.9288909435272217
109,109,54,35,0.9288909435272217
110,110,54,35,0.9288909435272217
111,111,66,35,0.9701311588287354
112,112,147,35,0.977581262588501
113,113,32,35,0.9863691329956055
114,114,22,35,0.9963760375976562
115,115,49,35,1.0050010681152344
116,116,55,35,1.0138700008392334
117,117,27,35,1.0201160907745361
118,118,44,35,1.03013014793396
119,119,44,35,1.0339171886444092
120,120,44,35,1.0339171886444092
121,121,44,35,1.0339171886444092
122,122,44,35,1.0339171886444092
123,123,44,26,1.0699121952056885
124,124,69,26,1.079714298248291
125,125,26,26,1.0898871421813965
126,126,52,26,1.0975151062011719
127,127,49,26,1.1076221466064453
128,128,35,26,1.1175270080566406
129,129,58,26,1.1250100135803223
130,130,56,26,1.1351211071014404
131,131,-1,26,1.1451122760772705
132,132,20,26,1.1524572372436523
133,133,-45,26,1.1626160144805908
134,134,-66,26,1.1700081825256348
135,135,-21,26,1.1801161766052246
136,136,-22,26,1.1901381015777588
137,137,0,26,1.1976280212402344
138,138,41,26,1.2072787284851074
139,139,18,26,1.2175543308258057
140,140,11,26,1.2260241508483887
141,141,54,26,1.230992078781128
142,142,54,26,1.230992078781128
143,143,54,26,1.230992078781128
144,144,54,26,1.230992078781128
145,145,36,26,1.2672080993652344
146,146,90,26,1.2759902477264404
147,147,5,26,1.2835609912872314
148,148,41,26,1.2913832664489746
149,149,41,26,1.2913832664489746
150,150,59,26,1.310110092163086
151,151,129,26,1.3175342082977295
152,152,80,26,1.3263001441955566
153,153,51,26,1.3363842964172363
154,154,3,26,1.3438949584960938
155,155,36,26,1.3540451526641846
156,156,38,26,1.3612329959869385
157,157,-30,26,1.3713910579681396
158,158,0,26,1.3801021575927734
159,159,1,26,1.3888671398162842
160,160,-24,26,1.398775339126587
161,161,48,26,1.408869743347168
162,162,-12,26,1.418916940689087
163,163,13,26,1.426259994506836
164,164,87,26,1.437619924545288
165,165,24,26,1.4463090896606445
166,166,-2,26,1.4537761211395264
167,167,4,26,1.461367130279541
168,168,-34,26,1.47139573097229
169,169,-2,26,1.4801101684570312
170,170,37,26,1.4888215065002441
171,171,-17,26,1.5000779628753662
172,172,22,26,1.5063791275024414
173,173,32,26,1.5164062976837158
174,174,58,26,1.5261287689208984
175,175,58,26,1.531175136566162
176,176,58,26,1.531175136566162
177,177,58,26,1.531175136566162
178,178,58,26,1.531175136566162
179,179,44,26,1.570066213607788
180,180,160,26,1.5800046920776367
181,181,44,26,1.588907241821289
182,182,-5,26,1.5988922119140625
183,183,35,26,1.6075012683868408
184,184,-19,26,1.6176700592041016
185,185,35,26,1.6251180171966553
186,186,55,26,1.6351172924041748
187,187,20,26,1.6451232433319092
188,188,38,26,1.65260910987854
189,189,6,26,1.6626472473144531
190,190,5,26,1.6726529598236084
191,191,19,26,1.6787910461425781
192,192,27,26,1.6873319149017334
193,193,96,26,1.6972382068634033
194,194,96,26,1.703517198562622
195,195,57,26,1.7135422229766846
196,196,72,26,1.7210791110992432
197,197,33,26,1.728499174118042
198,198,81,26,1.7373361587524414
199,199,52,26,1.7459769248962402
200,200,53,26,1.7548279762268066
201,201,24,26,1.7622535228729248
202,202,24,26,1.7722721099853516
203,203,20,26,1.7797000408172607
204,204,55,26,1.7897107601165771
205,205,28,26,1.797201156616211
206,206,59,26,1.8060271739959717
207,207,42,26,1.8147082328796387
208,208,33,26,1.824742078781128
209,209,50,26,1.8297250270843506
210,210,50,26,1.8297250270843506
211,211,50,26,1.8297250270843506
212,212,50,26,1.8297250270843506
213,213,2,26,1.8697941303253174
214,214,178,26,1.8777689933776855
215,215,36,26,1.8872435092926025
216,216,28,26,1.8960001468658447
217,217,23,26,1.9022061824798584
218,218,41,26,1.9121887683868408
219,219,37,26,1.9197180271148682
220,220,33,26,1.9285011291503906
221,221,48,26,1.937246322631836
222,222,27,26,1.9447650909423828
223,223,40,26,1.9547679424285889
224,224,100,26,1.9635009765625
225,225,76,26,1.9709882736206055
226,226,49,26,1.9785091876983643
227,227,50,26,1.9884490966796875
228,228,-18,26,1.9984500408172607
229,229,-3,26,2.0011887550354004
230,230,33,26,2.0171961784362793
231,231,116,26,2.0246949195861816
232,232,72,26,2.031019926071167
233,233,25,43,2.041062116622925
234,234,50,43,2.0509591102600098
235,235,32,43,2.05971097946167
236,236,4,43,2.0685222148895264
237,237,36,43,2.075946092605591
238,238,12,43,2.085930109024048
