,timestamp,raw_value,attention,delta
0,0,16,56,0.0
1,1,-46,56,0.0063343048095703125
2,2,-37,56,0.008893966674804688
3,3,-37,56,0.008893966674804688
4,4,-37,56,0.008893966674804688
5,5,-4,56,0.04532623291015625
6,6,35,56,0.05380439758300781
7,7,-66,56,0.06372833251953125
8,8,-26,56,0.06872153282165527
9,9,-26,56,0.06872153282165527
10,10,-26,56,0.06872153282165527
11,11,-26,56,0.06872153282165527
12,12,-68,56,0.10778236389160156
13,13,102,56,0.11771249771118164
14,14,23,56,0.12752437591552734
15,15,23,56,0.12752437591552734
16,16,23,56,0.12752437591552734
17,17,23,56,0.12752437591552734
18,18,23,56,0.12752437591552734
19,19,6,56,0.1688394546508789
20,20,98,56,0.17374539375305176
21,21,98,56,0.17374539375305176
22,22,98,56,0.17374539375305176
23,23,98,56,0.17374539375305176
24,24,98,56,0.17374539375305176
25,25,101,56,0.22376728057861328
26,26,102,56,0.23126435279846191
27,27,-13,56,0.23864126205444336
28,28,-45,56,0.24738836288452148
29,29,-7,56,0.25615930557250977
30,30,-24,56,0.26491236686706543
31,31,-69,56,0.27376437187194824
32,32,-29,56,0.28121256828308105
33,33,28,56,0.29126644134521484
34,34,57,56,0.29999232292175293
35,35,-5,56,0.3090074062347412
36,36,1,56,0.3177645206451416
37,37,21,56,0.32758641242980957
38,38,9,56,0.33499622344970703
39,39,20,56,0.3424525260925293
40,40,36,56,0.35251641273498535
41,41,24,56,0.3599433898925781
42,42,-17,56,0.3699164390563965
43,43,-17,56,0.3774545192718506
44,44,23,56,0.38744449615478516
45,45,-10,56,0.39493751525878906
46,46,-12,56,0.4024033546447754
47,47,22,56,0.41115832328796387
48,48,6,56,0.4187123775482178
49,49,52,56,0.4263322353363037
50,50,57,56,0.428727388381958
51,51,57,56,0.428727388381958
52,52,57,56,0.428727388381958
53,53,57,56,0.428727388381958
54,54,48,56,0.468799352645874
55,55,187,44,0.47744226455688477
56,56,132,44,0.48491954803466797
57,57,48,44,0.49366331100463867
58,58,50,44,0.5011699199676514
59,59,54,44,0.5098705291748047
60,60,5,44,0.5186843872070312
61,61,29,44,0.5262565612792969
62,62,18,44,0.5337493419647217
63,63,12,44,0.5436763763427734
64,64,57,44,0.5537369251251221
65,65,55,44,0.5611953735351562
66,66,36,44,0.5712080001831055
67,67,7,44,0.5787444114685059
68,68,-11,44,0.586240291595459
69,69,-18,44,0.5964581966400146
70,70,13,44,0.6038045883178711
71,71,18,44,0.6138052940368652
72,72,-14,44,0.6211509704589844
73,73,39,44,0.6312212944030762
74,74,72,44,0.6386873722076416
75,75,102,44,0.6486752033233643
76,76,87,44,0.6574242115020752
77,77,55,44,0.6662044525146484
78,78,21,44,0.6775033473968506
79,79,40,44,0.6836757659912109
80,80,4,44,0.6899034976959229
81,81,68,44,0.6999142169952393
82,82,81,44,0.7074224948883057
83,83,39,44,0.7187573909759521
84,84,60,44,0.7249283790588379
85,85,70,44,0.7286665439605713
86,86,70,44,0.7286665439605713
87,87,70,44,0.7286665439605713
88,88,70,44,0.7286665439605713
89,89,145,44,0.7713923454284668
90,90,97,44,0.7774691581726074
91,91,52,44,0.787447452545166
92,92,34,44,0.7936892509460449
93,93,70,44,0.8011832237243652
94,94,4,44,0.8112301826477051
95,95,17,44,0.818859338760376
96,96,17,44,0.8287105560302734
97,97,-1,44,0.8363182544708252
98,98,-4,44,0.8437025547027588
99,99,32,44,0.852419376373291
100,100,25,44,0.8599483966827393
101,101,18,44,0.8699333667755127
102,102,42,44,0.8773741722106934
103,103,12,44,0.8874025344848633
104,104,56,44,0.894909143447876
105,105,73,44,0.9049134254455566
106,106,57,44,0.9124011993408203
107,107,91,44,0.9224762916564941
108,108,53,44,0.9301087856292725
109,109,73,44,0.9402353763580322
110,110,34,44,0.9502444267272949
111,111,34,44,0.9577333927154541
112,112,55,44,0.9678404331207275
113,113,20,44,0.9753553867340088
114,114,38,44,0.9816124439239502
115,115,33,44,0.9926023483276367
116,116,40,44,1.0000803470611572
117,117,97,44,1.008723258972168
118,118,41,44,1.0162785053253174
119,119,41,44,1.0162785053253174
120,120,41,44,1.0162785053253174
121,121,41,44,1.0162785053253174
122,122,41,44,1.0162785053253174
123,123,41,44,1.0162785053253174
124,124,48,44,1.0655312538146973
125,125,84,44,1.0802533626556396
126,126,107,44,1.0902433395385742
127,127,26,44,1.0976252555847168
128,128,70,44,1.1065983772277832
129,129,74,44,1.1179285049438477
130,130,67,44,1.1274242401123047
131,131,6,44,1.1349091529846191
132,132,-1,44,1.1424267292022705
133,133,-30,44,1.1525154113769531
134,134,-4,44,1.1611454486846924
135,135,-34,44,1.1699364185333252
136,136,3,44,1.1774365901947021
137,137,13,44,1.1862633228302002
138,138,-6,44,1.1949214935302734
139,139,-2,44,1.2012124061584473
140,140,41,44,1.2111551761627197
141,141,-23,44,1.2174155712127686
142,142,-7,44,1.2274019718170166
143,143,3,44,1.2350482940673828
144,144,35,44,1.244995355606079
145,145,24,44,1.2524704933166504
146,146,36,44,1.2599029541015625
147,147,69,44,1.2687523365020752
148,148,19,44,1.2774474620819092
149,149,58,44,1.2862553596496582
150,150,102,44,1.2961513996124268
151,151,118,44,1.3037323951721191
152,152,103,44,1.3112454414367676
153,153,22,44,1.318892002105713
154,154,42,44,1.3275244235992432
155,155,56,44,1.3286592960357666
156,156,56,44,1.3286592960357666
157,157,56,44,1.3286592960357666
158,158,56,44,1.3286592960357666
159,159,8,44,1.367525339126587
160,160,172,44,1.3773994445800781
161,161,73,44,1.3848953247070312
162,162,12,44,1.3936402797698975
163,163,28,44,1.4024205207824707
164,164,19,44,1.4111614227294922
165,165,-1,44,1.4174222946166992
166,166,-41,44,1.4273834228515625
167,167,-21,44,1.4348933696746826
168,168,-7,44,1.439908742904663
169,169,24,43,1.4524035453796387
170,170,32,43,1.4536499977111816
171,171,41,43,1.469933271408081
172,172,115,43,1.4787144660949707
173,173,85,43,1.4862172603607178
174,174,35,43,1.4965054988861084
175,175,-37,43,1.5062623023986816
176,176,5,43,1.5154063701629639
177,177,21,43,1.522651195526123
178,178,37,43,1.5302393436431885
179,179,73,43,1.540168285369873
180,180,106,43,1.5478923320770264
181,181,89,43,1.555084228515625
182,182,96,43,1.562692403793335
183,183,37,43,1.5728135108947754
184,184,44,43,1.5790722370147705
185,185,58,43,1.588977575302124
186,186,22,43,1.5987663269042969
187,187,35,43,1.606339454650879
188,188,51,43,1.6163115501403809
189,189,52,43,1.6237492561340332
190,190,45,43,1.6276931762695312
191,191,45,43,1.6276931762695312
192,192,45,43,1.6276931762695312
193,193,45,43,1.6276931762695312
194,194,35,43,1.6686575412750244
195,195,65,43,1.677396297454834
196,196,33,43,1.6836802959442139
197,197,42,43,1.6936814785003662
198,198,32,43,1.7024123668670654
199,199,69,43,1.709923267364502
200,200,72,43,1.718653917312622
201,201,52,43,1.7273833751678467
202,202,9,43,1.7348992824554443
203,203,98,43,1.7436699867248535
204,204,67,43,1.7498981952667236
205,205,6,43,1.7611453533172607
206,206,19,43,1.7661404609680176
207,207,27,43,1.7774083614349365
208,208,-14,43,1.7849392890930176
209,209,-40,43,1.7911653518676758
210,210,36,43,1.8012762069702148
211,211,25,43,1.8100757598876953
212,212,20,43,1.818986415863037
213,213,68,43,1.8262593746185303
214,214,81,43,1.8354473114013672
215,215,57,43,1.842780590057373
216,216,52,43,1.8540923595428467
217,217,67,43,1.8602824211120605
218,218,21,43,1.8699984550476074
219,219,11,43,1.8774402141571045
220,220,21,43,1.8861615657806396
221,221,37,43,1.893728494644165
222,222,23,43,1.902385950088501
223,223,-4,43,1.9111583232879639
224,224,77,43,1.9186294078826904
225,225,97,43,1.9286143779754639
226,226,97,43,1.9286143779754639
227,227,97,43,1.9286143779754639
228,228,97,43,1.9286143779754639
229,229,112,43,1.9638423919677734
230,230,148,43,1.9751644134521484
231,231,48,43,1.9850044250488281
232,232,20,43,1.992433786392212
233,233,58,43,2.000098466873169
234,234,89,43,2.009986400604248
235,235,49,43,2.0187222957611084
236,236,7,43,2.027442216873169
237,237,26,43,2.0363574028015137
238,238,18,43,2.043701171875
239,239,1,43,2.0537092685699463
240,240,48,43,2.062382221221924
241,241,-1,43,2.069927453994751
242,242,-4,43,2.0786783695220947
243,243,35,43,2.086167335510254
244,244,5,43,2.092416286468506
245,245,67,43,2.1024703979492188
246,246,74,43,2.1073875427246094
247,247,23,43,2.1174004077911377
248,248,19,43,2.1274163722991943
249,249,25,43,2.1348931789398193
250,250,80,43,2.1448974609375
251,251,85,43,2.1524503231048584
252,252,88,43,2.161264419555664
253,253,60,43,2.168757200241089
254,254,113,43,2.1787524223327637
255,255,84,43,2.1863484382629395
256,256,90,43,2.193969964981079
257,257,114,43,2.202697277069092
258,258,77,43,2.2113912105560303
259,259,-30,43,2.2216055393218994
260,260,-7,43,2.229053497314453
261,261,-7,43,2.229053497314453
262,262,-7,43,2.229053497314453
263,263,-7,43,2.229053497314453
264,264,-7,43,2.229053497314453
265,265,22,43,2.271284341812134
266,266,185,43,2.277642250061035
267,267,189,43,2.288987398147583
268,268,137,43,2.2976763248443604
269,269,44,43,2.308952569961548
270,270,45,43,2.3175673484802246
271,271,-35,43,2.327824354171753
272,272,-2,43,2.3364365100860596
273,273,11,43,2.343757390975952
274,274,55,43,2.3538784980773926
275,275,32,43,2.3613831996917725
276,276,-8,43,2.3712587356567383
277,277,23,43,2.377723455429077
278,278,27,43,2.3875677585601807
279,279,39,43,2.3973894119262695
280,280,70,43,2.404926300048828
