timestamp,raw_value,attention
1615248438.938698,86,64
1615248438.94704,29,64
1615248438.9574249,76,64
1615248438.966196,68,64
1615248438.976104,50,64
1615248438.978621,66,64
1615248438.978621,66,64
1615248438.978621,66,64
1615248438.978621,66,64
1615248439.01867,197,64
1615248439.027335,119,64
1615248439.036046,26,64
1615248439.04602,12,64
1615248439.053566,48,64
1615248439.063461,3,64
1615248439.067462,-12,64
1615248439.078629,-14,64
1615248439.0882719,-30,64
1615248439.094572,-19,64
1615248439.102305,-8,64
1615248439.1136792,-24,64
1615248439.122478,2,64
1615248439.132469,26,64
1615248439.140927,-1,64
1615248439.1474528,-5,64
1615248439.157084,13,64
1615248439.1645188,89,64
1615248439.172044,60,64
1615248439.179588,128,64
1615248439.188271,92,64
1615248439.196983,8,64
1615248439.205755,74,64
1615248439.2159739,16,64
1615248439.223537,3,64
1615248439.2311249,60,64
1615248439.241197,98,64
1615248439.2486641,51,64
1615248439.258664,41,64
1615248439.2659688,50,64
1615248439.2757928,41,64
1615248439.278246,44,64
1615248439.278246,44,64
1615248439.278246,44,64
1615248439.312097,38,64
1615248439.3197708,171,70
1615248439.3286269,86,70
1615248439.338345,12,70
1615248439.348664,-29,70
1615248439.358757,-6,70
1615248439.366282,13,70
1615248439.3736699,37,70
1615248439.3736699,37,70
1615248439.39417,92,70
1615248439.401224,92,70
1615248439.41101,38,70
1615248439.418666,69,70
1615248439.42617,20,70
1615248439.436005,42,70
1615248439.443557,54,70
1615248439.4522939,100,70
1615248439.4599512,65,70
1615248439.467314,65,70
1615248439.4771461,3,70
1615248439.484927,11,70
1615248439.4923131,21,70
1615248439.502439,36,70
1615248439.509723,53,70
1615248439.5195389,44,70
1615248439.528241,6,70
1615248439.535827,23,70
1615248439.543398,11,70
1615248439.553629,-10,70
1615248439.561109,-2,70
1615248439.571063,-5,70
1615248439.578634,16,70
1615248439.578634,16,70
1615248439.578634,16,70
1615248439.578634,16,70
1615248439.616163,54,70
1615248439.625291,179,70
1615248439.629834,88,70
1615248439.6384141,51,70
1615248439.651069,41,70
1615248439.659925,13,70
1615248439.6674418,56,70
1615248439.6773062,26,70
1615248439.685951,29,70
1615248439.695912,-4,70
1615248439.705819,16,70
1615248439.7145479,36,70
1615248439.720781,55,70
1615248439.730784,48,70
1615248439.738422,-8,70
1615248439.747097,-1,70
1615248439.755755,-27,70
1615248439.7657769,-20,70
1615248439.7732701,16,70
1615248439.7795808,22,70
1615248439.7895691,26,70
1615248439.799576,2,70
1615248439.807063,-26,70
1615248439.817076,19,70
1615248439.824565,38,70
1615248439.832015,59,70
1615248439.8420422,40,70
1615248439.84956,60,70
1615248439.855742,34,70
1615248439.8657768,50,70
1615248439.874943,87,70
1615248439.8774989,121,70
1615248439.8774989,121,70
1615248439.8774989,121,70
1615248439.8774989,121,70
1615248439.9198048,218,70
1615248439.927449,144,70
1615248439.936175,113,70
1615248439.9460502,22,70
1615248439.956189,5,70
1615248439.9636621,39,70
1615248439.973663,-7,70
1615248439.9812422,-1,70
1615248439.9911811,24,70
1615248439.998656,17,70
1615248440.008544,-4,70
1615248440.015887,93,70
1615248440.023542,89,70
1615248440.033383,53,70
1615248440.04082,59,70
1615248440.0511072,67,70
1615248440.061207,59,70
1615248440.0684988,56,70
1615248440.077138,18,70
1615248440.08455,-4,70
1615248440.0920901,27,70
1615248440.102036,21,70
1615248440.109539,41,70
1615248440.1211698,48,70
1615248440.127456,26,70
1615248440.1372201,24,70
1615248440.148437,38,70
1615248440.157287,48,70
1615248440.166168,38,70
1615248440.1758568,9,70
1615248440.1782742,0,70
1615248440.1782742,0,70
1615248440.1782742,0,70
1615248440.1782742,0,70
1615248440.217102,23,70
1615248440.2258801,203,70
1615248440.234818,109,70
1615248440.244956,75,70
1615248440.254961,7,70
1615248440.2624168,-13,70
1615248440.2624168,-13,70
1615248440.284447,113,70
1615248440.288383,93,70
1615248440.3009841,2,70
1615248440.30867,73,70
1615248440.317439,37,70
1615248440.327439,22,70
1615248440.334837,61,70
1615248440.342297,18,70
1615248440.352439,13,70
1615248440.35992,16,70
1615248440.3699148,29,70
1615248440.377409,39,70
1615248440.3861902,61,70
1615248440.394992,8,70
1615248440.4038,68,70
1615248440.413315,42,70
1615248440.421073,77,70
1615248440.425938,82,70
1615248440.4383512,109,70
1615248440.447343,69,70
1615248440.4572952,42,70
1615248440.46367,32,70
1615248440.473612,41,70
1615248440.4786692,76,70
1615248440.4786692,76,70
1615248440.4786692,76,70
1615248440.4786692,76,70
1615248440.518347,43,70
1615248440.52702,221,70
1615248440.5357382,93,70
1615248440.543366,11,70
1615248440.553719,-33,70
