timestamp,raw_value,attention
1615248655.169644,70,64
1615248655.177432,102,64
1615248655.186239,69,64
1615248655.194925,75,64
1615248655.2045639,5,64
1615248655.210815,4,64
1615248655.2208261,41,64
1615248655.228752,27,64
1615248655.235872,13,64
1615248655.24625,87,64
1615248655.255927,89,64
1615248655.263638,130,64
1615248655.2735941,44,64
1615248655.283592,48,64
1615248655.283592,48,64
1615248655.283592,48,64
1615248655.283592,48,64
1615248655.283592,48,64
1615248655.327067,16,64
1615248655.3372512,99,64
1615248655.346098,58,64
1615248655.354939,52,64
1615248655.365568,54,64
1615248655.3708422,59,64
1615248655.3809211,70,64
1615248655.389568,57,64
1615248655.397207,54,64
1615248655.405788,34,64
1615248655.413301,52,64
1615248655.419508,67,64
1615248655.429565,59,64
1615248655.437106,50,64
1615248655.4474418,70,64
1615248655.4549272,80,64
1615248655.464938,48,64
1615248655.473705,8,64
1615248655.482453,-25,64
1615248655.4899268,10,64
1615248655.498718,25,64
1615248655.507482,39,64
1615248655.51589,73,64
1615248655.5262458,60,64
1615248655.534817,50,64
1615248655.541078,40,64
1615248655.551113,53,64
1615248655.558739,28,64
1615248655.568715,29,64
1615248655.57735,-3,64
1615248655.5786948,-4,64
1615248655.5786948,-4,64
1615248655.5786948,-4,64
1615248655.5786948,-4,64
1615248655.61994,52,64
1615248655.6298618,216,64
1615248655.638582,86,64
1615248655.648445,8,64
1615248655.65609,-5,64
1615248655.666228,-13,64
1615248655.673697,1,64
1615248655.6836858,-10,64
1615248655.693592,-29,64
1615248655.701162,-12,64
1615248655.711283,17,64
1615248655.71871,43,64
1615248655.7261891,91,64
1615248655.73614,60,64
1615248655.746192,60,64
1615248655.7574332,36,64
1615248655.767423,28,64
1615248655.777428,41,64
1615248655.7848861,22,64
1615248655.794928,20,64
1615248655.804932,70,64
1615248655.814958,92,64
1615248655.822251,90,64
1615248655.829814,89,64
1615248655.836173,108,64
1615248655.849638,73,64
1615248655.8570518,73,64
1615248655.865886,-7,64
1615248655.874686,-27,64
1615248655.878318,4,64
1615248655.878318,4,64
1615248655.878318,4,64
1615248655.878318,4,64
1615248655.917098,-6,64
1615248655.924636,225,64
1615248655.933334,107,64
1615248655.942058,39,64
1615248655.95088,-7,64
1615248655.958359,-9,64
1615248655.9683478,-24,64
1615248655.9758458,-35,64
1615248655.985834,20,64
1615248655.993414,98,64
1615248656.002207,71,64
1615248656.01338,96,64
1615248656.020812,74,64
1615248656.029695,55,64
1615248656.0383081,-2,64
1615248656.0471392,9,64
1615248656.054571,21,64
1615248656.062027,26,64
1615248656.072028,-13,64
1615248656.079562,-1,64
1615248656.086134,17,64
1615248656.096048,66,64
1615248656.10356,52,64
1615248656.11496,21,64
1615248656.121171,5,64
1615248656.124129,-1,64
1615248656.1417532,37,64
1615248656.149939,23,64
1615248656.159969,-36,64
1615248656.168797,-13,64
1615248656.176194,-28,64
1615248656.177321,-25,64
1615248656.177321,-25,64
1615248656.177321,-25,64
1615248656.177321,-25,64
1615248656.2257578,201,64
1615248656.2349272,80,64
1615248656.244965,43,64
1615248656.252395,5,64
1615248656.2598631,-18,64
1615248656.270039,4,64
1615248656.278681,72,64
1615248656.283679,54,64
1615248656.298442,103,56
1615248656.304746,99,56
1615248656.314945,73,56
1615248656.3225029,84,56
1615248656.332442,53,56
1615248656.339836,16,56
1615248656.3499498,-33,56
1615248656.357578,-52,56
1615248656.3649652,-20,56
1615248656.374638,56,56
1615248656.3823931,59,56
1615248656.391235,74,56
1615248656.399641,75,56
1615248656.4095402,75,56
1615248656.419613,67,56
1615248656.4295528,25,56
1615248656.437108,16,56
1615248656.4446511,5,56
1615248656.454646,-5,56
1615248656.462305,10,56
1615248656.471204,35,56
1615248656.478595,64,56
1615248656.478595,64,56
1615248656.478595,64,56
1615248656.478595,64,56
1615248656.519551,204,56
1615248656.528437,113,56
1615248656.5362089,42,56
1615248656.544658,28,56
1615248656.5511,33,56
1615248656.55862,-19,56
1615248656.571201,54,56
1615248656.579936,57,56
1615248656.579936,57,56
1615248656.599675,-5,56
1615248656.6073449,86,56
1615248656.617462,8,56
1615248656.6249568,12,56
1615248656.6349351,-7,56
1615248656.642425,-4,56
1615248656.652419,-3,56
1615248656.659936,-5,56
1615248656.669955,6,56
1615248656.679839,18,56
1615248656.687519,48,56
1615248656.694945,75,56
1615248656.704863,51,56
1615248656.713705,32,56
1615248656.7224362,25,56
1615248656.729932,-20,56
1615248656.739979,8,56
1615248656.749963,35,56
1615248656.757442,83,56
1615248656.7674649,118,56
1615248656.774946,68,56
1615248656.777519,53,56
1615248656.777519,53,56
1615248656.777519,53,56
1615248656.777519,53,56
1615248656.821093,68,56
1615248656.830915,112,56
1615248656.839859,37,56
1615248656.849673,53,56
1615248656.85709,70,56
1615248656.8671381,74,56
1615248656.8745658,81,56
1615248656.882209,99,56
1615248656.892027,36,56
1615248656.899604,34,56
1615248656.908385,-5,56
1615248656.918321,-10,56
1615248656.925803,12,56
1615248656.934572,7,56
1615248656.943306,-8,56
1615248656.9508312,-18,56
1615248656.960842,-11,56
1615248656.970767,9,56
1615248656.979553,37,56
1615248656.987056,85,56
1615248656.995805,114,56
1615248656.997111,105,56
1615248657.0134668,128,56
1615248657.019617,121,56
1615248657.029731,28,56
1615248657.037081,-4,56
1615248657.048346,43,56
1615248657.0545511,67,56
1615248657.065793,56,56
1615248657.074518,75,56
1615248657.07588,84,56
1615248657.07588,84,56
1615248657.07588,84,56
1615248657.07588,84,56
1615248657.1194618,210,56
1615248657.127436,64,56
1615248657.135869,7,56
1615248657.144607,-45,56
1615248657.1520672,-9,56
1615248657.163348,11,56
1615248657.1696022,3,56
1615248657.179616,5,56
1615248657.187082,5,56
1615248657.197079,5,56
1615248657.207149,-17,56
1615248657.214554,-8,56
1615248657.223329,-72,56
1615248657.2320142,-62,56
1615248657.2420218,-9,56
1615248657.249513,24,56
