,timestamp,raw_value,attention,delta
0,0,35,56,0.0
1,1,35,56,0.0
2,2,35,56,0.0
3,3,35,56,0.0
4,4,35,56,0.0
5,5,35,56,0.0
6,6,65,56,0.06715798377990723
7,7,81,56,0.07701611518859863
8,8,81,56,0.07701611518859863
9,9,81,56,0.07701611518859863
10,10,81,56,0.07701611518859863
11,11,65,56,0.12118196487426758
12,12,66,56,0.13357329368591309
13,13,53,56,0.14381122589111328
14,14,53,56,0.14381122589111328
15,15,53,56,0.14381122589111328
16,16,48,56,0.17908406257629395
17,17,104,56,0.19148921966552734
18,18,83,56,0.19739151000976562
19,19,83,56,0.19739151000976562
20,20,83,56,0.19739151000976562
21,21,70,56,0.2365550994873047
22,22,43,56,0.24675416946411133
23,23,118,56,0.25827622413635254
24,24,114,56,0.26160216331481934
25,25,114,56,0.26160216331481934
26,26,114,56,0.26160216331481934
27,27,114,56,0.26160216331481934
28,28,114,56,0.26160216331481934
29,29,114,56,0.26160216331481934
30,30,103,56,0.3326070308685303
31,31,100,56,0.3468756675720215
32,32,32,56,0.3550410270690918
33,33,32,56,0.3550410270690918
34,34,32,56,0.3550410270690918
35,35,82,56,0.39365124702453613
36,36,82,56,0.39365124702453613
37,37,82,56,0.39365124702453613
38,38,82,56,0.39365124702453613
39,39,82,56,0.39365124702453613
40,40,36,63,0.44838714599609375
41,41,69,63,0.4626650810241699
42,42,69,63,0.4626650810241699
43,43,69,63,0.4626650810241699
44,44,69,63,0.4626650810241699
45,45,85,63,0.5062470436096191
46,46,-21,63,0.5166420936584473
47,47,67,63,0.5274932384490967
48,48,67,63,0.5313239097595215
49,49,67,63,0.5313239097595215
50,50,67,63,0.5313239097595215
51,51,42,63,0.5675320625305176
52,52,42,63,0.5675320625305176
53,53,42,63,0.5675320625305176
54,54,38,63,0.6065630912780762
55,55,65,63,0.6160669326782227
56,56,82,63,0.6275460720062256
57,57,82,63,0.6275460720062256
58,58,93,63,0.6472232341766357
59,59,96,63,0.6593542098999023
60,60,44,63,0.6650629043579102
61,61,44,63,0.6650629043579102
62,62,44,63,0.6650629043579102
63,63,39,63,0.7024950981140137
64,64,4,63,0.7063181400299072
65,65,4,63,0.7063181400299072
66,66,4,63,0.7063181400299072
67,67,41,63,0.7514300346374512
68,68,73,63,0.7594809532165527
69,69,0,63,0.769862174987793
70,70,0,63,0.7776031494140625
71,71,0,63,0.7776031494140625
72,72,0,63,0.7776031494140625
73,73,12,63,0.8123788833618164
74,74,139,63,0.8265666961669922
75,75,101,63,0.837414026260376
76,76,101,63,0.837414026260376
77,77,101,63,0.837414026260376
78,78,101,63,0.837414026260376
79,79,89,63,0.8703150749206543
80,80,89,63,0.8703150749206543
81,81,89,63,0.8703150749206543
82,82,89,63,0.8703150749206543
83,83,99,63,0.9222829341888428
84,84,27,63,0.93448805809021
85,85,88,63,0.9438512325286865
86,86,48,63,0.9539220333099365
87,87,48,63,0.9539220333099365
88,88,7,63,0.975848913192749
89,89,70,63,0.9896080493927002
90,90,29,63,0.9958469867706299
91,91,42,63,1.0072574615478516
92,92,92,63,1.0186827182769775
93,93,35,63,1.0304350852966309
94,94,90,63,1.041590929031372
95,95,96,63,1.0537550449371338
96,96,74,63,1.061556100845337
97,97,28,63,1.072524070739746
98,98,32,63,1.0801060199737549
99,99,88,63,1.0912950038909912
100,100,72,63,1.101477861404419
101,101,55,63,1.1130881309509277
102,102,72,63,1.1165680885314941
103,103,72,63,1.1165680885314941
104,104,72,63,1.1165680885314941
105,105,55,63,1.1576192378997803
106,106,98,63,1.1708381175994873
107,107,102,63,1.174511194229126
108,108,102,63,1.174511194229126
109,109,102,63,1.174511194229126
110,110,102,63,1.174511194229126
111,111,102,63,1.174511194229126
112,112,102,63,1.174511194229126
113,113,102,63,1.174511194229126
114,114,98,63,1.2500340938568115
115,115,85,63,1.2635231018066406
116,116,60,63,1.2686738967895508
117,117,43,63,1.2726140022277832
118,118,43,63,1.2726140022277832
119,119,43,63,1.2726140022277832
120,120,65,63,1.308021068572998
121,121,60,63,1.319535255432129
122,122,39,63,1.3299610614776611
123,123,-5,63,1.3340139389038086
124,124,-5,63,1.3340139389038086
125,125,-5,63,1.3340139389038086
126,126,44,63,1.3759691715240479
127,127,92,66,1.3897790908813477
128,128,124,66,1.3974909782409668
129,129,125,66,1.408062219619751
130,130,18,66,1.4196648597717285
131,131,45,66,1.4309186935424805
132,132,75,66,1.4421720504760742
133,133,72,66,1.4496610164642334
134,134,28,66,1.4610660076141357
135,135,69,66,1.47275710105896
136,136,72,66,1.476897954940796
137,137,72,66,1.476897954940796
138,138,57,66,1.502284288406372
139,139,61,66,1.5163459777832031
140,140,13,66,1.5284409523010254
141,141,68,66,1.5402719974517822
142,142,0,66,1.551645040512085
143,143,40,66,1.5629210472106934
144,144,91,66,1.573836088180542
145,145,87,66,1.585357904434204
146,146,73,66,1.5976181030273438
147,147,40,66,1.6065270900726318
148,148,73,66,1.620002031326294
149,149,-4,66,1.6310091018676758
150,150,37,66,1.6422200202941895
151,151,70,66,1.653872013092041
152,152,64,66,1.6665780544281006
153,153,72,66,1.6707909107208252
154,154,72,66,1.6707909107208252
155,155,69,66,1.6981585025787354
156,156,86,66,1.7099499702453613
157,157,49,66,1.7213950157165527
158,158,67,66,1.7326319217681885
159,159,58,66,1.743786096572876
160,160,87,66,1.7514970302581787
161,161,67,66,1.7625229358673096
162,162,108,66,1.775118112564087
163,163,108,66,1.775118112564087
164,164,108,66,1.775118112564087
165,165,58,66,1.8071370124816895
166,166,58,66,1.8192472457885742
167,167,49,66,1.8287811279296875
168,168,100,66,1.8400499820709229
169,169,65,66,1.847564935684204
170,170,40,66,1.8592629432678223
171,171,75,66,1.8704121112823486
172,172,66,66,1.8824660778045654
173,173,98,66,1.8938281536102295
174,174,59,66,1.906036138534546
175,175,33,66,1.9174139499664307
176,176,83,66,1.9292380809783936
177,177,92,66,1.93678617477417
178,178,76,66,1.9479310512542725
179,179,57,66,1.959670066833496
180,180,41,66,1.9709630012512207
181,181,59,66,1.9828011989593506
182,182,41,66,1.9936692714691162
183,183,49,66,2.0013680458068848
184,184,49,66,2.0013680458068848
185,185,59,66,2.028895139694214
186,186,104,66,2.0386674404144287
187,187,81,66,2.050183057785034
188,188,81,66,2.050183057785034
189,189,81,66,2.050183057785034
190,190,81,66,2.050183057785034
191,191,81,66,2.050183057785034
192,192,81,66,2.050183057785034
193,193,81,66,2.050183057785034
194,194,81,66,2.050183057785034
195,195,81,66,2.050183057785034
196,196,50,66,2.1519949436187744
197,197,64,66,2.1553680896759033
198,198,64,66,2.1553680896759033
199,199,64,66,2.1553680896759033
200,200,106,66,2.1998586654663086
201,201,-5,66,2.2104086875915527
202,202,70,66,2.2185559272766113
203,203,55,66,2.2279326915740967
204,204,55,66,2.2279326915740967
205,205,68,66,2.250913143157959
206,206,41,66,2.2620649337768555
207,207,38,66,2.272469997406006
208,208,74,66,2.2860300540924072
209,209,35,66,2.295530080795288
210,210,35,66,2.295530080795288
211,211,35,66,2.295530080795288
212,212,10,66,2.328184127807617
213,213,58,66,2.3397159576416016
214,214,70,66,2.3488101959228516
215,215,57,66,2.356358051300049
216,216,57,66,2.356358051300049
217,217,57,66,2.356358051300049
218,218,57,66,2.392421245574951
219,219,20,66,2.399527072906494
220,220,20,66,2.399527072906494
221,221,20,66,2.399527072906494
222,222,20,66,2.399527072906494
223,223,20,66,2.399527072906494
224,224,109,50,2.461444139480591
225,225,76,50,2.4732744693756104
226,226,90,50,2.4801931381225586
227,227,90,50,2.4801931381225586
228,228,90,50,2.4801931381225586
229,229,101,50,2.5155272483825684
230,230,83,50,2.522214889526367
231,231,85,50,2.5350091457366943
232,232,84,50,2.5462424755096436
233,233,101,50,2.556373119354248
234,234,108,50,2.567552089691162
235,235,114,50,2.5712709426879883
236,236,114,50,2.5712709426879883
237,237,114,50,2.5712709426879883
238,238,70,50,2.6112120151519775
239,239,81,50,2.6213059425354004
240,240,104,50,2.6325979232788086
241,241,96,50,2.6362669467926025
242,242,96,50,2.6362669467926025
243,243,96,50,2.6362669467926025
244,244,96,50,2.6362669467926025
245,245,80,50,2.6856210231781006
246,246,73,50,2.692162036895752
247,247,73,50,2.692162036895752
248,248,73,50,2.692162036895752
249,249,73,50,2.692162036895752
250,250,73,50,2.692162036895752
251,251,58,50,2.749077081680298
252,252,97,50,2.7626404762268066
253,253,64,50,2.7677080631256104
254,254,64,50,2.7677080631256104
255,255,64,50,2.7677080631256104
256,256,58,50,2.803185224533081
257,257,6,50,2.8133270740509033
258,258,101,50,2.8251142501831055
259,259,101,50,2.8251142501831055
260,260,101,50,2.8251142501831055
261,261,101,50,2.8251142501831055
262,262,101,50,2.8251142501831055
263,263,101,50,2.8251142501831055
264,264,69,50,2.8902878761291504
265,265,42,50,2.900136947631836
266,266,97,50,2.9107460975646973
267,267,90,50,2.921349287033081
268,268,80,50,2.9295096397399902
269,269,80,50,2.9295096397399902
270,270,80,50,2.9295096397399902
271,271,80,50,2.9295096397399902
272,272,80,50,2.9295096397399902
273,273,80,50,2.9295096397399902
274,274,80,50,2.9295096397399902
275,275,80,50,2.9295096397399902
276,276,80,50,2.9295096397399902
277,277,80,50,2.9295096397399902
278,278,104,50,3.0437450408935547
279,279,-4,50,3.058627128601074
280,280,85,50,3.069749116897583
281,281,29,50,3.0805561542510986
282,282,34,50,3.0922441482543945
283,283,34,50,3.10261869430542
284,284,10,50,3.113103151321411
285,285,33,50,3.1250948905944824
286,286,33,50,3.1250948905944824
287,287,33,50,3.1250948905944824
288,288,33,50,3.1250948905944824
289,289,41,50,3.1705570220947266
290,290,71,50,3.181326150894165
291,291,80,50,3.1889169216156006
292,292,80,50,3.1889169216156006
293,293,80,50,3.1889169216156006
294,294,76,50,3.2249932289123535
295,295,73,50,3.2361202239990234
296,296,48,50,3.2474050521850586
297,297,48,50,3.2474050521850586
298,298,48,50,3.2474050521850586
299,299,48,50,3.2474050521850586
300,300,48,50,3.2474050521850586
301,301,48,50,3.2474050521850586
302,302,48,50,3.2474050521850586
303,303,48,50,3.2474050521850586
304,304,48,50,3.2474050521850586
305,305,92,50,3.343316078186035
306,306,75,50,3.3512070178985596
307,307,75,50,3.3512070178985596
308,308,75,50,3.3512070178985596
309,309,75,50,3.3512070178985596
310,310,104,50,3.4010326862335205
