,timestamp,raw_value,attention,delta
0,0,87,69,0.0
1,1,131,69,0.0009789466857910156
2,2,131,69,0.0009789466857910156
3,3,120,69,0.03574705123901367
4,4,120,69,0.03574705123901367
5,5,120,69,0.03574705123901367
6,6,120,69,0.03574705123901367
7,7,99,69,0.08308720588684082
8,8,92,69,0.09693098068237305
9,9,39,69,0.10443806648254395
10,10,39,69,0.10443806648254395
11,11,39,69,0.10443806648254395
12,12,43,69,0.14426183700561523
13,13,28,69,0.15500593185424805
14,14,109,69,0.16445112228393555
15,15,109,69,0.16445112228393555
16,16,109,69,0.16445112228393555
17,17,109,69,0.16445112228393555
18,18,109,69,0.16445112228393555
19,19,109,69,0.16445112228393555
20,20,109,69,0.16445112228393555
21,21,66,69,0.25162291526794434
22,22,66,69,0.25162291526794434
23,23,66,69,0.25162291526794434
24,24,66,69,0.25162291526794434
25,25,66,69,0.25162291526794434
26,26,66,69,0.25162291526794434
27,27,76,69,0.33113908767700195
28,28,107,69,0.3369300365447998
29,29,107,69,0.3369300365447998
30,30,58,69,0.36435818672180176
31,31,5,69,0.3738880157470703
32,32,72,69,0.38164591789245605
33,33,72,69,0.38164591789245605
34,34,72,69,0.38164591789245605
35,35,72,69,0.38164591789245605
36,36,44,69,0.43051910400390625
37,37,112,69,0.44550299644470215
38,38,82,69,0.45325303077697754
39,39,82,69,0.45325303077697754
40,40,82,69,0.45325303077697754
41,41,5,69,0.4970970153808594
42,42,38,69,0.5066039562225342
43,43,18,69,0.5166308879852295
44,44,-5,69,0.5320069789886475
45,45,-2,69,0.5431959629058838
46,46,37,69,0.5496010780334473
47,47,37,69,0.5496010780334473
48,48,43,69,0.5790970325469971
49,49,89,69,0.5913400650024414
50,50,11,69,0.6044728755950928
51,51,24,69,0.615710973739624
52,52,1,69,0.6191818714141846
53,53,1,69,0.6191818714141846
54,54,-9,69,0.6535799503326416
55,55,43,69,0.6640961170196533
56,56,106,69,0.6781129837036133
57,57,87,69,0.6818101406097412
58,58,87,69,0.6818101406097412
59,59,67,69,0.7147331237792969
60,60,65,69,0.7283990383148193
61,61,59,69,0.738231897354126
62,62,-7,69,0.7518200874328613
63,63,22,69,0.7593581676483154
64,64,22,69,0.7593581676483154
65,65,22,69,0.7593581676483154
66,66,37,69,0.8031814098358154
67,67,133,69,0.8132431507110596
68,68,112,69,0.8168802261352539
69,69,112,69,0.8168802261352539
70,70,112,69,0.8168802261352539
71,71,112,69,0.8168802261352539
72,72,112,69,0.8168802261352539
73,73,83,69,0.8872039318084717
74,74,10,69,0.9018759727478027
75,75,100,66,0.9128501415252686
76,76,23,66,0.924414873123169
77,77,6,66,0.9365692138671875
78,78,32,66,0.9480350017547607
79,79,72,66,0.9617478847503662
80,80,90,66,0.972769021987915
81,81,51,66,0.9867238998413086
82,82,19,66,0.9980800151824951
83,83,-10,66,1.011781930923462
84,84,58,66,1.0218420028686523
85,85,74,66,1.0337979793548584
86,86,74,66,1.0337979793548584
87,87,74,66,1.0337979793548584
88,88,60,66,1.0674099922180176
89,89,60,66,1.0674099922180176
90,90,60,66,1.0674099922180176
91,91,60,66,1.0674099922180176
92,92,77,66,1.1218581199645996
93,93,101,66,1.1364672183990479
94,94,98,66,1.1366820335388184
95,95,98,66,1.1366820335388184
96,96,85,66,1.1711738109588623
97,97,0,66,1.1811048984527588
98,98,0,66,1.1811048984527588
99,99,0,66,1.1811048984527588
100,100,0,66,1.1811048984527588
101,101,0,66,1.1811048984527588
102,102,109,66,1.244837999343872
103,103,76,66,1.259441614151001
104,104,76,66,1.259441614151001
105,105,76,66,1.259441614151001
106,106,66,66,1.2962779998779297
107,107,27,66,1.303218126296997
108,108,73,66,1.3218200206756592
109,109,40,66,1.3335750102996826
110,110,32,66,1.344020128250122
111,111,-1,66,1.3552460670471191
112,112,56,66,1.3670730590820312
113,113,57,66,1.3777589797973633
114,114,51,66,1.389402151107788
115,115,64,66,1.4000298976898193
116,116,69,66,1.410874605178833
117,117,75,66,1.4255380630493164
118,118,75,66,1.436173439025879
119,119,56,66,1.4479269981384277
120,120,64,66,1.4519081115722656
121,121,64,66,1.4519081115722656
122,122,32,66,1.4836690425872803
123,123,39,66,1.4885890483856201
124,124,55,66,1.5117416381835938
125,125,44,66,1.523036003112793
126,126,80,66,1.5340549945831299
127,127,18,66,1.5490086078643799
128,128,-1,66,1.5602600574493408
129,129,2,66,1.5717990398406982
130,130,11,66,1.5827808380126953
131,131,71,66,1.5976319313049316
132,132,36,66,1.6095831394195557
133,133,41,66,1.6131582260131836
134,134,41,66,1.6131582260131836
135,135,71,66,1.648953914642334
136,136,85,66,1.6583449840545654
137,137,83,66,1.6663320064544678
138,138,58,66,1.6825790405273438
139,139,121,66,1.6923041343688965
140,140,114,66,1.706820011138916
141,141,98,66,1.7208399772644043
142,142,66,66,1.731895923614502
143,143,45,66,1.7463173866271973
144,144,39,66,1.750540018081665
145,145,39,66,1.750540018081665
146,146,56,66,1.7810838222503662
147,147,35,66,1.7886970043182373
148,148,76,66,1.8007888793945312
149,149,101,66,1.8148601055145264
150,150,67,66,1.8261690139770508
151,151,70,66,1.8374719619750977
152,152,16,66,1.8487119674682617
153,153,27,66,1.861081838607788
154,154,56,66,1.8718979358673096
155,155,89,66,1.8832530975341797
156,156,35,66,1.8980300426483154
157,157,58,61,1.9099581241607666
158,158,56,61,1.9207170009613037
159,159,25,61,1.931520938873291
160,160,49,61,1.9431910514831543
161,161,27,61,1.95402193069458
162,162,54,61,1.9690370559692383
163,163,80,61,1.976546049118042
164,164,42,61,1.9904100894927979
165,165,85,61,2.0045058727264404
166,166,73,61,2.015589475631714
167,167,81,61,2.0297601222991943
168,168,65,61,2.0406289100646973
169,169,54,61,2.0526342391967773
170,170,54,61,2.0526342391967773
171,171,54,61,2.0526342391967773
172,172,39,61,2.0902440547943115
173,173,131,61,2.1015419960021973
174,174,51,61,2.112086057662964
175,175,23,61,2.1258230209350586
176,176,37,61,2.1369950771331787
177,177,20,61,2.1479361057281494
178,178,-4,61,2.1628470420837402
179,179,5,61,2.174448251724243
180,180,19,61,2.185606002807617
181,181,87,61,2.1972649097442627
182,182,104,61,2.2122058868408203
183,183,56,61,2.2221720218658447
184,184,36,61,2.2333381175994873
185,185,41,61,2.2482340335845947
186,186,69,61,2.2591381072998047
187,187,100,61,2.27095103263855
188,188,135,61,2.275547981262207
189,189,135,61,2.275547981262207
190,190,67,61,2.3070313930511475
191,191,119,61,2.320624828338623
192,192,96,61,2.330048084259033
193,193,96,61,2.330048084259033
194,194,96,61,2.330048084259033
195,195,96,61,2.330048084259033
196,196,96,61,2.330048084259033
197,197,96,61,2.330048084259033
198,198,96,61,2.330048084259033
199,199,96,61,2.330048084259033
200,200,64,61,2.4258041381835938
201,201,104,61,2.441918134689331
202,202,53,61,2.452751874923706
203,203,-4,61,2.4640371799468994
204,204,5,61,2.479029893875122
205,205,8,61,2.4902689456939697
206,206,9,61,2.5019261837005615
207,207,32,61,2.5171520709991455
208,208,49,61,2.527411937713623
209,209,36,61,2.541619062423706
210,210,86,61,2.55322265625
211,211,53,61,2.563979148864746
212,212,41,61,2.5758349895477295
213,213,43,61,2.5864851474761963
214,214,19,61,2.6015172004699707
215,215,60,61,2.613248825073242
216,216,74,61,2.6237599849700928
217,217,72,61,2.6378681659698486
218,218,88,61,2.649221181869507
219,219,87,61,2.6532371044158936
220,220,87,61,2.6532371044158936
221,221,87,61,2.6841490268707275
222,222,100,61,2.694948434829712
223,223,45,61,2.7099170684814453
224,224,35,61,2.721662998199463
225,225,42,61,2.7356858253479004
226,226,20,61,2.746626138687134
227,227,68,61,2.7579140663146973
228,228,67,61,2.767472267150879
229,229,67,61,2.767472267150879
230,230,53,61,2.7972910404205322
231,231,169,61,2.8120288848876953
232,232,103,61,2.8240630626678467
233,233,73,61,2.8348090648651123
234,234,83,61,2.845360040664673
235,235,52,61,2.8568739891052246
236,236,28,61,2.871479034423828
237,237,10,61,2.8831710815429688
238,238,72,61,2.8940091133117676
239,239,54,51,2.9090559482574463
240,240,37,51,2.920760154724121
241,241,27,51,2.931676149368286
242,242,67,51,2.946413040161133
243,243,81,51,2.9510138034820557
244,244,81,51,2.9510138034820557
245,245,81,51,2.9510138034820557
246,246,81,51,2.9510138034820557
247,247,22,51,3.004477024078369
248,248,97,51,3.0168352127075195
249,249,120,51,3.0286500453948975
250,250,40,51,3.039909601211548
251,251,8,51,3.0512826442718506
252,252,40,51,3.0623202323913574
253,253,32,51,3.07688307762146
254,254,36,51,3.0886030197143555
255,255,64,51,3.102813959121704
256,256,67,51,3.114423990249634
257,257,87,51,3.1252493858337402
258,258,59,51,3.137040853500366
259,259,22,51,3.1479721069335938
260,260,38,51,3.1592278480529785
261,261,77,51,3.170286178588867
262,262,55,51,3.185340642929077
263,263,19,51,3.197021961212158
264,264,52,51,3.2077181339263916
265,265,52,51,3.222822666168213
266,266,54,51,3.233660936355591
267,267,48,51,3.244317054748535
268,268,42,51,3.2523648738861084
269,269,42,51,3.2523648738861084
270,270,33,51,3.2827916145324707
271,271,101,51,3.294044017791748
272,272,104,51,3.3090150356292725
273,273,1,51,3.3202638626098633
274,274,-4,51,3.33148193359375
