,timestamp,raw_value,attention,delta
0,0,66,69,0.0
1,1,66,69,0.0
2,2,66,69,0.0
3,3,66,69,0.0
4,4,66,69,0.0
5,5,117,69,0.06336498260498047
6,6,66,69,0.0719757080078125
7,7,-24,69,0.08680891990661621
8,8,-10,69,0.09807610511779785
9,9,38,69,0.10975289344787598
10,10,21,69,0.12177395820617676
11,11,67,69,0.12565279006958008
12,12,67,69,0.12565279006958008
13,13,69,69,0.15787672996520996
14,14,35,69,0.16959571838378906
15,15,-65,69,0.18081283569335938
16,16,-14,69,0.19234085083007812
17,17,-74,69,0.2075328826904297
18,18,-28,69,0.21213126182556152
19,19,104,69,0.2297990322113037
20,20,132,69,0.24169206619262695
21,21,50,69,0.2525472640991211
22,22,50,69,0.2525472640991211
23,23,65,69,0.2758510112762451
24,24,41,69,0.2899208068847656
25,25,52,69,0.30094408988952637
26,26,80,69,0.3123779296875
27,27,40,69,0.3234388828277588
28,28,-18,69,0.33572983741760254
29,29,54,69,0.34689903259277344
30,30,57,69,0.35838985443115234
31,31,55,69,0.373546838760376
32,32,41,69,0.38469982147216797
33,33,90,69,0.39623069763183594
34,34,6,69,0.40717387199401855
35,35,100,69,0.4223668575286865
36,36,88,69,0.43477582931518555
37,37,221,69,0.4448847770690918
38,38,24,69,0.45934510231018066
39,39,23,69,0.4705519676208496
40,40,51,69,0.4818887710571289
41,41,90,69,0.49678492546081543
42,42,76,69,0.5080816745758057
43,43,50,69,0.5230939388275146
44,44,11,69,0.5343267917633057
45,45,45,69,0.5460829734802246
46,46,49,69,0.5505120754241943
47,47,49,69,0.5505120754241943
48,48,82,69,0.584946870803833
49,49,146,69,0.5959019660949707
50,50,96,69,0.6072208881378174
51,51,49,69,0.6191368103027344
52,52,23,69,0.6334288120269775
53,53,81,69,0.6451199054718018
54,54,54,69,0.6559748649597168
55,55,92,69,0.667475700378418
56,56,102,69,0.6786079406738281
57,57,66,69,0.689997673034668
58,58,106,69,0.7050070762634277
59,59,72,69,0.716249942779541
60,60,51,69,0.7276430130004883
61,61,50,69,0.7427029609680176
62,62,115,69,0.7535216808319092
63,63,86,69,0.7647168636322021
64,64,91,69,0.779667854309082
65,65,54,69,0.7912976741790771
66,66,76,69,0.8022708892822266
67,67,44,69,0.8172750473022461
68,68,59,69,0.82861328125
69,69,55,69,0.8363039493560791
70,70,83,69,0.8470919132232666
71,71,83,69,0.8470919132232666
72,72,83,69,0.8470919132232666
73,73,83,69,0.8470919132232666
74,74,61,69,0.9000418186187744
75,75,115,69,0.911261796951294
76,76,92,69,0.9222748279571533
77,77,48,69,0.9340312480926514
78,78,54,69,0.9461238384246826
79,79,36,69,0.9570808410644531
80,80,4,69,0.9688839912414551
81,81,9,69,0.9797179698944092
82,82,86,69,0.9910037517547607
83,83,50,69,1.00624680519104
84,84,37,69,1.017143964767456
85,85,51,69,1.0283129215240479
86,86,52,69,1.039175033569336
87,87,-9,69,1.0521879196166992
88,88,13,69,1.0632877349853516
89,89,106,69,1.0745580196380615
90,90,42,69,1.0853936672210693
91,91,73,69,1.0967578887939453
92,92,35,69,1.1109826564788818
93,93,90,69,1.1222410202026367
94,94,21,69,1.1341490745544434
95,95,49,69,1.1448328495025635
96,96,86,69,1.1491587162017822
97,97,86,69,1.1491587162017822
98,98,92,69,1.180830478668213
99,99,45,69,1.1898338794708252
100,100,45,69,1.1898338794708252
101,101,60,66,1.2171409130096436
102,102,73,66,1.227961778640747
103,103,49,66,1.242445945739746
104,104,5,66,1.2530946731567383
105,105,48,66,1.2673189640045166
106,106,69,66,1.278343677520752
107,107,60,66,1.2900598049163818
108,108,40,66,1.3018198013305664
109,109,132,66,1.3131227493286133
110,110,93,66,1.3282968997955322
111,111,36,66,1.339648962020874
112,112,24,66,1.3513340950012207
113,113,84,66,1.3627586364746094
114,114,108,66,1.3740170001983643
115,115,90,66,1.3848726749420166
116,116,73,66,1.3960349559783936
117,117,80,66,1.4111249446868896
