timestamp,raw_value,attention
1614824024.105085,38,56
1614824024.117186,173,56
1614824024.128126,137,56
1614824024.138857,108,56
1614824024.149833,42,56
1614824024.161448,2,56
1614824024.175822,16,56
1614824024.186535,-2,56
1614824024.198177,172,56
1614824024.2127419,155,56
1614824024.224535,106,56
1614824024.2352152,74,56
1614824024.250838,-28,56
1614824024.259346,44,56
1614824024.259346,44,56
1614824024.259346,44,56
1614824024.259346,44,56
1614824024.259346,44,56
1614824024.319487,100,56
1614824024.326036,72,56
1614824024.336658,74,66
1614824024.336658,74,66
1614824024.336658,74,66
1614824024.375326,41,66
1614824024.382241,16,66
1614824024.382241,16,66
1614824024.382241,16,66
1614824024.4277701,44,66
1614824024.4397,2,66
1614824024.4507031,85,66
1614824024.4507031,85,66
1614824024.4507031,85,66
1614824024.485916,84,66
1614824024.500799,49,66
1614824024.5111418,50,66
1614824024.5223858,52,66
1614824024.5336199,54,66
1614824024.5448508,36,66
1614824024.556455,37,66
1614824024.567352,32,66
1614824024.582866,59,66
1614824024.594302,97,66
1614824024.6046872,82,66
1614824024.618416,76,66
1614824024.629199,76,66
1614824024.629199,76,66
1614824024.629199,76,66
1614824024.667836,39,66
1614824024.675763,74,66
1614824024.675763,74,66
1614824024.675763,74,66
1614824024.711275,119,66
1614824024.711275,119,66
1614824024.711275,119,66
1614824024.711275,119,66
1614824024.7646239,57,66
1614824024.775424,92,66
1614824024.782937,74,66
1614824024.782937,74,66
1614824024.782937,74,66
1614824024.819268,51,66
1614824024.8367229,64,66
1614824024.8494809,1,66
1614824024.8639228,-3,66
1614824024.875366,105,66
1614824024.889842,44,66
1614824024.898227,-10,66
1614824024.910003,1,66
1614824024.921869,89,66
1614824024.932126,77,66
1614824024.9466372,22,66
1614824024.957653,54,66
1614824024.969022,41,66
1614824024.977102,83,66
1614824024.977102,83,66
1614824025.006405,57,66
1614824025.0201359,80,66
1614824025.031504,34,66
1614824025.04267,-61,66
1614824025.053926,114,66
1614824025.06545,160,66
1614824025.080674,177,66
1614824025.092691,167,66
1614824025.1045609,166,66
1614824025.107957,157,66
1614824025.107957,157,66
1614824025.1424792,113,66
1614824025.152153,83,66
1614824025.1629388,26,66
1614824025.170568,4,66
1614824025.170568,4,66
1614824025.170568,4,66
1614824025.21531,29,66
1614824025.224284,93,66
1614824025.231775,86,66
1614824025.231775,86,66
1614824025.231775,86,66
1614824025.267933,54,66
1614824025.267933,54,66
1614824025.267933,54,66
1614824025.267933,54,66
1614824025.267933,54,66
1614824025.267933,54,66
1614824025.344903,37,66
1614824025.357742,59,66
1614824025.369128,13,87
1614824025.369128,13,87
1614824025.369128,13,87
1614824025.369128,13,87
1614824025.41314,73,87
1614824025.41314,73,87
1614824025.41314,73,87
1614824025.41314,73,87
1614824025.46753,-75,87
1614824025.4791281,101,87
1614824025.4830332,121,87
1614824025.4830332,121,87
1614824025.513102,45,87
1614824025.526739,93,87
1614824025.533368,128,87
1614824025.533368,128,87
1614824025.562957,103,87
1614824025.57272,26,87
1614824025.577313,49,87
1614824025.6001768,43,87
1614824025.61073,10,87
1614824025.614429,7,87
1614824025.638054,98,87
1614824025.6467588,81,87
1614824025.660653,69,87
1614824025.668015,59,87
1614824025.668015,59,87
1614824025.668015,59,87
1614824025.710695,99,87
1614824025.710695,99,87
1614824025.710695,99,87
1614824025.710695,99,87
1614824025.7586062,41,87
1614824025.76843,24,87
1614824025.779575,32,87
1614824025.779575,32,87
1614824025.779575,32,87
1614824025.8193028,36,87
1614824025.830135,1,87
1614824025.837738,96,87
1614824025.852735,56,87
1614824025.863959,55,87
1614824025.8755689,52,87
1614824025.8755689,52,87
1614824025.898916,38,87
1614824025.911083,69,87
1614824025.91521,66,87
1614824025.91521,66,87
1614824025.9471848,41,87
1614824025.957448,39,87
1614824025.971922,112,87
1614824025.981825,105,87
1614824025.992809,75,87
1614824026.007661,76,87
1614824026.017801,54,87
1614824026.028152,-2,87
1614824026.042687,27,87
1614824026.054208,59,87
1614824026.065505,42,87
1614824026.076847,113,87
1614824026.088033,104,87
1614824026.0992901,97,87
1614824026.1101708,102,87
1614824026.121251,83,87
1614824026.1354291,119,87
1614824026.146657,73,87
1614824026.157706,86,87
1614824026.169191,2,87
1614824026.177378,28,87
1614824026.177378,28,87
1614824026.177378,28,87
1614824026.177378,28,87
1614824026.2302458,34,87
1614824026.2444842,74,87
1614824026.2482162,83,87
1614824026.2482162,83,87
1614824026.2822201,82,87
1614824026.2919831,8,87
1614824026.303007,107,75
1614824026.3107781,100,75
1614824026.32573,67,75
1614824026.3400881,102,75
1614824026.350785,77,75
1614824026.361977,90,75
1614824026.372732,84,75
1614824026.383952,33,75
1614824026.395985,12,75
1614824026.406351,13,75
1614824026.419866,52,75
1614824026.4337401,53,75
1614824026.444438,70,75
1614824026.455462,45,75
1614824026.4665651,140,75
1614824026.474862,44,75
1614824026.474862,44,75
1614824026.502475,59,75
1614824026.518934,105,75
1614824026.528502,52,75
1614824026.54247,92,75
1614824026.553644,11,75
1614824026.565008,19,75
1614824026.5760489,112,75
1614824026.5876212,54,75
1614824026.595505,118,75
1614824026.610602,109,75
1614824026.618297,39,75
1614824026.618297,39,75
1614824026.618297,39,75
1614824026.659793,153,75
1614824026.673616,60,75
1614824026.673616,60,75
1614824026.673616,60,75
1614824026.70842,72,75
1614824026.722497,90,75
