timestamp,raw_value,attention
1614825955.6758459,57,50
1614825955.6910899,103,50
1614825955.706201,125,50
1614825955.7211552,116,50
1614825955.736259,55,50
1614825955.748099,40,50
1614825955.7578611,42,50
1614825955.7578611,42,50
1614825955.791841,146,50
1614825955.803947,154,50
1614825955.82058,44,50
1614825955.82058,44,50
1614825955.847418,37,50
1614825955.86439,77,50
1614825955.877457,51,50
1614825955.888932,19,50
1614825955.9042501,54,50
1614825955.9150069,44,50
1614825955.926395,5,50
1614825955.94119,32,50
1614825955.9566212,53,50
1614825955.971783,100,50
1614825955.986738,86,50
1614825956.001958,64,50
1614825956.016734,42,50
1614825956.027641,32,50
1614825956.0429661,41,50
1614825956.054741,53,50
1614825956.066365,64,50
1614825956.077357,123,50
1614825956.092344,106,50
1614825956.1039722,71,50
1614825956.1201081,12,50
1614825956.1201081,12,50
1614825956.147504,-21,50
1614825956.1645691,102,38
1614825956.1769972,115,38
1614825956.19209,86,38
1614825956.1979468,54,38
1614825956.224575,104,38
1614825956.237267,112,38
1614825956.25231,64,38
1614825956.2634518,61,38
1614825956.279009,113,38
1614825956.289898,71,38
1614825956.305098,75,38
1614825956.316779,60,38
1614825956.3273668,84,38
1614825956.3350139,91,38
1614825956.3350139,91,38
1614825956.37068,75,38
1614825956.3872929,104,38
1614825956.399922,135,38
1614825956.399922,135,38
1614825956.399922,135,38
1614825956.434145,131,38
1614825956.434145,131,38
1614825956.434145,131,38
1614825956.434145,131,38
1614825956.499433,131,38
1614825956.511171,91,38
1614825956.524302,54,38
1614825956.5428128,-1,38
1614825956.55881,11,38
1614825956.569978,-2,38
1614825956.5850172,44,38
1614825956.596307,27,38
1614825956.6113422,12,38
1614825956.626336,38,38
1614825956.641651,28,38
1614825956.6568608,40,38
1614825956.668751,68,38
1614825956.6804779,66,38
1614825956.691424,67,38
1614825956.7064698,80,38
1614825956.718712,38,38
1614825956.718712,38,38
1614825956.747591,66,38
1614825956.758401,64,38
1614825956.773951,130,38
1614825956.78826,44,38
1614825956.803108,68,38
1614825956.8147452,60,38
1614825956.826195,103,38
1614825956.83786,86,38
1614825956.856391,133,38
1614825956.874549,129,38
1614825956.887114,118,38
1614825956.9010508,104,38
1614825956.912477,76,38
1614825956.921828,88,38
1614825956.921828,88,38
1614825956.957439,32,38
1614825956.9686542,12,38
1614825956.983833,-2,38
1614825956.99944,9,38
1614825957.0117362,67,38
1614825957.015761,50,38
1614825957.041203,29,38
1614825957.059382,48,38
1614825957.0743601,-4,38
1614825957.085749,21,38
1614825957.101354,34,38
1614825957.11225,51,38
1614825957.124008,75,38
1614825957.13476,58,38
1614825957.149929,108,38
1614825957.164997,101,38
1614825957.180477,49,37
1614825957.1923652,101,37
1614825957.207892,150,37
1614825957.218805,99,37
1614825957.233869,55,37
1614825957.241791,60,37
1614825957.2567759,71,37
1614825957.271668,56,37
1614825957.286718,68,37
1614825957.301692,50,37
1614825957.3124611,52,37
1614825957.3183649,84,37
1614825957.3469598,65,37
1614825957.362139,50,37
1614825957.3737931,86,37
1614825957.388594,34,37
1614825957.404491,50,37
1614825957.4200802,52,37
1614825957.435115,17,37
1614825957.4500139,8,37
1614825957.4650722,82,37
1614825957.4776099,69,37
1614825957.494477,90,37
1614825957.506034,136,37
1614825957.521426,140,37
1614825957.537063,107,37
1614825957.548816,50,37
1614825957.563814,42,37
1614825957.57883,87,37
1614825957.590486,61,37
1614825957.601581,99,37
1614825957.618547,100,37
1614825957.618547,100,37
1614825957.64897,113,37
1614825957.663837,59,37
1614825957.675508,37,37
1614825957.685987,21,37
1614825957.697524,26,37
1614825957.7093499,82,37
1614825957.720103,58,37
1614825957.7361321,65,37
1614825957.7516742,28,37
1614825957.762569,38,37
1614825957.7775848,97,37
1614825957.7961159,33,37
1614825957.807838,71,37
1614825957.8229601,32,37
1614825957.837843,17,37
1614825957.8488278,19,37
1614825957.863864,81,37
1614825957.87887,117,37
1614825957.893805,107,37
1614825957.905375,138,37
1614825957.9172008,107,37
1614825957.9172008,107,37
1614825957.9483252,98,37
1614825957.959847,108,37
1614825957.969217,151,37
1614825957.993275,64,37
1614825958.006262,49,37
1614825958.02128,10,37
1614825958.0363781,-55,37
1614825958.048079,3,37
1614825958.063117,7,37
1614825958.0745258,21,37
1614825958.0897338,49,37
1614825958.1046212,-10,37
1614825958.112961,0,37
1614825958.1346402,36,37
1614825958.14995,120,37
1614825958.157579,130,37
1614825958.176296,28,20
1614825958.192031,96,20
1614825958.202713,55,20
1614825958.2141702,34,20
1614825958.223388,89,20
1614825958.223388,89,20
1614825958.257372,107,20
1614825958.2722318,103,20
1614825958.287144,75,20
1614825958.302142,45,20
1614825958.317621,89,20
1614825958.317621,89,20
1614825958.317621,89,20
1614825958.357669,66,20
1614825958.360773,73,20
1614825958.360773,73,20
1614825958.360773,73,20
1614825958.410547,146,20
1614825958.410547,146,20
1614825958.410547,146,20
1614825958.4561589,140,20
1614825958.470243,107,20
1614825958.4775522,81,20
1614825958.498004,57,20
1614825958.511622,88,20
1614825958.511622,88,20
1614825958.543916,74,20
1614825958.5552058,38,20
1614825958.566566,100,20
1614825958.581289,84,20
1614825958.592606,100,20
