timestamp,raw_value,attention
1614826045.8455,98,44
1614826045.8605409,64,44
1614826045.875392,32,44
1614826045.8910642,76,44
1614826045.9070761,96,44
1614826045.922231,64,44
1614826045.933283,88,44
1614826045.945469,28,44
1614826045.959751,-11,44
1614826045.971474,-9,44
1614826045.982283,69,44
1614826045.997956,103,44
1614826046.010108,85,44
1614826046.014924,66,44
1614826046.040475,22,44
1614826046.053168,17,44
1614826046.068068,50,44
1614826046.082888,71,44
1614826046.0943239,135,44
1614826046.105509,121,44
1614826046.117919,67,44
1614826046.117919,67,44
1614826046.14447,28,44
1614826046.155599,12,44
1614826046.170708,161,47
1614826046.182176,98,47
1614826046.197141,118,47
1614826046.2103071,93,47
1614826046.214373,87,47
1614826046.238623,67,47
1614826046.2535648,107,47
1614826046.268281,42,47
1614826046.283539,55,47
1614826046.294534,64,47
1614826046.30913,8,47
1614826046.3166862,25,47
1614826046.331627,43,47
1614826046.343693,25,47
1614826046.3546329,66,47
1614826046.36627,68,47
1614826046.3777852,77,47
1614826046.392929,83,47
1614826046.404705,52,47
1614826046.416213,51,47
1614826046.416213,51,47
1614826046.416213,51,47
1614826046.462618,33,47
1614826046.48081,98,47
1614826046.4922152,96,47
1614826046.5038762,50,47
1614826046.5145578,37,47
1614826046.525526,22,47
1614826046.5405939,42,47
1614826046.555479,53,47
1614826046.567219,44,47
1614826046.578298,40,47
1614826046.5932622,-6,47
1614826046.608331,72,47
1614826046.619719,80,47
1614826046.6352692,90,47
1614826046.65007,19,47
1614826046.660983,-8,47
1614826046.67248,42,47
1614826046.683383,49,47
1614826046.698289,71,47
1614826046.709698,69,47
1614826046.717993,88,47
1614826046.7417421,75,47
1614826046.75332,74,47
1614826046.768028,106,47
1614826046.77901,82,47
1614826046.79461,74,47
1614826046.809864,58,47
1614826046.824047,70,47
1614826046.838536,72,47
1614826046.849291,77,47
1614826046.8643541,68,47
1614826046.879612,66,47
1614826046.895211,49,47
1614826046.910094,70,47
1614826046.920759,92,47
1614826046.932395,83,47
1614826046.94776,72,47
1614826046.963352,88,47
1614826046.9781601,50,47
1614826046.993759,55,47
1614826047.005634,38,47
1614826047.005634,38,47
1614826047.032583,35,47
1614826047.044235,18,47
1614826047.064658,102,47
1614826047.07681,82,47
1614826047.089121,65,47
1614826047.102257,57,47
1614826047.113002,25,47
1614826047.1239302,35,47
1614826047.139267,44,47
1614826047.1543438,66,47
1614826047.1693609,68,29
1614826047.184418,45,29
1614826047.199342,29,29
1614826047.2114,16,29
1614826047.2114,16,29
1614826047.243346,59,29
1614826047.252584,144,29
1614826047.268236,88,29
1614826047.268236,88,29
1614826047.268236,88,29
1614826047.307172,36,29
1614826047.307172,36,29
1614826047.307172,36,29
1614826047.307172,36,29
1614826047.307172,36,29
1614826047.307172,36,29
1614826047.387389,161,29
1614826047.404882,-29,29
1614826047.406096,58,29
1614826047.406096,58,29
1614826047.441325,69,29
1614826047.459572,108,29
1614826047.472158,22,29
1614826047.487157,3,29
1614826047.5020978,25,29
1614826047.513356,54,29
1614826047.528523,82,29
1614826047.544271,59,29
1614826047.556167,55,29
