timestamp,raw_value,attention
1615093263.750389,42,83
1615093263.7602859,75,83
1615093263.76779,17,83
1615093263.772804,-6,83
1615093263.772804,-6,83
1615093263.772804,-6,83
1615093263.772804,-6,83
1615093263.810422,-22,83
1615093263.824179,-34,83
1615093263.833167,125,83
1615093263.840479,73,83
1615093263.850323,58,83
1615093263.850323,58,83
1615093263.850323,58,83
1615093263.850323,58,83
1615093263.850323,58,83
1615093263.8932,19,83
1615093263.903084,58,83
1615093263.9131851,4,83
1615093263.920581,22,83
1615093263.93057,25,83
1615093263.938056,28,83
1615093263.9481401,6,83
1615093263.951631,-3,83
1615093263.951631,-3,83
1615093263.951631,-3,83
1615093263.951631,-3,83
1615093263.9915562,-7,83
1615093264.001686,67,83
1615093264.010307,37,83
1615093264.017859,29,83
1615093264.02785,-17,83
1615093264.037947,44,83
1615093264.044116,24,83
1615093264.054402,13,83
1615093264.063195,-9,83
1615093264.0694,-6,83
1615093264.080725,5,83
1615093264.0894568,42,83
1615093264.096937,25,83
1615093264.106812,42,83
1615093264.116808,64,83
1615093264.125677,41,83
1615093264.133185,24,83
1615093264.143101,44,83
1615093264.1530812,34,83
1615093264.1630669,58,83
1615093264.1707442,48,83
1615093264.180825,16,83
1615093264.18819,42,83
1615093264.196932,28,83
1615093264.20419,34,83
1615093264.212932,45,83
1615093264.2215528,71,83
1615093264.230261,-8,83
1615093264.2365508,71,83
1615093264.2453241,81,83
1615093264.2528121,38,83
1615093264.2528121,38,83
1615093264.2528121,38,83
1615093264.2528121,38,83
1615093264.2528121,38,83
1615093264.300601,153,83
1615093264.308073,61,83
1615093264.3181021,38,83
1615093264.3255339,19,83
1615093264.335671,54,83
1615093264.3444102,-17,83
1615093264.351795,-17,83
1615093264.360599,-1,83
1615093264.371831,4,83
1615093264.379186,1,83
1615093264.388226,9,83
1615093264.3982148,6,83
1615093264.406621,23,83
1615093264.414047,40,83
1615093264.422793,24,83
1615093264.4302878,54,83
1615093264.4402938,54,83
1615093264.447853,26,83
1615093264.4553149,66,83
1615093264.462868,48,83
1615093264.472831,91,83
1615093264.482879,100,83
1615093264.4928808,58,83
1615093264.500373,57,83
1615093264.509102,40,83
1615093264.51659,20,83
1615093264.524012,49,83
1615093264.535317,57,83
1615093264.541536,60,83
1615093264.551578,54,83
1615093264.551578,54,83
1615093264.551578,54,83
1615093264.551578,54,83
1615093264.587784,52,83
1615093264.597785,123,83
1615093264.605281,58,83
1615093264.614061,27,83
1615093264.6203,16,83
1615093264.631831,9,88
1615093264.639176,37,88
1615093264.647876,51,88
1615093264.656673,61,88
1615093264.66341,48,88
1615093264.66341,48,88
1615093264.685421,124,88
1615093264.691913,71,88
1615093264.7006762,42,88
1615093264.709412,59,88
1615093264.719418,35,88
1615093264.725685,50,88
1615093264.735567,20,88
1615093264.7455301,23,88
1615093264.752822,85,88
1615093264.7603579,81,88
1615093264.770669,53,88
1615093264.780693,80,88
1615093264.789419,76,88
1615093264.79567,54,88
1615093264.8056052,64,88
1615093264.8130429,80,88
1615093264.823238,64,88
1615093264.830675,48,88
1615093264.8405771,-2,88
1615093264.850689,4,88
1615093264.85298,26,88
1615093264.85298,26,88
1615093264.85298,26,88
1615093264.85298,26,88
1615093264.8948438,141,88
1615093264.902859,104,88
1615093264.9130769,42,88
1615093264.920701,41,88
1615093264.929318,36,88
1615093264.9392982,1,88
1615093264.945419,3,88
1615093264.955349,49,88
1615093264.965292,7,88
1615093264.974029,-1,88
1615093264.982778,21,88
1615093264.991507,-9,88
1615093265.000441,22,88
1615093265.0090282,25,88
1615093265.0179148,8,88
1615093265.025302,20,88
1615093265.0315719,20,88
1615093265.041821,32,88
