,timestamp,raw_value,attention,delta
0,0,55,30,0.0
1,1,13,30,0.00039505958557128906
2,2,12,30,0.017507076263427734
3,3,103,30,0.026107072830200195
4,4,69,30,0.036138057708740234
5,5,76,30,0.04366803169250488
6,6,55,30,0.05144095420837402
7,7,64,30,0.05375099182128906
8,8,64,30,0.05375099182128906
9,9,64,30,0.05375099182128906
10,10,64,30,0.05375099182128906
11,11,104,30,0.09370255470275879
12,12,100,30,0.10364103317260742
13,13,43,30,0.11112284660339355
14,14,2,30,0.12116193771362305
15,15,22,30,0.13123607635498047
16,16,22,30,0.13868999481201172
17,17,9,30,0.14618206024169922
18,18,18,30,0.1562669277191162
19,19,44,30,0.16368508338928223
20,20,66,30,0.17274689674377441
21,21,53,30,0.17993998527526855
22,22,41,30,0.1889488697052002
23,23,41,30,0.1889488697052002
24,24,48,30,0.2062220573425293
25,25,88,30,0.21365880966186523
26,26,37,30,0.2224578857421875
27,27,6,30,0.23116397857666016
28,28,7,30,0.23871207237243652
29,29,4,30,0.24995207786560059
30,30,7,30,0.2574038505554199
31,31,20,30,0.26615023612976074
32,32,40,30,0.2749209403991699
33,33,29,30,0.28490591049194336
34,34,41,30,0.29114699363708496
35,35,43,30,0.3011589050292969
36,36,-4,30,0.3087503910064697
37,37,-5,30,0.31743597984313965
38,38,28,30,0.32498884201049805
39,39,37,30,0.33388400077819824
40,40,48,30,0.34270691871643066
41,41,84,30,0.3528110980987549
42,42,84,30,0.3528110980987549
43,43,84,30,0.3528110980987549
44,44,84,30,0.3528110980987549
45,45,84,30,0.3528110980987549
46,46,81,30,0.3976399898529053
47,47,129,30,0.40512990951538086
48,48,16,30,0.4127790927886963
49,49,1,30,0.4225008487701416
50,50,10,30,0.4299499988555908
51,51,16,30,0.44002199172973633
52,52,-1,30,0.44745802879333496
53,53,36,30,0.45864105224609375
54,54,23,30,0.46489596366882324
55,55,56,30,0.4750080108642578
56,56,29,30,0.48252010345458984
57,57,11,30,0.4928309917449951
58,58,-33,30,0.5002517700195312
59,59,7,30,0.5103538036346436
60,60,27,30,0.5201480388641357
61,61,27,30,0.5277490615844727
62,62,-9,30,0.5353908538818359
63,63,-11,30,0.5449719429016113
64,64,-8,30,0.5487408638000488
65,65,-8,30,0.5487408638000488
66,66,-8,30,0.5487408638000488
67,67,-8,30,0.5487408638000488
68,68,181,21,0.5899560451507568
69,69,163,21,0.5974640846252441
70,70,71,21,0.6062271595001221
71,71,28,21,0.614936113357544
72,72,97,21,0.6249418258666992
73,73,76,21,0.6349020004272461
74,74,43,21,0.6424000263214111
75,75,12,21,0.654069185256958
76,76,12,21,0.654069185256958
77,77,12,21,0.654069185256958
78,78,12,21,0.654069185256958
79,79,12,21,0.654069185256958
80,80,140,21,0.6982550621032715
81,81,75,21,0.7061500549316406
82,82,70,21,0.7150058746337891
83,83,34,21,0.7224068641662598
84,84,21,21,0.7324531078338623
85,85,-3,21,0.7399210929870605
86,86,-8,21,0.7487590312957764
87,87,25,21,0.757418155670166
88,88,33,21,0.7662110328674316
89,89,24,21,0.7749090194702148
90,90,16,21,0.783703088760376
91,91,1,21,0.7911422252655029
92,92,-18,21,0.7987418174743652
93,93,4,21,0.8086738586425781
94,94,7,21,0.8124370574951172
95,95,38,21,0.8249239921569824
96,96,4,21,0.8324611186981201
97,97,33,21,0.8399150371551514
98,98,64,21,0.8501801490783691
99,99,24,21,0.8599140644073486
100,100,21,21,0.8673701286315918
101,101,41,21,0.8761441707611084
102,102,48,21,0.8848509788513184
103,103,70,21,0.8923780918121338
104,104,102,21,0.9023890495300293
105,105,67,21,0.9099388122558594
106,106,44,21,0.918673038482666
107,107,37,21,0.9273290634155273
108,108,21,21,0.9363360404968262
109,109,19,21,0.9375908374786377
110,110,34,21,0.9539780616760254
111,111,34,21,0.9539780616760254
112,112,34,21,0.9539780616760254
113,113,34,21,0.9539780616760254
114,114,103,21,0.9914999008178711
115,115,139,21,1.0001368522644043
116,116,83,21,1.0088129043579102
117,117,69,21,1.0165560245513916
118,118,39,21,1.0263168811798096
119,119,7,21,1.0349879264831543
120,120,45,21,1.0437359809875488
121,121,-17,21,1.053727149963379
122,122,44,21,1.0612540245056152
123,123,18,21,1.0700058937072754
124,124,-11,21,1.0764520168304443
125,125,24,21,1.0863690376281738
126,126,-8,21,1.0940301418304443
127,127,-6,21,1.1038410663604736
