,timestamp,raw_value,attention,delta
0,0,10,54,0.0
1,1,178,54,0.008704185485839844
2,2,119,54,0.017760038375854492
3,3,80,54,0.026357173919677734
4,4,35,54,0.0325775146484375
5,5,-26,54,0.04140806198120117
6,6,-24,54,0.05018210411071777
7,7,-29,54,0.06015467643737793
8,8,3,54,0.07025814056396484
9,9,20,54,0.07776618003845215
10,10,37,54,0.08777213096618652
11,11,80,54,0.09651803970336914
12,12,61,54,0.10917925834655762
13,13,6,54,0.1164090633392334
14,14,-5,54,0.1252579689025879
15,15,104,54,0.132767915725708
16,16,12,54,0.14279818534851074
17,17,55,54,0.15038299560546875
18,18,42,54,0.16021323204040527
19,19,11,54,0.16656494140625
20,20,11,54,0.16656494140625
21,21,11,54,0.16656494140625
22,22,11,54,0.16656494140625
23,23,11,54,0.16656494140625
24,24,16,54,0.21497511863708496
25,25,220,54,0.22241902351379395
26,26,150,54,0.22865509986877441
27,27,141,54,0.23863649368286133
28,28,58,54,0.24745798110961914
29,29,39,54,0.2576770782470703
30,30,0,54,0.26526904106140137
31,31,-10,54,0.2739100456237793
32,32,-9,54,0.2826991081237793
33,33,-3,54,0.29282116889953613
34,34,2,54,0.2990400791168213
35,35,7,54,0.30904626846313477
36,36,9,54,0.316540002822876
37,37,-5,54,0.3262519836425781
38,38,-21,54,0.3339722156524658
39,39,-17,54,0.34388113021850586
40,40,-25,54,0.35140419006347656
41,41,-25,54,0.3615410327911377
42,42,11,54,0.37142109870910645
43,43,39,54,0.3787400722503662
44,44,92,54,0.3862321376800537
45,45,74,54,0.39623403549194336
46,46,76,54,0.4037339687347412
47,47,104,54,0.41135191917419434
48,48,130,54,0.42142391204833984
49,49,114,54,0.42778491973876953
50,50,96,54,0.4411962032318115
51,51,168,54,0.4499812126159668
52,52,121,54,0.458698034286499
53,53,99,54,0.4687011241912842
54,54,77,54,0.4723849296569824
55,55,23,54,0.4849250316619873
56,56,-13,54,0.49362826347351074
57,57,-13,54,0.49989819526672363
58,58,-2,54,0.5099658966064453
59,59,-21,54,0.5175354480743408
60,60,57,54,0.5277159214019775
61,61,39,54,0.5349059104919434
62,62,44,54,0.5461940765380859
63,63,26,54,0.5524098873138428
64,64,-10,54,0.5624301433563232
65,65,58,54,0.5698411464691162
66,66,70,54,0.5799062252044678
67,67,-4,54,0.5898542404174805
68,68,-4,54,0.5898542404174805
69,69,-4,54,0.5898542404174805
70,70,-4,54,0.5898542404174805
71,71,-4,54,0.6249661445617676
72,72,182,54,0.6336061954498291
73,73,-30,54,0.6423606872558594
74,74,-114,54,0.6498661041259766
75,75,-179,54,0.6574132442474365
76,76,-186,54,0.6661419868469238
77,77,-190,54,0.6699292659759521
78,78,-122,69,0.6837520599365234
79,79,-151,69,0.692371129989624
80,80,-194,69,0.7011122703552246
81,81,-217,69,0.7086381912231445
82,82,-184,69,0.7161638736724854
83,83,-149,69,0.7262132167816162
84,84,-163,69,0.7336170673370361
85,85,-156,69,0.7423810958862305
86,86,-100,69,0.7523641586303711
87,87,-89,69,0.7599072456359863
88,88,-89,69,0.7649269104003906
89,89,-89,69,0.7649269104003906
90,90,-89,69,0.7649269104003906
91,91,-89,69,0.7649269104003906
92,92,-59,69,0.80495285987854
93,93,311,69,0.8125181198120117
94,94,155,69,0.8198721408843994
95,95,51,69,0.8274359703063965
96,96,-40,69,0.8373560905456543
97,97,-52,69,0.8461410999298096
98,98,-83,69,0.8561439514160156
99,99,17,69,0.8636472225189209
100,100,-58,69,0.8723552227020264
101,101,-87,69,0.8836250305175781
102,102,-38,69,0.8924121856689453
103,103,-74,69,0.9014701843261719
104,104,-53,69,0.9098684787750244
105,105,-59,69,0.9174940586090088
106,106,-44,69,0.9275689125061035
107,107,-24,69,0.9352600574493408
108,108,-40,69,0.9451501369476318
109,109,-27,69,0.9525930881500244
110,110,-25,69,0.9614160060882568
111,111,-9,69,0.9690134525299072
112,112,11,69,0.9790091514587402
113,113,-33,69,0.989037275314331
114,114,-104,69,0.9965479373931885
115,115,-33,69,1.0065269470214844
116,116,45,69,1.0152621269226074
117,117,69,69,1.0251240730285645
118,118,51,69,1.0339221954345703
119,119,101,69,1.042755126953125
120,120,81,69,1.0530641078948975
121,121,81,69,1.0530641078948975
122,122,123,69,1.066488265991211
123,123,123,69,1.066488265991211
124,124,123,69,1.066488265991211
125,125,135,69,1.1015241146087646
126,126,358,69,1.1114041805267334
127,127,208,69,1.1188867092132568
128,128,59,69,1.1289122104644775
129,129,44,69,1.1402440071105957
130,130,91,69,1.1491930484771729
131,131,26,69,1.1589000225067139
132,132,1,69,1.1677672863006592
133,133,-1,69,1.1765000820159912
134,134,-30,69,1.1826276779174805
135,135,-35,69,1.1950109004974365
136,136,-41,69,1.2013046741485596
137,137,-2,69,1.2113850116729736
138,138,-6,69,1.2198851108551025
139,139,-8,69,1.2249951362609863
140,140,-12,69,1.2374751567840576
141,141,44,69,1.2436401844024658
142,142,44,69,1.253662109375
143,143,52,69,1.2612581253051758
144,144,54,69,1.27146315574646
145,145,41,69,1.2815382480621338
146,146,61,69,1.288872241973877
147,147,67,69,1.29774808883667
148,148,61,69,1.3090310096740723
149,149,80,69,1.3163890838623047
150,150,73,69,1.3239891529083252
151,151,38,69,1.3327600955963135
152,152,35,69,1.3402659893035889
153,153,40,69,1.3513095378875732
154,154,20,69,1.361372947692871
155,155,16,69,1.3652970790863037
156,156,16,69,1.3652970790863037
157,157,16,69,1.3652970790863037
158,158,16,69,1.3652970790863037
159,159,32,69,1.4065241813659668
160,160,304,69,1.4189140796661377
161,161,186,69,1.4290010929107666
162,162,39,69,1.4390161037445068
163,163,23,69,1.4451611042022705
164,164,4,69,1.454982042312622
165,165,10,69,1.4627025127410889
166,166,-18,69,1.472743034362793
167,167,-18,69,1.472743034362793
168,168,-4,69,1.4890251159667969
169,169,218,69,1.5016131401062012
170,170,152,69,1.5077531337738037
171,171,45,69,1.5176589488983154
172,172,23,69,1.5290131568908691
173,173,-21,69,1.537419080734253
174,174,-53,69,1.5461750030517578
175,175,-37,69,1.5548760890960693
176,176,-56,69,1.562432050704956
177,177,-44,69,1.5698649883270264
178,178,-46,69,1.5773460865020752
179,179,-81,69,1.5860812664031982
180,180,-51,69,1.5961599349975586
181,181,-38,69,1.6036090850830078
182,182,-14,69,1.612360954284668
183,183,55,69,1.6210711002349854
184,184,-5,69,1.6286249160766602
185,185,-37,69,1.6386282444000244
186,186,2,69,1.6460671424865723
187,187,-2,69,1.657336711883545
188,188,-1,69,1.6661252975463867
189,189,-1,69,1.6661252975463867
190,190,-1,69,1.6661252975463867
