timestamp,raw_value,attention
1615776609.132405,192,70
1615776609.139783,166,70
1615776609.1462889,137,70
1615776609.1462889,137,70
1615776609.1462889,137,70
1615776609.1462889,137,70
1615776609.187072,197,70
1615776609.195086,22,70
1615776609.202284,11,70
1615776609.212598,3,70
1615776609.219784,-106,70
1615776609.227447,11,70
1615776609.23618,-99,70
1615776609.2450502,-214,70
1615776609.25474,-68,70
1615776609.2650712,12,70
1615776609.272476,16,70
1615776609.2800362,97,70
1615776609.2899232,20,70
1615776609.299867,4,70
1615776609.309875,44,70
1615776609.317389,44,70
1615776609.327256,109,70
1615776609.334719,129,70
1615776609.3446689,128,70
1615776609.354767,99,70
1615776609.3622222,27,70
1615776609.369645,92,70
1615776609.377144,101,70
1615776609.387208,107,70
1615776609.397534,66,70
1615776609.4047968,34,70
1615776609.415039,-1,70
1615776609.4236732,4,70
1615776609.432565,103,70
1615776609.438824,75,70
1615776609.446273,74,70
1615776609.446273,74,70
1615776609.446273,74,70
1615776609.446273,74,70
1615776609.4859269,40,70
1615776609.493461,44,70
1615776609.500961,-138,70
1615776609.50843,-92,70
1615776609.517233,-107,70
1615776609.5259478,-22,70
1615776609.536003,5,70
1615776609.543679,-58,70
1615776609.553874,-22,70
1615776609.553874,-22,70
1615776609.573726,77,70
1615776609.581292,61,70
1615776609.591063,16,70
1615776609.598787,65,70
1615776609.6062112,60,70
1615776609.616251,-69,70
1615776609.623662,-12,70
1615776609.633714,8,70
1615776609.6412,19,70
1615776609.650112,18,70
1615776609.657612,33,70
1615776609.6650612,86,70
1615776609.67628,133,70
1615776609.682569,100,70
1615776609.6899729,196,70
1615776609.702281,124,70
1615776609.7100859,12,70
1615776609.716248,71,70
1615776609.716248,71,70
1615776609.716248,71,70
1615776609.746289,-17,70
1615776609.746289,-17,70
1615776609.746289,-17,70
1615776609.746289,-17,70
1615776609.7834408,88,70
1615776609.790926,123,70
1615776609.7997062,-76,70
1615776609.807162,-102,70
1615776609.815944,-142,70
1615776609.824687,-55,70
1615776609.834668,2,70
1615776609.8421462,-68,70
1615776609.850911,-68,70
1615776609.858422,35,70
1615776609.8658822,-45,70
1615776609.8734348,-152,70
1615776609.8822908,-179,70
1615776609.8921769,-91,70
1615776609.899699,-119,70
1615776609.907281,-169,70
1615776609.9147038,-49,70
1615776609.924635,74,70
1615776609.932317,-35,70
1615776609.940941,-62,70
1615776609.948422,28,70
1615776609.955992,48,70
1615776609.966038,51,70
1615776609.973407,154,70
1615776609.980905,109,70
1615776609.985936,50,70
1615776609.995907,2,60
1615776610.007166,87,60
1615776610.0159218,6,60
1615776610.025944,-102,60
1615776610.035994,88,60
1615776610.0434618,32,60
1615776610.045928,51,60
1615776610.045928,51,60
1615776610.045928,51,60
1615776610.045928,51,60
1615776610.0865102,299,60
1615776610.08705,258,60
1615776610.08705,258,60
1615776610.111076,211,60
1615776610.119748,-50,60
1615776610.128665,56,60
1615776610.137574,-12,60
1615776610.1473339,-17,60
1615776610.157328,-57,60
1615776610.165056,26,60
1615776610.1763031,75,60
1615776610.18489,50,60
1615776610.192477,116,60
1615776610.202261,44,60
1615776610.2124789,53,60
1615776610.213712,100,60
1615776610.213712,100,60
1615776610.239946,59,60
1615776610.2486951,331,60
1615776610.2560508,244,60
1615776610.265098,160,60
1615776610.2750652,5,60
1615776610.282644,17,60
1615776610.291321,-73,60
1615776610.300066,-74,60
1615776610.3075368,-23,60
1615776610.3173451,65,60
1615776610.32509,208,60
1615776610.334791,5,60
1615776610.345122,4,60
1615776610.345122,4,60
1615776610.345122,4,60
1615776610.345122,4,60
1615776610.345122,4,60
1615776610.3871958,19,60
1615776610.395935,144,60
1615776610.40473,-41,60
1615776610.4135418,-58,60
1615776610.421012,-137,60
1615776610.4291468,-77,60
1615776610.4291468,-77,60
1615776610.449709,171,60
1615776610.458678,84,60
1615776610.4661708,33,60
1615776610.4738061,87,60
1615776610.483608,108,60
1615776610.491325,52,60
1615776610.501206,21,60
1615776610.511005,36,60
1615776610.518584,21,60
1615776610.5263019,-17,60
1615776610.536024,8,60
1615776610.5437021,57,60
1615776610.553515,97,60
1615776610.5638049,89,60
1615776610.57361,-21,60
1615776610.582603,-26,60
1615776610.588685,28,60
1615776610.598845,103,60
1615776610.608551,42,60
1615776610.616221,8,60
1615776610.6259232,12,60
1615776610.633454,8,60
1615776610.639723,-10,60
1615776610.644711,73,60
1615776610.644711,73,60
1615776610.644711,73,60
1615776610.644711,73,60
1615776610.6860318,87,60
1615776610.694953,86,60
1615776610.7034938,-72,60
1615776610.709721,-73,60
1615776610.717389,-78,60
1615776610.727488,-57,60
1615776610.7339149,-34,60
1615776610.743806,-21,60
1615776610.75352,-36,60
1615776610.761237,-51,60
1615776610.768947,-85,60
1615776610.778827,11,60
1615776610.786011,-6,60
1615776610.7963588,53,60
1615776610.8034828,84,60
1615776610.813409,120,60
1615776610.8209019,80,60
1615776610.83087,39,60
1615776610.8384068,121,60
1615776610.848404,59,60
1615776610.854651,109,60
1615776610.854651,109,60
1615776610.854651,109,60
1615776610.880951,160,60
1615776610.892291,151,60
1615776610.899734,53,60
1615776610.908488,71,60
1615776610.917274,-9,60
1615776610.927205,-61,60
1615776610.934755,-29,60
1615776610.9409149,122,60
1615776610.9447,123,60
1615776610.9447,123,60
1615776610.9447,123,60
1615776610.9447,123,60
1615776610.9834712,37,60
1615776610.9946601,81,56
1615776611.002253,25,56
1615776611.010916,-124,56
1615776611.020963,-205,56
1615776611.029696,-68,56
1615776611.039673,-124,56
1615776611.047183,-120,56
1615776611.058645,-38,56
1615776611.0660439,22,56
1615776611.074789,35,56
1615776611.081308,26,56
1615776611.092438,115,56
1615776611.0988228,40,56
1615776611.1087449,74,56
1615776611.117502,163,56
1615776611.123486,183,56
