timestamp,raw_value,attention
1615776082.109293,-262,60
1615776082.119319,-409,60
1615776082.1279218,-645,60
1615776082.136787,213,60
1615776082.144447,321,60
1615776082.151652,118,60
1615776082.161729,114,60
1615776082.169232,-267,60
1615776082.1791859,-251,60
1615776082.1882,-54,60
1615776082.195468,34,60
1615776082.202861,124,60
1615776082.206688,76,60
1615776082.206688,76,60
1615776082.206688,76,60
1615776082.2394261,537,60
1615776082.247294,86,60
1615776082.255425,442,60
1615776082.262869,387,60
1615776082.269183,352,60
1615776082.2793138,-117,60
1615776082.286932,219,60
1615776082.294533,181,60
1615776082.305036,48,60
1615776082.311808,124,60
1615776082.3215191,368,60
1615776082.33027,213,60
1615776082.337811,35,60
1615776082.337811,35,60
1615776082.337811,35,60
1615776082.337811,35,60
1615776082.337811,35,60
1615776082.381595,7,60
1615776082.393047,-66,60
1615776082.403147,-18,60
1615776082.408097,-201,60
1615776082.4206731,-66,60
1615776082.421932,-38,60
1615776082.4367921,-107,60
1615776082.445397,218,60
1615776082.4531672,-2,60
1615776082.461684,21,60
1615776082.4706938,-141,60
1615776082.4803681,-379,60
1615776082.488207,-249,60
1615776082.4980822,192,60
1615776082.50933,27,60
1615776082.5165849,152,60
1615776082.526696,55,60
1615776082.536847,-40,60
1615776082.54445,96,60
1615776082.5518131,36,60
1615776082.560341,-12,60
1615776082.570387,231,60
1615776082.578162,-22,60
1615776082.5882182,26,60
1615776082.595411,-104,60
1615776082.605675,-257,60
1615776082.612902,-372,60
1615776082.6244202,-77,60
1615776082.63423,-213,60
1615776082.637821,-99,60
1615776082.637821,-99,60
1615776082.637821,-99,60
1615776082.637821,-99,60
1615776082.680413,-10,60
1615776082.690542,75,60
1615776082.701966,-27,60
1615776082.7106829,-55,60
1615776082.718095,-69,60
1615776082.7206368,-138,60
1615776082.736802,-114,60
1615776082.7456021,329,60
1615776082.753155,85,60
1615776082.761662,13,60
1615776082.769221,55,60
1615776082.7793548,-85,60
1615776082.786538,101,60
1615776082.796554,162,60
1615776082.8040562,160,60
1615776082.812853,234,60
1615776082.817808,180,60
1615776082.827795,201,60
1615776082.8353002,-54,60
1615776082.842829,170,60
1615776082.845438,236,60
1615776082.845438,236,60
1615776082.845438,236,60
1615776082.875277,173,60
1615776082.885271,329,60
1615776082.894027,-67,60
1615776082.901511,124,60
1615776082.911583,171,60
1615776082.919018,-28,60
1615776082.929039,105,60
1615776082.93534,54,60
1615776082.937831,40,60
1615776082.937831,40,60
1615776082.937831,40,60
1615776082.972883,38,60
1615776082.981141,145,60
1615776082.989003,176,60
1615776082.99777,64,50
1615776083.003989,-38,50
1615776083.0127711,7,50
1615776083.0216231,-216,50
1615776083.029073,-44,50
1615776083.036587,49,50
1615776083.04404,44,50
1615776083.052872,11,50
1615776083.0602539,9,50
1615776083.067877,98,50
1615776083.075579,56,50
1615776083.085587,71,50
1615776083.0928798,41,50
1615776083.101792,85,50
1615776083.111935,-22,50
1615776083.1192288,-24,50
1615776083.128226,-9,50
1615776083.1367612,-110,50
1615776083.1444569,-49,50
1615776083.15198,258,50
1615776083.160697,-77,50
1615776083.169358,177,50
1615776083.173516,202,50
1615776083.18696,230,50
1615776083.1956291,119,50
1615776083.202997,-99,50
1615776083.210506,-182,50
1615776083.2206872,51,50
1615776083.228192,178,50
1615776083.238085,-61,50
1615776083.238085,-61,50
1615776083.238085,-61,50
1615776083.238085,-61,50
1615776083.27046,-90,50
1615776083.278744,294,50
1615776083.28549,73,50
1615776083.294466,-139,50
1615776083.3043149,-179,50
1615776083.314079,-76,50
1615776083.321523,-131,50
1615776083.331531,88,50
1615776083.339076,74,50
1615776083.3490188,-84,50
1615776083.355274,-35,50
1615776083.365371,-21,50
1615776083.373037,20,50
1615776083.384243,12,50
1615776083.394384,181,50
1615776083.401807,172,50
1615776083.411954,-44,50
1615776083.419262,73,50
1615776083.429409,32,50
1615776083.439449,102,50
1615776083.445556,96,50
1615776083.454274,28,50
1615776083.460709,42,50
1615776083.473109,-2,50
1615776083.480427,115,50
1615776083.486788,23,50
1615776083.486788,23,50
1615776083.486788,23,50
1615776083.52037,564,50
1615776083.5267148,629,50
1615776083.537896,710,50
1615776083.537896,710,50
1615776083.537896,710,50
1615776083.537896,710,50
1615776083.572819,586,50
1615776083.58307,310,50
1615776083.592994,7,50
1615776083.603025,-12,50
1615776083.610802,-62,50
1615776083.620686,-115,50
1615776083.630568,-113,50
1615776083.6382022,-204,50
1615776083.647879,-230,50
1615776083.655574,-136,50
1615776083.66561,-324,50
1615776083.67569,-225,50
1615776083.685761,-171,50
1615776083.691735,-227,50
1615776083.701685,-282,50
1615776083.71068,-283,50
1615776083.7207072,-294,50
1615776083.7268171,-268,50
1615776083.7355928,-257,50
1615776083.745416,-186,50
1615776083.754477,-237,50
1615776083.762989,-215,50
1615776083.771601,-149,50
1615776083.779361,-101,50
1615776083.789037,-43,50
1615776083.796685,-126,50
1615776083.804074,-123,50
1615776083.811681,-66,50
1615776083.8203049,-41,50
1615776083.8290792,-54,50
1615776083.8353379,-7,50
1615776083.837829,-58,50
1615776083.837829,-58,50
1615776083.837829,-58,50
1615776083.837829,-58,50
1615776083.876559,-71,50
1615776083.88657,73,50
1615776083.894078,16,50
1615776083.901551,-86,50
1615776083.910293,-75,50
1615776083.920334,13,50
1615776083.923108,-21,50
1615776083.9365199,20,50
1615776083.945308,208,50
1615776083.9527838,151,50
1615776083.960308,58,50
1615776083.970297,32,50
1615776083.977809,57,50
1615776083.98652,73,50
1615776083.987801,84,50
1615776083.987801,84,50
1615776083.987801,84,50
1615776083.987801,84,50
1615776084.029548,164,43
1615776084.03532,112,43
1615776084.044199,36,43
1615776084.0529861,-3,43
1615776084.061931,-42,43
1615776084.070457,-57,43
1615776084.079345,12,43
1615776084.085502,52,43
1615776084.097887,121,43
1615776084.105723,125,43
1615776084.113183,65,43
1615776084.123213,146,43
1615776084.1269429,137,43
1615776084.1269429,137,43
1615776084.1269429,137,43
1615776084.1269429,137,43
1615776084.1269429,137,43
1615776084.1269429,137,43
1615776084.186699,249,43
1615776084.196671,73,43
1615776084.2042282,26,43
1615776084.2143328,26,43
1615776084.2230558,60,43
1615776084.2307389,52,43
1615776084.239361,45,43
1615776084.249324,90,43
1615776084.2593338,54,43
1615776084.266666,56,43
1615776084.2755861,66,43
1615776084.284111,108,43
1615776084.2941089,37,43
1615776084.302839,76,43
1615776084.311748,9,43
1615776084.3204548,85,43
1615776084.327829,135,43
1615776084.337815,34,43
1615776084.345331,18,43
1615776084.355495,73,43
1615776084.362866,88,43
1615776084.3703208,89,43
1615776084.38038,1,43
1615776084.3890638,-34,43
1615776084.397801,25,43
1615776084.397801,25,43
1615776084.397801,25,43
1615776084.397801,25,43
1615776084.397801,25,43
1615776084.43778,40,43
1615776084.43778,40,43
1615776084.43778,40,43
1615776084.43778,40,43
1615776084.4744651,12,43
1615776084.4841259,53,43
1615776084.490599,-68,43
1615776084.501974,-142,43
1615776084.510487,-87,43
1615776084.519525,-46,43
1615776084.5255811,-97,43
1615776084.535598,-75,43
1615776084.5456178,-78,43
1615776084.5542521,-35,43
1615776084.564325,50,43
1615776084.573069,106,43
1615776084.579366,157,43
1615776084.5893629,104,43
1615776084.5993128,100,43
1615776084.609456,91,43
1615776084.616786,152,43
1615776084.626878,104,43
1615776084.636999,48,43
1615776084.644165,44,43
1615776084.65425,41,43
1615776084.66183,-33,43
1615776084.67184,-13,43
1615776084.67184,-13,43
1615776084.686721,50,43
1615776084.694477,195,43
1615776084.703237,32,43
1615776084.710741,89,43
1615776084.718094,9,43
1615776084.726932,50,43
1615776084.736896,-52,43
1615776084.738111,-77,43
1615776084.738111,-77,43
1615776084.738111,-77,43
1615776084.738111,-77,43
1615776084.738111,-77,43
1615776084.738111,-77,43
1615776084.799176,-78,43
1615776084.810295,-43,43
1615776084.82038,-102,43
1615776084.8291352,-45,43
1615776084.837867,-13,43
1615776084.845366,-53,43
1615776084.854075,45,43
1615776084.862893,-34,43
1615776084.8702989,28,43
1615776084.877855,68,43
1615776084.887805,48,43
1615776084.896657,74,43
1615776084.904026,69,43
1615776084.9116,67,43
1615776084.919063,108,43
1615776084.929088,71,43
1615776084.93662,72,43
1615776084.9452999,76,43
1615776084.9528499,-20,43
1615776084.962995,65,43
1615776084.970361,146,43
1615776084.98053,160,43
1615776084.987805,203,43
1615776084.987805,203,43
1615776084.987805,203,43
1615776084.987805,203,43
1615776085.0228229,257,54
1615776085.030306,188,54
1615776085.036639,-59,54
1615776085.036639,-59,54
1615776085.036639,-59,54
1615776085.036639,-59,54
1615776085.075627,-39,54
1615776085.085932,-76,54
1615776085.093228,-85,54
1615776085.101975,-132,54
1615776085.1132329,-66,54
1615776085.1206138,-73,54
1615776085.130644,-73,54
1615776085.140766,-113,54
1615776085.1482172,-3,54
1615776085.1578188,29,54
1615776085.16534,11,54
1615776085.174336,35,54
1615776085.181802,22,54
1615776085.189327,27,54
1615776085.196855,33,54
1615776085.2069728,113,54
1615776085.214251,107,54
1615776085.2218292,179,54
1615776085.230614,162,54
1615776085.237952,115,54
1615776085.245718,125,54
1615776085.254205,54,54
1615776085.264162,-4,54
1615776085.271947,105,54
1615776085.28055,122,54
1615776085.28055,122,54
1615776085.298082,156,54
1615776085.3043048,281,54
1615776085.314146,165,54
1615776085.324107,-28,54
1615776085.3315651,-52,54
1615776085.337883,-26,54
1615776085.337883,-26,54
1615776085.337883,-26,54
1615776085.337883,-26,54
1615776085.373216,-27,54
1615776085.382894,57,54
1615776085.390851,39,54
1615776085.4004312,19,54
1615776085.405741,-136,54
1615776085.405741,-136,54
1615776085.405741,-136,54
1615776085.434703,-6,54
1615776085.4457312,-37,54
1615776085.455605,-6,54
1615776085.46315,-58,54
1615776085.473098,-155,54
1615776085.481697,-107,54
1615776085.4881809,-28,54
1615776085.498114,36,54
1615776085.505562,-20,54
1615776085.5154061,188,54
1615776085.522913,278,54
1615776085.529491,290,54
1615776085.539465,444,54
1615776085.547007,331,54
1615776085.556968,338,54
1615776085.565414,409,54
1615776085.571722,327,54
1615776085.5828521,91,54
1615776085.5904808,138,54
1615776085.5982358,21,54
1615776085.608105,-135,54
1615776085.615469,-138,54
1615776085.624491,-230,54
1615776085.630763,-37,54
1615776085.636755,-124,54
1615776085.636755,-124,54
1615776085.636755,-124,54
1615776085.636755,-124,54
1615776085.675722,-182,54
1615776085.6868649,-50,54
1615776085.6931,-123,54
1615776085.704488,-203,54
1615776085.714561,-105,54
1615776085.724343,-73,54
1615776085.7306361,-134,54
1615776085.740754,-65,54
1615776085.7483141,-53,54
1615776085.755597,-2,54
1615776085.763205,33,54
1615776085.775593,145,54
1615776085.78304,101,54
1615776085.792892,61,54
1615776085.800383,60,54
1615776085.810406,-38,54
1615776085.817822,9,54
1615776085.825404,108,54
1615776085.83538,-55,54
1615776085.8428621,-92,54
1615776085.85283,48,54
1615776085.8603919,12,54
1615776085.870363,-14,54
1615776085.877876,73,54
1615776085.887862,-4,54
1615776085.894124,96,54
1615776085.9040818,140,54
1615776085.914376,5,54
1615776085.924083,200,54
1615776085.931743,148,54
1615776085.936596,209,54
1615776085.936596,209,54
1615776085.936596,209,54
1615776085.936596,209,54
1615776085.936596,209,54
1615776085.9790552,148,54
1615776085.990399,-58,54
1615776085.999051,-27,57
1615776086.007821,3,57
1615776086.0153532,-134,57
1615776086.025374,-156,57
1615776086.032875,-129,57
1615776086.043047,-146,57
1615776086.046994,-125,57
1615776086.046994,-125,57
1615776086.046994,-125,57
1615776086.0775712,205,57
1615776086.085601,72,57
1615776086.093187,73,57
1615776086.1031501,-4,57
1615776086.113041,13,57
1615776086.1232388,66,57
1615776086.1307762,71,57
1615776086.139379,109,57
1615776086.148402,86,57
1615776086.1556501,-5,57
1615776086.1655092,-60,57
1615776086.1734731,60,57
1615776086.1734731,60,57
1615776086.1918411,161,57
1615776086.199202,225,57
1615776086.206687,108,57
1615776086.216692,9,57
1615776086.225766,-89,57
1615776086.2343428,122,57
1615776086.23827,164,57
1615776086.23827,164,57
1615776086.23827,164,57
1615776086.23827,164,57
1615776086.279476,44,57
1615776086.289335,65,57
1615776086.298143,-92,57
1615776086.3067148,27,57
1615776086.3146071,-62,57
1615776086.321589,0,57
1615776086.331591,50,57
1615776086.341593,69,57
1615776086.3490949,-85,57
1615776086.35657,-55,57
1615776086.366569,97,57
1615776086.374057,32,57
1615776086.384128,52,57
1615776086.394134,21,57
1615776086.400435,69,57
1615776086.410389,187,57
1615776086.419042,60,57
1615776086.426639,155,57
1615776086.436606,116,57
