timestamp,raw_value,attention
1615775906.961588,11,53
1615775906.969076,21,53
1615775906.978056,60,53
1615775906.986542,129,53
1615775906.9889321,118,53
1615775906.9889321,118,53
1615775906.9889321,118,53
1615775906.9889321,118,53
1615775907.02944,272,47
1615775907.037689,125,47
1615775907.045166,-14,47
1615775907.0552802,-117,47
1615775907.0629928,-55,47
1615775907.072855,-71,47
1615775907.084,-106,47
1615775907.093005,76,47
1615775907.100194,109,47
1615775907.110537,53,47
1615775907.119165,0,47
1615775907.124119,-85,47
1615775907.13539,147,47
1615775907.13539,147,47
1615775907.13539,147,47
1615775907.13539,147,47
1615775907.1727848,211,47
1615775907.181619,240,47
1615775907.190094,-55,47
1615775907.197588,-188,47
1615775907.206325,-101,47
1615775907.215127,-68,47
1615775907.221473,17,47
1615775907.232697,32,47
1615775907.241791,-7,47
1615775907.249129,44,47
1615775907.2565749,90,47
1615775907.266627,-22,47
1615775907.276625,22,47
1615775907.2839391,71,47
1615775907.291424,-18,47
1615775907.3014421,23,47
1615775907.3117619,-12,47
1615775907.318902,-20,47
1615775907.330505,83,47
1615775907.339076,64,47
1615775907.347979,-6,47
1615775907.355359,-71,47
1615775907.359256,5,47
1615775907.359256,5,47
1615775907.382575,252,47
1615775907.3928618,168,47
1615775907.399138,80,47
1615775907.4104471,-26,47
1615775907.417685,19,47
1615775907.42678,33,47
1615775907.435166,49,47
1615775907.435166,49,47
1615775907.435166,49,47
1615775907.435166,49,47
1615775907.473004,75,47
1615775907.4827678,508,47
1615775907.4838872,481,47
1615775907.4838872,481,47
1615775907.510485,331,47
1615775907.519021,187,47
1615775907.527776,-139,47
1615775907.537874,-314,47
1615775907.547977,-389,47
1615775907.558018,-334,47
1615775907.5654569,-291,47
1615775907.572902,-301,47
1615775907.582807,-299,47
1615775907.590084,-265,47
1615775907.5989,-233,47
1615775907.6075468,-274,47
1615775907.617682,-215,47
1615775907.625498,-226,47
1615775907.635257,-199,47
1615775907.6430259,-12,47
1615775907.6526458,20,47
1615775907.662673,1,47
1615775907.670134,8,47
1615775907.670134,8,47
1615775907.6903732,180,47
1615775907.69764,103,47
1615775907.707607,11,47
1615775907.715185,29,47
1615775907.723912,36,47
1615775907.731395,49,47
1615775907.732842,73,47
1615775907.732842,73,47
1615775907.732842,73,47
1615775907.732842,73,47
1615775907.773891,6,47
1615775907.782704,89,47
1615775907.790115,32,47
1615775907.7975948,18,47
1615775907.8075871,-4,47
1615775907.815161,12,47
1615775907.822635,1,47
1615775907.833973,56,47
1615775907.8438451,103,47
1615775907.850244,160,47
1615775907.861346,135,47
1615775907.8678641,101,47
1615775907.875089,52,47
1615775907.885081,90,47
1615775907.892651,6,47
1615775907.90137,-24,47
1615775907.910487,-46,47
1615775907.919127,17,47
1615775907.926784,51,47
