timestamp,raw_value,attention
1615776222.235372,-154,37
1615776222.242833,-126,37
1615776222.242833,-126,37
1615776222.2663229,73,37
1615776222.27397,38,37
1615776222.286274,27,37
1615776222.296321,-103,37
1615776222.3040562,184,37
1615776222.313747,295,37
1615776222.32159,214,37
1615776222.3352,96,37
1615776222.346257,48,37
1615776222.356582,39,37
1615776222.3689091,82,37
1615776222.3689091,82,37
1615776222.392818,64,37
1615776222.4014661,170,37
1615776222.40881,26,37
1615776222.421461,-258,37
1615776222.428988,-76,37
1615776222.4361951,-232,37
1615776222.440119,-38,37
1615776222.440119,-38,37
1615776222.440119,-38,37
1615776222.47613,40,37
1615776222.4861078,133,37
1615776222.493723,-29,37
1615776222.501611,-38,37
1615776222.515001,11,37
1615776222.5203142,-52,37
1615776222.530186,-190,37
1615776222.5415812,-108,37
1615776222.550357,-19,37
1615776222.557615,1,37
1615776222.569115,133,37
1615776222.5753112,58,37
1615776222.586553,49,37
1615776222.5963361,156,37
1615776222.604077,88,37
1615776222.613814,58,37
1615776222.624056,32,37
1615776222.63536,145,37
1615776222.6489432,119,37
1615776222.655205,196,37
1615776222.665233,93,37
1615776222.675343,55,37
1615776222.689098,-43,37
1615776222.696673,25,37
1615776222.703954,165,37
1615776222.7175229,61,37
1615776222.725342,38,37
1615776222.735347,-3,37
1615776222.739091,85,37
1615776222.739091,85,37
1615776222.739091,85,37
1615776222.776563,-8,37
1615776222.78395,245,37
1615776222.792825,-39,37
1615776222.800338,-125,37
1615776222.800338,-125,37
1615776222.822874,144,37
1615776222.832601,-26,37
1615776222.842829,-18,37
1615776222.853796,-134,37
1615776222.863901,-129,37
1615776222.872535,-278,37
1615776222.885165,-84,37
1615776222.8928268,-87,37
1615776222.903947,32,37
1615776222.911629,83,37
1615776222.918725,149,37
1615776222.926152,177,37
1615776222.9361331,35,37
1615776222.943715,69,37
1615776222.9537122,199,37
1615776222.961189,154,37
1615776222.971199,144,37
1615776222.983658,108,37
1615776222.987408,248,37
1615776223.002466,507,47
1615776223.008667,626,47
1615776223.008667,626,47
1615776223.008667,626,47
1615776223.0404139,800,47
1615776223.0404139,800,47
1615776223.0404139,800,47
1615776223.0404139,800,47
1615776223.078762,788,47
1615776223.087418,221,47
1615776223.0949419,141,47
1615776223.1036701,88,47
1615776223.113763,-30,47
1615776223.123648,-166,47
1615776223.131199,-109,47
1615776223.1436648,-379,47
1615776223.153698,-344,47
1615776223.1614861,-421,47
1615776223.169119,-374,47
1615776223.179102,-123,47
1615776223.19035,84,47
1615776223.197531,24,47
1615776223.207881,29,47
1615776223.2164679,-44,47
1615776223.225216,-333,47
1615776223.234972,-342,47
1615776223.242838,-436,47
1615776223.252873,-340,47
1615776223.264003,-226,47
1615776223.275281,-70,47
1615776223.286436,-73,47
1615776223.29663,132,47
1615776223.303937,170,47
1615776223.313886,146,47
1615776223.321475,107,47
1615776223.3312771,103,47
1615776223.339199,150,47
1615776223.339199,150,47
1615776223.339199,150,47
1615776223.339199,150,47
1615776223.380296,170,47
1615776223.392593,592,47
1615776223.402581,295,47
1615776223.41153,112,47
1615776223.4189708,22,47
1615776223.4255822,-35,47
1615776223.438996,-69,47
1615776223.449978,-42,47
1615776223.4615748,-300,47
1615776223.471189,-286,47
1615776223.484917,-270,47
1615776223.491201,-232,47
1615776223.498632,-292,47
1615776223.508707,-124,47
1615776223.518955,-180,47
1615776223.52263,-186,47
1615776223.52263,-186,47
1615776223.546561,56,47
1615776223.553956,-107,47
1615776223.564055,-222,47
1615776223.575375,-90,47
1615776223.5839841,-118,47
1615776223.59286,-82,47
1615776223.600207,-75,47
1615776223.610355,-91,47
1615776223.6214411,-42,47
1615776223.634012,-1,47
1615776223.640321,-88,47
1615776223.640321,-88,47
1615776223.640321,-88,47
1615776223.640321,-88,47
1615776223.640321,-88,47
1615776223.640321,-88,47
1615776223.702476,-57,47
1615776223.712488,91,47
1615776223.7224908,-148,47
1615776223.728974,-114,47
1615776223.7390149,-205,47
1615776223.7463381,-293,47
1615776223.756468,-97,47
1615776223.765162,-73,47
1615776223.775501,41,47
1615776223.7865431,106,47
1615776223.796463,105,47
1615776223.803794,89,47
1615776223.81376,155,47
1615776223.821462,102,47
1615776223.831369,201,47
1615776223.842483,137,47
1615776223.849973,99,47
1615776223.859967,165,47
1615776223.871478,193,47
1615776223.8801222,172,47
1615776223.887585,241,47
1615776223.897612,176,47
1615776223.905289,147,47
1615776223.912821,245,47
1615776223.921605,161,47
1615776223.931295,128,47
1615776223.938715,61,47
1615776223.939911,67,47
1615776223.939911,67,47
1615776223.939911,67,47
1615776223.939911,67,47
1615776223.9849422,188,47
1615776223.995154,5,50
1615776224.003663,-61,50
1615776224.015114,-89,50
1615776224.023713,-42,50
1615776224.030161,-25,50
1615776224.043703,-42,50
1615776224.0502799,-65,50
1615776224.0637581,-11,50
1615776224.07502,117,50
1615776224.088692,181,50
1615776224.0986712,168,50
1615776224.109925,152,50
1615776224.121168,100,50
1615776224.132425,42,50
1615776224.1399229,123,50
1615776224.147459,0,50
1615776224.1574268,-20,50
1615776224.1661499,-62,50
1615776224.17891,19,50
1615776224.1863182,13,50
1615776224.196505,-26,50
1615776224.204015,82,50
1615776224.216266,71,50
1615776224.227767,7,50
1615776224.2352362,-28,50
1615776224.240093,20,50
1615776224.240093,20,50
1615776224.240093,20,50
1615776224.240093,20,50
1615776224.282563,42,50
1615776224.288949,128,50
1615776224.288949,128,50
1615776224.316288,56,50
1615776224.326638,10,50
1615776224.33649,-56,50
1615776224.3427289,-101,50
1615776224.355356,-65,50
1615776224.362807,-43,50
1615776224.372575,-161,50
1615776224.380186,-99,50
1615776224.387676,48,50
1615776224.394933,66,50
1615776224.407435,29,50
1615776224.407435,29,50
1615776224.407435,29,50
1615776224.407435,29,50
1615776224.445075,-9,50
1615776224.456138,86,50
1615776224.4636722,-17,50
1615776224.473687,-24,50
1615776224.4811761,-13,50
1615776224.494905,1,50
1615776224.5024378,-42,50
1615776224.512539,0,50
1615776224.520054,-41,50
1615776224.530347,36,50
1615776224.540349,115,50
1615776224.540349,115,50
1615776224.540349,115,50
1615776224.540349,115,50
1615776224.580239,96,50
1615776224.588962,84,50
1615776224.5977821,-12,50
1615776224.6090791,24,50
1615776224.620373,-39,50
1615776224.627858,-35,50
1615776224.641592,-12,50
1615776224.6527722,32,50
1615776224.661775,-55,50
1615776224.6727018,-8,50
1615776224.675447,-3,50
1615776224.688986,48,50
1615776224.697828,187,50
1615776224.70651,18,50
1615776224.714133,18,50
1615776224.7253609,71,50
1615776224.735274,99,50
1615776224.745302,104,50
1615776224.755262,150,50
1615776224.763822,115,50
1615776224.772894,34,50
1615776224.784021,53,50
1615776224.796437,67,50
1615776224.801266,85,50
1615776224.801266,85,50
1615776224.823979,138,50
1615776224.83507,138,50
1615776224.840213,-6,50
1615776224.840213,-6,50
1615776224.840213,-6,50
1615776224.875354,-18,50
1615776224.883734,97,50
1615776224.8927271,21,50
1615776224.901313,-45,50
1615776224.911617,-67,50
1615776224.9228659,-49,50
1615776224.9290931,-34,50
1615776224.9290931,-34,50
1615776224.953769,-24,50
1615776224.963729,69,50
1615776224.973679,-81,50
1615776224.981272,-33,50
1615776224.9874618,-56,50
1615776225.001215,132,54
1615776225.011173,145,54
1615776225.0199392,26,54
1615776225.028703,64,54
1615776225.039943,83,54
1615776225.051209,83,54
1615776225.063749,176,54
1615776225.0711749,208,54
1615776225.0787048,244,54
1615776225.0887191,362,54
1615776225.098749,439,54
1615776225.109968,346,54
1615776225.11998,337,54
1615776225.1274939,381,54
1615776225.13753,259,54
1615776225.13996,188,54
1615776225.13996,188,54
1615776225.13996,188,54
1615776225.13996,188,54
1615776225.1836119,-92,54
1615776225.1927302,-366,54
1615776225.202902,-385,54
1615776225.21415,-374,54
1615776225.2215009,-274,54
1615776225.230453,-316,54
1615776225.23899,-216,54
1615776225.2489011,-99,54
1615776225.2564921,-86,54
1615776225.266322,-13,54
1615776225.276653,21,54
1615776225.283812,58,54
1615776225.295383,6,54
1615776225.307877,1,54
1615776225.315159,16,54
1615776225.325396,54,54
1615776225.332766,20,54
1615776225.342962,56,54
1615776225.350116,5,54
1615776225.362939,27,54
1615776225.370191,98,54
1615776225.380136,154,54
1615776225.387626,74,54
1615776225.39538,50,54
1615776225.405358,104,54
1615776225.414027,119,54
1615776225.422903,123,54
1615776225.430451,74,54
1615776225.440005,-52,54
1615776225.440005,-52,54
1615776225.440005,-52,54
1615776225.472712,-17,54
1615776225.480683,273,54
1615776225.487478,71,54
1615776225.498668,58,54
1615776225.5074618,4,54
1615776225.516203,20,54
1615776225.524124,-45,54
1615776225.532605,-33,54
1615776225.542885,-56,54
1615776225.5503948,-4,54
1615776225.5503948,-4,54
1615776225.568798,148,54
1615776225.568798,148,54
1615776225.568798,148,54
1615776225.60026,192,54
1615776225.606198,66,54
1615776225.617543,-34,54
1615776225.627883,-39,54
1615776225.6404321,-118,54
1615776225.647818,-107,54
1615776225.654177,-39,54
1615776225.666372,-139,54
1615776225.67913,-9,54
1615776225.690372,-69,54
1615776225.6976142,-11,54
1615776225.7065,20,54
1615776225.7153852,44,54
1615776225.7253828,96,54
1615776225.735418,-3,54
1615776225.738931,43,54
1615776225.738931,43,54
1615776225.738931,43,54
1615776225.776635,66,54
1615776225.786144,195,54
1615776225.795254,128,54
1615776225.806675,-1,54
1615776225.8175411,135,54
1615776225.8250601,-21,54
1615776225.8350441,-70,54
1615776225.84272,17,54
1615776225.853848,149,54
1615776225.865118,44,54
1615776225.8728802,125,54
1615776225.8801029,54,54
1615776225.891495,39,54
1615776225.9012969,67,54
1615776225.909015,81,54
1615776225.918742,195,54
1615776225.926232,180,54
1615776225.938776,-2,54
1615776225.9476779,57,54
1615776225.9574568,120,54
1615776225.968718,17,54
