timestamp,raw_value,attention
1615776047.0788639,-187,47
1615776047.086278,-252,47
1615776047.09643,-205,47
1615776047.105013,-132,47
1615776047.111385,-193,47
1615776047.118749,-118,47
1615776047.130039,-151,47
1615776047.13857,-137,47
1615776047.146004,-129,47
1615776047.1535308,-108,47
1615776047.162326,-125,47
1615776047.171267,-57,47
1615776047.179967,-49,47
1615776047.188906,-42,47
1615776047.197322,-51,47
1615776047.205119,51,47
1615776047.215128,105,47
1615776047.221052,90,47
1615776047.227626,84,47
1615776047.227626,84,47
1615776047.227626,84,47
1615776047.227626,84,47
1615776047.227626,84,47
1615776047.2764008,68,47
1615776047.28,40,47
1615776047.289794,26,47
1615776047.289794,26,47
1615776047.289794,26,47
1615776047.289794,26,47
1615776047.289794,26,47
1615776047.338578,26,47
1615776047.347798,53,47
1615776047.3572748,-93,47
1615776047.3636281,-52,47
1615776047.372277,-20,47
1615776047.381187,3,47
1615776047.391391,-20,47
1615776047.399978,12,47
1615776047.4088058,74,47
1615776047.412426,84,47
1615776047.412426,84,47
1615776047.412426,84,47
1615776047.438792,60,47
1615776047.438792,60,47
1615776047.438792,60,47
1615776047.438792,60,47
1615776047.438792,60,47
1615776047.488827,203,47
1615776047.497448,115,47
1615776047.499864,83,47
1615776047.499864,83,47
1615776047.523757,45,47
1615776047.5329258,64,47
1615776047.537312,-29,47
1615776047.537312,-29,47
1615776047.537312,-29,47
1615776047.537312,-29,47
1615776047.576263,28,47
1615776047.585023,18,47
1615776047.593624,-81,47
1615776047.602388,-49,47
1615776047.61131,-4,47
1615776047.61872,9,47
1615776047.628881,-2,47
1615776047.638804,48,47
1615776047.646373,0,47
1615776047.646373,0,47
1615776047.646373,0,47
1615776047.673558,21,47
1615776047.681108,117,47
1615776047.693952,49,47
1615776047.698912,-13,47
1615776047.708766,50,47
1615776047.718507,96,47
1615776047.728856,53,47
1615776047.736259,135,47
1615776047.74631,53,47
1615776047.753765,52,47
1615776047.761269,123,47
1615776047.77102,66,47
1615776047.7785442,57,47
1615776047.788546,36,47
1615776047.796095,8,47
1615776047.805985,33,47
1615776047.8160589,118,47
1615776047.827195,242,47
1615776047.83362,332,47
1615776047.837239,372,47
1615776047.837239,372,47
1615776047.837239,372,47
1615776047.837239,372,47
1615776047.878541,385,47
1615776047.884801,458,47
1615776047.8985941,114,47
1615776047.905985,21,47
1615776047.9134521,-146,47
1615776047.9222069,-134,47
1615776047.932263,-228,47
1615776047.9409769,-233,47
1615776047.948572,-280,47
1615776047.957254,-230,47
1615776047.9648461,-177,47
1615776047.974781,-140,47
1615776047.98244,-120,47
1615776047.9910772,-158,47
1615776047.998482,-89,47
1615776048.007213,-35,47
1615776048.0135171,-106,47
1615776048.023534,-67,47
1615776048.0310452,-21,47
1615776048.041316,-49,47
1615776048.044998,-38,47
1615776048.044998,-38,47
1615776048.067334,120,47
1615776048.075124,28,47
1615776048.083627,-36,47
1615776048.0937479,6,47
1615776048.101102,-1,47
1615776048.110168,16,47
1615776048.120049,39,47
1615776048.128895,97,47
1615776048.136297,121,47
1615776048.136297,121,47
1615776048.136297,121,47
1615776048.136297,121,47
1615776048.136297,121,47
1615776048.181416,113,47
1615776048.1913862,-2,47
1615776048.201076,2,47
1615776048.207359,-51,47
1615776048.217555,-41,47
1615776048.226285,1,47
1615776048.236038,53,47
1615776048.244798,136,47
1615776048.253479,119,47
1615776048.260982,76,47
1615776048.271038,38,47
1615776048.2797718,27,47
1615776048.284818,97,47
1615776048.284818,97,47
1615776048.284818,97,47
1615776048.3147678,68,47
1615776048.323931,75,47
1615776048.332374,-12,47
1615776048.339773,18,47
1615776048.347241,-35,47
