timestamp,raw_value,attention
1615775977.028685,75,75
1615775977.0349572,150,75
1615775977.0349572,150,75
1615775977.0349572,150,75
1615775977.0349572,150,75
1615775977.0727072,13,75
1615775977.082444,132,75
1615775977.090349,-24,75
1615775977.100352,-59,75
1615775977.110189,-94,75
1615775977.118861,-23,75
1615775977.125163,-92,75
1615775977.132797,-8,75
1615775977.142515,102,75
1615775977.150104,68,75
1615775977.1601799,11,75
1615775977.168961,-22,75
1615775977.177723,48,75
1615775977.187684,84,75
1615775977.195178,41,75
1615775977.205326,3,75
1615775977.2124548,75,75
1615775977.221441,165,75
1615775977.231354,149,75
1615775977.2390678,132,75
1615775977.243773,122,75
1615775977.243773,122,75
1615775977.243773,122,75
1615775977.27379,18,75
1615775977.283634,-27,75
1615775977.291224,-138,75
1615775977.2987032,-151,75
1615775977.308919,-104,75
1615775977.316463,-3,75
1615775977.326346,-45,75
1615775977.334093,-62,75
1615775977.3364182,54,75
1615775977.3364182,54,75
1615775977.3364182,54,75
1615775977.3364182,54,75
1615775977.3787,355,75
1615775977.3863611,154,75
1615775977.395039,5,75
1615775977.406362,-90,75
1615775977.41659,-167,75
1615775977.4216,-163,75
1615775977.4216,-163,75
1615775977.440536,38,75
1615775977.449909,-9,75
1615775977.458792,-146,75
1615775977.465136,-187,75
1615775977.4762292,57,75
1615775977.486596,17,75
1615775977.496601,20,75
1615775977.506594,53,75
1615775977.513725,-49,75
1615775977.524139,-6,75
1615775977.531374,28,75
1615775977.541327,65,75
1615775977.549076,18,75
1615775977.557746,-19,75
1615775977.566587,90,75
1615775977.574108,8,75
1615775977.582858,25,75
1615775977.5924768,19,75
1615775977.601334,43,75
1615775977.611477,68,75
1615775977.62148,133,75
1615775977.631377,184,75
1615775977.6353438,171,75
1615775977.6353438,171,75
1615775977.6353438,171,75
1615775977.6353438,171,75
1615775977.673907,164,75
1615775977.680325,155,75
1615775977.692587,-81,75
1615775977.700345,-97,75
1615775977.707656,-116,75
1615775977.718771,-35,75
1615775977.726281,52,75
1615775977.735042,-5,75
1615775977.7437289,73,75
1615775977.753653,33,75
1615775977.7599099,-6,75
1615775977.7599099,-6,75
1615775977.7786722,5,75
1615775977.787554,154,75
1615775977.7999291,32,75
1615775977.807489,-1,75
1615775977.816185,6,75
1615775977.822478,-21,75
1615775977.832434,-56,75
1615775977.839991,-34,75
1615775977.849975,1,75
1615775977.8563058,-13,75
1615775977.866213,2,75
1615775977.873729,11,75
1615775977.882457,-20,75
1615775977.884908,-22,75
1615775977.884908,-22,75
1615775977.908798,23,75
1615775977.91646,199,75
1615775977.925015,5,75
1615775977.932432,-62,75
1615775977.9361658,-17,75
1615775977.9361658,-17,75
1615775977.9361658,-17,75
1615775977.9361658,-17,75
1615775977.974087,38,75
1615775977.985255,121,75
1615775977.99022,-60,75
1615775978.002496,-38,54
1615775978.01145,-157,54
1615775978.020201,-116,54
1615775978.029998,-100,54
1615775978.0388858,13,54
1615775978.0451908,124,54
1615775978.055346,51,54
1615775978.062695,28,54
1615775978.0728269,51,54
1615775978.0826828,153,54
1615775978.090312,104,54
1615775978.1004212,103,54
1615775978.107845,74,54
1615775978.117701,67,54
1615775978.125061,59,54
1615775978.1353421,64,54
1615775978.1437938,75,54
1615775978.151605,8,54
1615775978.1590679,27,54
1615775978.1703491,140,54
1615775978.171613,165,54
1615775978.188618,199,54
1615775978.1964958,139,54
1615775978.2053099,11,54
