timestamp,raw_value,attention
1615775591.711825,18,40
1615775591.7181802,28,40
1615775591.728066,72,40
1615775591.7356238,-10,40
1615775591.7432268,37,40
1615775591.753175,154,40
1615775591.7605572,139,40
1615775591.770536,119,40
1615775591.778042,141,40
1615775591.788063,116,40
1615775591.791851,70,40
1615775591.806576,11,40
1615775591.816642,125,40
1615775591.823093,35,40
1615775591.830538,10,40
1615775591.830538,10,40
1615775591.830538,10,40
1615775591.830538,10,40
1615775591.830538,10,40
1615775591.878361,172,40
1615775591.886605,51,40
1615775591.8930812,-57,40
1615775591.904154,71,40
1615775591.912828,185,40
1615775591.92282,391,40
1615775591.930327,468,40
1615775591.937788,480,40
1615775591.945322,609,40
1615775591.9540439,568,40
1615775591.958982,474,40
1615775591.958982,474,40
1615775591.958982,474,40
1615775591.9865222,346,40
1615775591.992755,41,40
1615775592.004023,-201,38
1615775592.0127418,-165,38
1615775592.0203252,-262,38
1615775592.027779,-290,38
1615775592.037769,-322,38
1615775592.047758,-283,38
1615775592.055259,-276,38
1615775592.062755,-219,38
1615775592.07277,-249,38
1615775592.084108,-172,38
1615775592.0903249,-73,38
1615775592.101653,-117,38
1615775592.1090481,-54,38
1615775592.116595,-121,38
1615775592.1253161,-133,38
1615775592.129148,-56,38
1615775592.129148,-56,38
1615775592.129148,-56,38
1615775592.129148,-56,38
1615775592.129148,-56,38
1615775592.1765,-11,38
1615775592.183997,26,38
1615775592.191502,-178,38
1615775592.201618,-130,38
1615775592.211672,-61,38
1615775592.217879,-28,38
1615775592.227891,24,38
1615775592.2340622,65,38
1615775592.244017,88,38
1615775592.250249,60,38
1615775592.260318,69,38
1615775592.267756,24,38
1615775592.2764852,-12,38
1615775592.28525,66,38
1615775592.2915049,26,38
1615775592.301495,33,38
1615775592.3089962,84,38
1615775592.316514,-6,38
1615775592.326516,76,38
1615775592.332748,102,38
1615775592.342779,38,38
1615775592.350282,91,38
1615775592.360257,73,38
1615775592.367758,70,38
1615775592.37776,97,38
1615775592.3852549,40,38
1615775592.3927429,100,38
1615775592.401527,35,38
1615775592.41028,45,38
1615775592.419306,-65,38
1615775592.4281018,-4,38
1615775592.4306822,9,38
1615775592.4306822,9,38
1615775592.4306822,9,38
1615775592.4306822,9,38
1615775592.4718301,-7,38
1615775592.477053,160,38
1615775592.493185,124,38
1615775592.5030458,3,38
1615775592.510355,-42,38
1615775592.5206861,-57,38
1615775592.528067,-21,38
1615775592.5380921,3,38
1615775592.545661,58,38
1615775592.555422,115,38
1615775592.563116,-17,38
1615775592.5728798,59,38
1615775592.583195,-4,38
1615775592.590483,19,38
1615775592.5981991,24,38
1615775592.5981991,24,38
1615775592.5981991,24,38
1615775592.6282802,5,38
1615775592.635572,210,38
1615775592.6455529,56,38
1615775592.6530712,-18,38
1615775592.660346,7,38
