timestamp,raw_value,attention
1615776784.2735722,114,63
1615776784.283731,53,63
1615776784.2912052,89,63
1615776784.2975092,154,63
1615776784.2975092,154,63
1615776784.2975092,154,63
1615776784.3252668,98,63
1615776784.3363788,-28,63
1615776784.343877,-13,63
1615776784.347546,-12,63
1615776784.347546,-12,63
1615776784.347546,-12,63
1615776784.347546,-12,63
1615776784.387636,-5,63
1615776784.398814,19,63
1615776784.40513,-92,63
1615776784.41639,0,63
1615776784.423682,-81,63
1615776784.434017,-24,63
1615776784.442754,38,63
1615776784.453702,38,63
1615776784.461507,19,63
1615776784.470206,83,63
1615776784.4789052,118,63
1615776784.486122,25,63
1615776784.496099,81,63
1615776784.5037508,4,63
1615776784.5111601,-12,63
1615776784.519853,75,63
1615776784.5273721,11,63
1615776784.535,-13,63
1615776784.54273,26,63
1615776784.552684,-13,63
1615776784.5611389,52,63
1615776784.569868,33,63
1615776784.5785978,-10,63
1615776784.586105,39,63
1615776784.593683,144,63
1615776784.603609,162,63
1615776784.611176,139,63
1615776784.6199942,102,63
1615776784.6289952,185,63
1615776784.636155,120,63
1615776784.646249,-61,63
1615776784.648777,-45,63
1615776784.648777,-45,63
1615776784.648777,-45,63
1615776784.682741,-85,63
1615776784.6915112,292,63
1615776784.7011452,33,63
1615776784.70886,-19,63
1615776784.716234,38,63
1615776784.726364,84,63
1615776784.736284,-3,63
1615776784.742802,-5,63
1615776784.7528162,40,63
1615776784.760229,-41,63
1615776784.7676318,-19,63
1615776784.777754,22,63
1615776784.785135,40,63
1615776784.7952,39,63
1615776784.801526,84,63
1615776784.806677,53,63
1615776784.822747,-2,63
1615776784.830154,123,63
1615776784.8389351,107,63
1615776784.8476028,50,63
1615776784.8551319,2,63
1615776784.865083,54,63
1615776784.8727481,22,63
1615776784.881226,45,63
1615776784.8889852,-52,63
1615776784.898693,135,63
1615776784.906515,89,63
1615776784.916179,-18,63
1615776784.926568,133,63
1615776784.9339032,220,63
1615776784.941375,220,63
1615776784.951133,51,63
1615776784.958637,-55,63
1615776784.966135,41,63
1615776784.966135,41,63
1615776784.966135,41,63
1615776784.966135,41,63
1615776784.966135,41,63
1615776784.966135,41,63
1615776784.966135,41,63
1615776785.0286589,21,63
1615776785.0386581,76,63
1615776785.047426,-294,63
1615776785.054869,-282,63
1615776785.0623648,-236,63
1615776785.0723572,-257,63
1615776785.08113,-183,63
1615776785.0898318,-130,63
1615776785.0974379,-132,63
1615776785.103589,-56,63
1615776785.113677,42,63
1615776785.12112,13,63
1615776785.1311219,23,63
1615776785.141089,85,63
1615776785.1486442,1,63
1615776785.158609,-132,63
1615776785.1673532,-10,63
1615776785.176096,115,63
1615776785.187493,117,63
1615776785.194883,99,63
1615776785.204915,19,63
1615776785.2139158,75,63
1615776785.221372,36,63
1615776785.22898,35,63
1615776785.2401972,119,63
1615776785.246528,109,63
1615776785.248703,116,63
1615776785.248703,116,63
1615776785.248703,116,63
1615776785.248703,116,63
1615776785.290735,460,63
1615776785.298686,91,63
1615776785.305168,89,63
1615776785.315021,137,63
1615776785.323992,11,63
1615776785.330079,-151,63
1615776785.340251,-90,63
1615776785.347479,-14,63
1615776785.3551412,-89,63
1615776785.364987,-98,63
1615776785.373933,-81,63
1615776785.3824909,-27,63
1615776785.391548,-67,63
1615776785.398705,-3,63
1615776785.40901,18,63
1615776785.4163399,70,63
1615776785.426412,0,63
1615776785.430324,22,63
1615776785.444049,-12,63
1615776785.448641,181,63
1615776785.448641,181,63
1615776785.469406,176,63
1615776785.478716,109,63
1615776785.486381,-36,63
1615776785.496574,5,63
1615776785.506112,-2,63
1615776785.513587,-22,63
1615776785.5223958,7,63
1615776785.5298991,-41,63
1615776785.538611,-21,63
1615776785.547571,141,63
1615776785.552406,130,63
1615776785.563791,96,63
1615776785.5728042,137,63
1615776785.581216,184,63
1615776785.590024,199,63
1615776785.592673,157,63
1615776785.592673,157,63
1615776785.592673,157,63
1615776785.592673,157,63
1615776785.592673,157,63
1615776785.592673,157,63
1615776785.653902,169,63
1615776785.665586,353,63
1615776785.672632,253,63
1615776785.681408,66,63
1615776785.6877031,64,63
1615776785.6977432,119,63
1615776785.7051399,214,63
1615776785.714987,275,63
1615776785.725271,106,63
1615776785.732464,101,63
1615776785.744075,136,63
1615776785.751449,100,63
1615776785.760258,146,63
1615776785.7677922,-33,63
1615776785.777762,22,63
1615776785.787642,41,63
1615776785.795264,21,63
1615776785.8025038,22,63
1615776785.812649,11,63
1615776785.818937,-40,63
1615776785.828865,-58,63
1615776785.8363972,-44,63
1615776785.844054,-54,63
1615776785.847628,-42,63
1615776785.847628,-42,63
1615776785.847628,-42,63
1615776785.847628,-42,63
1615776785.888928,58,63
1615776785.898695,347,63
1615776785.9090319,226,63
1615776785.919022,269,63
1615776785.926532,298,63
1615776785.9338932,280,63
1615776785.944013,242,63
1615776785.952447,177,63
1615776785.9616928,16,63
1615776785.9686668,-129,63
1615776785.978648,-220,63
1615776785.9848928,-178,63
1615776785.994872,-122,75
1615776786.0035892,-225,75
1615776786.0136619,-385,75
1615776786.0210938,-281,75
1615776786.029923,-188,75
1615776786.0385869,-270,75
1615776786.0474281,-248,75
1615776786.0551748,-233,75
1615776786.0551748,-233,75
1615776786.072672,64,75
1615776786.0823731,48,75
1615776786.089845,-44,75
1615776786.097425,-52,75
1615776786.107383,-18,75
1615776786.114961,-42,75
1615776786.124887,-5,75
1615776786.131186,53,75
1615776786.1423721,-25,75
1615776786.1499012,51,75
1615776786.158614,69,75
1615776786.166175,12,75
1615776786.176127,-57,75
1615776786.18364,-4,75
1615776786.1911051,65,75
1615776786.198612,12,75
1615776786.2086668,147,75
1615776786.218924,71,75
1615776786.218924,71,75
1615776786.218924,71,75
1615776786.218924,71,75
1615776786.218924,71,75
1615776786.218924,71,75
1615776786.218924,71,75
1615776786.279867,37,75
1615776786.289891,-6,75
1615776786.299881,-291,75
1615776786.307536,-170,75
1615776786.317502,-211,75
1615776786.3263302,-170,75
1615776786.3363829,-248,75
1615776786.34404,-209,75
1615776786.351383,-146,75
1615776786.3615098,-169,75
1615776786.365099,-163,75
1615776786.379016,-121,75
1615776786.386227,-82,75
1615776786.3953001,-6,75
1615776786.4052758,-60,75
1615776786.412792,19,75
1615776786.4201431,-18,75
1615776786.4303071,2,75
1615776786.437676,-11,75
1615776786.4486961,4,75
1615776786.4486961,4,75
1615776786.4486961,4,75
1615776786.4486961,4,75
1615776786.486136,-34,75
1615776786.492411,404,75
1615776786.5024052,58,75
1615776786.5098722,49,75
1615776786.519853,-101,75
1615776786.527431,-54,75
1615776786.5373561,-58,75
1615776786.544852,-133,75
1615776786.554848,-50,75
1615776786.562356,-113,75
1615776786.5685818,-117,75
1615776786.578939,81,75
1615776786.587609,-51,75
1615776786.597814,-38,75
1615776786.60512,-7,75
1615776786.614128,44,75
1615776786.6212428,6,75
1615776786.627558,55,75
1615776786.6378,-53,75
1615776786.646264,-36,75
1615776786.65396,80,75
1615776786.662783,32,75
1615776786.670324,64,75
1615776786.6790211,76,75
1615776786.680664,82,75
1615776786.698847,130,75
1615776786.70513,315,75
1615776786.712793,180,75
1615776786.722645,167,75
1615776786.728999,284,75
1615776786.728999,284,75
1615776786.750409,608,75
1615776786.760169,386,75
1615776786.767686,320,75
1615776786.775158,201,75
1615776786.785181,189,75
1615776786.794042,176,75
1615776786.8012118,137,75
1615776786.808953,145,75
1615776786.8187032,176,75
1615776786.826519,64,75
1615776786.837663,87,75
1615776786.846533,162,75
1615776786.846533,162,75
1615776786.846533,162,75
1615776786.846533,162,75
1615776786.846533,162,75
1615776786.846533,162,75
1615776786.846533,162,75
1615776786.907928,89,75
1615776786.915953,371,75
1615776786.9239008,-166,75
1615776786.9339259,-414,75
1615776786.941399,-525,75
1615776786.95003,-541,75
1615776786.960202,-570,75
1615776786.968671,-489,75
1615776786.978622,-493,75
1615776786.984925,-437,75
1615776786.994905,-315,63
1615776787.003607,-265,63
1615776787.013642,-248,63
1615776787.021135,-259,63
1615776787.0286562,-232,63
1615776787.038594,-148,63
1615776787.04863,-72,63
1615776787.04863,-72,63
1615776787.04863,-72,63
1615776787.04863,-72,63
1615776787.04863,-72,63
1615776787.093507,-26,63
1615776787.1011462,133,63
1615776787.107424,-45,63
1615776787.1198468,-17,63
1615776787.127331,-55,63
1615776787.1348832,-28,63
1615776787.1423628,-57,63
1615776787.149912,-58,63
1615776787.159903,28,63
1615776787.167368,3,63
1615776787.176099,-12,63
1615776787.184942,39,63
1615776787.193613,61,63
1615776787.201088,11,63
1615776787.211176,23,63
1615776787.22112,54,63
1615776787.22876,-6,63
1615776787.2362921,-17,63
1615776787.244046,133,63
1615776787.2526772,57,63
1615776787.262666,11,63
1615776787.2711082,43,63
1615776787.279864,-85,63
1615776787.288631,35,63
1615776787.2949991,-27,63
1615776787.30262,-26,63
1615776787.305635,-23,63
1615776787.321481,57,63
1615776787.327787,321,63
1615776787.340018,35,63
1615776787.34782,-56,63
1615776787.34782,-56,63
1615776787.34782,-56,63
1615776787.34782,-56,63
1615776787.383855,-50,63
1615776787.392534,412,63
1615776787.40122,100,63
1615776787.40895,53,63
1615776787.417621,-51,63
1615776787.427789,16,63
1615776787.437674,71,63
1615776787.447743,-77,63
1615776787.457691,-67,63
1615776787.465109,-78,63
1615776787.472616,-119,63
1615776787.481347,108,63
1615776787.488947,-74,63
1615776787.4974022,-101,63
1615776787.4974022,-101,63
1615776787.4974022,-101,63
1615776787.524918,-28,63
1615776787.5336618,208,63
1615776787.5424588,-228,63
1615776787.551117,-226,63
1615776787.558597,11,63
1615776787.568921,-285,63
1615776787.576534,-331,63
1615776787.58636,-204,63
1615776787.594025,-293,63
1615776787.603882,-178,63
1615776787.611403,-44,63
1615776787.6214058,-199,63
1615776787.628927,-90,63
1615776787.63891,-33,63
1615776787.644969,-21,63
1615776787.648802,-7,63
1615776787.648802,-7,63
1615776787.648802,-7,63
1615776787.648802,-7,63
1615776787.6912289,361,63
1615776787.698806,209,63
1615776787.707958,-61,63
1615776787.715334,33,63
1615776787.7225878,6,63
1615776787.732542,-137,63
1615776787.742823,-185,63
1615776787.749999,-1,63
1615776787.760288,-66,63
1615776787.767503,-12,63
1615776787.775296,-27,63
1615776787.784987,99,63
1615776787.791418,66,63
1615776787.8026721,118,63
1615776787.812673,48,63
1615776787.818732,107,63
1615776787.829055,160,63
1615776787.837708,150,63
1615776787.847795,233,63
1615776787.856399,82,63
1615776787.86531,77,63
1615776787.872824,20,63
1615776787.882684,-23,63
1615776787.891554,136,63
1615776787.900214,22,63
1615776787.9064078,-45,63
1615776787.916426,146,63
1615776787.923826,45,63
1615776787.9305081,29,63
1615776787.943934,41,63
1615776787.952498,290,63
1615776787.958681,135,63
1615776787.968674,56,63
1615776787.976127,26,63
1615776787.984959,87,63
1615776787.9936352,42,61
1615776788.001206,17,61
1615776788.0086458,66,61
1615776788.0086458,66,61
1615776788.0274298,115,61
1615776788.033673,322,61
1615776788.044943,91,61
1615776788.052426,26,61
1615776788.06114,22,61
1615776788.069886,48,61
1615776788.07869,72,61
