timestamp,raw_value,attention
1615776152.168946,72,51
1615776152.178815,1,51
1615776152.186359,45,51
1615776152.196374,59,51
1615776152.2039402,24,51
1615776152.213918,112,51
1615776152.221534,83,51
1615776152.2305129,12,51
1615776152.2389052,-27,51
1615776152.2389052,-27,51
1615776152.2389052,-27,51
1615776152.2389052,-27,51
1615776152.275379,50,51
1615776152.284042,180,51
1615776152.292757,56,51
1615776152.300493,73,51
1615776152.307698,-20,51
1615776152.315485,-44,51
1615776152.325408,19,51
1615776152.331852,-98,51
1615776152.341758,43,51
1615776152.34928,-44,51
1615776152.3606322,37,51
1615776152.3688698,115,51
1615776152.377598,38,51
1615776152.383882,146,51
1615776152.393814,56,51
1615776152.401351,107,51
1615776152.408841,146,51
1615776152.4176629,-7,51
1615776152.426347,25,51
1615776152.4326222,76,51
1615776152.442803,51,51
1615776152.450326,107,51
1615776152.460572,139,51
1615776152.4703848,113,51
1615776152.477856,45,51
1615776152.4879081,-17,51
1615776152.495448,28,51
1615776152.506546,35,51
1615776152.515158,-12,51
1615776152.524032,74,51
1615776152.53425,53,51
1615776152.5389051,88,51
1615776152.5389051,88,51
1615776152.5389051,88,51
1615776152.5389051,88,51
1615776152.575395,11,51
1615776152.586533,-124,51
1615776152.59675,-83,51
1615776152.605231,-104,51
1615776152.606712,-217,51
1615776152.606712,-217,51
1615776152.634233,-310,51
1615776152.643432,389,51
1615776152.649264,448,51
1615776152.658943,258,51
1615776152.668003,213,51
1615776152.676642,197,51
1615776152.6865962,152,51
1615776152.694092,93,51
1615776152.704035,39,51
1615776152.711622,-22,51
1615776152.720552,2,51
1615776152.727895,-44,51
1615776152.7379892,-43,51
1615776152.744043,-42,51
1615776152.755232,-190,51
1615776152.762997,-177,51
1615776152.7727349,-115,51
1615776152.781355,-109,51
1615776152.790108,-57,51
1615776152.797617,-173,51
1615776152.8076339,-22,51
1615776152.815115,-40,51
1615776152.825112,-30,51
1615776152.83135,19,51
1615776152.838837,96,51
1615776152.838837,96,51
1615776152.838837,96,51
1615776152.838837,96,51
1615776152.876418,131,51
1615776152.885119,148,51
1615776152.8938482,-22,51
1615776152.901411,-110,51
1615776152.91137,-61,51
1615776152.919029,-23,51
1615776152.928859,-103,51
1615776152.93643,-7,51
1615776152.94633,22,51
1615776152.9539058,51,51
1615776152.9638531,123,51
1615776152.9727318,146,51
1615776152.981441,181,51
1615776152.988118,122,51
1615776152.988118,122,51
1615776152.988118,122,51
1615776152.988118,122,51
1615776153.0282931,217,50
1615776153.036397,33,50
1615776153.0438452,29,50
1615776153.049205,7,50
1615776153.061435,-13,50
1615776153.070102,58,50
1615776153.0788522,-60,50
1615776153.087955,-86,50
1615776153.095453,-10,50
1615776153.1030269,55,50
1615776153.110341,138,50
1615776153.12053,24,50
1615776153.12053,24,50
1615776153.137792,48,50
1615776153.1453881,183,50
1615776153.1530082,139,50
1615776153.1616151,43,50
1615776153.1688352,2,50
1615776153.178803,18,50
1615776153.186411,70,50
1615776153.196522,154,50
1615776153.204114,35,50
1615776153.210433,-10,50
1615776153.210433,-10,50
1615776153.210433,-10,50
1615776153.210433,-10,50
1615776153.210433,-10,50
1615776153.2478971,-22,50
1615776153.2478971,-22,50
1615776153.272788,34,50
1615776153.275239,64,50
1615776153.287754,-19,50
1615776153.297725,-273,50
1615776153.304092,-276,50
1615776153.312947,-204,50
1615776153.32143,-364,50
1615776153.32913,-264,50
1615776153.338946,-83,50
1615776153.3454359,-145,50
1615776153.355249,-34,50
1615776153.362894,104,50
1615776153.370341,80,50
1615776153.3776379,120,50
1615776153.3901498,183,50
1615776153.3988411,-9,50
1615776153.4076018,-118,50
1615776153.4076018,-118,50
1615776153.4076018,-118,50
1615776153.4076018,-118,50
1615776153.4076018,-118,50
1615776153.4076018,-118,50
1615776153.4076018,-118,50
1615776153.4076018,-118,50
1615776153.476436,-28,50
