timestamp,raw_value,attention
1615776679.186116,83,61
1615776679.193326,6,61
1615776679.204761,-43,61
1615776679.2059898,-73,61
1615776679.2059898,-73,61
1615776679.231005,-36,61
1615776679.2386198,202,61
1615776679.247034,168,61
1615776679.258686,43,61
1615776679.26615,73,61
1615776679.275899,224,61
1615776679.2832289,209,61
1615776679.293356,427,61
1615776679.3024042,453,61
1615776679.311027,473,61
1615776679.321125,474,61
1615776679.32832,339,61
1615776679.334912,165,61
1615776679.334912,165,61
1615776679.334912,165,61
1615776679.334912,165,61
1615776679.334912,165,61
1615776679.334912,165,61
1615776679.334912,165,61
1615776679.3957891,80,61
1615776679.407008,-282,61
1615776679.415725,-419,61
1615776679.42465,-427,61
1615776679.429803,-365,61
1615776679.429803,-365,61
1615776679.449572,-98,61
1615776679.459589,-179,61
1615776679.467229,-225,61
1615776679.4770792,-231,61
1615776679.48452,-156,61
1615776679.493251,-179,61
1615776679.50201,-85,61
1615776679.508248,-45,61
1615776679.5158029,40,61
1615776679.525717,173,61
1615776679.533518,80,61
1615776679.5397959,-12,61
1615776679.5497758,-6,61
1615776679.5597372,123,61
1615776679.5672698,129,61
1615776679.577129,195,61
1615776679.584877,131,61
1615776679.594581,65,61
1615776679.6022642,136,61
1615776679.6134999,215,61
1615776679.623306,241,61
1615776679.633379,197,61
1615776679.639919,195,61
1615776679.647325,248,61
1615776679.647325,248,61
1615776679.647325,248,61
1615776679.647325,248,61
1615776679.68612,244,61
1615776679.696008,68,61
1615776679.706122,-24,61
1615776679.714644,35,61
1615776679.722274,52,61
1615776679.730957,53,61
1615776679.7399411,9,61
1615776679.747346,-41,61
1615776679.756159,112,61
1615776679.7661629,198,61
1615776679.776004,84,61
1615776679.7822762,118,61
1615776679.789579,91,61
1615776679.799675,67,61
1615776679.8074,123,61
1615776679.814847,97,61
1615776679.824903,45,61
1615776679.834909,128,61
1615776679.84222,116,61
1615776679.849907,138,61
1615776679.859665,77,61
1615776679.869505,89,61
1615776679.8770611,100,61
1615776679.886973,67,61
1615776679.895788,40,61
1615776679.904493,184,61
1615776679.9120069,196,61
1615776679.920725,164,61
1615776679.929488,124,61
1615776679.938227,156,61
1615776679.945821,176,61
1615776679.945821,176,61
1615776679.945821,176,61
1615776679.945821,176,61
1615776679.945821,176,61
1615776679.945821,176,61
1615776679.945821,176,61
1615776679.945821,176,61
1615776680.014543,144,61
1615776680.024519,-154,53
1615776680.033205,-154,53
1615776680.039485,-140,53
1615776680.049472,-99,53
1615776680.054807,-108,53
1615776680.067064,-107,53
1615776680.074547,107,53
1615776680.081973,-43,53
1615776680.092027,-59,53
1615776680.1007411,-52,53
1615776680.1095822,-60,53
1615776680.117012,-68,53
1615776680.1260018,-26,53
1615776680.133624,2,53
1615776680.140948,65,53
1615776680.1510348,18,53
1615776680.158356,101,53
1615776680.1671512,113,53
1615776680.178515,66,53
1615776680.186076,128,53
1615776680.196032,37,53
1615776680.206033,64,53
1615776680.2159429,151,53
1615776680.223659,138,53
1615776680.232425,118,53
1615776680.241132,39,53
1615776680.2446861,-12,53
1615776680.2446861,-12,53
1615776680.2446861,-12,53
1615776680.2446861,-12,53
1615776680.2874,-25,53
1615776680.295831,72,53
1615776680.3047822,-2,53
1615776680.313385,-40,53
1615776680.319593,-29,53
1615776680.32834,-90,53
1615776680.33863,-56,53
1615776680.348674,6,53
1615776680.354901,-27,53
1615776680.3633971,-72,53
1615776680.3749719,-70,53
1615776680.383403,17,53
1615776680.3908842,32,53
1615776680.400797,49,53
1615776680.408306,-11,53
1615776680.417121,-5,53
1615776680.425859,-37,53
1615776680.434582,-35,53
1615776680.442091,-28,53
1615776680.4496078,1,53
1615776680.459842,103,53
1615776680.468609,109,53
1615776680.477176,85,53
1615776680.487282,18,53
1615776680.487282,18,53
1615776680.50596,59,53
1615776680.512107,40,53
1615776680.519913,1,53
1615776680.533462,20,53
1615776680.5424252,-84,53
1615776680.547252,-85,53
1615776680.547252,-85,53
1615776680.547252,-85,53
1615776680.547252,-85,53
1615776680.547252,-85,53
1615776680.589777,9,53
1615776680.59973,-9,53
1615776680.609615,-101,53
1615776680.6159801,-136,53
1615776680.6159801,-136,53
1615776680.6159801,-136,53
1615776680.6434188,-55,53
1615776680.6535199,136,53
1615776680.664691,226,53
1615776680.6723049,349,53
1615776680.68241,411,53
1615776680.689898,421,53
1615776680.6985679,396,53
1615776680.706062,313,53
1615776680.717194,322,53
1615776680.724895,180,53
1615776680.73354,-11,53
1615776680.743427,-118,53
1615776680.752416,-236,53
1615776680.7584481,-286,53
1615776680.7697852,-196,53
1615776680.774934,-185,53
1615776680.786131,-104,53
1615776680.795842,-100,53
1615776680.803658,-182,53
1615776680.803658,-182,53
1615776680.824651,45,53
1615776680.832049,-74,53
1615776680.8411899,-51,53
1615776680.845855,-65,53
1615776680.845855,-65,53
1615776680.845855,-65,53
1615776680.845855,-65,53
1615776680.883271,-81,53
1615776680.892061,149,53
1615776680.900734,-54,53
1615776680.909583,13,53
1615776680.9169989,-42,53
1615776680.9257731,0,53
1615776680.9320068,37,53
1615776680.942085,11,53
1615776680.949526,7,53
1615776680.957068,40,53
1615776680.966978,7,53
1615776680.974543,20,53
1615776680.9832819,57,53
1615776680.984561,101,53
1615776680.984561,101,53
1615776680.984561,101,53
1615776681.017078,109,41
1615776681.025285,226,41
1615776681.033311,56,41
1615776681.039568,42,41
1615776681.049546,41,41
1615776681.057015,99,41
1615776681.066976,88,41
1615776681.0745149,59,41
1615776681.078269,125,41
1615776681.090761,75,41
1615776681.0995111,152,41
1615776681.1095412,113,41
1615776681.119515,146,41
1615776681.127266,161,41
1615776681.13729,199,41
1615776681.1446779,112,41
1615776681.147476,116,41
1615776681.147476,116,41
1615776681.147476,116,41
1615776681.147476,116,41
1615776681.193737,237,41
1615776681.199831,-4,41
1615776681.209823,-55,41
1615776681.2174258,-41,41
1615776681.227197,64,41
1615776681.234897,24,41
1615776681.244682,48,41
1615776681.252293,43,41
1615776681.25602,75,41
1615776681.25602,75,41
1615776681.25602,75,41
1615776681.288554,56,41
1615776681.299836,117,41
1615776681.308661,-106,41
1615776681.3174431,-61,41
1615776681.324821,7,41
1615776681.334811,-67,41
1615776681.3436139,20,41
1615776681.349823,71,41
1615776681.359797,69,41
1615776681.366133,50,41
1615776681.373664,75,41
1615776681.383667,169,41
1615776681.392142,157,41
1615776681.402408,164,41
1615776681.411047,22,41
1615776681.418278,58,41
1615776681.428294,194,41
1615776681.4358778,166,41
1615776681.443269,96,41
1615776681.445823,85,41
1615776681.445823,85,41
1615776681.445823,85,41
1615776681.445823,85,41
1615776681.487094,118,41
1615776681.495759,160,41
1615776681.505734,-2,41
1615776681.514585,-60,41
1615776681.523296,17,41
1615776681.532052,-37,41
1615776681.539517,-42,41
1615776681.549811,-36,41
1615776681.555269,-3,41
1615776681.567453,5,41
1615776681.574929,118,41
1615776681.5823019,4,41
1615776681.592503,-140,41
1615776681.6024199,2,41
1615776681.609948,-11,41
1615776681.618572,-84,41
1615776681.6261451,-82,41
