timestamp,raw_value,attention
1615775556.684463,139,34
1615775556.69223,405,34
1615775556.699708,439,34
1615775556.707293,432,34
1615775556.716007,401,34
1615775556.723562,339,34
1615775556.729682,240,34
1615775556.729682,240,34
1615775556.729682,240,34
1615775556.729682,240,34
1615775556.729682,240,34
1615775556.729682,240,34
1615775556.729682,240,34
1615775556.7911098,187,34
1615775556.8010628,-197,34
1615775556.809757,-338,34
1615775556.819822,-236,34
1615775556.828523,-269,34
1615775556.838557,-263,34
1615775556.8484612,-169,34
1615775556.8585181,-101,34
1615775556.869744,-58,34
1615775556.876044,-55,34
1615775556.887267,-29,34
1615775556.896021,52,34
1615775556.904744,70,34
1615775556.9110138,10,34
1615775556.9210172,18,34
1615775556.92851,84,34
1615775556.93601,83,34
1615775556.948868,96,34
1615775556.956357,36,34
1615775556.963728,52,34
1615775556.972621,58,34
1615775556.980022,36,34
1615775556.9901462,13,34
1615775556.9912078,43,34
1615775556.9912078,43,34
1615775556.9912078,43,34
1615775556.9912078,43,34
1615775557.031788,279,37
1615775557.031788,279,37
1615775557.031788,279,37
1615775557.031788,279,37
1615775557.031788,279,37
1615775557.073936,260,37
1615775557.085003,48,37
1615775557.093567,-60,37
1615775557.1026251,-97,37
1615775557.1122901,-87,37
1615775557.119752,-20,37
1615775557.129996,83,37
1615775557.140013,8,37
1615775557.147389,4,37
1615775557.1550012,-33,37
1615775557.165023,115,37
1615775557.173789,65,37
1615775557.1826031,104,37
1615775557.1924539,92,37
1615775557.1997728,153,37
1615775557.209721,141,37
1615775557.217215,27,37
1615775557.227272,4,37
1615775557.235106,67,37
1615775557.246041,40,37
1615775557.254776,-20,37
1615775557.264905,32,37
1615775557.2726111,81,37
1615775557.2798378,68,37
1615775557.289823,41,37
1615775557.292632,51,37
1615775557.3064609,96,37
1615775557.31487,240,37
1615775557.323672,74,37
1615775557.328786,-5,37
1615775557.328786,-5,37
1615775557.328786,-5,37
1615775557.328786,-5,37
1615775557.368549,0,37
1615775557.377263,12,37
1615775557.3835368,1,37
1615775557.3935528,-86,37
1615775557.397304,-133,37
1615775557.397304,-133,37
1615775557.397304,-133,37
1615775557.424896,-114,37
1615775557.433517,33,37
1615775557.4422731,-102,37
1615775557.4509819,-66,37
1615775557.459806,-26,37
1615775557.4672241,1,37
1615775557.477275,18,37
1615775557.48349,81,37
1615775557.49103,45,37
1615775557.500996,119,37
1615775557.50853,-7,37
1615775557.5159879,-36,37
1615775557.52612,-86,37
1615775557.5334668,-46,37
1615775557.539784,-24,37
1615775557.549729,57,37
1615775557.558574,38,37
1615775557.5672278,92,37
1615775557.5760498,130,37
1615775557.581034,172,37
1615775557.5922859,187,37
1615775557.598506,178,37
1615775557.608695,53,37
1615775557.616363,66,37
1615775557.626119,71,37
1615775557.629981,4,37
1615775557.629981,4,37
1615775557.629981,4,37
1615775557.629981,4,37
1615775557.671284,24,37
1615775557.682362,27,37
1615775557.6901262,33,37
1615775557.698752,-38,37
1615775557.708787,-13,37
1615775557.717511,-88,37
1615775557.7273788,21,37
1615775557.73504,51,37
1615775557.7450051,59,37
1615775557.7562518,-38,37
1615775557.762264,12,37
1615775557.770976,123,37
1615775557.778489,106,37
1615775557.788484,80,37
1615775557.795997,60,37
1615775557.8034549,109,37
1615775557.813498,92,37
1615775557.823524,90,37
1615775557.831161,76,37
1615775557.838887,25,37
1615775557.8485918,60,37
1615775557.856394,-43,37
1615775557.865209,-54,37
1615775557.8726258,-19,37
1615775557.882404,54,37
1615775557.891329,67,37
1615775557.89984,9,37
1615775557.908569,-7,37
1615775557.917248,7,37
1615775557.917248,7,37
1615775557.917248,7,37
1615775557.917248,7,37
1615775557.917248,7,37
1615775557.917248,7,37
1615775557.972631,53,37
1615775557.983809,-38,37
1615775557.9912908,-147,37
1615775557.9912908,-147,37
1615775557.9912908,-147,37
1615775557.9912908,-147,37
1615775558.027339,-59,47
1615775558.0349739,91,47
1615775558.0387552,4,47
1615775558.0387552,4,47
1615775558.0387552,4,47
1615775558.0387552,4,47
1615775558.0792232,81,47
1615775558.087511,-87,47
1615775558.09763,-58,47
1615775558.106427,-170,47
1615775558.1161332,-60,47
1615775558.1261141,22,47
1615775558.13363,-56,47
1615775558.14362,-41,47
1615775558.15138,-8,47
1615775558.161163,53,47
1615775558.171236,42,47
1615775558.178593,80,47
1615775558.188895,37,47
1615775558.196279,54,47
1615775558.206367,67,47
1615775558.212509,69,47
1615775558.222628,77,47
1615775558.22998,134,47
1615775558.22998,134,47
1615775558.22998,134,47
1615775558.22998,134,47
1615775558.22998,134,47
1615775558.2781491,200,47
1615775558.2862148,16,47
1615775558.292734,-118,47
1615775558.292734,-118,47
1615775558.311182,-65,47
1615775558.320016,11,47
1615775558.3285701,-69,47
1615775558.338878,-66,47
1615775558.3488169,21,47
1615775558.3564029,51,47
1615775558.366061,55,47
1615775558.374801,64,47
1615775558.381063,56,47
1615775558.3910248,59,47
1615775558.401023,37,47
1615775558.408698,-12,47
1615775558.414779,61,47
1615775558.4249442,115,47
1615775558.432279,101,47
1615775558.442306,39,47
1615775558.4485052,90,47
1615775558.458588,2,47
1615775558.467245,98,47
1615775558.4734988,88,47
1615775558.4835148,50,47
1615775558.491072,5,47
1615775558.499768,40,47
1615775558.508566,64,47
1615775558.5159838,24,47
1615775558.524823,-1,47
1615775558.529721,59,47
1615775558.529721,59,47
1615775558.529721,59,47
1615775558.529721,59,47
1615775558.529721,59,47
1615775558.5766861,188,47
1615775558.583553,-49,47
1615775558.5911539,-90,47
1615775558.6012979,-43,47
1615775558.6099389,-41,47
1615775558.6151612,32,47
1615775558.6261199,-41,47
1615775558.63484,-35,47
1615775558.641228,-84,47
1615775558.6526709,0,47
1615775558.661099,-27,47
1615775558.6687858,32,47
1615775558.678612,122,47
1615775558.678612,122,47
1615775558.678612,122,47
1615775558.706395,81,47
1615775558.7111309,134,47
1615775558.722661,-5,47
1615775558.731075,-54,47
1615775558.73889,-6,47
1615775558.7488818,21,47
1615775558.758944,-20,47
1615775558.766023,40,47
1615775558.774741,68,47
1615775558.782242,42,47
1615775558.78977,-21,47
1615775558.801298,69,47
1615775558.8075259,5,47
1615775558.817467,55,47
1615775558.8251772,-27,47
1615775558.828632,-13,47
1615775558.828632,-13,47
1615775558.828632,-13,47
1615775558.828632,-13,47
1615775558.8698308,77,47
1615775558.878562,150,47
1615775558.886067,52,47
1615775558.8935528,-50,47
1615775558.9035678,-11,47
1615775558.913553,8,47
1615775558.921057,-61,47
1615775558.9285061,86,47
1615775558.936034,106,47
1615775558.946012,24,47
1615775558.9534879,56,47
1615775558.9622579,75,47
1615775558.9697752,54,47
1615775558.9772952,82,47
1615775558.990023,139,47
1615775558.991241,121,47
1615775558.991241,121,47
1615775558.991241,121,47
1615775559.027369,93,60
1615775559.034976,203,60
1615775559.045064,45,60
1615775559.052653,-5,60
1615775559.0611079,10,60
1615775559.067636,61,60
1615775559.077357,17,60
1615775559.087648,48,60
1615775559.096083,120,60
1615775559.1023989,86,60
1615775559.11243,73,60
1615775559.120151,121,60
1615775559.130053,101,60
1615775559.130053,101,60
1615775559.130053,101,60
1615775559.130053,101,60
1615775559.165173,120,60
1615775559.168919,-36,60
1615775559.181248,17,60
1615775559.190042,-14,60
1615775559.196286,-70,60
1615775559.196286,-70,60
1615775559.219297,131,60
1615775559.227385,13,60
1615775559.237659,-29,60
1615775559.244839,-3,60
1615775559.2550678,-93,60
1615775559.262343,-57,60
1615775559.271266,8,60
1615775559.281055,-39,60
1615775559.288627,-18,60
1615775559.292979,-2,60
1615775559.308811,56,60
1615775559.316127,149,60
1615775559.317514,103,60
1615775559.317514,103,60
1615775559.343702,57,60
1615775559.351902,106,60
1615775559.362348,-35,60
1615775559.369775,-56,60
1615775559.377387,-58,60
1615775559.38736,-44,60
1615775559.3936598,-59,60
1615775559.4035351,55,60
1615775559.411081,2,60
1615775559.4185119,60,60
1615775559.4261708,0,60
1615775559.4286442,-8,60
1615775559.4286442,-8,60
1615775559.4286442,-8,60
1615775559.4286442,-8,60
1615775559.468556,90,60
1615775559.4785762,26,60
1615775559.487273,-109,60
1615775559.494857,-33,60
1615775559.50228,-40,60
1615775559.511102,21,60
1615775559.5185332,77,60
1615775559.526311,-23,60
1615775559.5322702,26,60
1615775559.546046,74,60
1615775559.553514,98,60
1615775559.563615,22,60
1615775559.5735822,21,60
1615775559.583605,75,60
1615775559.591064,90,60
1615775559.5998101,74,60
1615775559.6088052,66,60
1615775559.616483,180,60
1615775559.626456,-21,60
1615775559.63376,-23,60
1615775559.643774,50,60
1615775559.653811,26,60
1615775559.66011,27,60
1615775559.6726348,194,60
1615775559.6813,100,60
1615775559.688592,13,60
1615775559.700167,53,60
1615775559.70892,109,60
1615775559.716278,98,60
1615775559.726464,125,60
1615775559.730007,122,60
1615775559.730007,122,60
1615775559.730007,122,60
1615775559.730007,122,60
1615775559.772685,185,60
1615775559.779753,3,60
1615775559.789797,-98,60
1615775559.798632,-109,60
1615775559.807749,-58,60
1615775559.814877,50,60
1615775559.821297,-3,60
1615775559.832542,18,60
1615775559.841289,-9,60
1615775559.850069,114,60
1615775559.859922,134,60
1615775559.8661718,166,60
1615775559.8739,44,60
1615775559.8837981,85,60
1615775559.89361,-71,60
1615775559.899787,103,60
1615775559.911083,422,60
1615775559.9187782,374,60
1615775559.928587,524,60
1615775559.9360042,336,60
1615775559.9461088,249,60
1615775559.956309,196,60
1615775559.958892,261,60
1615775559.958892,261,60
1615775559.983767,134,60
1615775559.9926882,179,60
1615775560.0012212,-17,44
1615775560.009909,-57,44
1615775560.018641,-82,44
1615775560.028647,17,44
1615775560.0298948,2,44
1615775560.0298948,2,44
1615775560.0298948,2,44
1615775560.0663009,40,44
1615775560.073814,42,44
1615775560.082541,-232,44
1615775560.0926452,-198,44
1615775560.1025128,178,44
1615775560.1123998,109,44
1615775560.122546,128,44
1615775560.131304,116,44
1615775560.139997,-20,44
1615775560.147625,53,44
1615775560.157656,-26,44
1615775560.165056,133,44
1615775560.1751502,176,44
1615775560.1850328,167,44
1615775560.192682,116,44
1615775560.200162,5,44
1615775560.208926,-11,44
1615775560.2188292,23,44
1615775560.227485,93,44
1615775560.235116,-10,44
1615775560.2449112,36,44
1615775560.255044,182,44
1615775560.262342,166,44
1615775560.2725492,161,44
1615775560.282408,216,44
1615775560.289846,99,44
