timestamp,raw_value,attention
1615777754.322021,69,30
1615777754.330693,-7,30
1615777754.339211,-22,30
1615777754.346741,59,30
1615777754.355426,18,30
1615777754.36564,-110,30
1615777754.375444,-21,30
1615777754.3829188,6,30
1615777754.391784,-39,30
1615777754.4042659,50,30
1615777754.414468,-19,30
1615777754.421702,16,30
1615777754.4304042,-10,30
1615777754.439109,-21,30
1615777754.439109,-21,30
1615777754.439109,-21,30
1615777754.439109,-21,30
1615777754.476916,88,30
1615777754.486758,156,30
1615777754.4942348,34,30
1615777754.5042849,113,30
1615777754.511957,132,30
1615777754.521825,97,30
1615777754.5316749,-12,30
1615777754.5391848,75,30
1615777754.549224,-3,30
1615777754.549224,-3,30
1615777754.549224,-3,30
1615777754.549224,-3,30
1615777754.549224,-3,30
1615777754.549224,-3,30
1615777754.549224,-3,30
1615777754.610705,-109,30
1615777754.621506,249,30
1615777754.630547,60,30
1615777754.636692,16,30
1615777754.647014,-60,30
1615777754.654358,-38,30
1615777754.6669388,-35,30
1615777754.677071,-66,30
1615777754.6858099,-40,30
1615777754.689444,1,30
1615777754.703289,-93,30
1615777754.711911,88,30
1615777754.7206059,-37,30
1615777754.7307572,-171,30
1615777754.740641,-99,30
1615777754.748033,-51,30
1615777754.756862,-132,30
1615777754.76581,77,30
1615777754.774553,40,30
1615777754.7820108,-6,30
1615777754.79315,-23,30
1615777754.802064,-19,30
1615777754.810538,-5,30
1615777754.820537,27,30
1615777754.829414,-75,30
1615777754.835644,-123,30
1615777754.845487,-50,30
1615777754.855465,24,30
1615777754.862011,21,30
1615777754.862011,21,30
1615777754.862011,21,30
1615777754.862011,21,30
1615777754.895796,27,30
1615777754.906762,187,30
1615777754.9145348,193,30
1615777754.924269,80,30
1615777754.931956,43,30
1615777754.939269,-38,30
1615777754.9495292,-5,30
1615777754.956754,123,30
1615777754.965656,66,30
1615777754.973126,100,30
1615777754.983266,50,30
1615777754.9930902,48,30
1615777755.0017338,-22,30
1615777755.010421,18,30
1615777755.017885,-58,30
1615777755.0253701,-42,30
1615777755.035429,4,30
1615777755.044121,-35,30
1615777755.052952,-20,30
1615777755.060341,113,30
1615777755.069184,24,30
1615777755.076629,37,30
1615777755.085401,49,30
1615777755.09535,19,30
1615777755.1029718,35,30
1615777755.111619,-23,30
1615777755.119206,-54,30
1615777755.126666,-72,30
1615777755.135444,-37,30
1615777755.145359,57,30
1615777755.154279,123,30
1615777755.154279,123,30
1615777755.154279,123,30
1615777755.154279,123,30
1615777755.154279,123,30
1615777755.154279,123,30
1615777755.154279,123,30
1615777755.154279,123,30
1615777755.22178,109,44
1615777755.232109,246,44
1615777755.2416189,60,44
1615777755.2479181,92,44
1615777755.258186,53,44
1615777755.2682922,64,44
1615777755.274246,32,44
1615777755.285794,-58,44
1615777755.293192,-115,44
1615777755.303296,-158,44
1615777755.31053,-165,44
1615777755.314528,-135,44
1615777755.3282712,-150,44
1615777755.3371289,83,44
1615777755.344247,109,44
1615777755.353085,166,44
1615777755.361727,256,44
1615777755.3644009,253,44
1615777755.380692,240,44
1615777755.3892329,247,44
1615777755.397058,93,44
1615777755.40429,114,44
1615777755.413076,57,44
1615777755.421744,35,44
