timestamp,raw_value,attention
1615778557.959302,53,13
1615778557.966586,71,13
1615778557.972885,49,13
1615778557.972885,49,13
1615778557.972885,49,13
1615778557.972885,49,13
1615778558.01161,29,13
1615778558.0215948,108,13
1615778558.031462,116,13
1615778558.039126,100,13
1615778558.0493948,-41,13
1615778558.059156,3,13
1615778558.06807,-21,13
1615778558.078042,-3,13
1615778558.0881789,2,13
1615778558.098117,-17,13
1615778558.1053472,20,13
1615778558.1156192,8,13
1615778558.122838,-2,13
1615778558.135648,32,13
1615778558.144233,57,13
1615778558.1503448,42,13
1615778558.1503448,42,13
1615778558.1503448,42,13
1615778558.1503448,42,13
1615778558.186452,3,3
1615778558.195196,148,3
1615778558.199254,103,3
1615778558.212713,97,3
1615778558.2190049,132,3
1615778558.22911,103,3
1615778558.2367392,22,3
1615778558.2480261,-17,3
1615778558.255342,32,3
1615778558.265505,-22,3
1615778558.2740679,-19,3
1615778558.2740679,-19,3
1615778558.2740679,-19,3
1615778558.2740679,-19,3
1615778558.312886,-18,3
1615778558.321545,155,3
1615778558.3292532,89,3
1615778558.338156,42,3
1615778558.344394,36,3
1615778558.354254,48,3
1615778558.364118,-11,3
1615778558.371927,-7,3
1615778558.381881,-11,3
1615778558.390295,-19,3
1615778558.399263,-11,3
1615778558.4029472,16,3
1615778558.4029472,16,3
1615778558.426694,29,3
1615778558.435314,167,3
1615778558.443966,98,3
1615778558.4515069,67,3
1615778558.461927,-54,3
1615778558.4693608,-13,3
1615778558.480463,-119,3
1615778558.48688,-101,3
1615778558.4942799,9,3
1615778558.50422,-12,3
1615778558.514068,83,3
1615778558.5215518,98,3
1615778558.529099,61,3
1615778558.539078,108,3
1615778558.546873,92,3
1615778558.556702,41,3
1615778558.5642502,23,3
1615778558.574091,8,3
1615778558.574091,8,3
1615778558.574091,8,3
1615778558.574091,8,3
1615778558.6079009,21,3
1615778558.617057,97,3
1615778558.625393,123,3
1615778558.635675,118,3
1615778558.6440399,129,3
1615778558.650357,136,3
1615778558.6627588,84,3
1615778558.672791,21,3
1615778558.6802619,-13,3
1615778558.687745,-65,3
1615778558.696477,17,3
1615778558.703956,43,3
1615778558.712766,25,3
1615778558.719021,45,3
1615778558.7290292,101,3
1615778558.739139,58,3
1615778558.7465448,60,3
1615778558.753991,43,3
1615778558.7614982,25,3
1615778558.771486,-44,3
1615778558.7789629,-40,3
1615778558.787804,2,3
1615778558.796468,-12,3
1615778558.8053818,32,3
1615778558.8127449,56,3
1615778558.820247,99,3
1615778558.830268,84,3
1615778558.837779,69,3
1615778558.8465111,25,3
1615778558.855284,10,3
1615778558.861583,75,3
1615778558.8728268,-2,3
1615778558.873937,2,3
1615778558.873937,2,3
1615778558.873937,2,3
1615778558.9090729,0,3
1615778558.9167502,138,3
1615778558.925534,68,3
1615778558.935623,92,3
1615778558.942867,136,3
1615778558.953166,148,3
1615778558.959074,179,3
1615778558.9691179,59,3
1615778558.9804869,19,3
1615778558.988291,22,3
1615778558.994207,-44,3
1615778559.004098,-70,3
1615778559.011883,-94,3
1615778559.021678,-29,3
1615778559.029005,-13,3
1615778559.037836,-21,3
1615778559.0428002,52,3
1615778559.0428002,52,3
1615778559.0428002,52,3
1615778559.0728781,59,3
1615778559.0728781,59,3
1615778559.088979,183,3
1615778559.096746,118,3
1615778559.105088,107,3
1615778559.111757,89,3
1615778559.121922,93,3
1615778559.129397,39,3
1615778559.1368802,68,3
1615778559.146861,49,3
1615778559.150688,21,3
1615778559.150688,21,3
1615778559.150688,21,3
1615778559.150688,21,3
1615778559.150688,21,3
1615778559.150688,21,3
1615778559.207778,34,1
1615778559.211452,-9,1
1615778559.211452,-9,1
1615778559.234271,198,1
1615778559.243168,186,1
1615778559.251887,49,1
1615778559.260305,29,1
1615778559.2678201,-53,1
1615778559.275265,-68,1
1615778559.284003,-36,1
1615778559.292841,-148,1
1615778559.300292,-99,1
1615778559.309251,6,1
1615778559.316884,-34,1
1615778559.3267891,-19,1
1615778559.334285,59,1
1615778559.3442612,106,1
1615778559.3544462,43,1
1615778559.362968,57,1
1615778559.372067,-6,1
1615778559.379333,-44,1
1615778559.3868868,-89,1
1615778559.396825,1,1
1615778559.4043891,-43,1
1615778559.413019,-13,1
1615778559.421901,52,1
1615778559.4280488,65,1
1615778559.43804,56,1
1615778559.445371,-2,1
1615778559.453145,20,1
1615778559.4629388,27,1
1615778559.470645,-5,1
1615778559.47313,16,1
1615778559.47313,16,1
1615778559.47313,16,1
1615778559.506946,11,1
1615778559.5118232,-8,1
1615778559.521822,156,1
1615778559.530561,135,1
1615778559.539347,72,1
1615778559.5469382,38,1
1615778559.555725,69,1
1615778559.564159,40,1
1615778559.5730162,-34,1
1615778559.5804968,-1,1
1615778559.5904052,16,1
1615778559.598167,87,1
1615778559.605664,21,1
1615778559.6143858,-51,1
1615778559.621567,36,1
1615778559.632844,74,1
1615778559.6402829,81,1
1615778559.646473,86,1
1615778559.654013,59,1
1615778559.664017,-73,1
1615778559.674021,-44,1
1615778559.6815581,2,1
1615778559.6815581,2,1
1615778559.6815581,2,1
1615778559.707855,-45,1
1615778559.716741,91,1
1615778559.7253041,35,1
1615778559.7327192,87,1
1615778559.740295,72,1
1615778559.750252,73,1
1615778559.757796,145,1
1615778559.767765,132,1
1615778559.7740119,151,1
1615778559.7740119,151,1
1615778559.7740119,151,1
1615778559.7740119,151,1
1615778559.8115351,154,1
1615778559.8190138,148,1
1615778559.830318,27,1
1615778559.8377469,-73,1
1615778559.845215,-10,1
1615778559.853961,-2,1
1615778559.861529,-24,1
1615778559.872777,73,1
1615778559.878954,40,1
1615778559.888984,16,1
1615778559.896517,-24,1
1615778559.906555,22,1
1615778559.9140549,0,1
1615778559.9241621,28,1
1615778559.9315462,74,1
1615778559.941582,76,1
1615778559.9493718,50,1
1615778559.9493718,50,1
1615778559.969053,123,1
1615778559.9753401,65,1
1615778559.98282,85,1
1615778559.9940531,67,1
1615778560.0015638,68,1
1615778560.011552,50,1
1615778560.020373,72,1
1615778560.029073,104,1
1615778560.037845,93,1
1615778560.046549,83,1
1615778560.0553,66,1
1615778560.064066,36,1
1615778560.073028,5,1
1615778560.073028,5,1
1615778560.073028,5,1
1615778560.073028,5,1
1615778560.11039,-34,1
1615778560.1184819,265,1
1615778560.12535,176,1
1615778560.1344268,42,1
1615778560.141611,91,1
1615778560.150647,114,1
1615778560.150647,114,1
1615778560.150647,114,1
1615778560.150647,114,1
1615778560.186503,-12,8
1615778560.1977448,44,8
1615778560.2052412,69,8
1615778560.212713,55,8
1615778560.222892,54,8
1615778560.230484,21,8
1615778560.240797,44,8
1615778560.250703,-24,8
1615778560.2579079,-81,8
1615778560.265513,-50,8
1615778560.275316,-118,8
1615778560.285245,-148,8
1615778560.2927349,135,8
