timestamp,raw_value,attention
1615778628.0313401,-7,35
1615778628.039215,74,35
1615778628.050327,208,35
1615778628.0603552,204,35
1615778628.07036,281,35
1615778628.075758,347,35
1615778628.0879622,368,35
1615778628.101526,299,35
1615778628.111688,249,35
1615778628.121696,119,35
1615778628.1314821,-49,35
1615778628.139207,-4,35
1615778628.148892,-178,35
1615778628.1502662,-122,35
1615778628.1502662,-122,35
1615778628.1502662,-122,35
1615778628.1502662,-122,35
1615778628.1502662,-122,35
1615778628.1502662,-122,35
1615778628.1502662,-122,35
1615778628.226677,-99,14
1615778628.238729,-103,14
1615778628.245326,-66,14
1615778628.253836,-38,14
1615778628.263839,-102,14
1615778628.271508,-155,14
1615778628.2814348,-89,14
1615778628.291279,-84,14
1615778628.302571,-74,14
1615778628.3104398,-83,14
1615778628.3229702,-25,14
1615778628.331344,-65,14
1615778628.334291,-29,14
1615778628.351457,-90,14
1615778628.363883,115,14
1615778628.371347,99,14
1615778628.382634,39,14
1615778628.3928351,114,14
1615778628.402966,71,14
1615778628.4116101,52,14
1615778628.421559,59,14
1615778628.4315672,119,14
1615778628.441739,38,14
1615778628.452836,-53,14
1615778628.465199,32,14
1615778628.4729788,9,14
1615778628.475563,-29,14
1615778628.475563,-29,14
1615778628.475563,-29,14
1615778628.512712,-43,14
1615778628.520076,181,14
1615778628.531521,170,14
1615778628.5429702,147,14
1615778628.551729,112,14
1615778628.5602171,124,14
1615778628.570059,51,14
1615778628.581273,51,14
1615778628.593798,72,14
1615778628.6015732,7,14
1615778628.6114402,-5,14
1615778628.6189198,54,14
1615778628.631392,82,14
1615778628.6404748,93,14
1615778628.64766,-14,14
1615778628.656301,28,14
1615778628.663868,11,14
1615778628.671697,1,14
1615778628.685339,24,14
1615778628.691726,-66,14
1615778628.70159,10,14
1615778628.7104561,39,14
1615778628.720117,45,14
1615778628.726324,88,14
1615778628.737636,96,14
1615778628.7465758,57,14
1615778628.757536,66,14
1615778628.765144,106,14
1615778628.772564,61,14
1615778628.775142,57,14
1615778628.775142,57,14
1615778628.775142,57,14
1615778628.775142,57,14
1615778628.775142,57,14
1615778628.775142,57,14
1615778628.836685,4,14
1615778628.8489861,25,14
1615778628.858856,211,14
1615778628.867601,88,14
1615778628.876281,128,14
1615778628.8863811,-38,14
1615778628.893825,-40,14
1615778628.903861,38,14
1615778628.914026,65,14
1615778628.921315,13,14
1615778628.931425,-37,14
1615778628.941397,-35,14
1615778628.952578,-55,14
1615778628.961419,-67,14
1615778628.971612,-25,14
1615778628.980344,-35,14
1615778628.987607,85,14
1615778628.996793,38,14
