timestamp,raw_value,attention
1615778034.588382,17,57
1615778034.595855,-43,57
1615778034.6058722,-27,57
1615778034.6133618,49,57
1615778034.62337,64,57
1615778034.6322272,34,57
1615778034.6396239,59,57
1615778034.6472168,3,57
1615778034.6571252,3,57
1615778034.6672692,9,57
1615778034.674618,19,57
1615778034.684623,-4,57
1615778034.6921222,48,57
1615778034.6921222,48,57
1615778034.709623,58,57
1615778034.7184331,77,57
1615778034.727155,8,57
1615778034.734665,34,57
1615778034.743406,17,57
1615778034.752172,20,57
1615778034.759639,36,57
1615778034.7684429,50,57
1615778034.7784278,66,57
1615778034.7859058,91,57
1615778034.794635,49,57
1615778034.802287,10,57
1615778034.8096378,153,57
1615778034.818403,69,57
1615778034.8271282,13,57
1615778034.837131,61,57
1615778034.844634,7,57
1615778034.852176,-10,57
1615778034.857141,-36,57
1615778034.857141,-36,57
1615778034.857141,-36,57
1615778034.857141,-36,57
1615778034.857141,-36,57
1615778034.857141,-36,57
1615778034.857141,-36,57
1615778034.918515,20,57
1615778034.929783,224,57
1615778034.935952,131,57
1615778034.9460638,38,57
1615778034.953464,-9,57
1615778034.963509,-4,57
1615778034.971096,20,57
1615778034.979939,-44,57
1615778034.989816,-58,57
1615778034.997431,-41,57
1615778035.0072162,-36,57
1615778035.015945,65,57
1615778035.024678,92,57
1615778035.032196,56,57
1615778035.042202,45,57
1615778035.0496798,19,57
1615778035.059787,-2,57
1615778035.064724,-24,57
1615778035.064724,-24,57
1615778035.064724,-24,57
1615778035.064724,-24,57
1615778035.102324,-40,57
1615778035.112155,128,57
1615778035.119728,74,57
1615778035.1296709,146,57
1615778035.137246,92,57
1615778035.147159,43,57
1615778035.15343,2,57
1615778035.162132,-28,60
1615778035.169631,35,60
1615778035.180927,-36,60
1615778035.1883872,23,60
1615778035.19593,71,60
1615778035.203402,37,60
1615778035.213393,11,60
1615778035.2233841,20,60
1615778035.230891,13,60
1615778035.2396312,12,60
1615778035.247123,6,60
1615778035.255889,12,60
1615778035.264663,53,60
1615778035.272128,33,60
1615778035.2796428,60,60
1615778035.2896268,80,60
1615778035.298445,9,60
1615778035.305961,38,60
1615778035.313369,20,60
1615778035.321002,8,60
1615778035.3308952,87,60
1615778035.3383849,22,60
1615778035.3458712,27,60
1615778035.355904,83,60
1615778035.36342,33,60
1615778035.3658931,48,60
1615778035.3658931,48,60
1615778035.3658931,48,60
1615778035.3658931,48,60
1615778035.4058938,91,60
1615778035.415909,145,60
1615778035.424631,100,60
1615778035.432131,88,60
1615778035.4396951,89,60
1615778035.449619,24,60
1615778035.458396,-28,60
1615778035.4658859,-20,60
1615778035.4734972,20,60
1615778035.483391,35,60
1615778035.490926,39,60
1615778035.497141,39,60
1615778035.507234,24,60
1615778035.5146759,23,60
