timestamp,raw_value,attention
1615777684.274514,20,51
1615777684.283325,18,51
1615777684.2921312,27,51
1615777684.2997289,35,51
1615777684.3095732,17,51
1615777684.319684,4,51
1615777684.328202,67,51
1615777684.336888,68,51
1615777684.344527,24,51
1615777684.3548422,-8,51
1615777684.360949,-11,51
1615777684.360949,-11,51
1615777684.360949,-11,51
1615777684.360949,-11,51
1615777684.360949,-11,51
1615777684.403019,19,51
1615777684.414446,132,51
1615777684.423468,44,51
1615777684.431849,76,51
1615777684.4422872,106,51
1615777684.449352,89,51
1615777684.4596102,87,51
1615777684.46838,57,51
1615777684.4768379,44,51
1615777684.4830651,-17,51
1615777684.493024,42,51
1615777684.500654,19,51
1615777684.508105,-22,51
1615777684.5168378,59,51
1615777684.525579,32,51
1615777684.535653,-36,51
1615777684.543068,-22,51
1615777684.553195,-41,51
1615777684.5631528,-61,51
1615777684.570601,-46,51
1615777684.580781,-36,51
1615777684.588348,-71,51
1615777684.598481,-46,51
1615777684.608452,5,51
1615777684.61582,22,51
1615777684.6270962,112,51
1615777684.6334069,84,51
1615777684.643439,141,51
1615777684.650937,116,51
1615777684.6609359,66,51
1615777684.6609359,66,51
1615777684.6609359,66,51
1615777684.6609359,66,51
1615777684.6609359,66,51
1615777684.705308,124,51
1615777684.714808,137,51
1615777684.723352,91,51
1615777684.730645,119,51
1615777684.7370949,108,51
1615777684.746916,57,51
1615777684.758453,44,51
1615777684.765825,-33,51
1615777684.775956,-50,51
1615777684.7858639,20,51
1615777684.789692,26,51
1615777684.789692,26,51
1615777684.813382,40,51
1615777684.816162,55,51
1615777684.833712,112,51
1615777684.840916,113,51
1615777684.852121,51,51
1615777684.859541,83,51
1615777684.868157,58,51
1615777684.8772988,-2,51
1615777684.885818,-74,51
1615777684.8933241,-54,51
1615777684.900853,2,51
1615777684.910976,12,51
1615777684.919692,-14,51
1615777684.928349,-8,51
1615777684.937037,10,51
1615777684.9456892,69,51
1615777684.953105,114,51
1615777684.959394,82,51
1615777684.959394,82,51
1615777684.959394,82,51
1615777684.959394,82,51
1615777684.998187,72,51
1615777685.006103,267,51
1615777685.014337,139,51
1615777685.02179,39,51
1615777685.030572,28,51
1615777685.038056,-84,51
1615777685.046853,-87,51
1615777685.0568068,-58,51
1615777685.06437,-3,51
1615777685.074333,16,51
1615777685.080661,32,51
1615777685.091819,107,51
1615777685.098089,135,51
1615777685.108128,179,51
1615777685.1155782,130,51
1615777685.123039,40,51
1615777685.1331232,-3,51
1615777685.140555,-21,51
1615777685.1505668,-25,51
1615777685.154416,-44,51
1615777685.154416,-44,51
1615777685.154416,-44,51
1615777685.154416,-44,51
1615777685.19183,-99,53
1615777685.1993432,131,53
1615777685.209385,113,53
1615777685.219562,56,53
1615777685.2271419,73,53
1615777685.235981,90,53
1615777685.2447438,7,53
1615777685.2533278,5,53
1615777685.2608461,33,53
1615777685.2608461,33,53
1615777685.2608461,33,53
1615777685.2608461,33,53
1615777685.296979,6,53
1615777685.305669,257,53
1615777685.3144,162,53
1615777685.324814,87,53
1615777685.333326,-41,53
1615777685.342108,-57,53
1615777685.349617,-14,53
1615777685.358457,-82,53
1615777685.365626,-71,53
1615777685.3759701,-42,53
1615777685.38315,-29,53
1615777685.391799,-66,53
1615777685.400539,-6,53
1615777685.406843,67,53
1615777685.416898,37,53
1615777685.427242,26,53
1615777685.428385,51,53
1615777685.428385,51,53
1615777685.4534342,59,53
1615777685.462503,61,53
1615777685.4709508,96,53
1615777685.4809139,58,53
1615777685.488492,65,53
1615777685.4981408,40,53
1615777685.508061,28,53
1615777685.5155609,22,53
1615777685.524323,18,53
1615777685.534314,-9,53
1615777685.541951,60,53
1615777685.550674,53,53
1615777685.560828,-12,53
1615777685.560828,-12,53
1615777685.560828,-12,53
1615777685.560828,-12,53
1615777685.6008499,-34,53
1615777685.610843,38,53
1615777685.61973,39,53
1615777685.6285172,65,53
1615777685.6372092,70,53
1615777685.6470652,40,53
1615777685.6547232,66,53
1615777685.660966,44,53
1615777685.6708522,68,53
1615777685.680775,87,53
1615777685.6921148,24,53
1615777685.699476,22,53
1615777685.7084749,-6,53
1615777685.717118,32,53
1615777685.725953,-18,53
1615777685.7360158,4,53
1615777685.744726,90,53
1615777685.753315,68,53
1615777685.762223,61,53
1615777685.770965,106,53
1615777685.7782242,104,53
1615777685.785606,24,53
1615777685.793121,20,53
1615777685.8030982,37,53
1615777685.810796,6,53
1615777685.819427,-25,53
1615777685.826868,-37,53
1615777685.837096,-22,53
1615777685.844599,8,53
1615777685.8532841,58,53
1615777685.860905,43,53
1615777685.860905,43,53
1615777685.860905,43,53
1615777685.860905,43,53
1615777685.898131,60,53
1615777685.90719,145,53
1615777685.914387,162,53
1615777685.924384,183,53
1615777685.934487,173,53
1615777685.942246,66,53
1615777685.949682,75,53
1615777685.9583418,-6,53
1615777685.965625,-23,53
1615777685.973123,-71,53
1615777685.9831529,5,53
1615777685.990603,0,53
1615777685.9981282,-55,53
1615777686.008097,-54,53
1615777686.015578,-113,53
1615777686.02441,-50,53
1615777686.031887,70,53
1615777686.0393112,66,53
1615777686.0493681,-264,53
1615777686.0581062,307,53
1615777686.065575,313,53
1615777686.06936,320,53
1615777686.06936,320,53
1615777686.06936,320,53
1615777686.100852,77,53
1615777686.108087,38,53
1615777686.116826,-11,53
1615777686.124342,42,53
1615777686.133077,102,53
1615777686.140589,112,53
1615777686.1493518,36,53
1615777686.1568651,-29,53
1615777686.1568651,-29,53
1615777686.1568651,-29,53
1615777686.1568651,-29,53
1615777686.1568651,-29,53
1615777686.200562,70,38
1615777686.211927,132,38
1615777686.219754,96,38
1615777686.229619,70,38
1615777686.237026,55,38
1615777686.2431371,124,38
1615777686.2431371,124,38
1615777686.2631,96,38
1615777686.271858,57,38
1615777686.279371,20,38
1615777686.2895832,58,38
1615777686.2983081,-5,38
1615777686.307225,-67,38
1615777686.314603,-68,38
1615777686.314603,-68,38
1615777686.333345,-51,38
1615777686.3422642,13,38
1615777686.3520892,48,38
1615777686.3634171,16,38
1615777686.369746,21,38
1615777686.379701,-51,38
1615777686.386813,11,38
1615777686.393064,59,38
1615777686.403051,0,38
1615777686.410573,-35,38
1615777686.420583,-76,38
1615777686.424362,-22,38
1615777686.436856,91,38
1615777686.444631,32,38
1615777686.45211,42,38
1615777686.460984,21,38
1615777686.460984,21,38
1615777686.460984,21,38
1615777686.460984,21,38
1615777686.497031,-65,38
1615777686.504339,176,38
1615777686.514357,90,38
1615777686.521823,6,38
1615777686.5318232,106,38
1615777686.5392902,65,38
1615777686.5494242,48,38
1615777686.5596101,60,38
1615777686.567008,-29,38
1615777686.577261,18,38
1615777686.58713,49,38
1615777686.594748,0,38
1615777686.602242,28,38
1615777686.6119099,40,38
1615777686.6193721,73,38
1615777686.628139,42,38
1615777686.636897,0,38
1615777686.646841,-60,38
1615777686.65811,1,38
1615777686.664362,-11,38
1615777686.674313,-8,38
1615777686.681876,-1,38
1615777686.691809,22,38
1615777686.69931,25,38
1615777686.708079,57,38
1615777686.709294,117,38
1615777686.709294,117,38
1615777686.735855,151,38
1615777686.746016,203,38
1615777686.753518,233,38
1615777686.760937,150,38
1615777686.760937,150,38
1615777686.760937,150,38
1615777686.760937,150,38
1615777686.796976,104,38
1615777686.808348,187,38
1615777686.81687,119,38
1615777686.827043,88,38
1615777686.834642,40,38
1615777686.844717,49,38
1615777686.853417,-61,38
1615777686.862226,-10,38
1615777686.869617,-4,38
1615777686.87851,49,38
1615777686.885804,49,38
1615777686.8970702,-20,38
1615777686.904531,-52,38
1615777686.9145138,-55,38
1615777686.924733,-34,38
1615777686.930838,2,38
1615777686.940823,-20,38
1615777686.949406,-35,38
1615777686.959646,-20,38
1615777686.969414,42,38
1615777686.979372,22,38
1615777686.986838,23,38
1615777686.994337,24,38
1615777687.004336,8,38
1615777687.0118809,5,38
1615777687.021902,27,38
1615777687.029406,37,38
1615777687.03931,24,38
1615777687.0469298,-28,38
1615777687.055607,12,38
1615777687.060576,41,38
1615777687.060576,41,38
1615777687.060576,41,38
1615777687.060576,41,38
1615777687.0956979,75,38
1615777687.1043541,145,38
1615777687.1143758,-5,38
1615777687.1231139,3,38
1615777687.129431,-22,38
1615777687.139393,1,38
1615777687.147006,34,38
1615777687.156835,84,38
1615777687.165621,115,48
1615777687.175597,106,48
1615777687.184366,86,48
1615777687.190562,69,48
1615777687.200578,20,48
1615777687.2082298,41,48
1615777687.218501,70,48
1615777687.227245,12,48
1615777687.2371452,69,48
1615777687.24595,58,48
1615777687.253402,66,48
1615777687.2621162,75,48
1615777687.2694058,36,48
1615777687.279762,27,48
1615777687.28848,43,48
1615777687.2972422,-21,48
1615777687.3072362,13,48
1615777687.316957,25,48
1615777687.3247519,-74,48
1615777687.334655,71,48
1615777687.344757,165,48
1615777687.3495018,136,48
1615777687.3495018,136,48
1615777687.3495018,136,48
1615777687.3495018,136,48
1615777687.3495018,136,48
1615777687.3495018,136,48
1615777687.3495018,136,48
1615777687.415661,133,48
1615777687.425618,163,48
1615777687.4331362,155,48
1615777687.442292,55,48
1615777687.452249,34,48
1615777687.459745,-26,48
1615777687.469729,-84,48
1615777687.479423,-41,48
1615777687.486856,-113,48
1615777687.4970481,-140,48
1615777687.5044081,-81,48
1615777687.514386,-41,48
1615777687.521976,-73,48
1615777687.5244281,-73,48
1615777687.54062,-46,48
1615777687.546953,60,48
1615777687.559629,96,48
1615777687.5671291,76,48
1615777687.574535,-35,48
1615777687.584626,-13,48
1615777687.594711,-21,48
1615777687.602132,-97,48
1615777687.610881,-43,48
1615777687.6196392,-35,48
1615777687.629751,-75,48
1615777687.6372511,-66,48
1615777687.647306,-76,48
1615777687.654696,-42,48
1615777687.66096,-11,48
1615777687.66096,-11,48
1615777687.66096,-11,48
1615777687.66096,-11,48
1615777687.698566,1,48
1615777687.708371,147,48
1615777687.717129,103,48
1615777687.7272441,97,48
1615777687.73692,116,48
1615777687.743476,85,48
1615777687.752127,24,48
1615777687.76227,91,48
1615777687.771038,53,48
1615777687.779783,36,48
1615777687.7873821,-35,48
1615777687.795987,-26,48
1615777687.803241,-28,48
1615777687.8135521,48,48
1615777687.814657,54,48
1615777687.830712,-2,48
1615777687.836876,92,48
1615777687.84729,36,48
1615777687.85461,57,48
1615777687.8646138,32,48
1615777687.8721302,105,48
1615777687.879766,113,48
1615777687.889695,40,48
1615777687.897275,-18,48
1615777687.90725,-23,48
1615777687.914575,-53,48
1615777687.9233751,-67,48
1615777687.9320269,19,48
1615777687.9396439,68,48
1615777687.949474,12,48
1615777687.959664,11,48
1615777687.959664,11,48
1615777687.959664,11,48
1615777687.959664,11,48
1615777687.959664,11,48
1615777687.959664,11,48
1615777687.959664,11,48
1615777688.023177,7,48
1615777688.0310981,251,48
1615777688.039356,151,48
1615777688.048173,125,48
1615777688.055598,70,48
1615777688.0631611,69,48
1615777688.070625,66,48
1615777688.080655,-42,48
1615777688.0906181,-53,48
1615777688.098203,-90,48
1615777688.108097,-73,48
1615777688.1156569,-6,48
1615777688.1231859,-55,48
1615777688.131923,-3,48
1615777688.1405928,16,48
1615777688.1494348,49,48
1615777688.154419,-36,48
1615777688.154419,-36,48
1615777688.154419,-36,48
1615777688.154419,-36,48
1615777688.190711,6,37
1615777688.1993809,112,37
1615777688.20817,81,37
1615777688.2156758,108,37
1615777688.224532,38,37
1615777688.233236,42,37
1615777688.243448,10,37
1615777688.253385,137,37
1615777688.2609699,51,37
1615777688.2609699,51,37
1615777688.2609699,51,37
1615777688.2609699,51,37
1615777688.298301,32,37
1615777688.304393,121,37
1615777688.315853,113,37
1615777688.3247669,32,37
1615777688.3310149,-39,37
1615777688.341969,23,37
1615777688.3481889,49,37
1615777688.358132,-5,37
1615777688.365632,-4,37
1615777688.373131,-44,37
1615777688.3831198,-71,37
1615777688.390593,-50,37
1615777688.39935,-77,37
1615777688.406833,-52,37
1615777688.41447,-87,37
1615777688.4245172,-19,37
1615777688.431894,-23,37
1615777688.442034,-12,37
1615777688.449505,70,37
1615777688.458317,55,37
1615777688.465866,25,37
1615777688.476032,-49,37
1615777688.483197,13,37
1615777688.493514,-6,37
1615777688.5007098,-134,37
1615777688.510614,16,37
1615777688.518144,9,37
1615777688.525645,22,37
1615777688.534441,37,37
1615777688.541866,11,37
1615777688.5519328,37,37
1615777688.560857,2,37
1615777688.560857,2,37
1615777688.560857,2,37
