,timestamp,raw_value,attention,delta
0,0,144,1,0.0
1,1,184,1,0.007513284683227539
2,2,151,1,0.01642441749572754
3,3,85,1,0.02654552459716797
4,4,57,1,0.03505349159240723
5,5,43,1,0.044997453689575195
6,6,117,1,0.05250239372253418
7,7,72,1,0.0626685619354248
8,8,19,1,0.0724632740020752
9,9,-17,1,0.08030247688293457
10,10,33,1,0.08868217468261719
11,11,44,1,0.09746336936950684
12,12,-19,1,0.10616636276245117
13,13,51,1,0.11366724967956543
14,14,-3,1,0.12112927436828613
15,15,41,1,0.12862133979797363
16,16,-7,1,0.1387631893157959
17,17,11,1,0.1462247371673584
18,18,37,1,0.15268635749816895
19,19,58,1,0.15527033805847168
20,20,91,1,0.17288827896118164
21,21,183,1,0.17995142936706543
22,22,176,1,0.18767142295837402
23,23,84,1,0.19744539260864258
24,24,64,1,0.20491838455200195
25,25,9,1,0.2136843204498291
26,26,34,1,0.22115254402160645
27,27,40,1,0.22865653038024902
28,28,-65,1,0.23867440223693848
29,29,22,1,0.24621796607971191
30,30,24,1,0.256380558013916
31,31,86,1,0.26370835304260254
32,32,86,1,0.26370835304260254
33,33,86,1,0.26370835304260254
34,34,86,1,0.26370835304260254
35,35,1,1,0.30122852325439453
36,36,148,1,0.3087472915649414
37,37,76,1,0.3174595832824707
38,38,-12,1,0.3262465000152588
39,39,-81,1,0.33632326126098633
40,40,-59,1,0.3462643623352051
41,41,105,1,0.35405826568603516
42,42,-4,1,0.36126232147216797
43,43,90,1,0.37141942977905273
44,44,124,1,0.38007140159606934
45,45,-52,1,0.38905930519104004
46,46,8,1,0.3974795341491699
47,47,50,1,0.4036445617675781
48,48,186,1,0.41378021240234375
49,49,44,1,0.4240283966064453
50,50,5,1,0.43020153045654297
51,51,-13,1,0.4416654109954834
52,52,4,1,0.4477872848510742
53,53,0,1,0.45517539978027344
54,54,38,1,0.4650273323059082
55,55,72,1,0.4726753234863281
56,56,9,1,0.48277926445007324
57,57,-14,1,0.4927823543548584
58,58,91,1,0.4965779781341553
59,59,91,1,0.4965779781341553
60,60,151,1,0.5179831981658936
61,61,151,1,0.5251092910766602
62,62,123,1,0.5336384773254395
63,63,-19,1,0.5411312580108643
64,64,113,1,0.551154375076294
65,65,-5,1,0.5587553977966309
66,66,-7,1,0.5652813911437988
67,67,-7,1,0.5652813911437988
68,68,-7,1,0.5652813911437988
69,69,-7,1,0.5652813911437988
70,70,-7,1,0.6064283847808838
71,71,220,1,0.615619421005249
72,72,18,1,0.6239151954650879
73,73,49,1,0.6250863075256348
74,74,49,1,0.6250863075256348
75,75,49,1,0.6250863075256348
76,76,73,1,0.6577935218811035
77,77,178,1,0.6674902439117432
78,78,-19,1,0.6762123107910156
79,79,39,1,0.6861951351165771
80,80,-53,1,0.6936445236206055
81,81,-6,1,0.7011773586273193
82,82,36,1,0.7111732959747314
83,83,-54,1,0.7186625003814697
84,84,34,1,0.7286472320556641
85,85,-12,1,0.7386634349822998
86,86,-39,1,0.7461593151092529
87,87,-4,1,0.7561073303222656
88,88,-22,1,0.7661333084106445
89,89,-17,1,0.7698955535888672
90,90,39,1,0.7823734283447266
91,91,-93,1,0.7911062240600586
92,92,-4,1,0.7998764514923096
93,93,7,1,0.808619499206543
94,94,-77,1,0.8161263465881348
95,95,21,1,0.8248732089996338
96,96,25,1,0.8324394226074219
97,97,-55,1,0.839895486831665
98,98,141,1,0.8499493598937988
99,99,35,1,0.8599355220794678
100,100,7,1,0.8650484085083008
101,101,7,1,0.8650484085083008
102,102,7,1,0.8650484085083008
103,103,7,1,0.8650484085083008
104,104,4,1,0.9011952877044678
105,105,199,1,0.9086723327636719
106,106,113,1,0.9174695014953613
107,107,83,1,0.9251804351806641
108,108,12,1,0.932720422744751
109,109,-46,1,0.941401481628418
110,110,-51,1,0.9475395679473877
111,111,-26,1,0.9577083587646484
112,112,-3,1,0.9677033424377441
113,113,90,1,0.9751131534576416
114,114,64,1,0.9850552082061768
115,115,54,1,0.9926574230194092
116,116,23,1,1.0002813339233398
117,117,84,1,1.0101544857025146
118,118,71,1,1.0178005695343018
119,119,-26,1,1.0277769565582275
120,120,-42,1,1.0378773212432861
121,121,5,1,1.0478105545043945
122,122,0,1,1.055300235748291
123,123,151,1,1.0626564025878906
124,124,124,1,1.0728373527526855
125,125,6,1,1.0801279544830322
126,126,41,1,1.091111421585083
127,127,170,1,1.0999963283538818
128,128,29,1,1.1076593399047852
129,129,-51,1,1.1138572692871094
130,130,-51,1,1.124009132385254
131,131,99,1,1.1328125
132,132,29,1,1.1425843238830566
133,133,-3,1,1.1525592803955078
134,134,152,1,1.1599433422088623
135,135,274,1,1.1637403964996338
136,136,274,1,1.1637403964996338
137,137,274,1,1.1637403964996338
138,138,274,1,1.1637403964996338
139,139,180,1,1.2084133625030518
140,140,12,1,1.2165212631225586
141,141,-99,1,1.2249045372009277
142,142,-3,1,1.2324235439300537
143,143,35,1,1.239903450012207
144,144,-44,1,1.2499167919158936
145,145,24,1,1.2573683261871338
146,146,33,1,1.2661099433898926
147,147,16,1,1.2748723030090332
148,148,-26,1,1.2836081981658936
149,149,48,1,1.291107416152954
150,150,87,1,1.3014492988586426
151,151,22,1,1.308891773223877
152,152,2,1,1.319035530090332
153,153,136,1,1.3265252113342285
154,154,43,1,1.3364923000335693
155,155,89,1,1.3465499877929688
156,156,53,1,1.3540453910827637
157,157,-5,1,1.364985466003418
158,158,89,1,1.372746229171753
159,159,89,1,1.372746229171753
160,160,53,1,1.3886587619781494
161,161,107,1,1.3974063396453857
162,162,25,1,1.405001163482666
163,163,56,1,1.4148752689361572
164,164,-42,1,1.424889326095581
165,165,18,1,1.4311163425445557
166,166,17,1,1.4336507320404053
167,167,-18,1,1.4512343406677246
168,168,178,1,1.4587113857269287
169,169,160,1,1.4648685455322266
170,170,160,1,1.4648685455322266
171,171,160,1,1.4648685455322266
172,172,160,1,1.4648685455322266
173,173,138,1,1.5060393810272217
174,174,52,1,1.5139493942260742
175,175,8,1,1.522782325744629
176,176,5,1,1.5326473712921143
177,177,-9,1,1.5412652492523193
178,178,-103,1,1.5487544536590576
179,179,-86,1,1.5587623119354248
180,180,-54,1,1.5662553310394287
181,181,22,1,1.5737063884735107
182,182,-67,1,1.583770513534546
183,183,-9,1,1.5901494026184082
184,184,-122,1,1.6002705097198486
185,185,86,1,1.6102855205535889
186,186,109,1,1.6177785396575928
187,187,71,1,1.625150203704834
188,188,71,1,1.625150203704834
189,189,71,1,1.625150203704834
190,190,71,1,1.625150203704834
191,191,81,1,1.6656033992767334
192,192,88,1,1.6752073764801025
193,193,19,1,1.681387186050415
194,194,3,1,1.6911332607269287
195,195,53,1,1.7001855373382568
196,196,-54,1,1.7074332237243652
197,197,-2,1,1.7174687385559082
198,198,18,1,1.7261624336242676
199,199,-39,1,1.732466220855713
200,200,131,1,1.742377519607544
201,201,-3,1,1.749948501586914
202,202,-36,1,1.7573513984680176
203,203,66,1,1.7636284828186035
204,204,66,1,1.7636284828186035
205,205,66,1,1.7636284828186035
206,206,66,1,1.7636284828186035
207,207,66,1,1.7636284828186035
208,208,10,1,1.8074305057525635
209,209,120,1,1.8161072731018066
210,210,144,1,1.8235883712768555
211,211,21,1,1.8337185382843018
212,212,75,1,1.8423993587493896
213,213,137,1,1.8500714302062988
214,214,5,1,1.8573882579803467
215,215,25,1,1.8649241924285889
216,216,148,1,1.8737223148345947
217,217,106,1,1.8825154304504395
218,218,19,1,1.8923864364624023
219,219,106,1,1.8999593257904053
220,220,36,1,1.9111204147338867
221,221,201,1,1.9198694229125977
222,222,44,1,1.9300603866577148
223,223,100,1,1.9376492500305176
