timestamp,raw_value,attention
1615167479.0276449,21,26
1615167479.0363572,230,26
1615167479.045165,-221,26
1615167479.053928,-29,26
1615167479.062829,228,26
1615167479.068987,185,26
1615167479.078944,-65,26
1615167479.086394,215,26
1615167479.095283,152,26
1615167479.103942,186,26
1615167479.112726,228,26
1615167479.1178281,208,26
1615167479.1291862,329,26
1615167479.139267,-44,26
1615167479.1480992,4,26
1615167479.1567922,114,26
1615167479.165419,132,26
1615167479.175534,1,26
1615167479.184269,5,26
1615167479.190418,34,26
1615167479.201778,-153,26
1615167479.211775,-25,26
1615167479.221525,291,26
1615167479.229165,11,26
1615167479.229165,11,26
1615167479.229165,11,26
1615167479.229165,11,26
1615167479.265148,151,26
1615167479.272921,352,26
1615167479.272921,352,26
1615167479.2889202,-29,26
1615167479.2976692,-184,26
1615167479.30393,-418,26
1615167479.31388,-58,26
1615167479.3215091,-129,26
1615167479.331797,-71,26
1615167479.3404648,-51,26
1615167479.349272,-75,34
1615167479.359276,72,34
1615167479.366654,-178,34
1615167479.3768399,90,34
1615167479.385553,-189,34
1615167479.395197,-122,34
1615167479.405406,18,34
1615167479.4130628,-94,34
1615167479.422915,114,34
1615167479.430521,39,34
1615167479.440556,8,34
1615167479.4480572,-103,34
1615167479.457869,162,34
1615167479.465207,155,34
1615167479.475154,-88,34
1615167479.4864378,-93,34
1615167479.4939468,173,34
1615167479.5026739,224,34
1615167479.512712,-52,34
1615167479.5201752,8,34
1615167479.527933,-152,34
1615167479.527933,-152,34
1615167479.527933,-152,34
1615167479.527933,-152,34
1615167479.5642729,118,34
1615167479.572899,236,34
1615167479.582923,-341,34
1615167479.590534,-52,34
1615167479.6005278,-168,34
1615167479.608043,-72,34
1615167479.617944,83,34
1615167479.628036,-21,34
1615167479.6355698,-68,34
1615167479.645235,-55,34
1615167479.655188,-104,34
1615167479.6626828,-163,34
1615167479.6726809,-71,34
1615167479.680387,-68,34
1615167479.690182,272,34
1615167479.69899,27,34
1615167479.7077749,108,34
1615167479.7151492,107,34
1615167479.724009,-26,34
1615167479.733963,11,34
1615167479.741457,41,34
1615167479.751364,172,34
1615167479.758958,151,34
1615167479.767661,130,34
1615167479.773868,279,34
1615167479.78134,55,34
1615167479.791424,3,34
1615167479.798857,76,34
1615167479.805144,64,34
1615167479.81389,204,34
1615167479.825196,22,34
1615167479.828867,-179,34
1615167479.828867,-179,34
1615167479.828867,-179,34
1615167479.828867,-179,34
1615167479.867745,-82,34
1615167479.875818,417,34
1615167479.883925,-1,34
1615167479.891485,-244,34
1615167479.897923,-286,34
1615167479.897923,-286,34
1615167479.9163709,349,34
1615167479.9252071,-8,34
1615167479.933922,3,34
1615167479.941521,-132,34
1615167479.9517682,-230,34
1615167479.960564,-36,34
1615167479.967964,108,34
1615167479.97552,-110,34
1615167479.985342,-125,34
1615167479.996638,117,34
1615167480.002707,201,34
1615167480.013925,188,34
1615167480.022593,156,34
1615167480.030136,98,34
1615167480.0376189,185,34
1615167480.0451992,58,34
1615167480.055163,154,34
1615167480.0626938,-146,34
1615167480.0714529,-148,34
1615167480.079169,-52,34
1615167480.086748,-20,34
1615167480.0968058,32,34
1615167480.103028,19,34
1615167480.11395,-46,34
1615167480.121505,160,34
1615167480.127897,27,34
1615167480.127897,27,34
1615167480.127897,27,34
1615167480.127897,27,34
1615167480.167638,7,34
1615167480.175263,377,34
1615167480.1839821,-126,34
1615167480.1927402,-184,34
1615167480.200423,-135,34
1615167480.209025,-100,34
1615167480.219274,9,34
1615167480.2261581,-118,34
1615167480.2367628,-216,34
1615167480.2452118,67,34
1615167480.2527559,133,34
1615167480.2614698,65,34
1615167480.270195,76,34
1615167480.277628,-89,34
1615167480.286371,-69,34
1615167480.295169,21,34
1615167480.3042402,-26,34
1615167480.31276,-29,34
1615167480.3189409,85,34
1615167480.326453,27,34
1615167480.336395,144,34
1615167480.346499,43,38
1615167480.355447,135,38
1615167480.363174,-152,38
1615167480.371764,97,38
1615167480.381761,-53,38
1615167480.3880541,-73,38
1615167480.397909,340,38
1615167480.4067688,146,38
1615167480.415476,-29,38
1615167480.424279,131,38
1615167480.4292521,194,38
1615167480.4292521,194,38
1615167480.4292521,194,38
1615167480.4292521,194,38
1615167480.470413,60,38
1615167480.479095,-188,38
1615167480.489301,-13,38
1615167480.496784,-148,38
1615167480.504144,-169,38
1615167480.514278,-162,38
1615167480.520459,22,38
1615167480.523317,32,38
1615167480.539283,74,38
1615167480.548049,147,38
1615167480.558033,-116,38
1615167480.565384,-132,38
1615167480.575532,100,38
1615167480.584198,-72,38
1615167480.590463,-33,38
1615167480.600338,120,38
1615167480.6105468,88,38
1615167480.617936,-104,38
1615167480.627895,-152,38
1615167480.63551,105,38
1615167480.644286,72,38
1615167480.653023,37,38
1615167480.662697,-25,38
1615167480.670128,-18,38
1615167480.682688,21,38
1615167480.691593,-201,38
1615167480.697939,-226,38
1615167480.705456,73,38
1615167480.71514,198,38
1615167480.722732,-131,38
1615167480.728916,-82,38
1615167480.728916,-82,38
1615167480.728916,-82,38
1615167480.728916,-82,38
1615167480.766386,-77,38
1615167480.768864,-61,38
1615167480.785116,-200,38
1615167480.7928,-234,38
1615167480.800152,-145,38
1615167480.808894,-129,38
1615167480.816382,-61,38
1615167480.8226938,141,38
1615167480.827722,117,38
1615167480.827722,117,38
1615167480.8501709,512,38
1615167480.856451,117,38
1615167480.86641,20,38
1615167480.875285,163,38
1615167480.883862,292,38
1615167480.891433,67,38
1615167480.898898,317,38
1615167480.909027,163,38
1615167480.9163818,16,38
1615167480.925212,185,38
1615167480.933909,48,38
1615167480.942977,309,38
1615167480.9505222,32,38
1615167480.958036,39,38
1615167480.965547,69,38
1615167480.9755058,-78,38
1615167480.981514,150,38
1615167480.993011,56,38
1615167481.0005472,-93,38
1615167481.0102541,-56,38
1615167481.0166469,-163,38
1615167481.026743,-226,38
1615167481.027904,-252,38
1615167481.027904,-252,38
1615167481.027904,-252,38
1615167481.063018,-201,38
1615167481.072808,140,38
1615167481.0804212,-221,38
1615167481.08911,-284,38
1615167481.098023,-461,38
1615167481.106765,-381,38
1615167481.1154041,-152,38
1615167481.125534,16,38
1615167481.135396,-180,38
1615167481.1453812,-278,38
1615167481.148271,-246,38
1615167481.163033,-214,38
1615167481.1704519,568,38
1615167481.180415,-266,38
1615167481.1905138,-22,38
1615167481.197901,-25,38
1615167481.208014,-100,38
1615167481.215446,122,38
1615167481.225482,97,38
1615167481.232797,82,38
1615167481.243011,0,38
1615167481.253057,144,38
1615167481.2626612,149,38
1615167481.272609,249,38
1615167481.28018,329,38
1615167481.290192,256,38
1615167481.297636,33,38
1615167481.307799,353,38
1615167481.315125,141,38
1615167481.325197,38,38
1615167481.328851,-1,38
1615167481.328851,-1,38
1615167481.328851,-1,38
1615167481.328851,-1,38
1615167481.370513,203,38
1615167481.380404,-134,26
1615167481.390404,-293,26
1615167481.399265,-254,26
1615167481.406761,-124,26
1615167481.41678,-104,26
1615167481.426763,81,26
1615167481.434266,71,26
1615167481.441781,71,26
1615167481.451749,-28,26
1615167481.461708,-17,26
1615167481.471752,275,26
1615167481.4791481,106,26
1615167481.489002,119,26
1615167481.496641,-1,26
1615167481.506745,53,26
1615167481.5166678,320,26
1615167481.524265,86,26
1615167481.532929,-83,26
1615167481.541762,244,26
1615167481.548034,132,26
1615167481.5580008,29,26
1615167481.565525,93,26
1615167481.575385,-98,26
1615167481.58304,67,26
