timestamp,raw_value,attention
1615168452.5780458,65,40
1615168452.58581,16,40
1615168452.5946612,-33,40
1615168452.6019268,-52,40
1615168452.6110258,-58,40
1615168452.619966,-50,40
1615168452.627315,-36,40
1615168452.636929,-28,40
1615168452.644779,56,40
1615168452.654644,23,40
1615168452.664768,90,40
1615168452.673533,82,40
1615168452.683529,-46,40
1615168452.693311,12,40
1615168452.7007282,52,40
1615168452.710905,49,40
1615168452.720993,24,40
1615168452.720993,24,40
1615168452.720993,24,40
1615168452.720993,24,40
1615168452.756049,26,40
1615168452.764714,278,40
1615168452.7735732,121,40
1615168452.781984,34,40
1615168452.7896519,-1,40
1615168452.7981791,23,40
1615168452.804415,23,40
1615168452.815922,-34,40
1615168452.825654,36,40
1615168452.834378,45,40
1615168452.841939,-17,40
1615168452.849445,17,40
1615168452.8598,49,40
1615168452.869696,57,40
1615168452.877293,67,40
1615168452.88605,73,40
1615168452.8946729,17,40
1615168452.90226,23,40
1615168452.91227,-26,40
1615168452.919772,28,40
1615168452.9297888,36,40
1615168452.939789,166,40
1615168452.9497652,167,40
1615168452.958533,285,40
1615168452.967276,379,40
1615168452.974721,309,40
1615168452.9848719,236,40
1615168452.992279,209,40
1615168452.999499,212,40
1615168453.009701,160,40
1615168453.009701,160,40
1615168453.009701,160,40
1615168453.009701,160,40
1615168453.009701,160,40
1615168453.057204,118,40
1615168453.067156,119,40
1615168453.075923,49,40
1615168453.0847979,-54,40
1615168453.0922759,-173,40
1615168453.0997682,-229,40
1615168453.109782,-278,40
1615168453.117155,-296,40
1615168453.127299,-314,40
1615168453.134424,-218,40
1615168453.1419039,-204,40
1615168453.1520908,-91,40
1615168453.161064,-157,40
1615168453.1697679,-125,40
1615168453.178466,-41,40
1615168453.186018,-117,40
1615168453.19603,-78,40
1615168453.2034261,-83,40
1615168453.214539,-149,40
1615168453.2231119,-100,40
1615168453.230589,-1,40
1615168453.2381172,23,40
1615168453.2481558,32,40
1615168453.255661,32,40
1615168453.2656472,134,40
1615168453.273202,103,40
1615168453.283224,121,40
1615168453.292029,72,40
1615168453.300609,58,40
1615168453.308116,116,40
1615168453.3106308,119,40
1615168453.3106308,119,40
1615168453.3106308,119,40
1615168453.3106308,119,40
1615168453.3106308,119,40
1615168453.362633,571,50
1615168453.370721,378,50
1615168453.379387,109,50
1615168453.38687,21,50
1615168453.394481,-29,50
1615168453.40191,-109,50
1615168453.411965,-198,50
1615168453.421879,-247,50
1615168453.4293911,-298,50
1615168453.4368708,-279,50
1615168453.450638,-56,50
1615168453.456927,-74,50
1615168453.46815,-72,50
1615168453.4770198,-42,50
1615168453.484443,-62,50
1615168453.4918709,-1,50
1615168453.501914,-45,50
1615168453.509645,-17,50
1615168453.517154,-28,50
1615168453.527016,-78,50
1615168453.535818,-33,50
1615168453.543541,-34,50
1615168453.550911,61,50
1615168453.5611079,124,50
1615168453.568274,141,50
1615168453.5784872,87,50
1615168453.585829,139,50
1615168453.597276,160,50
1615168453.605691,155,50
1615168453.612086,131,50
1615168453.612086,131,50
1615168453.612086,131,50
1615168453.612086,131,50
1615168453.612086,131,50
1615168453.612086,131,50
1615168453.664808,118,50
1615168453.674718,227,50
1615168453.682144,35,50
1615168453.6935182,-33,50
1615168453.699639,-2,50
1615168453.71063,7,50
1615168453.718079,-17,50
1615168453.7268522,83,50
1615168453.7346492,99,50
1615168453.744769,118,50
1615168453.752264,66,50
1615168453.759648,-29,50
1615168453.768548,10,50
1615168453.777457,113,50
1615168453.784811,136,50
1615168453.7947872,215,50
1615168453.801023,268,50
1615168453.81091,296,50
1615168453.819382,260,50
1615168453.828191,186,50
1615168453.8358688,167,50
1615168453.845762,97,50
1615168453.8532128,51,50
1615168453.86197,-17,50
1615168453.8706949,-68,50
1615168453.8810081,-189,50
1615168453.887161,-261,50
1615168453.89732,-245,50
1615168453.905905,-247,50
1615168453.916018,-193,50
1615168453.919907,-196,50
1615168453.919907,-196,50
1615168453.919907,-196,50
1615168453.919907,-196,50
1615168453.959774,-93,50
1615168453.969516,0,50
1615168453.979786,-55,50
1615168453.988535,-67,50
1615168453.996032,-110,50
1615168454.005753,-72,50
1615168454.014598,-23,50
1615168454.0235488,55,50
1615168454.0332348,69,50
1615168454.040902,22,50
1615168454.050789,48,50
1615168454.058399,49,50
1615168454.068413,36,50
1615168454.075945,44,50
1615168454.085936,101,50
1615168454.0922801,83,50
1615168454.102106,147,50
1615168454.109762,123,50
1615168454.118527,51,50
1615168454.127279,48,50
1615168454.135901,56,50
1615168454.1444218,44,50
1615168454.154527,104,50
1615168454.162082,66,50
1615168454.1693802,56,50
1615168454.179418,123,50
1615168454.189641,107,50
1615168454.1972978,83,50
1615168454.207262,75,50
1615168454.217003,160,50
1615168454.2207518,105,50
1615168454.2207518,105,50
1615168454.2207518,105,50
1615168454.2207518,105,50
1615168454.260957,53,50
1615168454.260957,53,50
1615168454.279213,263,50
1615168454.284781,160,50
1615168454.295734,114,50
1615168454.304426,84,50
1615168454.310671,23,50
1615168454.323113,19,40
1615168454.330712,96,40
1615168454.339347,2,40
1615168454.348114,-54,40
1615168454.355642,-35,40
1615168454.3656719,-60,40
1615168454.374374,44,40
1615168454.384351,-33,40
1615168454.39194,5,40
1615168454.400671,49,40
1615168454.408096,-2,40
1615168454.418126,-18,40
1615168454.4268448,-51,40
1615168454.435642,76,40
1615168454.445695,25,40
1615168454.453103,-27,40
1615168454.4606888,49,40
1615168454.468163,11,40
1615168454.4770072,35,40
1615168454.485635,64,40
1615168454.493134,9,40
1615168454.499361,100,40
1615168454.5105898,64,40
1615168454.516879,40,40
1615168454.5194082,50,40
1615168454.5194082,50,40
1615168454.5194082,50,40
1615168454.5194082,50,40
1615168454.563502,29,40
1615168454.572054,192,40
1615168454.5796428,54,40
1615168454.5898292,64,40
1615168454.5997682,22,40
1615168454.607012,40,40
1615168454.617158,28,40
1615168454.6272619,23,40
1615168454.634722,23,40
1615168454.6446452,73,40
1615168454.652339,2,40
1615168454.662287,53,40
1615168454.6736379,67,40
1615168454.6796422,54,40
1615168454.689548,32,40
1615168454.6995258,61,40
1615168454.706968,53,40
1615168454.718207,38,40
1615168454.724677,117,40
1615168454.734773,51,40
1615168454.74228,35,40
1615168454.7497542,99,40
1615168454.759812,-44,40
1615168454.769727,41,40
1615168454.7772748,36,40
1615168454.787009,18,40
1615168454.7946298,134,40
1615168454.802079,42,40
1615168454.812169,-20,40
1615168454.8205981,-36,40
1615168454.8205981,-36,40
1615168454.8205981,-36,40
1615168454.8205981,-36,40
1615168454.8205981,-36,40
1615168454.864552,310,40
1615168454.872148,274,40
1615168454.8808022,208,40
1615168454.89105,161,40
1615168454.89105,161,40
1615168454.908511,121,40
1615168454.91593,180,40
1615168454.927259,43,40
1615168454.9360042,2,40
1615168454.943512,-1,40
1615168454.951026,26,40
1615168454.9609149,-12,40
1615168454.96845,-66,40
1615168454.978355,-69,40
1615168454.9860349,-45,40
1615168454.996022,-51,40
1615168455.004467,-58,40
1615168455.013361,-82,40
1615168455.020756,-124,40
1615168455.030745,-70,40
1615168455.0393898,-33,40
1615168455.046978,-164,40
1615168455.054632,-107,40
1615168455.0647628,-114,40
1615168455.072271,-145,40
1615168455.08352,-135,40
1615168455.089748,-102,40
1615168455.099745,-35,40
1615168455.1097379,-91,40
1615168455.118502,-39,40
1615168455.1209888,-3,40
1615168455.1209888,-3,40
1615168455.1209888,-3,40
1615168455.155599,-12,40
1615168455.164423,260,40
1615168455.172121,105,40
1615168455.179737,81,40
1615168455.189599,-11,40
1615168455.1997728,66,40
1615168455.207245,90,40
1615168455.2169878,17,40
1615168455.2243688,74,40
1615168455.233091,99,40
1615168455.241902,29,40
1615168455.24972,33,40
1615168455.258385,58,40
1615168455.267246,101,40
1615168455.2760289,37,40
1615168455.2835279,124,40
1615168455.2933419,75,40
1615168455.303149,13,40
1615168455.310826,24,40
1615168455.320647,10,54
