timestamp,raw_value,attention
1615168032.265943,27,81
1615168032.280857,8,81
1615168032.289557,67,81
1615168032.2995899,-10,81
1615168032.305753,65,81
1615168032.314454,-38,81
1615168032.324555,93,81
1615168032.334448,5,93
1615168032.341936,-28,93
1615168032.352075,-17,93
1615168032.358324,55,93
1615168032.368267,9,93
1615168032.3783271,26,93
1615168032.387069,39,93
1615168032.394596,-35,93
1615168032.404497,-92,93
1615168032.413326,-76,93
1615168032.422102,18,93
1615168032.4245498,32,93
1615168032.4245498,32,93
1615168032.4245498,32,93
1615168032.4245498,32,93
1615168032.464585,21,93
1615168032.4768882,91,93
1615168032.483218,-19,93
1615168032.4954722,144,93
1615168032.496694,56,93
1615168032.514988,-17,93
1615168032.516803,8,93
1615168032.532902,84,93
1615168032.5417368,-8,93
1615168032.5504751,60,93
1615168032.559382,50,93
1615168032.568238,57,93
1615168032.578346,11,93
1615168032.588258,5,93
1615168032.595747,25,93
1615168032.6056871,28,93
1615168032.6157062,87,93
1615168032.623204,102,93
1615168032.6333098,10,93
1615168032.643213,60,93
1615168032.650846,45,93
1615168032.6608372,-56,93
1615168032.668268,-40,93
1615168032.67805,115,93
1615168032.685812,58,93
1615168032.695616,42,93
1615168032.7056582,-23,93
1615168032.7131908,-60,93
1615168032.723356,32,93
1615168032.72441,91,93
1615168032.72441,91,93
1615168032.72441,91,93
1615168032.760751,80,93
1615168032.7694862,275,93
1615168032.7780218,213,93
1615168032.78543,162,93
1615168032.79296,217,93
1615168032.80295,249,93
1615168032.810514,192,93
1615168032.8179579,164,93
1615168032.8279839,45,93
1615168032.835683,71,93
1615168032.8456829,-73,93
1615168032.855642,-151,93
1615168032.859457,-210,93
1615168032.871973,-109,93
1615168032.880699,-241,93
1615168032.886952,-315,93
1615168032.891074,-297,93
1615168032.909431,28,93
1615168032.915702,-115,93
1615168032.924288,-124,93
1615168032.935461,-60,93
1615168032.9417028,-66,93
1615168032.9516869,-33,93
1615168032.959203,-89,93
1615168032.969224,-22,93
1615168032.976724,-43,93
1615168032.984152,17,93
1615168032.992952,52,93
1615168033.001652,22,93
1615168033.011669,60,93
1615168033.017903,-94,93
1615168033.0230742,-104,93
1615168033.0230742,-104,93
1615168033.0230742,-104,93
1615168033.0230742,-104,93
1615168033.0630379,-21,93
1615168033.072224,154,93
1615168033.077941,103,93
1615168033.087978,48,93
1615168033.095453,-2,93
1615168033.104311,-7,93
1615168033.1116989,-34,93
1615168033.1191838,75,93
1615168033.1291971,155,93
1615168033.136699,10,93
1615168033.144151,18,93
1615168033.154187,57,93
1615168033.1641338,81,93
1615168033.171647,11,93
1615168033.181637,34,93
1615168033.1891918,99,93
1615168033.196733,132,93
1615168033.205513,-56,93
1615168033.2131999,-106,93
1615168033.223059,72,93
1615168033.230436,122,93
1615168033.234366,133,93
1615168033.248311,129,93
1615168033.258322,21,93
1615168033.269557,50,93
1615168033.2758248,134,93
1615168033.285814,51,93
1615168033.293291,-2,93
1615168033.303189,27,93
1615168033.310805,112,93
1615168033.320811,115,93
1615168033.322068,107,93
1615168033.322068,107,93
1615168033.322068,107,93
1615168033.322068,107,93
1615168033.366943,71,88
1615168033.3757372,156,88
1615168033.3844428,38,88
1615168033.39456,109,88
1615168033.403347,48,88
1615168033.414554,-4,88
1615168033.4245381,49,88
1615168033.431977,-21,88
1615168033.442036,35,88
1615168033.449544,101,88
1615168033.459549,61,88
1615168033.4670599,20,88
1615168033.4767108,-55,88
1615168033.484571,137,88
1615168033.4942012,83,88
1615168033.501686,32,88
1615168033.511659,17,88
1615168033.51575,55,88
1615168033.5279841,49,88
1615168033.536729,146,88
1615168033.5467122,72,88
1615168033.5569339,75,88
1615168033.564432,81,88
1615168033.5745459,74,88
1615168033.584437,-4,88
1615168033.5945659,12,88
1615168033.602068,56,88
1615168033.612036,104,88
1615168033.619555,37,88
1615168033.623353,-42,88
1615168033.623353,-42,88
1615168033.623353,-42,88
1615168033.623353,-42,88
1615168033.664594,68,88
1615168033.67446,83,88
1615168033.681928,-52,88
1615168033.69184,76,88
1615168033.700806,3,88
1615168033.707058,73,88
1615168033.7167518,28,88
1615168033.724554,-117,88
1615168033.734407,35,88
1615168033.744241,87,88
1615168033.7531798,26,88
1615168033.760821,48,88
1615168033.769431,25,88
1615168033.779488,-42,88
1615168033.779488,-42,88
1615168033.796978,36,88
1615168033.8069959,76,88
1615168033.814549,-4,88
1615168033.8220859,69,88
1615168033.832049,28,88
1615168033.840827,60,88
1615168033.848309,35,88
1615168033.858312,80,88
1615168033.865797,40,88
1615168033.87585,80,88
1615168033.88571,-3,88
1615168033.89454,-36,88
1615168033.900806,-25,88
1615168033.910552,70,88
1615168033.9182541,-46,88
1615168033.92453,-41,88
1615168033.92453,-41,88
1615168033.92453,-41,88
1615168033.92453,-41,88
1615168033.962945,-103,88
1615168033.9717388,58,88
1615168033.980442,1,88
1615168033.989258,-98,88
1615168033.99788,-49,88
1615168034.004182,86,88
1615168034.011629,-37,88
1615168034.022924,-10,88
1615168034.0291631,-35,88
1615168034.0393322,-42,88
1615168034.047887,37,88
1615168034.055655,52,88
1615168034.064149,16,88
1615168034.074215,-8,88
1615168034.082918,34,88
1615168034.091678,34,88
1615168034.097898,10,88
1615168034.1091661,28,88
1615168034.117908,43,88
1615168034.126751,39,88
1615168034.132942,66,88
1615168034.140734,-54,88
1615168034.140734,-54,88
1615168034.159195,213,88
1615168034.167885,144,88
1615168034.1754088,-99,88
1615168034.184135,53,88
1615168034.194159,16,88
1615168034.201679,-13,88
1615168034.210586,19,88
1615168034.220821,-58,88
1615168034.2243881,-24,88
1615168034.2243881,-24,88
1615168034.2243881,-24,88
1615168034.2243881,-24,88
1615168034.27054,193,88
1615168034.2781901,170,88
1615168034.287046,162,88
1615168034.296772,85,88
1615168034.304539,70,88
1615168034.313235,101,88
1615168034.3209548,177,88
1615168034.3307898,155,75
1615168034.339224,96,75
1615168034.348255,100,75
1615168034.355784,-28,75
1615168034.3632698,81,75
1615168034.3731441,117,75
1615168034.381773,125,75
1615168034.389243,-49,75
1615168034.397078,53,75
1615168034.4067469,23,75
1615168034.416725,39,75
1615168034.424258,44,75
1615168034.431702,27,75
1615168034.441664,134,75
1615168034.447867,17,75
1615168034.456641,40,75
1615168034.466621,-19,75
1615168034.4766972,37,75
1615168034.484137,67,75
1615168034.490491,57,75
1615168034.5004318,55,75
1615168034.507896,60,75
1615168034.5153868,103,75
1615168034.52299,69,75
1615168034.52299,69,75
1615168034.52299,69,75
1615168034.52299,69,75
1615168034.52299,69,75
1615168034.56555,57,75
1615168034.575443,284,75
1615168034.582921,170,75
1615168034.591645,35,75
1615168034.6016378,20,75
1615168034.6091578,-21,75
1615168034.6179578,59,75
1615168034.6254258,88,75
1615168034.635413,-7,75
1615168034.644174,-52,75
1615168034.650401,52,75
1615168034.6604218,26,75
1615168034.667895,-5,75
1615168034.678006,52,75
1615168034.68545,65,75
1615168034.6954272,91,75
1615168034.702959,75,75
1615168034.7128818,2,75
1615168034.7191548,-17,75
1615168034.7292979,-65,75
1615168034.737952,37,75
1615168034.746891,-22,75
1615168034.754387,19,75
1615168034.761856,97,75
1615168034.7660391,120,75
1615168034.780761,83,75
1615168034.789564,112,75
1615168034.799546,146,75
1615168034.80688,137,75
1615168034.8182552,138,75
1615168034.827046,83,75
1615168034.8382962,32,75
1615168034.848313,83,75
1615168034.8557792,7,75
1615168034.865814,18,75
1615168034.8733282,-2,75
1615168034.882097,-4,75
1615168034.890804,153,75
1615168034.900646,-58,75
1615168034.910837,-28,75
1615168034.91823,52,75
1615168034.9295301,-7,75
1615168034.9295301,-7,75
1615168034.9295301,-7,75
1615168034.9295301,-7,75
1615168034.965783,36,75
1615168034.975677,101,75
1615168034.9842072,74,75
1615168034.9916842,2,75
1615168035.001715,117,75
1615168035.013082,32,75
1615168035.0217679,-30,75
1615168035.031856,13,75
1615168035.0406861,58,75
1615168035.047062,-40,75
1615168035.05934,-6,75
1615168035.05934,-6,75
1615168035.05934,-6,75
1615168035.082192,186,75
1615168035.091685,106,75
