,timestamp,raw_value,attention,delta
0,0,-151,0,0.0
1,1,-129,0,0.008590936660766602
2,2,-109,0,0.016622066497802734
3,3,-114,0,0.026160001754760742
4,4,170,0,0.03363204002380371
5,5,304,0,0.04130887985229492
6,6,263,0,0.04640507698059082
7,7,263,0,0.04640507698059082
8,8,242,0,0.06788992881774902
9,9,136,0,0.07608199119567871
10,10,86,0,0.0847470760345459
11,11,20,0,0.09382081031799316
12,12,-13,0,0.10245275497436523
13,13,-104,0,0.11002874374389648
14,14,-126,0,0.11978387832641602
15,15,-78,0,0.12728190422058105
16,16,-181,0,0.13734102249145508
17,17,-60,0,0.14475703239440918
18,18,-42,0,0.15474581718444824
19,19,-58,0,0.16226506233215332
20,20,-7,0,0.17102694511413574
21,21,55,0,0.18119096755981445
22,22,52,0,0.1912975311279297
23,23,166,0,0.198530912399292
24,24,140,0,0.20729613304138184
25,25,76,0,0.21354007720947266
26,26,76,0,0.21354007720947266
27,27,76,0,0.21354007720947266
28,28,76,0,0.21354007720947266
29,29,103,0,0.24980783462524414
30,30,105,0,0.25974392890930176
31,31,84,0,0.2647581100463867
32,32,165,0,0.27727580070495605
33,33,45,0,0.28594493865966797
34,34,-26,0,0.2897160053253174
35,35,-233,0,0.3034820556640625
36,36,-486,0,0.31351494789123535
37,37,-571,0,0.31852293014526367
38,38,-833,0,0.32845187187194824
39,39,-1061,0,0.33848094940185547
40,40,-1178,0,0.3448035717010498
41,41,-1283,0,0.3561830520629883
42,42,-963,0,0.36232709884643555
43,43,-1187,0,0.37250590324401855
44,44,-1289,0,0.3801703453063965
45,45,-1240,0,0.38880395889282227
46,46,-1239,0,0.3975980281829834
47,47,-1256,0,0.40232086181640625
48,48,-1203,0,0.41606879234313965
49,49,-1141,0,0.4225459098815918
50,50,-1176,0,0.4313383102416992
51,51,-1106,0,0.443084716796875
52,52,-881,0,0.45108675956726074
53,53,-714,0,0.4575369358062744
54,54,-409,0,0.46738290786743164
55,55,-149,0,0.47602081298828125
56,56,572,0,0.4847559928894043
57,57,1047,0,0.49341607093811035
58,58,1510,0,0.5010159015655518
59,59,1840,0,0.5097579956054688
60,60,1904,0,0.5162179470062256
61,61,1904,0,0.5162179470062256
62,62,1904,0,0.5162179470062256
63,63,1904,0,0.5162179470062256
64,64,1904,0,0.5162179470062256
65,65,1953,0,0.5604195594787598
66,66,1988,0,0.5723409652709961
67,67,2044,0,0.5822658538818359
68,68,1365,0,0.5898098945617676
69,69,1117,0,0.6004250049591064
70,70,1041,0,0.6097579002380371
71,71,821,0,0.6184389591217041
72,72,713,0,0.6246943473815918
73,73,642,0,0.6310069561004639
74,74,504,0,0.6447088718414307
75,75,452,0,0.6509420871734619
76,76,387,0,0.6597275733947754
77,77,315,0,0.6709458827972412
78,78,246,0,0.6784849166870117
79,79,221,0,0.6859588623046875
80,80,203,0,0.6909980773925781
81,81,116,0,0.7022979259490967
82,82,27,0,0.7109777927398682
83,83,-37,0,0.7184529304504395
84,84,-84,0,0.7272498607635498
85,85,-130,0,0.729698896408081
86,86,-200,0,0.746025800704956
87,87,-337,0,0.7534480094909668
88,88,-278,0,0.7609789371490479
89,89,-362,0,0.7707550525665283
90,90,-437,0,0.7759418487548828
91,91,-567,0,0.7884838581085205
92,92,-598,0,0.7971987724304199
93,93,-620,0,0.803433895111084
94,94,-505,0,0.8147320747375488
95,95,-505,0,0.8147320747375488
96,96,-505,0,0.8147320747375488
97,97,-475,0,0.842221736907959
98,98,-45,0,0.8512239456176758
99,99,1,0,0.8561618328094482
100,100,106,0,0.8672122955322266
101,101,137,0,0.8735461235046387
102,102,220,0,0.8835768699645996
103,103,220,0,0.8835768699645996
104,104,220,0,0.8835768699645996
105,105,220,0,0.8835768699645996
106,106,220,0,0.8835768699645996
107,107,220,0,0.8835768699645996
108,108,220,0,0.8835768699645996
109,109,263,0,0.9417529106140137
110,110,115,0,0.9505348205566406
111,111,103,0,0.9584650993347168
112,112,-41,0,0.9672079086303711
113,113,18,0,0.974693775177002
114,114,-18,0,0.9859437942504883
115,115,-52,0,0.9934759140014648
116,116,-8,0,1.0009608268737793
117,117,-20,0,1.008523941040039
118,118,-25,0,1.018446922302246
119,119,-39,0,1.0284507274627686
120,120,-86,0,1.0359230041503906
121,121,-101,0,1.040950059890747
122,122,-123,0,1.053447961807251
123,123,-165,0,1.0609688758850098
124,124,-209,0,1.0689613819122314
125,125,-234,0,1.079688310623169
126,126,-247,0,1.084791898727417
127,127,-275,0,1.0971920490264893
128,128,-306,0,1.1059069633483887
129,129,-248,0,1.1134448051452637
130,130,-276,0,1.1159639358520508
131,131,-276,0,1.1159639358520508
132,132,-276,0,1.1159639358520508
133,133,-276,0,1.1159639358520508
134,134,-276,0,1.1159639358520508
135,135,-268,0,1.1635138988494873
136,136,-236,0,1.1722300052642822
137,137,-18,0,1.1846847534179688
138,138,-116,0,1.1922390460968018
139,139,-92,0,1.1997771263122559
140,140,50,0,1.209717035293579
141,141,0,0,1.2146949768066406
142,142,38,0,1.2246859073638916
143,143,-3,0,1.2359230518341064
144,144,13,0,1.2446858882904053
145,145,-43,0,1.2522308826446533
146,146,-45,0,1.2615838050842285
147,147,-52,0,1.2697858810424805
148,148,-34,0,1.279789924621582
149,149,-46,0,1.2860448360443115
150,150,92,0,1.2972497940063477
151,151,242,0,1.3059179782867432
152,152,171,0,1.3134193420410156
153,153,168,0,1.322180986404419
154,154,301,0,1.3259599208831787
155,155,301,0,1.3259599208831787
156,156,517,0,1.3497319221496582
157,157,268,0,1.3585140705108643
158,158,227,0,1.3689970970153809
159,159,220,0,1.3736939430236816
160,160,374,0,1.3846707344055176
161,161,407,0,1.3934757709503174
162,162,358,0,1.401094913482666
163,163,411,0,1.4072108268737793
164,164,426,0,1.4159579277038574
165,165,426,0,1.4159579277038574
166,166,426,0,1.4159579277038574
167,167,426,0,1.4159579277038574
168,168,426,0,1.4159579277038574
169,169,434,0,1.46297287940979
170,170,434,0,1.46297287940979
171,171,453,0,1.4851539134979248
172,172,-36,0,1.4913311004638672
173,173,-21,0,1.5009889602661133
174,174,-54,0,1.5127029418945312
175,175,-21,0,1.5189990997314453
176,176,9,0,1.5264537334442139
177,177,-129,0,1.5415689945220947
178,178,-276,0,1.5501129627227783
179,179,-266,0,1.553947925567627
180,180,-461,0,1.5673470497131348
181,181,-630,0,1.576422929763794
182,182,-648,0,1.5859699249267578
183,183,-478,0,1.595984935760498
184,184,-438,0,1.6035380363464355
