timestamp,raw_value,attention
1615014618.350461,243,47
1615014618.359267,220,47
1615014618.367973,181,47
1615014618.376669,169,47
1615014618.386643,131,47
1615014618.394132,146,47
1615014618.405442,162,47
1615014618.414518,138,47
1615014618.419472,150,47
1615014618.4279869,101,47
1615014618.44056,120,47
1615014618.4493032,50,47
1615014618.455957,34,47
1615014618.461766,23,47
1615014618.468004,25,47
1615014618.468004,25,47
1615014618.468004,25,47
1615014618.468004,25,47
1615014618.504473,59,47
1615014618.511574,65,47
1615014618.523711,96,47
1615014618.532065,59,47
1615014618.539247,2,47
1615014618.540981,1,47
1615014618.5569038,-7,47
1615014618.565589,38,47
1615014618.5729222,52,47
1615014618.584204,44,47
1615014618.593869,59,47
1615014618.601693,40,47
1615014618.605516,11,47
1615014618.614856,50,47
1615014618.614856,50,47
1615014618.638452,43,47
1615014618.6479979,27,47
1615014618.654316,45,47
1615014618.665643,29,47
1615014618.674958,3,47
1615014618.6842299,75,47
1615014618.6930418,37,47
1615014618.701309,72,47
1615014618.709279,55,47
1615014618.7166998,43,47
1615014618.725527,52,47
1615014618.735915,8,47
1615014618.7441778,8,47
1615014618.751819,18,47
1615014618.760489,-38,47
1615014618.764522,0,47
1615014618.764522,0,47
1615014618.764522,0,47
1615014618.764522,0,47
1615014618.8086798,26,47
1615014618.81599,20,47
1615014618.8285818,-7,47
1615014618.834155,-165,47
1615014618.845361,-151,47
1615014618.852934,-172,47
1615014618.861629,-187,47
1615014618.865385,-211,47
1615014618.877931,-173,47
1615014618.885397,-167,47
1615014618.896628,-130,47
1615014618.904147,-189,47
1615014618.913276,-173,47
1615014618.922882,-211,47
1615014618.929107,-235,47
1615014618.937897,-211,47
1615014618.9504158,-78,47
1615014618.959136,33,47
1615014618.965374,74,47
1615014618.9742432,105,47
1615014618.986662,138,47
1615014618.992959,149,47
1615014619.002879,186,47
1615014619.0115998,42,47
1615014619.0153658,32,47
1615014619.0255702,20,47
1615014619.0366368,50,47
1615014619.045383,67,47
1615014619.0528991,49,47
1615014619.059125,56,47
1615014619.0628989,86,47
1615014619.0628989,86,47
1615014619.0628989,86,47
1615014619.09668,120,47
1615014619.1053572,181,47
1615014619.112898,179,47
1615014619.120469,179,47
1615014619.1292422,109,47
1615014619.1316311,147,47
