,timestamp,raw_value,attention,delta
0,0,-6,16,0.0
1,1,42,16,0.006341218948364258
2,2,-1,16,0.016376972198486328
3,3,18,16,0.02168130874633789
4,4,116,16,0.03134512901306152
5,5,60,16,0.04175734519958496
6,6,32,16,0.04891228675842285
7,7,56,16,0.059155941009521484
8,8,86,16,0.06508111953735352
9,9,72,16,0.07268095016479492
10,10,80,16,0.08384895324707031
11,11,39,16,0.09010195732116699
12,12,55,16,0.09890103340148926
13,13,50,16,0.10787820816040039
14,14,40,16,0.11507225036621094
15,15,42,16,0.12426424026489258
16,16,45,16,0.13011932373046875
17,17,113,16,0.13915419578552246
18,18,117,16,0.14883208274841309
19,19,193,16,0.15781712532043457
20,20,353,16,0.16786718368530273
21,21,405,16,0.17280197143554688
22,22,376,16,0.17822527885437012
23,23,376,16,0.17822527885437012
24,24,376,16,0.17822527885437012
25,25,376,16,0.17822527885437012
26,26,376,16,0.17822527885437012
27,27,364,16,0.2238781452178955
28,28,364,16,0.2238781452178955
29,29,288,16,0.2488269805908203
30,30,267,16,0.2575411796569824
31,31,-122,16,0.26299452781677246
32,32,-151,16,0.2751150131225586
33,33,-260,16,0.28509998321533203
34,34,-270,16,0.2952580451965332
35,35,-242,16,0.30130529403686523
36,36,-231,16,0.30770277976989746
37,37,-259,16,0.317730188369751
38,38,-213,16,0.32758235931396484
39,39,-204,16,0.3364872932434082
40,40,-181,16,0.343858003616333
41,41,-117,16,0.35135626792907715
42,42,-125,16,0.3613100051879883
43,43,-146,16,0.371443510055542
44,44,-49,16,0.38130950927734375
45,45,-33,16,0.38513922691345215
46,46,69,16,0.3963019847869873
47,47,85,16,0.4053151607513428
48,48,106,16,0.41382503509521484
49,49,58,16,0.4238271713256836
50,50,82,16,0.4337799549102783
51,51,156,16,0.4426281452178955
52,52,91,16,0.45000410079956055
53,53,59,16,0.45502305030822754
54,54,60,16,0.4663112163543701
55,55,100,16,0.4751765727996826
56,56,91,16,0.4812443256378174
57,57,91,16,0.4812443256378174
58,58,91,16,0.4812443256378174
59,59,91,16,0.4812443256378174
60,60,91,16,0.4812443256378174
61,61,56,16,0.5263721942901611
62,62,44,16,0.5363292694091797
63,63,43,16,0.5413100719451904
64,64,48,16,0.553767204284668
65,65,83,16,0.5612597465515137
66,66,65,16,0.5713920593261719
67,67,119,16,0.5788371562957764
68,68,140,16,0.5876731872558594
69,69,130,16,0.5962691307067871
70,70,105,16,0.605039119720459
71,71,125,16,0.6125571727752686
72,72,116,16,0.6200532913208008
73,73,115,16,0.6275053024291992
74,74,59,16,0.6375811100006104
75,75,84,16,0.6450071334838867
76,76,77,16,0.6525142192840576
77,77,45,16,0.663790225982666
78,78,54,16,0.6712770462036133
79,79,77,16,0.6799941062927246
80,80,87,16,0.6882951259613037
81,81,105,16,0.6962690353393555
82,82,114,16,0.7050020694732666
83,83,84,16,0.7150721549987793
84,84,59,16,0.7249810695648193
85,85,75,16,0.7302365303039551
86,86,75,16,0.7302365303039551
87,87,74,16,0.7463791370391846
88,88,81,16,0.7601161003112793
89,89,50,16,0.7676122188568115
90,90,44,16,0.777515172958374
91,91,56,16,0.7812440395355225
92,92,56,16,0.7812440395355225
93,93,56,16,0.7812440395355225
94,94,56,16,0.7812440395355225
95,95,56,16,0.7812440395355225
96,96,38,16,0.8249993324279785
97,97,136,16,0.8312633037567139
98,98,-13,16,0.8449771404266357
99,99,12,16,0.853811502456665
100,100,32,16,0.8583271503448486
101,101,26,16,0.8688662052154541
