timestamp,raw_value,attention
1615779226.192566,-149,43
1615779226.201053,-85,43
1615779226.211165,-103,43
1615779226.2199192,119,43
1615779226.228596,136,43
1615779226.237571,224,43
1615779226.246,402,43
1615779226.255071,390,43
1615779226.263668,677,43
1615779226.2739022,688,43
1615779226.2797341,693,43
1615779226.290061,716,43
1615779226.297426,690,43
1615779226.3049228,644,43
1615779226.314773,544,43
1615779226.324939,388,43
1615779226.332412,349,43
1615779226.342565,237,43
1615779226.349756,137,43
1615779226.360152,58,43
1615779226.367549,19,43
1615779226.376342,-115,43
1615779226.382423,-161,43
1615779226.382423,-161,43
1615779226.382423,-161,43
1615779226.382423,-161,43
1615779226.418699,-152,43
1615779226.426103,-4,43
1615779226.433393,-121,43
1615779226.442128,-254,43
1615779226.449644,-347,43
1615779226.45979,-508,43
1615779226.467338,-504,43
1615779226.477188,-417,43
1615779226.484746,-436,43
1615779226.493758,-317,43
1615779226.501218,-310,43
1615779226.5112908,-353,43
1615779226.519745,-235,43
1615779226.527191,-216,43
1615779226.533501,-148,43
1615779226.543817,-22,43
1615779226.551312,-90,43
1615779226.560056,71,43
1615779226.5686212,54,43
1615779226.5712461,69,43
1615779226.5712461,69,43
1615779226.5712461,69,43
1615779226.6038,48,43
1615779226.609938,473,43
1615779226.61973,336,43
1615779226.627285,262,43
1615779226.63737,204,43
1615779226.6450298,234,43
1615779226.654735,312,43
1615779226.66132,343,43
1615779226.672571,405,43
1615779226.6798,412,43
1615779226.6798,412,43
1615779226.6798,412,43
1615779226.6798,412,43
1615779226.716457,435,43
1615779226.719118,468,43
1615779226.732425,523,43
1615779226.742545,451,43
1615779226.7497,307,43
1615779226.758434,149,43
1615779226.76734,-55,43
1615779226.777555,-83,43
1615779226.783852,-135,43
1615779226.796036,-293,43
1615779226.803644,-292,43
1615779226.813417,-309,43
1615779226.820883,-327,43
1615779226.828386,-233,43
1615779226.8384461,-343,43
1615779226.845972,-363,43
1615779226.853457,-317,43
1615779226.860905,-324,43
1615779226.873388,-205,43
1615779226.8809001,-146,43
1615779226.889636,-174,43
1615779226.8983722,-86,43
1615779226.90464,-105,43
1615779226.90464,-105,43
1615779226.90464,-105,43
1615779226.90464,-105,43
1615779226.9409878,-221,37
1615779226.949708,326,37
1615779226.961153,233,37
1615779226.967232,165,37
1615779226.977191,189,37
1615779226.980932,227,37
1615779226.980932,227,37
1615779226.980932,227,37
1615779226.980932,227,37
1615779227.018402,241,37
1615779227.029658,228,37
1615779227.0371299,204,37
1615779227.045983,93,37
1615779227.053474,2,37
1615779227.063485,-84,37
1615779227.0721622,-130,37
1615779227.078496,-60,37
1615779227.089632,-72,37
1615779227.0959191,-200,37
1615779227.107158,-217,37
1615779227.1172621,-140,37
1615779227.125986,-211,37
1615779227.133402,-124,37
1615779227.1411798,-51,37
1615779227.151178,-41,37
1615779227.1600718,-77,37
1615779227.166052,-68,37
1615779227.174984,-110,37
1615779227.1837,-70,37
1615779227.1938071,-99,37
1615779227.202483,-99,37
1615779227.2113469,-67,37
1615779227.2113469,-67,37
1615779227.2113469,-67,37
1615779227.2375622,-165,37
1615779227.246082,217,37
1615779227.254924,88,37
1615779227.263503,38,37
1615779227.273684,-67,37
1615779227.280998,-56,37
1615779227.280998,-56,37
1615779227.280998,-56,37
1615779227.280998,-56,37
1615779227.280998,-56,37
1615779227.280998,-56,37
1615779227.332803,-116,37
1615779227.332803,-116,37
1615779227.3536909,295,37
1615779227.3623328,130,37
1615779227.3699431,-43,37
1615779227.3784618,-108,37
1615779227.3859441,-135,37
1615779227.39472,-194,37
1615779227.4046621,-200,37
1615779227.4122891,-155,37
1615779227.4197161,-211,37
1615779227.429706,-198,37
1615779227.4358752,-149,37
1615779227.4447622,-142,37
1615779227.453687,-236,37
1615779227.463661,-177,37
1615779227.472557,-206,37
1615779227.479711,-165,37
1615779227.488459,-177,37
1615779227.495928,-186,37
1615779227.5046668,-196,37
1615779227.513429,-147,37
1615779227.519865,-12,37
1615779227.529705,-120,37
1615779227.537316,-55,37
1615779227.544898,-10,37
1615779227.554996,24,37
1615779227.5635462,22,37
1615779227.572479,43,37
1615779227.582429,76,37
1615779227.582429,76,37
1615779227.582429,76,37
1615779227.582429,76,37
1615779227.582429,76,37
1615779227.628363,279,37
1615779227.636158,306,37
1615779227.6449862,165,37
1615779227.652441,139,37
1615779227.662312,86,37
1615779227.670059,-40,37
1615779227.6798358,43,37
1615779227.686062,-39,37
1615779227.696225,-85,37
1615779227.70369,26,37
1615779227.7135081,-1,37
1615779227.72131,-55,37
1615779227.730988,-35,37
1615779227.741206,-55,37
1615779227.74869,-23,37
1615779227.756194,-49,37
1615779227.765048,-1,37
1615779227.7738051,4,37
1615779227.7836108,7,37
1615779227.793748,69,37
1615779227.801192,65,37
1615779227.811263,-24,37
1615779227.821236,49,37
1615779227.828821,38,37
1615779227.838845,37,37
1615779227.8462138,71,37
1615779227.84993,72,37
1615779227.84993,72,37
1615779227.84993,72,37
1615779227.8771389,5,37
1615779227.8821561,-13,37
1615779227.8821561,-13,37
1615779227.8821561,-13,37
1615779227.8821561,-13,37
1615779227.919669,325,37
1615779227.9298172,403,51
1615779227.9371881,183,51
1615779227.946008,82,51
1615779227.953502,25,51
1615779227.957477,-50,51
1615779227.970915,-106,51
1615779227.979706,86,51
1615779227.9871428,-8,51
1615779227.994845,8,51
1615779228.004669,-54,51
1615779228.012213,-70,51
1615779228.01969,-39,51
1615779228.027158,-115,51
1615779228.03602,-90,51
1615779228.0448372,-90,51
1615779228.0559292,-53,51
1615779228.063541,-52,51
1615779228.0684092,-67,51
1615779228.079756,-9,51
1615779228.08968,-43,51
1615779228.097166,-36,51
1615779228.103401,-44,51
1615779228.1135402,-22,51
1615779228.121195,-21,51
1615779228.130062,-41,51
1615779228.137488,-61,51
1615779228.148597,-55,51
1615779228.1587179,10,51
1615779228.166316,-13,51
1615779228.175106,-57,51
1615779228.180002,-89,51
1615779228.180002,-89,51
1615779228.180002,-89,51
1615779228.180002,-89,51
1615779228.219722,-3,51
1615779228.229671,417,51
1615779228.2386749,211,51
1615779228.2459362,182,51
1615779228.252222,172,51
1615779228.2596428,177,51
1615779228.2712052,132,51
1615779228.279857,86,51
1615779228.287342,-10,51
1615779228.297318,-25,51
1615779228.307589,-73,51
1615779228.3147929,-61,51
1615779228.322495,-57,51
1615779228.332479,-102,51
1615779228.340079,-41,51
1615779228.349767,-88,51
1615779228.359971,-7,51
1615779228.367361,-36,51
1615779228.374961,-60,51
1615779228.384956,-9,51
1615779228.392298,4,51
1615779228.402219,83,51
1615779228.4110122,20,51
1615779228.418528,-34,51
1615779228.425926,-10,51
1615779228.4359329,50,51
1615779228.442175,-9,51
1615779228.451325,-33,51
1615779228.461329,52,51
1615779228.4675012,-18,51
1615779228.477588,3,51
1615779228.4822662,42,51
1615779228.4822662,42,51
1615779228.4822662,42,51
1615779228.4822662,42,51
1615779228.4822662,42,51
1615779228.4822662,42,51
1615779228.4822662,42,51
1615779228.5487301,-21,51
1615779228.559917,363,51
1615779228.5662,282,51
1615779228.5761979,136,51
1615779228.582796,2,51
1615779228.582796,2,51
1615779228.595071,-4,51
1615779228.611243,-14,51
1615779228.6187332,221,51
1615779228.627442,12,51
1615779228.6397812,-5,51
1615779228.648575,27,51
1615779228.6587021,61,51
1615779228.666216,-7,51
1615779228.675102,67,51
1615779228.682367,-20,51
1615779228.693839,-83,51
1615779228.701198,-97,51
1615779228.71009,-145,51
1615779228.7199512,-168,51
1615779228.7288861,-118,51
1615779228.736326,-54,51
1615779228.746238,-26,51
1615779228.7524202,-85,51
1615779228.762623,-26,51
1615779228.772449,-70,51
1615779228.7801118,-61,51
1615779228.781087,-56,51
1615779228.781087,-56,51
1615779228.781087,-56,51
1615779228.781087,-56,51
1615779228.825074,-26,51
1615779228.8363268,240,51
1615779228.846337,44,51
1615779228.853508,23,51
1615779228.863575,-11,51
1615779228.8709602,-88,51
1615779228.881003,-33,51
1615779228.88843,-65,51
1615779228.897197,-117,51
1615779228.904669,-73,51
1615779228.904669,-73,51
1615779228.904669,-73,51
1615779228.904669,-73,51
1615779228.9372642,-42,40
1615779228.946017,241,40
1615779228.953395,163,40
1615779228.9609542,87,40
1615779228.970923,22,40
1615779228.978422,-71,40
1615779228.9884732,-56,40
1615779228.996126,-107,40
1615779229.00225,-54,40
1615779229.012532,-82,40
1615779229.018425,9,40
1615779229.029705,-12,40
1615779229.035954,20,40
1615779229.044725,-20,40
1615779229.054719,-33,40
1615779229.06107,-44,40
1615779229.0709262,-36,40
1615779229.07845,-34,40
1615779229.082196,-24,40
1615779229.082196,-24,40
1615779229.082196,-24,40
1615779229.118714,-30,40
1615779229.126401,368,40
1615779229.131097,281,40
1615779229.131097,281,40
1615779229.131097,281,40
1615779229.15874,140,40
1615779229.1699069,180,40
1615779229.178602,-12,40
1615779229.1862578,-55,40
1615779229.196352,-68,40
1615779229.203726,-52,40
1615779229.2079191,-65,40
1615779229.221161,32,40
1615779229.229954,101,40
1615779229.23884,38,40
1615779229.2451258,-4,40
1615779229.2550159,-51,40
1615779229.262642,-103,40
1615779229.2738261,-181,40
1615779229.280231,-133,40
1615779229.291344,2,40
1615779229.300013,-97,40
1615779229.308824,-50,40
1615779229.314796,-59,40
1615779229.325088,3,40
1615779229.33499,-18,40
1615779229.3424819,-52,40
1615779229.349919,26,40
1615779229.3576,-11,40
1615779229.3673952,10,40
1615779229.378867,-60,40
1615779229.3822541,-85,40
1615779229.3822541,-85,40
1615779229.3822541,-85,40
1615779229.3822541,-85,40
1615779229.4197812,-26,40
1615779229.429697,294,40
1615779229.4396732,136,40
1615779229.44611,36,40
1615779229.457628,-20,40
1615779229.467299,-11,40
1615779229.4749708,-29,40
1615779229.4850051,-21,40
1615779229.4951339,-49,40
1615779229.5026429,-11,40
1615779229.512602,12,40
1615779229.519975,-10,40
1615779229.530049,-36,40
1615779229.537618,-8,40
1615779229.547675,-24,40
1615779229.5588381,-67,40
1615779229.5648158,-26,40
1615779229.5750248,-13,40
1615779229.5851111,66,40
1615779229.592459,-17,40
1615779229.6024928,-20,40
1615779229.610123,48,40
1615779229.6186712,19,40
1615779229.627626,27,40
1615779229.637577,89,40
1615779229.6448472,50,40
1615779229.652595,43,40
1615779229.6627111,32,40
1615779229.672606,-20,40
1615779229.6823082,18,40
1615779229.6823082,18,40
1615779229.6823082,18,40
1615779229.6823082,18,40
1615779229.717504,48,40
1615779229.726239,456,40
1615779229.733736,272,40
1615779229.742476,151,40
1615779229.7522502,113,40
1615779229.762454,20,40
1615779229.7699468,7,40
1615779229.7699468,7,40
1615779229.7699468,7,40
1615779229.797461,-41,40
1615779229.806033,241,40
1615779229.816038,154,40
1615779229.825089,108,40
1615779229.832628,34,40
1615779229.832628,34,40
1615779229.852314,180,40
1615779229.860142,165,40
1615779229.869733,16,40
1615779229.874772,-18,40
1615779229.874772,-18,40
1615779229.8963509,213,40
1615779229.904682,40,40
1615779229.904682,40,40
1615779229.904682,40,40
1615779229.904682,40,40
1615779229.937276,-19,48
1615779229.947343,-13,48
1615779229.953459,214,48
1615779229.963447,-14,48
1615779229.9709492,-39,48
1615779229.979705,-122,48
1615779229.982184,-106,48
1615779229.982184,-106,48
1615779229.982184,-106,48
1615779229.982184,-106,48
1615779230.022283,-68,48
1615779230.030807,272,48
1615779230.039669,141,48
1615779230.048498,-7,48
1615779230.0547478,-86,48
1615779230.061089,-138,48
1615779230.072263,-122,48
1615779230.078627,-163,48
1615779230.088483,-181,48
1615779230.0984378,-99,48
1615779230.1059892,-85,48
1615779230.1135008,-103,48
1615779230.121094,-52,48
1615779230.131208,-65,48
1615779230.138627,-39,48
1615779230.148562,-21,48
1615779230.156385,-2,48
1615779230.1660328,-54,48
1615779230.175128,-36,48
1615779230.183716,-49,48
1615779230.19373,-25,48
1615779230.203695,7,48
1615779230.213856,4,48
1615779230.221157,-34,48
1615779230.231315,-78,48
1615779230.241293,-56,48
1615779230.248551,-38,48
1615779230.258726,-65,48
1615779230.267485,-65,48
1615779230.277508,-27,48
1615779230.282269,-27,48
1615779230.282269,-27,48
1615779230.282269,-27,48
1615779230.282269,-27,48
1615779230.321163,-11,48
1615779230.329793,433,48
1615779230.339741,217,48
1615779230.347216,91,48
1615779230.3559701,6,48
1615779230.363467,23,48
1615779230.372422,8,48
1615779230.3812008,35,48
1615779230.388573,44,48
1615779230.39748,48,48
1615779230.405969,25,48
1615779230.411062,0,48
1615779230.411062,0,48
1615779230.411062,0,48
1615779230.443467,244,48
1615779230.452259,130,48
1615779230.4577029,124,48
1615779230.470029,93,48
1615779230.4782531,248,48
1615779230.486263,273,48
1615779230.4963799,186,48
1615779230.503745,38,48
1615779230.512653,84,48
1615779230.519779,-9,48
1615779230.5301352,-126,48
1615779230.537636,-163,48
1615779230.547507,-162,48
1615779230.555003,-49,48
1615779230.5638201,-23,48
1615779230.572496,-35,48
1615779230.580066,-62,48
1615779230.580066,-62,48
1615779230.580066,-62,48
1615779230.580066,-62,48
1615779230.580066,-62,48
1615779230.6224902,-44,48
1615779230.632297,178,48
1615779230.642616,-8,48
1615779230.6526651,4,48
1615779230.661376,20,48
1615779230.671319,19,48
1615779230.680108,-75,48
1615779230.6901162,-125,48
1615779230.699977,-62,48
1615779230.7101288,-117,48
1615779230.717373,-122,48
1615779230.728849,-60,48
1615779230.738731,-52,48
1615779230.746342,-43,48
1615779230.7562308,-12,48
1615779230.7661061,9,48
1615779230.773581,-103,48
1615779230.7836878,-70,48
1615779230.793887,-42,48
1615779230.801224,-12,48
1615779230.8112671,59,48
1615779230.8186,71,48
1615779230.828901,74,48
1615779230.837627,34,48
1615779230.846459,27,48
1615779230.853599,21,48
1615779230.862612,36,48
1615779230.871042,-23,48
1615779230.879936,61,48
1615779230.881202,52,48
1615779230.881202,52,48
1615779230.881202,52,48
1615779230.881202,52,48
1615779230.922234,13,48
1615779230.929759,418,60
1615779230.938478,228,60
1615779230.947387,75,60
1615779230.955953,38,60
1615779230.964718,-28,60
1615779230.972188,-44,60
1615779230.9810932,3,60
1615779230.9884832,-115,60
1615779230.996095,56,60
1615779231.0047529,66,60
1615779231.01355,-24,60
