timestamp,raw_value,attention
1615779296.261122,-85,27
1615779296.26988,-36,27
1615779296.280881,129,27
1615779296.283465,137,27
1615779296.283465,137,27
1615779296.283465,137,27
1615779296.3208692,-75,27
1615779296.331027,277,27
1615779296.332302,214,27
1615779296.332302,214,27
1615779296.362674,265,27
1615779296.370877,103,27
1615779296.378529,144,27
1615779296.388284,26,27
1615779296.397419,-147,27
1615779296.405812,97,27
1615779296.4157188,41,27
1615779296.4220328,50,27
1615779296.432378,26,27
1615779296.4361768,-36,27
1615779296.4361768,-36,27
1615779296.457567,-57,27
1615779296.4700968,141,27
1615779296.480758,178,27
1615779296.488265,1,27
1615779296.495797,-100,27
1615779296.505721,-46,27
1615779296.518396,-58,27
1615779296.525884,-49,27
1615779296.5360708,-84,27
1615779296.547434,-148,27
1615779296.554702,-55,27
1615779296.564745,0,27
1615779296.5783958,18,27
1615779296.583481,-2,27
1615779296.583481,-2,27
1615779296.583481,-2,27
1615779296.618622,-37,27
1615779296.6272361,54,27
1615779296.636308,261,27
1615779296.648538,210,27
1615779296.6584132,171,27
1615779296.670888,-78,27
1615779296.682369,251,27
1615779296.6936152,-438,27
1615779296.705853,163,27
1615779296.713624,49,27
1615779296.722112,-187,27
1615779296.732372,75,27
1615779296.7408252,-19,27
1615779296.752287,-167,27
1615779296.759903,0,27
1615779296.769823,-405,27
1615779296.781129,11,27
1615779296.791039,-107,27
1615779296.798388,-137,27
1615779296.807266,-12,27
1615779296.818284,68,27
1615779296.825737,5,27
1615779296.835752,65,27
1615779296.845761,253,27
1615779296.856981,105,27
1615779296.8670459,120,27
1615779296.8795142,295,27
1615779296.883223,200,27
1615779296.883223,200,27
1615779296.883223,200,27
1615779296.927129,2,27
1615779296.9337249,472,41
1615779296.943298,410,41
1615779296.953435,344,41
1615779296.960764,580,41
1615779296.9696069,643,41
1615779296.972024,625,41
1615779296.972024,625,41
1615779296.997022,588,41
1615779297.005804,809,41
1615779297.013247,503,41
1615779297.019522,340,41
1615779297.029471,246,41
1615779297.037204,183,41
1615779297.046997,-92,41
1615779297.0546932,-135,41
1615779297.064459,-193,41
1615779297.07201,-365,41
1615779297.0807402,-257,41
1615779297.082317,-289,41
1615779297.100713,-492,41
1615779297.110715,-260,41
1615779297.120845,-561,41
1615779297.127039,-567,41
1615779297.13454,-312,41
1615779297.144523,-396,41
1615779297.1521752,-391,41
1615779297.161983,-311,41
1615779297.169593,-403,41
1615779297.1782641,-486,41
1615779297.1833541,-275,41
1615779297.1833541,-275,41
1615779297.1833541,-275,41
1615779297.1833541,-275,41
1615779297.224766,-101,41
1615779297.2347672,260,41
1615779297.244766,106,41
1615779297.25243,106,41
1615779297.2597692,70,41
1615779297.2696671,4,41
1615779297.281142,-204,41
1615779297.2908,-35,41
1615779297.298284,131,41
1615779297.308514,43,41
1615779297.318628,44,41
1615779297.3285172,72,41
1615779297.3397892,-68,41
1615779297.3486102,136,41
1615779297.355833,404,41
1615779297.363623,370,41
1615779297.3745658,538,41
1615779297.3811011,546,41
1615779297.39218,596,41
1615779297.402435,561,41
1615779297.412384,285,41
1615779297.422084,54,41
1615779297.429701,-105,41
1615779297.441012,8,41
1615779297.45103,-124,41
1615779297.460779,-193,41
1615779297.46853,-252,41
1615779297.480813,-305,41
1615779297.482065,-296,41
1615779297.482065,-296,41
1615779297.482065,-296,41
1615779297.517029,-317,41
1615779297.525758,96,41
1615779297.535753,-181,41
1615779297.5470772,-202,41
1615779297.5569868,-246,41
1615779297.5682938,-243,41
1615779297.576967,-67,41
1615779297.585833,-199,41
1615779297.593585,-183,41
1615779297.6060748,-285,41
1615779297.612542,-114,41
1615779297.612542,-114,41
1615779297.63604,-108,41
1615779297.646134,473,41
1615779297.65601,234,41
1615779297.6686442,-17,41
1615779297.676016,-27,41
1615779297.6836421,17,41
1615779297.693655,-68,41
1615779297.703676,-169,41
1615779297.707632,-101,41
1615779297.707632,-101,41
1615779297.734886,-18,41
1615779297.7434938,429,41
1615779297.7497878,275,41
1615779297.7598898,123,41
1615779297.77091,61,41
1615779297.7809012,188,41
1615779297.787356,171,41
1615779297.79742,19,41
1615779297.804739,184,41
1615779297.812285,229,41
1615779297.8220952,103,41
