timestamp,raw_value,attention
1615779366.323124,-84,47
1615779366.332086,-229,47
1615779366.3422568,-250,47
1615779366.35098,-254,47
1615779366.357122,-278,47
1615779366.37102,-408,47
1615779366.378171,-396,47
1615779366.38467,-264,47
1615779366.39827,-205,47
1615779366.4071639,-101,47
1615779366.4143832,38,47
1615779366.423603,52,47
1615779366.4333289,107,47
1615779366.441938,273,47
1615779366.450784,285,47
1615779366.458328,224,47
1615779366.470976,180,47
1615779366.47582,103,47
1615779366.484617,96,47
1615779366.484617,96,47
1615779366.484617,96,47
1615779366.484617,96,47
1615779366.528822,91,47
1615779366.536855,124,47
1615779366.546858,-71,47
1615779366.5542889,-28,47
1615779366.565568,-104,47
1615779366.574378,-299,47
1615779366.584311,-585,47
1615779366.593141,-630,47
1615779366.6032069,-828,47
1615779366.61315,-962,47
1615779366.6205812,-1004,47
1615779366.633246,-1065,47
1615779366.642089,-982,47
1615779366.6520698,-758,47
1615779366.66193,-541,47
1615779366.67345,-344,47
1615779366.683342,-155,47
1615779366.69355,-61,47
1615779366.703439,16,47
1615779366.713161,72,47
1615779366.721875,300,47
1615779366.733073,522,47
1615779366.733073,522,47
1615779366.733073,522,47
1615779366.7609909,565,47
1615779366.771015,1097,47
1615779366.7806568,1141,47
1615779366.784439,1164,47
1615779366.784439,1164,47
1615779366.784439,1164,47
1615779366.8220532,1173,47
1615779366.8318772,906,47
1615779366.833441,917,47
1615779366.85568,914,47
1615779366.866869,491,47
1615779366.878061,235,47
1615779366.890534,130,47
1615779366.901802,85,47
1615779366.913127,128,50
1615779366.9242518,-165,50
1615779366.9330509,-88,50
1615779366.9433322,-141,50
1615779366.9507,-183,50
1615779366.959726,-100,50
1615779366.970948,-99,50
1615779366.981903,-123,50
1615779366.990994,-60,50
1615779366.999628,-34,50
1615779367.009482,-71,50
1615779367.0168252,-155,50
1615779367.0243351,-170,50
1615779367.0342789,-140,50
1615779367.043015,-169,50
1615779367.053051,-169,50
1615779367.064302,-88,50
1615779367.0755131,-52,50
1615779367.08428,44,50
1615779367.08428,44,50
1615779367.08428,44,50
1615779367.1194031,32,50
1615779367.1276119,466,50
1615779367.133031,437,50
1615779367.14559,148,50
1615779367.155534,116,50
1615779367.1643672,-115,50
1615779367.1718452,-85,50
1615779367.185548,-60,50
1615779367.1930711,6,50
1615779367.204305,-125,50
1615779367.213077,-87,50
1615779367.221807,-137,50
1615779367.230641,-168,50
1615779367.238086,-134,50
1615779367.249367,-202,50
1615779367.258069,-110,50
1615779367.270947,-85,50
1615779367.2772212,-133,50
1615779367.284759,-72,50
1615779367.297046,-25,50
1615779367.307243,-140,50
1615779367.315566,-165,50
1615779367.32582,-149,50
1615779367.33588,-158,50
1615779367.345736,-58,50
1615779367.353457,-89,50
1615779367.363271,-53,50
1615779367.370843,-38,50
1615779367.3732212,-29,50
1615779367.3732212,-29,50
1615779367.3732212,-29,50
1615779367.3732212,-29,50
1615779367.3732212,-29,50
1615779367.3732212,-29,50
1615779367.437064,-50,50
1615779367.448216,178,50
1615779367.45706,44,50
1615779367.45706,44,50
1615779367.4821188,5,50
1615779367.488391,16,50
1615779367.499295,-99,50
1615779367.5068128,-156,50
1615779367.516839,-41,50
1615779367.5243158,-8,50
1615779367.533345,17,50
1615779367.543225,57,50
1615779367.551842,-68,50
1615779367.5618129,34,50
1615779367.570661,130,50
1615779367.5795121,181,50
1615779367.586793,220,50
1615779367.596797,297,50
1615779367.609393,281,50
1615779367.621886,205,50
1615779367.633098,293,50
1615779367.641016,288,50
1615779367.649605,268,50
1615779367.658334,189,50
1615779367.6697001,230,50
1615779367.6783848,132,50
1615779367.683403,164,50
1615779367.683403,164,50
1615779367.683403,164,50
1615779367.683403,164,50
1615779367.725635,259,50
1615779367.7383199,390,50
1615779367.748115,203,50
1615779367.7569091,151,50
1615779367.769706,28,50
1615779367.777236,-69,50
1615779367.789761,41,50
1615779367.798348,6,50
1615779367.80719,-23,50
1615779367.818513,-29,50
1615779367.825963,-9,50
1615779367.8356962,-46,50
1615779367.842249,9,50
1615779367.8533812,-24,50
1615779367.865767,-10,50
1615779367.873492,-108,50
1615779367.881877,-120,50
1615779367.8908741,-59,50
1615779367.900592,-4,50
1615779367.912221,-25,44
1615779367.92335,-12,44
1615779367.932127,-70,44
1615779367.9422212,134,44
1615779367.9532008,390,44
1615779367.961003,482,44
1615779367.970886,513,44
1615779367.9806652,346,44
1615779367.984601,397,44
1615779367.984601,397,44
1615779367.984601,397,44
1615779367.984601,397,44
1615779367.984601,397,44
1615779367.984601,397,44
1615779368.05059,308,44
1615779368.060585,132,44
1615779368.069332,91,44
1615779368.079359,-76,44
1615779368.081818,-75,44
1615779368.0969741,-53,44
1615779368.104374,152,44
1615779368.1133099,98,44
1615779368.118125,40,44
1615779368.118125,40,44
1615779368.138083,-74,44
1615779368.1481369,13,44
1615779368.155552,-230,44
1615779368.165597,-475,44
1615779368.173059,-654,44
1615779368.181841,-708,44
1615779368.190571,-985,44
1615779368.199351,-1260,44
1615779368.2081358,-1321,44
1615779368.219349,-1623,44
1615779368.2268329,-1598,44
1615779368.23557,-1618,44
1615779368.243045,-1580,44
1615779368.253079,-1303,44
1615779368.261837,-1032,44
1615779368.273181,-716,44
1615779368.283199,-454,44
1615779368.2846,-406,44
1615779368.2846,-406,44
1615779368.2846,-406,44
1615779368.320849,-227,44
1615779368.333351,1063,44
1615779368.34439,941,44
1615779368.353058,904,44
1615779368.364485,809,44
1615779368.37319,803,44
1615779368.3819158,709,44
1615779368.394567,630,44
1615779368.401922,486,44
1615779368.4096022,329,44
1615779368.422231,375,44
1615779368.433192,253,44
1615779368.440771,208,44
1615779368.449429,165,44
1615779368.458387,40,44
1615779368.464501,50,44
1615779368.4747531,138,44
1615779368.481889,192,44
1615779368.491959,138,44
1615779368.499367,106,44
1615779368.509333,117,44
1615779368.520535,5,44
1615779368.526943,-5,44
1615779368.5369012,-37,44
1615779368.544374,43,44
1615779368.554376,6,44
1615779368.561905,-59,44
1615779368.57191,-122,44
1615779368.5818949,-440,44
1615779368.584309,-449,44
1615779368.584309,-449,44
1615779368.584309,-449,44
1615779368.622248,-433,44
1615779368.633142,-1367,44
1615779368.642163,-1418,44
1615779368.6482198,-1081,44
1615779368.653362,-1110,44
1615779368.653362,-1110,44
1615779368.678358,-1260,44
1615779368.6871092,-1001,44
1615779368.694763,-905,44
1615779368.704652,-781,44
1615779368.708799,-725,44
1615779368.7287161,-483,44
1615779368.7333682,-444,44
1615779368.743475,-345,44
1615779368.753221,-278,44
1615779368.763215,-221,44
1615779368.773498,-174,44
1615779368.7846122,-130,44
1615779368.794749,-99,44
1615779368.804615,-73,44
1615779368.8122308,-54,44
1615779368.824762,20,44
1615779368.833358,164,44
1615779368.839707,267,44
1615779368.852115,577,44
1615779368.859755,1189,44
1615779368.870626,1868,44
1615779368.878495,2047,44
1615779368.884594,2047,44
1615779368.884594,2047,44
1615779368.884594,2047,44
1615779368.884594,2047,44
1615779368.884594,2047,44
1615779368.929722,2047,44
1615779368.935613,1832,44
1615779368.9457679,1592,44
1615779368.9572852,1378,44
1615779368.970849,1112,44
1615779368.978475,984,44
1615779368.991031,835,44
1615779368.9996731,733,44
1615779369.009428,617,44
1615779369.020604,520,44
1615779369.026886,475,44
1615779369.036837,405,44
1615779369.044399,356,44
1615779369.058074,289,44
1615779369.064401,262,44
1615779369.0756009,218,44
1615779369.08563,188,44
1615779369.093152,172,44
1615779369.105567,148,44
1615779369.114367,132,44
1615779369.126868,116,44
1615779369.134397,104,44
1615779369.144336,92,44
1615779369.1580648,81,44
1615779369.1693609,69,44
1615779369.179915,56,44
1615779369.1831648,53,44
1615779369.1831648,53,44
1615779369.1831648,53,44
1615779369.220971,52,44
1615779369.233345,26,44
1615779369.239628,-3,44
1615779369.2494779,-33,44
1615779369.25576,-28,44
1615779369.2660081,-57,44
1615779369.274632,-71,44
1615779369.284488,-102,44
1615779369.2934778,-170,44
1615779369.2934778,-170,44
1615779369.2934778,-170,44
1615779369.325869,-139,44
1615779369.3336341,-204,44
1615779369.3336341,-204,44
1615779369.353149,-202,44
1615779369.364554,-407,44
1615779369.3744378,-664,44
1615779369.383154,-721,44
1615779369.391924,-889,44
1615779369.39946,-1100,44
1615779369.39946,-1100,44
1615779369.422007,-1069,44
1615779369.433273,-1092,44
1615779369.440983,-1069,44
1615779369.450698,-946,44
1615779369.4583738,-989,44
1615779369.470728,-883,44
1615779369.478229,-740,44
1615779369.484512,-769,44
1615779369.484512,-769,44
1615779369.484512,-769,44
1615779369.5260448,438,44
1615779369.5318332,557,44
1615779369.5447419,499,44
1615779369.55448,370,44
