timestamp,raw_value,attention
1615779051.055574,156,56
1615779051.056652,269,56
1615779051.056652,269,56
1615779051.079861,289,56
1615779051.089029,256,56
1615779051.089029,256,56
1615779051.1060228,237,56
1615779051.113409,165,56
1615779051.122082,33,56
1615779051.131113,-102,56
1615779051.1397288,-183,56
1615779051.149667,-205,56
1615779051.157355,-196,56
1615779051.167039,-157,56
1615779051.1733031,-102,56
1615779051.1785228,-97,56
1615779051.1785228,-97,56
1615779051.1785228,-97,56
1615779051.1785228,-97,56
1615779051.1785228,-97,56
1615779051.1785228,-97,56
1615779051.2395132,-69,56
1615779051.242273,-25,56
1615779051.2558699,-12,56
1615779051.2632508,205,56
1615779051.271939,152,56
1615779051.280672,22,56
1615779051.288228,135,56
1615779051.296989,114,56
1615779051.306946,199,56
1615779051.312002,210,56
1615779051.3233972,235,56
1615779051.3322,375,56
1615779051.340833,358,56
1615779051.349622,324,56
1615779051.357246,347,56
1615779051.3658218,275,56
1615779051.377402,231,56
1615779051.384544,125,56
1615779051.392381,156,56
1615779051.399754,208,56
1615779051.407289,60,56
1615779051.417133,-26,56
1615779051.424602,-108,56
1615779051.433293,-149,56
1615779051.4408262,-200,56
1615779051.4483788,-190,56
1615779051.457242,-146,56
1615779051.465819,-205,56
1615779051.4719958,-161,56
1615779051.479409,-203,56
1615779051.479409,-203,56
1615779051.479409,-203,56
1615779051.479409,-203,56
1615779051.518383,-164,56
1615779051.526866,81,56
1615779051.534514,-27,56
1615779051.544626,-117,56
1615779051.553545,-266,56
1615779051.5624151,-233,56
1615779051.5695539,-238,56
1615779051.577291,-219,56
1615779051.587175,-219,56
1615779051.594841,-228,56
1615779051.597357,-198,56
1615779051.597357,-198,56
1615779051.597357,-198,56
1615779051.597357,-198,56
1615779051.597357,-198,56
1615779051.6499531,-184,56
1615779051.6570618,139,56
1615779051.6596448,83,56
1615779051.6596448,83,56
1615779051.6596448,83,56
1615779051.6596448,83,56
1615779051.697352,70,56
1615779051.70711,135,56
1615779051.7146392,13,56
1615779051.724875,-9,56
1615779051.733335,-110,56
1615779051.743209,-138,56
1615779051.750765,-122,56
1615779051.759493,-162,56
1615779051.767013,-182,56
1615779051.7745159,-165,56
1615779051.7783391,-173,56
1615779051.7783391,-173,56
1615779051.7783391,-173,56
1615779051.7783391,-173,56
1615779051.7783391,-173,56
1615779051.7783391,-173,56
1615779051.7783391,-173,56
1615779051.8398342,-150,56
1615779051.8398342,-150,56
1615779051.8398342,-150,56
1615779051.872024,-148,56
1615779051.872024,-148,56
1615779051.889456,285,56
1615779051.89822,116,56
1615779051.905813,-73,56
1615779051.914469,-126,69
1615779051.921948,-121,69
1615779051.9307892,-126,69
1615779051.93953,-244,69
1615779051.948232,-185,69
1615779051.951987,-225,69
1615779051.951987,-225,69
1615779051.974528,65,69
1615779051.982155,-52,69
1615779051.992352,-164,69
1615779051.999688,-103,69
1615779052.0071712,-125,69
1615779052.014851,-81,69
1615779052.024531,-145,69
1615779052.032246,-148,69
1615779052.042399,-120,69
1615779052.0509021,-84,69
1615779052.056162,-18,69
1615779052.068532,114,69
1615779052.075974,101,69
1615779052.079823,92,69
1615779052.079823,92,69
1615779052.079823,92,69
1615779052.079823,92,69
1615779052.1183622,224,69
1615779052.1285079,248,69
1615779052.138535,85,69
1615779052.147265,61,69
1615779052.156183,3,69
1615779052.164862,99,69
1615779052.1710038,131,69
1615779052.1811461,124,69
1615779052.1911318,160,69
1615779052.198563,106,69
